GO,ID,Description,NES,p.adjust,core_enrichment,Database,Functional_Module
GO:0099003,GO:0099003,Vesicle-Mediated Transport in Synapse,-2.984553837,8.72E-08,5867/529/8775/164/9296/805/526/9114/523/535/5582/528/396/1211/23396/6855/534/274/10396/9900/1173/26052/23154/9892/51606/10815/161/80331/9135/8541/1020/5534/57465/163/1212/160/28964/57030/1487/22848/6844/8943/3208/6623/5874/273/1759/9899/6853/8927/5413/63908/84251/6854/5864/8120/6456/6622/112755/29993/6857/6616/8867/112476/9829/8618/6812/6804/9066/10814/22895/5532,GOBP,Synaptic regulation
GO:0099504,GO:0099504,Synaptic Vesicle Cycle,-2.957143782,8.72E-08,8775/164/9296/526/9114/523/535/5582/528/396/1211/23396/6855/534/274/10396/9900/1173/26052/9892/51606/10815/161/80331/8541/1020/5534/57465/163/1212/160/28964/57030/1487/6844/8943/6623/5874/273/1759/9899/6853/8927/5413/63908/84251/6854/5864/8120/6456/6622/112755/29993/6857/6616/8867/112476/9829/8618/6812/6804/9066/10814/22895/5532,GOBP,Synaptic regulation
GO:0036465,GO:0036465,Synaptic Vesicle Recycling,-2.742211451,8.72E-08,23396/274/10396/1173/26052/9892/161/1020/57465/163/1212/160/28964/57030/1487/6844/8943/6623/5874/273/1759/84251/5864/8120/6456/6622/112755/29993/8867/9829/6804/9066/5532,GOBP,Synaptic regulation
GO:0140238,GO:0140238,Presynaptic Endocytosis,-2.701931151,8.72E-08,23396/274/10396/1173/26052/9892/161/1020/57465/163/1212/160/57030/1487/22848/6844/8943/6623/5874/273/1759/84251/8120/6456/6622/29993/8867/9829/6804/9066/5532,GOBP,Synaptic regulation
GO:0048488,GO:0048488,Synaptic Vesicle Endocytosis,-2.687591067,8.72E-08,23396/274/10396/1173/26052/9892/161/1020/57465/163/1212/160/57030/1487/6844/8943/6623/5874/273/1759/84251/8120/6456/6622/29993/8867/9829/6804/9066/5532,GOBP,Synaptic regulation
GO:0007269,GO:0007269,Neurotransmitter Secretion,-2.647853714,8.72E-08,23396/6855/815/9900/10815/80331/8541/1020/28964/6844/6623/9899/6853/5413/63908/6854/5864/6622/112755/57512/6857/6616/8867/112476/8618/6812/6804/9066/10814/22895,GOBP,Synaptic regulation
GO:0099643,GO:0099643,Signal Release From Synapse,-2.647853714,8.72E-08,23396/6855/815/9900/10815/80331/8541/1020/28964/6844/6623/9899/6853/5413/63908/6854/5864/6622/112755/57512/6857/6616/8867/112476/8618/6812/6804/9066/10814/22895,GOBP,Synaptic regulation
GO:0070507,GO:0070507,Regulation of Microtubule Cytoskeleton Organization,-2.675751714,1.01E-07,2931/4131/5048/10982/9793/2288/1213/1639/6904/4137/4130/10382/28964/3925/22924/4133/55605/23122/2770/22911/11076/4135/6622/5058,GOBP,Microtubule organisation
GO:0016079,GO:0016079,Synaptic Vesicle Exocytosis,-2.653368848,1.32E-07,10815/80331/8541/1020/28964/6844/9899/6853/5413/63908/5864/6622/112755/6857/6616/8867/112476/8618/6812/6804/9066/10814/22895,GOBP,Synaptic regulation
GO:0017156,GO:0017156,Calcium-Ion Regulated Exocytosis,-2.554690063,7.82E-06,1020/6844/6854/5864/112755/6857/6616/8618/6812/6804/9066/22895/5532,GOBP,Synaptic regulation
GO:0097479,GO:0097479,Synaptic Vesicle Localization,-2.543551811,1.20E-05,26052/9892/1020/4133/1487/8943/1759/6853/8927/3800/6854/5864/8120/6622/8867,GOBP,Synaptic regulation
GO:0140029,GO:0140029,Exocytic Process,-2.533637345,1.20E-05,5413/63908/5864/6622/112755/6857/6616/8867/112476/6812/6804/9066/10814/22895,GOBP,Endoplasmic reticulum and secretory pathway
GO:0032886,GO:0032886,Regulation of Microtubule-Based Process,-2.47045464,1.20E-05,2931/4131/5048/10982/9793/2288/1213/1639/6904/10015/4137/4130/10382/28964/3925/22924/4133/55605/23122/2770/22911/11076/4135/6622/5058/9475,GOBP,Microtubule organisation
GO:0006836,GO:0006836,Neurotransmitter Transport,-2.450728213,1.20E-05,10211/23396/6855/815/9900/388662/10815/80331/8541/1020/28964/57030/6844/6623/9899/6853/5413/63908/6854/5864/6622/112755/57512/6857/6616/8867/112476/8618/6812/6804/9066/10814/22895,GOBP,Synaptic regulation
GO:0045055,GO:0045055,Regulated Exocytosis,-2.410079405,1.20E-05,10815/80331/8541/1020/28964/6844/11151/9899/6853/5413/63908/6854/5864/6622/112755/6857/6616/8867/112476/8618/6812/6804/9066/10814/22895/5532,GOBP,Synaptic regulation
GO:0006887,GO:0006887,Exocytosis,-2.290069661,1.20E-05,10815/10015/80331/8541/1020/28964/7447/4905/23122/6844/11151/115827/5874/9899/6853/5413/63908/6854/5864/6622/112755/6857/6616/8867/112476/5058/8618/6812/6804/9066/10814/22895/5532,GOBP,Synaptic regulation
GO:0001956,GO:0001956,Positive Regulation of Neurotransmitter Secretion,-2.113415865,1.20E-05,112755/57512/6857/6812/6804,GOBP,Synaptic regulation
GO:0031110,GO:0031110,Regulation of Microtubule Polymerization or Depolymerization,-2.525468541,1.91E-05,4131/10982/9793/2288/1639/6904/4137/4130/10382/28964/3925/22924/4133/55605/23122/22911/6622/5058,GOBP,Microtubule organisation
GO:0051648,GO:0051648,Vesicle Localization,-2.387375609,2.53E-05,8452/5861/10987/8027/5048/9146/10540/1639/4644/26052/9892/10015/1020/4133/1487/23122/8943/1759/6853/8927/5413/3800/6854/5864/8120/6622/6616/8867/8618/6812,GOBP,Synaptic regulation
GO:0016050,GO:0016050,Vesicle Organization,-2.19272391,7.89E-05,8615/529/8417/164/9296/526/8452/9114/523/5861/23673/535/9218/51552/528/8027/5048/53916/9146/6855/534/51534/162/1173/9217/26052/9892/51606/10815/10015/6844/8943/11151/1759/5864/8120/6622/112755/6857/6616/8867/112476/1742/6812/6804/9066/10814/22895,GOBP,Synaptic regulation
GO:0014823,GO:0014823,Response To Activity,2.40440586,0.000111755,1291/7384/3673/302/6648/3688/3033/847/210/1605,GOBP,Synaptic regulation
GO:0048791,GO:0048791,Calcium Ion-Regulated Exocytosis of Neurotransmitter,-2.169259443,0.00021513,5864/112755/6857/6616/6812/9066,GOBP,Synaptic regulation
GO:0023061,GO:0023061,Signal Release,-2.098703519,0.00027191,10815/80331/8541/1020/28964/7447/2781/5530/6844/2912/6623/2029/9899/6853/5413/63908/6854/5864/6622/112755/23236/57512/6857/6616/8867/112476/8618/6812/6804/9066/10814/22895/5532,GOBP,Synaptic regulation
GO:0015980,GO:0015980,Energy Derivation By Oxidation of Organic Compounds,2.183865904,0.000272258,1291/7385/7384/4719/1327/1329/4704/6648/1537/1340/9377/1312/6389/55847/7381/847/2548/4513/37/5160/2992/5162/1431/50/1738,GOBP,Mitochondria and metabolism
GO:0031113,GO:0031113,Regulation of Microtubule Polymerization,-2.39175018,0.000278391,4131/9793/2288/1639/6904/4137/10382/28964/3925/22924/4133/55605/23122/6622/5058,GOBP,Microtubule organisation
GO:0048489,GO:0048489,Synaptic Vesicle Transport,-2.337878334,0.000350784,26052/9892/1020/4133/8943/1759/3800/5864/8120/6622/8867,GOBP,Synaptic regulation
GO:0009617,GO:0009617,Response To Bacterium,2.165884106,0.000350784,4129/1291/3032/3240/10935/6648/3123/824/57088/718/306/1728/3684/210/4360/7431/4057/249/857/3507/351/2209/445/3106/128/3493/3500/6223/2950,GOBP,Immune Response and Regulation
GO:0031629,GO:0031629,Synaptic Vesicle Fusion to Presynaptic Active Zone Membrane,-2.281422536,0.000357816,5864/112755/6857/6616/112476/6812/9066/10814/22895,GOBP,Synaptic regulation
GO:0099500,GO:0099500,Vesicle Fusion To Plasma Membrane,-2.281422536,0.000357816,5864/112755/6857/6616/112476/6812/9066/10814/22895,GOBP,Synaptic regulation
GO:0051650,GO:0051650,Establishment of Vesicle Localization,-2.26566526,0.000357816,8452/5861/10987/8027/5048/9146/10540/1639/4644/26052/9892/10015/1020/4133/23122/8943/1759/5413/3800/5864/8120/6622/6616/8867/8618/6812,GOBP,Extracellular matrix and adhesion
GO:0034975,GO:0034975,Protein Folding in Endoplasmic Reticulum,2.061471279,0.000357816,2923/5034/3309/811/821/7184,GOBP,Endoplasmic reticulum and secretory pathway
GO:2001233,GO:2001233,Regulation Of Apoptotic Signaling Pathway,2.157308832,0.000379,960/3383/293/291/7417/6648/2923/5034/4976/2266/5788/3655/10961/857/10449/3958/351,GOBP,Apoptosis
GO:0006119,GO:0006119,Oxidative Phosphorylation,2.281666742,0.000387435,7385/7384/4719/1327/1329/4704/1537/1340/9377/6389/7381/4513,GOBP,Mitochondria and metabolism
GO:0031630,GO:0031630,Regulation of Synaptic Vesicle Fusion to Presynaptic Active Zone Membrane,-2.172647305,0.000400596,10815/5864/6857/112476/6812/9066/10814/22895,GOBP,Synaptic regulation
GO:1901632,GO:1901632,Regulation of Synaptic Vesicle Membrane Organization,-2.172647305,0.000400596,10815/5864/6857/112476/6812/9066/10814/22895,GOBP,Synaptic regulation
GO:0046928,GO:0046928,Regulation of Neurotransmitter Secretion,-2.33834777,0.000451598,28964/6623/9899/6853/5413/5864/6622/112755/57512/6857/6812/6804,GOBP,Synaptic regulation
GO:0022900,GO:0022900,Electron Transport Chain,2.286468164,0.00048391,7385/7384/4719/1327/1329/4704/6648/1537/1340/9377/6389/7381/4513,GOBP,Mitochondria and metabolism
GO:0022904,GO:0022904,Respiratory Electron Transport Chain,2.286468164,0.00048391,7385/7384/4719/1327/1329/4704/6648/1537/1340/9377/6389/7381/4513,GOBP,Mitochondria and metabolism
GO:0000226,GO:0000226,Microtubule Cytoskeleton Organization,-2.05371616,0.000655711,1739/5902/55968/2931/4131/5048/10982/9793/5518/10383/2288/1213/10376/10540/1639/6904/7461/10015/4137/1020/4130/10382/28964/10381/3925/22924/7280/4133/55605/23122/7277/2770/22911/11076/4135/3796/6622/5058/9475,GOBP,Microtubule organisation
GO:0007409,GO:0007409,Axonogenesis,-2.051805506,0.000655711,5063/7345/4137/26999/1020/4130/11344/10381/3925/22902/51062/4133/55605/23122/22911/288/5604/3800/4135/5864/2596/10458/6616/5058/6812/2043/5532/91584,GOBP,Microtubule organisation
GO:0031109,GO:0031109,Microtubule Polymerization or Depolymerization,-2.299190719,0.000709011,4131/10982/9793/2288/1639/6904/4137/4130/10382/28964/3925/22924/4133/55605/23122/22911/11076/3796/6622/5058,GOBP,Microtubule organisation
GO:0009636,GO:0009636,Response To Toxic Substance,2.081386376,0.000709011,4129/1356/1291/5445/3240/10935/6648/1312/2052/847/9588/1728/1066/210/445/2944/128/4357/2950/5052/216/2946/2947/2876/2098/2936,GOBP,Mitochondria and metabolism
GO:0017157,GO:0017157,Regulation of Exocytosis,-2.138642052,0.000777473,10815/10015/1020/28964/7447/4905/23122/6844/115827/5874/9899/6853/5413/5864/6622/6857/8618/6812/6804/9066/10814/22895,GOBP,Synaptic regulation
GO:0098884,GO:0098884,Postsynaptic Neurotransmitter Receptor Internalization,-2.138164574,0.000777473,1173/23154/161/9135/5534/163/160/3208,GOBP,Synaptic regulation
GO:0099590,GO:0099590,Neurotransmitter Receptor Internalization,-2.138164574,0.000777473,1173/23154/161/9135/5534/163/160/3208,GOBP,Synaptic regulation
GO:0140239,GO:0140239,Postsynaptic Endocytosis,-2.138164574,0.000777473,1173/23154/161/9135/5534/163/160/3208,GOBP,Synaptic regulation
GO:0045333,GO:0045333,Cellular Respiration,2.16036018,0.0008111,1291/7385/7384/4719/1327/1329/4704/6648/1537/1340/9377/6389/55847/7381/847/4513/5160/5162/1431/50/1738,GOBP,Mitochondria and metabolism
GO:0030198,GO:0030198,Extracellular Matrix Organization,2.216522235,0.00095353,1291/57326/3673/302/4035/4629/2670/3915/3913/3688/3908/51144/1605/3936/857/351/7143/102,GOBP,Extracellular matrix and adhesion
GO:0043062,GO:0043062,Extracellular Structure Organization,2.216522235,0.00095353,1291/57326/3673/302/4035/4629/2670/3915/3913/3688/3908/51144/1605/3936/857/351/7143/102,GOBP,Extracellular matrix and adhesion
GO:0045229,GO:0045229,External Encapsulating Structure Organization,2.216522235,0.00095353,1291/57326/3673/302/4035/4629/2670/3915/3913/3688/3908/51144/1605/3936/857/351/7143/102,GOBP,Extracellular matrix and adhesion
GO:0003924,GO:0003924,GTPase Activity,-2.180717755,0.000202048,2782/2783/5869/5901/3265/394/23176/201475/8601/5870/989/2794/55752/57403/26575/5867/2775/55964/203068/11031/388/5861/51552/53916/5911/5862/51560/375/10383/10376/381/11021/81876/26052/10382/23157/10381/2781/7280/51062/2770/1917/10059/115827/5874/11076/1759/5413/5864/6000/10681,GOMF,Peptidase activity
GO:0019001,GO:0019001,Guanyl Nucleotide Binding,-2.087289583,0.000202048,5870/989/2794/55752/57403/29789/5867/2775/55964/203068/11031/388/5861/51552/53916/5911/5862/51560/375/10383/2288/30845/10376/381/55915/11021/81876/26052/10382/23157/10381/2781/7280/51062/7277/2770/1917/10059/115827/5874/1759/5413/5864/5138,GOMF,Immune Response and Regulation
