module,modSize,bkgrModSize,rank,enrichmentP,BonferoniP,nModGenesInTerm,fracOfBkgrModSize,fracOfBkgrTermSize,bkgrTermSize,termID,termOntology,termName,termDefinition
blue,356,356,1,5.84E-11,1.09E-06,39,0.109550562,0.549295775,71,GO:0099003,BP,vesicle-mediated transport in synapse,Any vesicle-mediated transport that occurs in a synapse.
blue,356,356,2,7.28E-10,1.35E-05,35,0.098314607,0.546875,64,GO:0099504,BP,synaptic vesicle cycle,"A biological process in which synaptic vesicles are loaded with neurotransmitters, move to the active zone, exocytose and are then recycled via endocytosis, ultimately leading to reloading with neurotransmitters."
blue,356,356,3,1.66E-09,3.09E-05,65,0.18258427,0.398773006,163,GO:0098793,CC,presynapse,The part of a synapse that is part of the presynaptic cell.
blue,356,356,4,1.73E-09,3.21E-05,46,0.129213483,0.464646465,99,GO:0006887,BP,exocytosis,"A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."
blue,356,356,5,1.84E-09,3.42E-05,53,0.148876404,0.43442623,122,GO:0098978,CC,glutamatergic synapse,A synapse that uses glutamate as a neurotransmitter.
blue,356,356,6,3.59E-08,0.000667616,24,0.06741573,0.6,40,GO:0016079,BP,synaptic vesicle exocytosis,Fusion of intracellular membrane-bounded vesicles with the pre-synaptic membrane of the neuronal cell resulting in release of neurotransmitter into the synaptic cleft.
blue,356,356,7,4.58E-08,0.000850714,33,0.092696629,0.5,66,GO:0045055,BP,regulated exocytosis,"A process of exocytosis in which soluble proteins and other substances are initially stored in secretory vesicles for later release. It is found mainly in cells that are specialized for secreting products such as hormones, neurotransmitters, or digestive enzymes rapidly on demand."
blue,356,356,8,6.75E-08,0.00125463,14,0.039325843,0.823529412,17,GO:0032182,MF,ubiquitin-like protein binding,Binding to a small conjugating protein such as ubiquitin or a ubiquitin-like protein.
blue,356,356,9,1.47E-07,0.002732435,59,0.165730337,0.375796178,157,GO:0032940,BP,secretion by cell,The controlled release of a substance by a cell.
blue,356,356,10,2.14E-07,0.003971626,68,0.191011236,0.354166667,192,GO:0098794,CC,postsynapse,The part of a synapse that is part of the post-synaptic cell.
green,140,140,1,1.03E-23,1.91E-19,72,0.514285714,0.25,288,GO:0005783,CC,endoplasmic reticulum,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
green,140,140,2,1.10E-15,2.04E-11,29,0.207142857,0.426470588,68,GO:0005788,CC,endoplasmic reticulum lumen,The volume enclosed by the membranes of the endoplasmic reticulum.
green,140,140,3,3.36E-15,6.24E-11,39,0.278571429,0.307086614,127,GO:0042175,CC,nuclear outer membrane-endoplasmic reticulum membrane network,The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane.
green,140,140,4,6.68E-15,1.24E-10,38,0.271428571,0.308943089,123,GO:0005789,CC,endoplasmic reticulum membrane,The lipid bilayer surrounding the endoplasmic reticulum.
green,140,140,5,2.19E-12,4.07E-08,17,0.121428571,0.586206897,29,GO:0005793,CC,endoplasmic reticulum-Golgi intermediate compartment,"A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi  and Golgi-to-ER transport."
green,140,140,6,9.36E-11,1.74E-06,95,0.678571429,0.130315501,729,GO:0012505,CC,endomembrane system,"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."
green,140,140,7,1.01E-08,0.000187665,17,0.121428571,0.386363636,44,GO:0034976,BP,response to endoplasmic reticulum stress,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen."
green,140,140,8,1.22E-08,0.000227408,11,0.078571429,0.611111111,18,GO:0022625,CC,cytosolic large ribosomal subunit,The large subunit of a ribosome located in the cytosol.
green,140,140,9,1.90E-08,0.000352755,7,0.05,1,7,GO:0003756,MF,protein disulfide isomerase activity,Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins.
green,140,140,10,2.71E-08,0.000503155,11,0.078571429,0.578947368,19,GO:0015934,CC,large ribosomal subunit,"The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."
grey,537,534,1,6.13E-07,0.011401746,27,0.050561798,0.692307692,39,GO:0000502,CC,proteasome complex,"A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."
grey,537,534,2,1.35E-06,0.025075123,27,0.050561798,0.675,40,GO:1905368,CC,peptidase complex,NA
grey,537,534,3,1.95E-06,0.036241429,13,0.024344569,0.928571429,14,GO:0005839,CC,proteasome core complex,"A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex."
grey,537,534,4,0.000109486,1,12,0.02247191,0.8,15,GO:0005838,CC,proteasome regulatory particle,"A multisubunit complex, which caps one or both ends of the proteasome core complex. This complex recognizes and unfolds ubiquitinated proteins, and translocates them to the proteasome core complex."
grey,537,534,5,0.000111747,1,18,0.033707865,0.666666667,27,GO:0042742,BP,defense response to bacterium,Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.
grey,537,534,6,0.000249484,1,7,0.013108614,1,7,GO:0019773,CC,"proteasome core complex, alpha-subunit complex",The proteasome core subcomplex that constitutes the two outer rings of the proteasome core complex. An example of this component is found in Mus musculus.
grey,537,534,7,0.000249484,1,7,0.013108614,1,7,GO:0019814,CC,immunoglobulin complex,"A protein complex that in its canonical form is composed of two identical immunoglobulin heavy chains and two identical immunoglobulin light chains, held together by disulfide bonds and sometimes complexed with additional proteins. An immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."
grey,537,534,8,0.000249484,1,7,0.013108614,1,7,GO:0042571,CC,"immunoglobulin complex, circulating","An immunoglobulin complex that is secreted into extracellular space and found in mucosal areas or other tissues or circulating in the blood or lymph. In its canonical form, a circulating immunoglobulin complex is composed of two identical heavy chains and two identical light chains, held together by disulfide bonds. Some forms of are polymers of the basic structure and contain additional components such as J-chain and the secretory component."
grey,537,534,9,0.000322306,1,13,0.024344569,0.722222222,18,GO:0022624,CC,proteasome accessory complex,"A protein complex, that caps one or both ends of the proteasome core complex and regulates entry into, or exit from, the proteasome core complex."
grey,537,534,10,0.000737108,1,13,0.024344569,0.684210526,19,GO:0034314,BP,Arp2/3 complex-mediated actin nucleation,The actin nucleation process in which actin monomers combine to form a new branch on the side of an existing actin filament; mediated by the Arp2/3 protein complex and its interaction with other proteins.
magenta,144,143,1,8.77E-08,0.001630257,37,0.258741259,0.195767196,189,GO:0015630,CC,microtubule cytoskeleton,The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins.
magenta,144,143,2,1.40E-07,0.002601954,23,0.160839161,0.264367816,87,GO:0005874,CC,microtubule,"Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle."
magenta,144,143,3,8.46E-07,0.015737214,17,0.118881119,0.303571429,56,GO:0006470,BP,protein dephosphorylation,The process of removing one or more phosphoric residues from a protein.
magenta,144,143,4,1.22E-06,0.022737111,61,0.426573427,0.139588101,437,GO:0008104,BP,protein localization,"Any process in which a protein is transported to, or maintained in, a specific location."
magenta,144,143,5,1.43E-06,0.026568557,67,0.468531469,0.133466135,502,GO:0051641,BP,cellular localization,"A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."
magenta,144,143,6,2.74E-06,0.050952086,64,0.447552448,0.133891213,478,GO:0033036,BP,macromolecule localization,"Any process in which a macromolecule is transported to, or maintained in, a specific location."
magenta,144,143,7,3.24E-06,0.060323319,12,0.083916084,0.375,32,GO:0005875,CC,microtubule associated complex,Any multimeric complex connected to a microtubule.
magenta,144,143,8,9.64E-06,0.179261214,22,0.153846154,0.217821782,101,GO:0005815,CC,microtubule organizing center,"An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides."
