Significant	-Log(P-value)	Difference	Gene names	Symbol color	Symbol type	Symbol size	Show label	riBAQ 17	riBAQ 18	riBAQ 35	riBAQ 36	riBAQ 19	riBAQ 20	riBAQ 21	riBAQ 22	riBAQ 23	riBAQ 37	riBAQ 38	riBAQ 39	riBAQ 40	riBAQ 41	riBAQ 24	riBAQ 25	riBAQ 26	riBAQ 42	riBAQ 43
+	2.560617220049667	3.2887584984302523	A2M	Color2 [DarkGray]	1	4		-0.9270468354225159	-3.8704745769500732	-2.683769702911377	-4.261789321899414	0.11764728277921677	-0.4634934663772583	0.3611625134944916	-0.09374357014894485	-0.7975021600723267	-0.78252774477005	-0.5819061994552612	-0.2897535562515259	-0.10091879963874817	-0.21226322650909424	0.9697598218917847	-0.14085541665554047	0.7717475891113281	0.619998037815094	-0.4557080864906311
+	1.6494896231343834	-2.00860632956028	AAK1	Color2 [DarkGray]	1	4		-2.3232250213623047	-0.7589937448501587	-1.3238739967346191	-0.8389003872871399	-2.4173507690429688	-1.8065272569656372	-1.6779667139053345	-2.651054620742798	-2.625119686126709	-1.5959805250167847	-1.201022982597351	NaN	NaN	-2.1610376834869385	-3.105128526687622	NaN	NaN	NaN	-3.534580707550049
	0.13210432351835608	-0.126409900188446	AARS	Color2 [DarkGray]	1	4		-1.8803530931472778	-0.4608865976333618	-0.35544437170028687	-0.48324090242385864	-1.6311091184616089	-0.5014010667800903	-1.2268606424331665	-1.2007696628570557	-1.4727598428726196	-0.8928506970405579	-0.25843605399131775	-1.1169811487197876	-1.2299375534057617	-1.1388417482376099	-1.3094311952590942	-0.7611109018325806	-0.6445121765136719	-0.6198024153709412	-1.2720990180969238
+	3.19778033018237	-1.2727824687957763	AASDHPPT	Color2 [DarkGray]	1	4		-1.647497296333313	-1.328546166419983	-0.7306084036827087	-0.93511563539505	-1.5055779218673706	-1.5562039613723755	-2.1692492961883545	-1.4035332202911377	-2.3885130882263184	-1.869160532951355	-1.0844067335128784	NaN	NaN	-1.3362141847610474	-2.249250650405884	-2.6203408241271973	-2.165925979614258	-2.740727424621582	-2.3898768424987793
	0.9227507499639446	0.906375166773796	ABAT	Color2 [DarkGray]	1	4		0.6500481963157654	-1.652631402015686	-0.4856247305870056	-0.7015979886054993	-0.4342602491378784	-1.4967995882034302	0.3099111020565033	-0.4497559070587158	-0.05004654452204704	-0.4256227910518646	-1.114780306816101	-0.26101934909820557	0.03076264262199402	-0.3762246370315552	0.38607487082481384	0.42230358719825745	0.5539941787719727	-0.5893153548240662	1.0215611457824707
	-0	NaN	ABCA8	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	-4.1579976081848145	NaN	-4.217240810394287	NaN	-3.616257429122925	NaN	NaN	NaN	NaN	-4.245738506317139	-4.220711708068848	-3.7953577041625977	-3.802919864654541
	0.5889791727061093	0.79290935198466	ABCB1	Color2 [DarkGray]	1	4		-3.056033134460449	NaN	-4.370847225189209	-5.127964019775391	NaN	-3.7587311267852783	-4.394382953643799	NaN	-4.362084865570068	-4.649052619934082	-2.9892489910125732	-3.7398316860198975	-4.703869819641113	-4.30436897277832	-2.533775568008423	-2.8646483421325684	-3.2741079330444336	-4.431151390075684	-3.856510639190674
	-0	NaN	ABCC4	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	-4.164124011993408	NaN	-3.7676310539245605	NaN	-4.14694881439209	NaN	NaN	NaN	-3.384509325027466	-3.0185599327087402	-3.149561882019043	-3.018021583557129	-2.6517138481140137
	0.9574574672593528	1.5090841501951218	ABHD10	Color2 [DarkGray]	1	4		-1.8086520433425903	NaN	-3.7833056449890137	NaN	NaN	NaN	NaN	NaN	-2.8403878211975098	-3.3368403911590576	NaN	-3.1450459957122803	-2.2649850845336914	NaN	-1.7872697114944458	NaN	-0.9404020309448242	-1.744674563407898	-0.675232470035553
	-0	0.4456986427307128	ABHD12	Color2 [DarkGray]	1	4		NaN	-2.9077727794647217	NaN	NaN	NaN	-2.3991024494171143	NaN	NaN	NaN	-2.05979323387146	NaN	NaN	NaN	NaN	-2.6774466037750244	-2.3743224143981934	-2.9856767654418945	-2.179612159729004	-2.0933127403259277
+	4.283803315888031	1.293271967768669	ABHD14B	Color2 [DarkGray]	1	4		-0.45901209115982056	-0.5755764245986938	-0.6038698554039001	-0.3525236248970032	-0.5186337232589722	-0.13087762892246246	-0.3922840654850006	0.04403375834226608	-0.2709575593471527	-0.030462108552455902	0.08983530104160309	-0.07717287540435791	-0.0004482571384869516	-0.17020905017852783	0.5158470869064331	0.8674138784408569	0.637324333190918	1.2296839952468872	0.7273630499839783
+	2.5029680296736836	-0.6293911933898926	ABI1	Color2 [DarkGray]	1	4		-1.3015300035476685	-0.9491506814956665	-1.3083443641662598	-1.1967284679412842	-0.45607268810272217	-2.0100605487823486	NaN	-1.0130741596221924	-1.9569011926651	-1.692463755607605	-1.2370165586471558	-3.0169408321380615	-2.3130788803100586	-2.106175661087036	NaN	-1.7571197748184204	-2.0755615234375	-1.8555477857589722	-1.5850892066955566
+	4.151206519430529	-1.653963936958462	ABI2	Color2 [DarkGray]	1	4		-0.02815062366425991	0.41059625148773193	0.7922587990760803	0.5734922289848328	0.7590399980545044	-0.3991738557815552	-0.32026925683021545	0.26462435722351074	-0.4362731873989105	0.26908984780311584	0.007434026338160038	-0.9843097925186157	-0.4275379478931427	-0.38926613330841064	-1.018860936164856	-0.9692531824111938	-1.4803314208984375	-1.1271437406539917	-1.4889845848083496
	0.2837188145036958	0.3037478129069009	ABLIM1	Color2 [DarkGray]	1	4		NaN	-3.6276652812957764	-4.342732906341553	-3.5272023677825928	-4.130069732666016	NaN	NaN	-4.140499591827393	NaN	-3.260889768600464	-3.5498626232147217	-3.492969274520874	-3.2888307571411133	-4.393529891967773	-4.377129554748535	-4.020473003387451	-2.697050094604492	-3.116875648498535	-3.4324002265930176
	0.06353106131150059	-0.05772788524627703	ABR	Color2 [DarkGray]	1	4		-2.791269302368164	-2.0333030223846436	-1.7493586540222168	-2.08738112449646	-1.98711097240448	-2.75433087348938	-2.4519269466400146	-2.7716848850250244	-2.8075976371765137	-1.9024370908737183	-1.890395998954773	-3.074655294418335	-2.9289350509643555	-2.7376368045806885	-2.779141664505005	-1.7334038019180298	-1.6274166107177734	-2.5490684509277344	-2.4262490272521973
	-0	NaN	ACAA1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.789360523223877	-2.133382797241211	-1.3616093397140503	-2.366128444671631
