,ACTR1A,ACTR1B,ADK,ARHGAP1,ARPC1A,ARPC4-TTLL3,ATP6V0A1,ATP6V0D1,ATP6V1A,ATP6V1B2,ATP6V1C1,ATP6V1E1,ATP6V1F,ATP6V1G2,ATP6V1H,ATP8A1,CADM1,CADM2,CAMK2A,CAP1,CCT3,CCT4,CCT6A,CLTA,CLTC,CPNE8,EIF4A2,FARSB,GNAQ,HEBP2,HINT3,KHSRP,L1CAM,MBLAC2,MYO5A,NCAN,NEGR1,NPTX1,NRXN3,NUCKS1,PSMD1,PSMD3,PSMD7,PTGDS,RAB7A,RAN,RTN1,SLC17A7,SLC6A17,SPTBN1,SV2A,SV2B,SYP,TBCA,TCP1,TMEM30A,VARS,WBP2,XPO7,Sum
riBAQ.17,0.00014613,3.26E-05,1.92E-05,6.07E-05,0.000228021,0.000255604,0.00048122,0.000617567,0.000895758,0.000854869,0.000334977,0.000709936,0.000324523,0.000357904,0.000245923,4.42E-05,0.00025653,0.000382516,0.000533474,0.000254948,0.000125031,9.74E-05,8.74E-05,0.000595595,0.000867283,6.09E-05,8.34E-05,1.43E-05,0.000634366,2.82E-05,0.000166378,0,7.76E-05,5.10E-05,2.94E-05,0.005104188,0.000193344,4.35E-05,2.54E-06,3.82E-05,1.78E-05,1.96E-05,5.30E-05,0.000413744,0.000982018,0.000550224,0.000178334,0.000219218,3.38E-05,0.001205526,0.000225893,0.000216124,0.000938814,0.000721759,0.000104325,8.25E-05,0,0.000175807,1.01E-05,0.021485211
riBAQ.18,0.000276504,5.36E-05,0,9.24E-05,0.000225228,0.000223559,0.000891226,0.001143394,0.001272082,0.001188416,0.000536848,0.001458738,0.000621732,0.000871028,0.000386755,7.14E-05,0.00021874,0.000565029,0.001302113,0.000311294,0.000263971,0.000161074,0.00025373,0.002312341,0.00246882,4.47E-05,0.000141688,8.34E-05,0.000732703,0,0.000186412,0,7.10E-05,7.35E-05,6.26E-05,0.004271716,0.000105262,5.50E-05,4.97E-06,0,2.59E-05,4.40E-05,8.39E-05,0.000354549,0.000996601,0.000623386,0.000398168,0.000246098,5.48E-05,0.001618576,0.000457484,0.000322781,0.002360088,0.001007844,0.000236724,0.000133521,1.46E-05,0.000157472,2.26E-05,0.032162065
riBAQ.35,0.000218209,4.94E-05,1.90E-05,7.25E-05,0.000222463,0.000258568,0.000958462,0.001072705,0.001080923,0.001028902,0.000527297,0.001020587,0.000324061,0.000711692,0.000303103,6.25E-05,0.000187751,0.00057724,0.00151049,0.000283645,0.00023605,0.000130945,0.000192443,0.002012344,0.002101068,3.72E-05,0.00010545,5.11E-05,0.000675875,3.84E-05,0.000194344,1.04E-05,8.03E-05,9.54E-05,6.65E-05,0.002998886,0.000209934,4.58E-05,5.91E-06,3.38E-05,2.82E-05,4.74E-05,0.000110656,0.000276043,0.000969028,0.000623623,0.000318153,0.000309627,4.58E-05,0.001546557,0.00044429,0.000356818,0.001736686,0.000932422,0.000135843,8.15E-05,9.23E-06,0.000135951,1.80E-05,0.027937474
riBAQ.36,0.000336789,6.16E-05,2.06E-05,9.49E-05,0.000203152,0.000260272,0.000949665,0.001082645,0.00123775,0.001166154,0.000453714,0.0008956,0.000502759,0.000578212,0.000296878,0.000120402,0.000245184,0.00056332,0.001438099,0.000278026,0.000242887,0.000146388,0.000215451,0.001772846,0.001987747,1.45E-05,0.000121418,7.21E-05,0.00069074,5.51E-05,0.000203007,7.24E-06,4.70E-05,0.000103604,5.25E-05,0.003342649,8.93E-05,7.48E-05,2.47E-06,2.22E-05,3.60E-05,3.95E-05,8.45E-05,0,0.000826727,0.000601047,0.000315714,0.000256309,5.39E-05,0.00154884,0.000514616,0.00043434,0.001875588,0.000860227,0.000175673,9.77E-05,7.55E-06,0.000139422,2.31E-05,0.027940421
riBAQ.19,0.000188225,3.69E-05,1.75E-05,7.52E-05,0.000255528,0.00024003,0.000750104,0.001010386,0.000863328,0.000758233,0.000428342,0.000899226,0.000291917,0.000507359,0.000257199,0.000149315,0.00023682,0.000586665,0.001173454,0.000325055,0.000158282,0.000114061,0.000128445,0.001049007,0.001752568,1.83E-05,8.35E-05,3.86E-05,0.001089609,9.47E-05,0.000215405,1.31E-05,0.000100061,9.12E-05,5.08E-05,0.003690857,0.000111829,0.000204953,4.04E-06,4.76E-05,2.41E-05,3.20E-05,8.75E-05,0.000614311,0.001373699,0.000613197,0.000279332,0.000252677,4.86E-05,0.001351913,0.000351009,0.000210004,0.001829563,0.000870012,9.38E-05,0.000274492,9.80E-06,0.000141525,1.60E-05,0.026581237
riBAQ.20,0.000289515,4.98E-05,0,0.000101214,0.000227462,0.000454952,0.000874848,0.001215596,0.001088829,0.001174194,0.000552474,0.001084347,0.000547125,0.000598963,0.000336964,6.71E-05,0.000141378,0.000424868,0.000846179,0.000296294,0.000234689,0.000164569,0.00020351,0.001425665,0.001942691,3.20E-05,0.000127777,5.58E-05,0.000872216,0,0.000194006,0,0.000122762,6.27E-05,4.73E-05,0.004949384,0.000289316,0.000110796,9.69E-06,0,4.00E-05,3.65E-05,0.000103384,0.001061157,0.000888719,0.000777959,0.000362701,0.000180817,5.52E-05,0.001127172,0.000401812,0.00026658,0.002516912,0.000935955,0.000202507,0.000131071,8.68E-06,0.000172579,2.02E-05,0.030506878
riBAQ.21,0.000458717,0.000107679,0,0.000108031,0.000408756,0.000915695,0.00161789,0.001900263,0.001763555,0.001933127,0.000878687,0.001513564,0.001038267,0.001182969,0.00050557,0.000168014,0.00042467,0.000923208,0.001675808,0.000204097,0.00024931,0.000177725,0.000268206,0.002979794,0.003839607,5.29E-05,0.000158862,8.98E-05,0.000830687,0,0.000346412,0,0.000333748,0.000107409,0.000100999,0.008853487,0.000471115,0.000156253,1.48E-05,0,3.46E-05,4.96E-05,9.87E-05,0,0.000726805,0.000830687,0.000407942,0.000513971,9.41E-05,0.002522076,0.000712816,0.000436475,0.003421821,0.001491507,0.00018718,0.000286192,1.86E-05,0,2.43E-05,0.048617053
riBAQ.22,0.000277507,6.60E-05,2.10E-05,5.77E-05,0.000236589,0.000232162,0.000671345,0.00071103,0.001063187,0.001238106,0.000567707,0.001092768,0.000584802,0.000770863,0.000334726,7.92E-05,0.000236442,0.000466053,0.001011047,0.000297651,0.000234687,0.000166774,0.00021464,0.00127721,0.001553539,2.74E-05,0.000111524,4.66E-05,0.000865221,9.46E-05,0.000201727,0,4.98E-05,6.86E-05,3.72E-05,0.003846986,0.000120004,9.18E-05,2.39E-06,4.20E-05,2.20E-05,2.50E-05,6.25E-05,0.000771443,0.000984489,0.000886071,0.000235774,0.000146712,4.79E-05,0.001535131,0.000332773,0.000226469,0.001359327,0.001310546,0.000175331,0.000161194,1.22E-05,7.53E-05,1.84E-05,0.027457147
riBAQ.23,0.000185334,4.25E-05,2.47E-05,6.89E-05,0.000203005,0.00032002,0.000584045,0.000718123,0.001034716,0.001118895,0.0004703,0.001028804,0.000560722,0.000541906,0.00034125,6.11E-05,0.000117346,0.000546077,0.000871402,0.000324842,0.000135733,0.000140039,0.000122726,0.000850304,0.001019746,2.11E-05,7.36E-05,3.01E-05,0.000787658,9.22E-05,0.000220964,1.55E-05,6.34E-05,5.51E-05,3.22E-05,0.004061627,0.000116201,3.62E-05,0,5.38E-05,2.05E-05,2.15E-05,6.08E-05,0.001007325,0.001029997,0.00066703,0.00023192,0.000215795,2.80E-05,0.001190978,0.000292793,0.000202349,0.00135402,0.000899661,0.000117953,0.000115947,4.21E-06,0.000162451,1.74E-05,0.024732814
riBAQ.37,0.000382078,8.51E-05,0,7.93E-05,0.000211973,0.000170524,0.000747846,0.000929165,0.001305228,0.001293806,0.000437206,0.001205266,0.000436935,0.00058361,0.00033549,8.93E-05,0.000177929,0.000468445,0.001497092,0.000220326,0.00023676,0.000152223,0.00018738,0.001601523,0.002025531,3.16E-05,7.23E-05,4.78E-05,0.000793766,5.15E-05,0.000206742,7.83E-06,9.18E-05,8.32E-05,6.20E-05,0.003009511,8.12E-05,5.31E-05,0,2.94E-05,1.99E-05,2.97E-05,6.15E-05,0.000542535,0.000889468,0.000618608,0.00029028,0.000254885,5.93E-05,0.001691252,0.000466733,0.000338058,0.001357015,0.000868022,0.000135326,0.00012074,7.22E-06,0.000164715,1.56E-05,0.027412642
