Significant	-Log(P-value)	Difference	Proteins	Symbol color	Symbol type	Symbol size	Show label	riBAQ.17	riBAQ.18	riBAQ.35	riBAQ.36	riBAQ.19	riBAQ.20	riBAQ.21	riBAQ.22	riBAQ.23	riBAQ.37	riBAQ.38	riBAQ.39	riBAQ.40	riBAQ.41	riBAQ.24	riBAQ.25	riBAQ.26	riBAQ.42	riBAQ.43
	0.022022926909350708	0.025348711013793934	ABAT	Color2 [DarkGray]	1	4		0.8795785903930664	-1.3825464248657227	0	-0.3490743637084961	-0.24652385711669922	-1.4202446937561035	0.6299238204956055	-0.289029598236084	-0.024704933166503906	-0.23247623443603516	-0.8792810440063477	0.00225830078125	0.19403934478759766	-0.1175537109375	0.5275983810424805	0.22776126861572266	0.38969993591308594	-0.4376235008239746	0.7465114593505859
	-0	NaN	ABCA8	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	-3.837985038757324	NaN	-4.191899299621582	NaN	-3.380758285522461	NaN	NaN	NaN	NaN	-4.440280914306641	-4.385005950927734	-3.6436657905578613	-4.077969551086426
	-0	NaN	ABCC4	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	-3.844111442565918	NaN	-3.7422895431518555	NaN	-3.911449432373047	NaN	NaN	NaN	-3.242985725402832	-3.213102340698242	-3.3138561248779297	-2.8663296699523926	-2.9267635345458984
	0.18145869147300292	0.2971529960632324	ABHD10	Color2 [DarkGray]	1	4		-1.5791215896606445	NaN	-3.2976808547973633	NaN	NaN	NaN	NaN	NaN	-2.8150463104248047	-3.1436939239501953	NaN	-2.881768226623535	-2.10170841217041	NaN	-1.6457462310791016	NaN	-1.104696273803711	-1.5929827690124512	-0.950282096862793
	1.0026168514655	-0.2060112476348877	ABHD14B	Color2 [DarkGray]	1	4		-0.22948169708251953	-0.30549144744873047	-0.11824512481689453	0	-0.33089733123779297	-0.05432271957397461	-0.07227134704589844	0.20476007461547852	-0.24561595916748047	0.16268444061279297	0.3253345489501953	0.18610477447509766	0.1628284454345703	0.08846187591552734	0.6573705673217773	0.6728715896606445	0.47303009033203125	1.381375789642334	0.4523134231567383
	-0	NaN	ACAA1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.983902931213379	-2.2976770401000977	-1.2099175453186035	-2.6411781311035156
	0.07197856671831897	-0.08154874377780486	ACAA2	Color2 [DarkGray]	1	4		-1.5574264526367188	NaN	-1.4756793975830078	-1.4192619323730469	-2.6776294708251953	NaN	-0.8988552093505859	-2.1545796394348145	-1.0171985626220703	-1.0402631759643555	-1.492422103881836	-1.5639677047729492	-0.3724498748779297	-1.4057989120483398	-0.5078716278076172	-0.3852577209472656	0.06157493591308594	-0.764885425567627	-0.02263164520263672
	-0	0.044188499450683594	ACADM	Color2 [DarkGray]	1	4		-2.570404052734375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.6145925521850586	NaN	-2.7124719619750977	-2.098361015319824	-1.9386863708496094	NaN	-1.5171194076538086
	-0	0.40563011169433594	ACADVL	Color2 [DarkGray]	1	4		-2.678656578063965	NaN	NaN	NaN	-2.3440732955932617	NaN	-2.97243595123291	NaN	-2.68813419342041	-3.6379852294921875	NaN	NaN	-2.485550880432129	-4.377540588378906	-1.7779607772827148	-0.8094568252563477	-0.7766819000244141	-2.082367420196533	-0.5540609359741211
	0.007661248722811063	0.011143811543782522	ACAT1	Color2 [DarkGray]	1	4		-0.34925365447998047	NaN	-1.2142648696899414	-1.7507410049438477	-1.4292631149291992	-2.627401828765869	-0.3543062210083008	-0.981940746307373	-0.48815155029296875	-1.2978639602661133	-2.073122978210449	-0.838623046875	-0.2234811782836914	-0.8448152542114258	-0.21550559997558594	-0.1111459732055664	-0.0626220703125	-0.7850632667541504	-0.06189918518066406
	0.25793696912145836	-0.2077068328857421	ACO2	Color2 [DarkGray]	1	4		2.38918399810791	0.5249576568603516	1.9596624374389648	1.050088882446289	1.7214584350585938	0.9307217597961426	2.247701644897461	1.5720067024230957	1.8656854629516602	1.4956016540527344	1.1391916275024414	1.7420282363891602	2.409090042114258	1.763315200805664	2.3702001571655273	2.4221010208129883	2.6184253692626953	1.8959336280822754	2.488828659057617
