GeneID	Ensembl	Pathway
ENSG00000064703	En	RNA transport:KEGG-hsa03013
ENSG00000243772	En	Antigen processing and presentation:KEGG-hsa04612
ENSG00000243772	En	Graft-versus-host disease:KEGG-hsa05332
ENSG00000243772	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000168032	En	Purine metabolism:KEGG-hsa00230
ENSG00000168032	En	Pyrimidine metabolism:KEGG-hsa00240
ENSG00000168036	En	Adherens junction:KEGG-hsa04520
ENSG00000168036	En	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000168036	En	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000168036	En	Basal cell carcinoma:KEGG-hsa05217
ENSG00000168036	En	Colorectal cancer:KEGG-hsa05210
ENSG00000168036	En	Endometrial cancer:KEGG-hsa05213
ENSG00000168036	En	Focal adhesion:KEGG-hsa04510
ENSG00000168036	En	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000168036	En	Melanogenesis:KEGG-hsa04916
ENSG00000168036	En	Pathogenic Escherichia coli infection:KEGG-hsa05130
ENSG00000168036	En	Pathways in cancer:KEGG-hsa05200
ENSG00000168036	En	Prostate cancer:KEGG-hsa05215
ENSG00000168036	En	Thyroid cancer:KEGG-hsa05216
ENSG00000168036	En	Tight junction:KEGG-hsa04530
ENSG00000168036	En	Wnt signaling pathway:KEGG-hsa04310
ENSG00000277339	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000277334	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000277336	En	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000277336	En	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000277336	En	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000277336	En	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000167748	En	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961
ENSG00000241863	En	RNA transport:KEGG-hsa03013
ENSG00000262771	En	DNA replication:KEGG-hsa03030
ENSG00000262771	En	Homologous recombination:KEGG-hsa03440
ENSG00000262771	En	Mismatch repair:KEGG-hsa03430
ENSG00000152556	En	Fructose and mannose metabolism:KEGG-hsa00051
ENSG00000152556	En	Galactose metabolism:KEGG-hsa00052
ENSG00000152556	En	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000152556	En	Pentose phosphate pathway:KEGG-hsa00030
ENSG00000075388	En	MAPK signaling pathway:KEGG-hsa04010
ENSG00000075388	En	Melanoma:KEGG-hsa05218
ENSG00000075388	En	Pathways in cancer:KEGG-hsa05200
ENSG00000075388	En	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000243594	En	Proteasome:KEGG-hsa03050
ENSG00000215644	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000177565	En	Wnt signaling pathway:KEGG-hsa04310
ENSG00000168291	En	Butanoate metabolism:KEGG-hsa00650
ENSG00000168291	En	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000168291	En	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000168291	En	Pyruvate metabolism:KEGG-hsa00620
ENSG00000168291	En	Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290
ENSG00000231618	En	Fatty acid elongation in mitochondria:KEGG-hsa00062
ENSG00000231618	En	Lysosome:KEGG-hsa04142
ENSG00000120903	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000231617	En	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000231617	En	MAPK signaling pathway:KEGG-hsa04010
ENSG00000142273	En	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000142273	En	Chronic myeloid leukemia:KEGG-hsa05220
ENSG00000142273	En	Endocytosis:KEGG-hsa04144
ENSG00000142273	En	ErbB signaling pathway:KEGG-hsa04012
ENSG00000142273	En	Insulin signaling pathway:KEGG-hsa04910
ENSG00000142273	En	Jak-STAT signaling pathway:KEGG-hsa04630
ENSG00000142273	En	Pathways in cancer:KEGG-hsa05200
ENSG00000142273	En	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000142273	En	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000225103	En	Allograft rejection:KEGG-hsa05330
ENSG00000225103	En	Antigen processing and presentation:KEGG-hsa04612
ENSG00000225103	En	Asthma:KEGG-hsa05310
ENSG00000225103	En	Autoimmune thyroid disease:KEGG-hsa05320
ENSG00000225103	En	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000225103	En	Graft-versus-host disease:KEGG-hsa05332
ENSG00000225103	En	Intestinal immune network for IgA production:KEGG-hsa04672
ENSG00000225103	En	Leishmaniasis:KEGG-hsa05140
ENSG00000225103	En	Phagosome:KEGG-hsa04145
ENSG00000225103	En	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000225103	En	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000225103	En	Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000225103	En	Toxoplasmosis:KEGG-hsa05145
ENSG00000225103	En	Tuberculosis:KEGG-hsa05152
ENSG00000225103	En	Type I diabetes mellitus:KEGG-hsa04940
ENSG00000225103	En	Viral myocarditis:KEGG-hsa05416
ENSG00000131759	En	Acute myeloid leukemia:KEGG-hsa05221
ENSG00000131759	En	Pathways in cancer:KEGG-hsa05200
ENSG00000146085	En	Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630
ENSG00000146085	En	Propanoate metabolism:KEGG-hsa00640
ENSG00000146085	En	Valine, leucine and isoleucine degradation:KEGG-hsa00280
ENSG00000177700	En	Cytosolic DNA-sensing pathway:KEGG-hsa04623
ENSG00000177700	En	Huntington's disease:KEGG-hsa05016
ENSG00000177700	En	Purine metabolism:KEGG-hsa00230
ENSG00000177700	En	Pyrimidine metabolism:KEGG-hsa00240
ENSG00000177700	En	RNA polymerase:KEGG-hsa03020
ENSG00000177707	En	Adherens junction:KEGG-hsa04520
ENSG00000177707	En	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000180644	En	Allograft rejection:KEGG-hsa05330
ENSG00000180644	En	Autoimmune thyroid disease:KEGG-hsa05320
ENSG00000180644	En	Graft-versus-host disease:KEGG-hsa05332
ENSG00000180644	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000180644	En	Type I diabetes mellitus:KEGG-hsa04940
ENSG00000180644	En	Viral myocarditis:KEGG-hsa05416
ENSG00000147684	En	Alzheimer's disease:KEGG-hsa05010
ENSG00000147684	En	Huntington's disease:KEGG-hsa05016
ENSG00000147684	En	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000147684	En	Parkinson's disease:KEGG-hsa05012
ENSG00000188342	En	Basal transcription factors:KEGG-hsa03022
ENSG00000188340	En	Olfactory transduction:KEGG-hsa04740
ENSG00000135476	En	Cell cycle:KEGG-hsa04110
ENSG00000135476	En	Oocyte meiosis:KEGG-hsa04114
ENSG00000184702	En	ECM-receptor interaction:KEGG-hsa04512
ENSG00000184702	En	Hematopoietic cell lineage:KEGG-hsa04640
ENSG00000184702	En	Parkinson's disease:KEGG-hsa05012
ENSG00000145191	En	RNA transport:KEGG-hsa03013
ENSG00000169814	En	Biotin metabolism:KEGG-hsa00780
ENSG00000169814	En	Vitamin digestion and absorption:KEGG-hsa04977
ENSG00000163464	En	Chemokine signaling pathway:KEGG-hsa04062
