GeneID	EntrezGene	Pathway
504189	L	Olfactory transduction:KEGG-hsa04740
55294	L	Ubiquitin mediated proteolysis:KEGG-hsa04120
51268	L	Glycine, serine and threonine metabolism:KEGG-hsa00260
51268	L	Lysine degradation:KEGG-hsa00310
51268	L	Peroxisome:KEGG-hsa04146
5982	L	DNA replication:KEGG-hsa03030
5982	L	Mismatch repair:KEGG-hsa03430
5982	L	Nucleotide excision repair:KEGG-hsa03420
5983	L	DNA replication:KEGG-hsa03030
5983	L	Mismatch repair:KEGG-hsa03430
5983	L	Nucleotide excision repair:KEGG-hsa03420
5981	L	DNA replication:KEGG-hsa03030
5981	L	Mismatch repair:KEGG-hsa03430
5981	L	Nucleotide excision repair:KEGG-hsa03420
5986	L	Notch signaling pathway:KEGG-hsa04330
5984	L	DNA replication:KEGG-hsa03030
5984	L	Mismatch repair:KEGG-hsa03430
5984	L	Nucleotide excision repair:KEGG-hsa03420
5985	L	DNA replication:KEGG-hsa03030
5985	L	Mismatch repair:KEGG-hsa03430
5985	L	Nucleotide excision repair:KEGG-hsa03420
642132	L	Axon guidance:KEGG-hsa04360
392376	L	Olfactory transduction:KEGG-hsa04740
6794	L	Adipocytokine signaling pathway:KEGG-hsa04920
6794	L	mTOR signaling pathway:KEGG-hsa04150
6790	L	Oocyte meiosis:KEGG-hsa04114
6799	L	Sulfur metabolism:KEGG-hsa00920
57292	L	Antigen processing and presentation:KEGG-hsa04612
57292	L	Graft-versus-host disease:KEGG-hsa05332
57292	L	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
165829	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
270	L	Purine metabolism:KEGG-hsa00230
271	L	Purine metabolism:KEGG-hsa00230
272	L	Purine metabolism:KEGG-hsa00230
273	L	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
275	L	Glycine, serine and threonine metabolism:KEGG-hsa00260
275	L	Nitrogen metabolism:KEGG-hsa00910
275	L	One carbon pool by folate:KEGG-hsa00670
276	L	Carbohydrate digestion and absorption:KEGG-hsa04973
276	L	Salivary secretion:KEGG-hsa04970
276	L	Starch and sucrose metabolism:KEGG-hsa00500
277	L	Carbohydrate digestion and absorption:KEGG-hsa04973
277	L	Salivary secretion:KEGG-hsa04970
277	L	Starch and sucrose metabolism:KEGG-hsa00500
278	L	Carbohydrate digestion and absorption:KEGG-hsa04973
278	L	Salivary secretion:KEGG-hsa04970
278	L	Starch and sucrose metabolism:KEGG-hsa00500
279	L	Carbohydrate digestion and absorption:KEGG-hsa04973
