ID	SystemCode	MAPP
9248	L	Small Ligand GPCRs:WP247
1269	L	Small Ligand GPCRs:WP247
1268	L	Small Ligand GPCRs:WP247
9294	L	Small Ligand GPCRs:WP247
5734	L	Small Ligand GPCRs:WP247
1902	L	Small Ligand GPCRs:WP247
5724	L	Small Ligand GPCRs:WP247
1903	L	Small Ligand GPCRs:WP247
6915	L	Small Ligand GPCRs:WP247
5737	L	Small Ligand GPCRs:WP247
5729	L	Small Ligand GPCRs:WP247
5731	L	Small Ligand GPCRs:WP247
8698	L	Small Ligand GPCRs:WP247
5733	L	Small Ligand GPCRs:WP247
5732	L	Small Ligand GPCRs:WP247
4543	L	Small Ligand GPCRs:WP247
5739	L	Small Ligand GPCRs:WP247
4544	L	Small Ligand GPCRs:WP247
1901	L	Small Ligand GPCRs:WP247
216	L	Tryptophan metabolism:WP465
217	L	Tryptophan metabolism:WP465
2639	L	Tryptophan metabolism:WP465
66002	L	Tryptophan metabolism:WP465
316	L	Tryptophan metabolism:WP465
3276	L	Tryptophan metabolism:WP465
26	L	Tryptophan metabolism:WP465
64320	L	Tryptophan metabolism:WP465
1892	L	Tryptophan metabolism:WP465
23498	L	Tryptophan metabolism:WP465
1544	L	Tryptophan metabolism:WP465
8942	L	Tryptophan metabolism:WP465
51366	L	Tryptophan metabolism:WP465
7453	L	Tryptophan metabolism:WP465
3028	L	Tryptophan metabolism:WP465
1718	L	Tryptophan metabolism:WP465
4967	L	Tryptophan metabolism:WP465
9420	L	Tryptophan metabolism:WP465
1562	L	Tryptophan metabolism:WP465
847	L	Tryptophan metabolism:WP465
6999	L	Tryptophan metabolism:WP465
11185	L	Tryptophan metabolism:WP465
3620	L	Tryptophan metabolism:WP465
4129	L	Tryptophan metabolism:WP465
4193	L	Tryptophan metabolism:WP465
1545	L	Tryptophan metabolism:WP465
125061	L	Tryptophan metabolism:WP465
224	L	Tryptophan metabolism:WP465
223	L	Tryptophan metabolism:WP465
1543	L	Tryptophan metabolism:WP465
7337	L	Tryptophan metabolism:WP465
1644	L	Tryptophan metabolism:WP465
1553	L	Tryptophan metabolism:WP465
38	L	Tryptophan metabolism:WP465
15	L	Tryptophan metabolism:WP465
130013	L	Tryptophan metabolism:WP465
51166	L	Tryptophan metabolism:WP465
1588	L	Tryptophan metabolism:WP465
7166	L	Tryptophan metabolism:WP465
3033	L	Tryptophan metabolism:WP465
438	L	Tryptophan metabolism:WP465
1573	L	Tryptophan metabolism:WP465
1572	L	Tryptophan metabolism:WP465
1571	L	Tryptophan metabolism:WP465
1576	L	Tryptophan metabolism:WP465
8854	L	Tryptophan metabolism:WP465
3195	L	Cell Differentiation - Index:WP2029
3196	L	Cell Differentiation - Index:WP2029
6722	L	Cell Differentiation - Index:WP2029
7044	L	Cell Differentiation - Index:WP2029
6774	L	Cell Differentiation - Index:WP2029
30012	L	Cell Differentiation - Index:WP2029
729991	L	Cell Differentiation - Index:WP2029
4654	L	Cell Differentiation - Index:WP2029
100133072	L	Cell Differentiation - Index:WP2029
4209	L	Cell Differentiation - Index:WP2029
4208	L	Cell Differentiation - Index:WP2029
10014	L	Cell Differentiation - Index:WP2029
4205	L	Cell Differentiation - Index:WP2029
8517	L	NLR Proteins:WP288
1147	L	NLR Proteins:WP288
3551	L	NLR Proteins:WP288
958	L	NLR Proteins:WP288
5599	L	NLR Proteins:WP288
2048	L	NLR Proteins:WP288
6885	L	NLR Proteins:WP288
5970	L	NLR Proteins:WP288
55914	L	NLR Proteins:WP288
6117	L	DNA Replication:WP466
5111	L	DNA Replication:WP466
5426	L	DNA Replication:WP466
4174	L	DNA Replication:WP466
23594	L	DNA Replication:WP466
23595	L	DNA Replication:WP466
57804	L	DNA Replication:WP466
5982	L	DNA Replication:WP466
5983	L	DNA Replication:WP466
5981	L	DNA Replication:WP466
5984	L	DNA Replication:WP466
5985	L	DNA Replication:WP466
81620	L	DNA Replication:WP466
1017	L	DNA Replication:WP466
29935	L	DNA Replication:WP466
23649	L	DNA Replication:WP466
5001	L	DNA Replication:WP466
5000	L	DNA Replication:WP466
990	L	DNA Replication:WP466
100134355	L	DNA Replication:WP466
51053	L	DNA Replication:WP466
5557	L	DNA Replication:WP466
8317	L	DNA Replication:WP466
8318	L	DNA Replication:WP466
5558	L	DNA Replication:WP466
6119	L	DNA Replication:WP466
55388	L	DNA Replication:WP466
