GeneID	HMDB	Pathway
HMDB09430	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09430	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09430	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09430	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09430	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB09431	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB09431	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB09431	Ch	Metabolic pathways:KEGG-hsa01100
HMDB09431	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB09431	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB08247	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08247	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08247	Ch	Linoleic acid metabolism:KEGG-hsa00591
HMDB08247	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08247	Ch	alpha-Linolenic acid metabolism:KEGG-hsa00592
HMDB04309	Ch	Steroid biosynthesis:KEGG-hsa00100
HMDB10382	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10383	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10380	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10381	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10386	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10387	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10384	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10385	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10388	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB10389	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08924	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08924	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08924	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08924	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08924	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB12710	Ch	Metabolic pathways:KEGG-hsa01100
HMDB12710	Ch	Phenylalanine, tyrosine and tryptophan biosynthesis:KEGG-hsa00400
HMDB08923	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
HMDB08923	Ch	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis:KEGG-hsa00563
HMDB08923	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08923	Ch	Pathogenic Escherichia coli infection:KEGG-hsa05130
HMDB08923	Ch	Regulation of autophagy:KEGG-hsa04140
HMDB01129	Ch	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
HMDB01129	Ch	Metabolic pathways:KEGG-hsa01100
HMDB08017	Ch	Arachidonic acid metabolism:KEGG-hsa00590
HMDB08017	Ch	Glycerophospholipid metabolism:KEGG-hsa00564
