ID	Symbol	Name	Species	Date	Remarks
378465	HSN2	hereditary sensory neuropathy, type II	Hs	11/03/2015	
115669	TTC6	tetratricopeptide repeat domain 6	Hs	11/03/2015	
221545	C6orf136	chromosome 6 open reading frame 136	Hs	11/03/2015	
5988	RFPL1	ret finger protein-like 1	Hs	11/03/2015	
5989	RFX1	regulatory factor X, 1 (influences HLA class II expression)	Hs	11/03/2015	
83892	KCTD10	potassium channel tetramerisation domain containing 10	Hs	11/03/2015	
5982	RFC2	replication factor C (activator 1) 2, 40kDa	Hs	11/03/2015	
5983	RFC3	replication factor C (activator 1) 3, 38kDa	Hs	11/03/2015	
5980	REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	Hs	11/03/2015	
5981	RFC1	replication factor C (activator 1) 1, 145kDa	Hs	11/03/2015	
5986	RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Hs	11/03/2015	
5987	TRIM27	tripartite motif-containing 27	Hs	11/03/2015	
5984	RFC4	replication factor C (activator 1) 4, 37kDa	Hs	11/03/2015	
5985	RFC5	replication factor C (activator 1) 5, 36.5kDa	Hs	11/03/2015	
83897	KRTAP3-2	keratin associated protein 3-2	Hs	11/03/2015	
83895	KRTAP1-5	keratin associated protein 1-5	Hs	11/03/2015	
260293	CYP4X1	cytochrome P450, family 4, subfamily X, polypeptide 1	Hs	11/03/2015	
270	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	Hs	11/03/2015	
271	AMPD2	adenosine monophosphate deaminase 2 (isoform L)	Hs	11/03/2015	
272	AMPD3	adenosine monophosphate deaminase (isoform E)	Hs	11/03/2015	
273	AMPH	amphiphysin	Hs	11/03/2015	
274	BIN1	bridging integrator 1	Hs	11/03/2015	
275	AMT	aminomethyltransferase	Hs	11/03/2015	
276	AMY1A	amylase, alpha 1A (salivary)	Hs	11/03/2015	
277	AMY1B	amylase, alpha 1B (salivary)	Hs	11/03/2015	
