Ensembl ID	ChEMBL ID
ENSG00000000938	CHEMBL4454
ENSG00000000971	CHEMBL4629
ENSG00000001036	CHEMBL2271
ENSG00000001084	CHEMBL4055
ENSG00000001626	CHEMBL4051
ENSG00000001630	CHEMBL3849
ENSG00000002016	CHEMBL2362978
ENSG00000002330	CHEMBL3817
ENSG00000002549	CHEMBL3965
ENSG00000002726	CHEMBL2118
ENSG00000003056	CHEMBL5788
ENSG00000003400	CHEMBL5037
ENSG00000003402	CHEMBL1955713
ENSG00000004059	CHEMBL5986
ENSG00000004455	CHEMBL4938
ENSG00000004468	CHEMBL4660
ENSG00000004478	CHEMBL4050
ENSG00000004487	CHEMBL6136
ENSG00000004660	CHEMBL5256
ENSG00000004700	CHEMBL1293236
ENSG00000004779	CHEMBL2363065
ENSG00000004799	CHEMBL2096665
ENSG00000004809	CHEMBL2073722
ENSG00000004846	CHEMBL1772928
ENSG00000004948	CHEMBL1832
ENSG00000004975	CHEMBL1255125
ENSG00000005339	CHEMBL5747
ENSG00000005381	CHEMBL2439
ENSG00000005421	CHEMBL3167
ENSG00000005469	CHEMBL2206
ENSG00000005471	CHEMBL1743129
ENSG00000005844	CHEMBL2096661
ENSG00000005882	CHEMBL2096665
ENSG00000005884	CHEMBL3525
ENSG00000005961	CHEMBL2111443
ENSG00000006062	CHEMBL5888
ENSG00000006071	CHEMBL2096972
ENSG00000006116	CHEMBL2363032
ENSG00000006283	CHEMBL2362995
ENSG00000006432	CHEMBL2872
ENSG00000006459	CHEMBL3038496
ENSG00000006468	CHEMBL2010626
ENSG00000006530	CHEMBL2417354
ENSG00000006634	CHEMBL2111377
ENSG00000006638	CHEMBL2069
ENSG00000006837	CHEMBL1163117
ENSG00000007047	CHEMBL5754
ENSG00000007171	CHEMBL2111350
ENSG00000007264	CHEMBL4175
ENSG00000007314	CHEMBL2331043
ENSG00000007402	CHEMBL3896
ENSG00000007908	CHEMBL3890
ENSG00000007952	CHEMBL1287628
ENSG00000008018	CHEMBL2364701
ENSG00000008086	CHEMBL1163112
ENSG00000008118	CHEMBL5258
ENSG00000008128	CHEMBL5416
ENSG00000008130	CHEMBL6177
ENSG00000008394	CHEMBL1743184
ENSG00000008516	CHEMBL1795103
ENSG00000008710	CHEMBL5772
ENSG00000010219	CHEMBL1075115
ENSG00000010310	CHEMBL4383
ENSG00000010322	CHEMBL3923
ENSG00000010379	CHEMBL4535
ENSG00000010438	CHEMBL2095204
ENSG00000010610	CHEMBL2754
ENSG00000010671	CHEMBL5251
ENSG00000010810	CHEMBL1841
ENSG00000011009	CHEMBL1932891
ENSG00000011052	CHEMBL2160
ENSG00000011258	CHEMBL1287625
ENSG00000011304	CHEMBL1293230
ENSG00000011405	CHEMBL1075102
ENSG00000011422	CHEMBL4883
ENSG00000011485	CHEMBL1293265
ENSG00000011566	CHEMBL5432
ENSG00000011677	CHEMBL2109244
ENSG00000012048	CHEMBL5990
ENSG00000012124	CHEMBL3218
ENSG00000012504	CHEMBL2047
ENSG00000012660	CHEMBL5937
