Ensembl ID	EntrezGene_trans_name ID
ENSG00000067601	PMS2L2-001
ENSG00000067601	PMS2L2-002
ENSG00000069712	KIAA1107-001
ENSG00000073169	SELO-001
ENSG00000073169	SELO-002
ENSG00000073169	SELO-201
ENSG00000080947	CROCCP3-001
ENSG00000080947	CROCCP3-002
ENSG00000080947	CROCCP3-003
ENSG00000080947	CROCCP3-004
ENSG00000080947	CROCCP3-005
ENSG00000080947	CROCCP3-006
ENSG00000099251	HSD17B7P2-001
ENSG00000099251	HSD17B7P2-002
ENSG00000099725	PRKY-001
ENSG00000099725	PRKY-002
ENSG00000099725	PRKY-003
ENSG00000099725	PRKY-004
ENSG00000099869	IGF2-AS-001
ENSG00000099869	IGF2-AS-002
ENSG00000099869	IGF2-AS-003
ENSG00000100058	CRYBB2P1-001
ENSG00000100058	CRYBB2P1-002
ENSG00000100058	CRYBB2P1-003
ENSG00000100058	CRYBB2P1-004
ENSG00000100058	CRYBB2P1-005
ENSG00000100058	CRYBB2P1-006
ENSG00000100181	TPTEP1-001
ENSG00000100181	TPTEP1-002
ENSG00000100181	TPTEP1-003
ENSG00000100181	TPTEP1-004
ENSG00000100181	TPTEP1-005
ENSG00000100181	TPTEP1-006
ENSG00000100181	TPTEP1-008
ENSG00000100181	TPTEP1-009
ENSG00000100181	TPTEP1-010
ENSG00000100181	TPTEP1-011
ENSG00000100181	TPTEP1-012
ENSG00000101898	MCTS2P-001
ENSG00000102055	PPP1R2P9-001
ENSG00000104691	UBXN8-001
ENSG00000104691	UBXN8-002
ENSG00000104691	UBXN8-003
ENSG00000104691	UBXN8-004
ENSG00000104691	UBXN8-005
ENSG00000104691	UBXN8-006
ENSG00000104691	UBXN8-007
ENSG00000104691	UBXN8-008
ENSG00000104691	UBXN8-009
ENSG00000104691	UBXN8-010
ENSG00000106133	NSUN5P1-001
ENSG00000106133	NSUN5P1-002
ENSG00000106133	NSUN5P1-006
ENSG00000106133	NSUN5P1-009
ENSG00000106133	NSUN5P1-010
ENSG00000106610	STAG3L4-001
ENSG00000106610	STAG3L4-002
ENSG00000106610	STAG3L4-003
ENSG00000124915	DKFZP434K028-001
ENSG00000124915	DKFZP434K028-002
ENSG00000124915	DKFZP434K028-003
ENSG00000145063	FLJ33534-001
ENSG00000145063	FLJ33534-002
ENSG00000145063	FLJ33534-003
ENSG00000145063	FLJ33534-004
ENSG00000145063	FLJ33534-005
ENSG00000157306	THTPA-001
ENSG00000157306	THTPA-002
ENSG00000157306	THTPA-003
ENSG00000157306	THTPA-004
ENSG00000157306	THTPA-005
ENSG00000167355	OR51B5-001
ENSG00000167355	OR51B5-002
ENSG00000167355	OR51B5-003
ENSG00000167355	OR51B5-004
ENSG00000167524	SGK494-002
ENSG00000167524	SGK494-003
ENSG00000167524	SGK494-004
ENSG00000167524	SGK494-005
ENSG00000167524	SGK494-006
ENSG00000167524	SGK494-007
ENSG00000167524	SGK494-008
ENSG00000167524	SGK494-009
ENSG00000167524	SGK494-012
ENSG00000167524	SGK494-015
