Ensembl ID	HPA ID
ENSG00000000003	4109
ENSG00000000003	HPA004109
ENSG00000000005	34961
ENSG00000000005	55634
ENSG00000000005	HPA034961
ENSG00000000005	HPA055634
ENSG00000000419	51818
ENSG00000000419	HPA051818
ENSG00000000457	5624
ENSG00000000457	HPA005624
ENSG00000000460	23778
ENSG00000000460	24451
ENSG00000000460	HPA023778
ENSG00000000460	HPA024451
ENSG00000000938	18959
ENSG00000000938	2024
ENSG00000000938	CAB018959
ENSG00000000938	HPA002024
ENSG00000000971	16385
ENSG00000000971	16769
ENSG00000000971	38922
ENSG00000000971	49176
ENSG00000000971	CAB016385
ENSG00000000971	CAB016769
ENSG00000000971	HPA038922
ENSG00000000971	HPA049176
ENSG00000001036	31659
ENSG00000001036	31660
ENSG00000001036	31661
ENSG00000001036	HPA031659
ENSG00000001036	HPA031660
ENSG00000001036	HPA031661
ENSG00000001084	36359
ENSG00000001084	36360
ENSG00000001084	9569
ENSG00000001084	CAB009569
ENSG00000001084	HPA036359
ENSG00000001084	HPA036360
ENSG00000001167	50779
ENSG00000001167	9250
ENSG00000001167	CAB009250
ENSG00000001167	HPA050779
ENSG00000001460	24301
ENSG00000001460	50593
ENSG00000001460	HPA024301
ENSG00000001460	HPA050593
ENSG00000001461	39978
ENSG00000001461	HPA039978
ENSG00000001497	44431
ENSG00000001497	HPA044431
ENSG00000001561	16594
ENSG00000001561	HPA016594
ENSG00000001617	35008
ENSG00000001617	HPA035008
ENSG00000001626	1951
ENSG00000001626	21939
ENSG00000001626	CAB001951
ENSG00000001626	HPA021939
ENSG00000001629	19358
ENSG00000001629	21780
ENSG00000001629	HPA019358
ENSG00000001629	HPA021780
ENSG00000001630	41325
ENSG00000001630	43508
ENSG00000001630	HPA041325
ENSG00000001630	HPA043508
ENSG00000001631	49606
ENSG00000001631	HPA049606
ENSG00000002330	28185
ENSG00000002330	4205
ENSG00000002330	CAB004205
ENSG00000002330	HPA028185
ENSG00000002549	29606
ENSG00000002549	29607
ENSG00000002549	HPA029606
ENSG00000002549	HPA029607
ENSG00000002586	20
ENSG00000002586	35304
ENSG00000002586	CAB000020
ENSG00000002586	HPA035304
ENSG00000002587	2237
ENSG00000002587	HPA002237
ENSG00000002726	31032
ENSG00000002726	31033
ENSG00000002726	HPA031032
ENSG00000002726	HPA031033
ENSG00000002745	27030
ENSG00000002745	HPA027030
ENSG00000002746	7593
ENSG00000002746	7609
ENSG00000002746	HPA007593
ENSG00000002746	HPA007609
ENSG00000002822	15338
ENSG00000002822	3635
ENSG00000002822	CAB015338
ENSG00000002822	HPA003635
ENSG00000002834	12072
ENSG00000002834	22049
ENSG00000002834	CAB022049
ENSG00000002834	HPA012072
ENSG00000002919	44787
ENSG00000002919	HPA044787
ENSG00000002933	8770
