Ensembl ID	RefSeq_mRNA_predicted ID
ENSG00000000003	NM_001278740
ENSG00000000003	NM_001278741
ENSG00000000003	NM_001278743
ENSG00000000003	NM_003270
ENSG00000000005	NM_022144
ENSG00000000005	XM_005262176
ENSG00000000419	NM_003859
ENSG00000000419	XM_005260600
ENSG00000000419	XR_244156
ENSG00000000457	NM_020423
ENSG00000000457	NM_181093
ENSG00000000457	XM_006711465
ENSG00000000460	NM_018186
ENSG00000000460	XM_005245317
ENSG00000000460	XM_005245319
ENSG00000000938	NM_001042729
ENSG00000000938	NM_001042747
ENSG00000000938	NM_005248
ENSG00000000938	XM_006710452
ENSG00000000971	NM_000186
ENSG00000000971	NM_001014975
ENSG00000000971	XM_006711283
ENSG00000001036	NM_032020
ENSG00000001084	NM_001197115
ENSG00000001084	NM_001498
ENSG00000001084	XR_427391
ENSG00000001084	XR_431614
ENSG00000001167	NM_002505
ENSG00000001167	NM_021705
ENSG00000001460	NM_001199012
ENSG00000001460	NM_001199013
ENSG00000001460	NM_001199014
ENSG00000001460	NM_178122
ENSG00000001460	XM_005246027
ENSG00000001460	XM_006711025
ENSG00000001461	NM_020448
ENSG00000001461	XM_005245947
ENSG00000001461	XM_005245948
ENSG00000001461	XM_006710780
ENSG00000001497	NM_001170649
ENSG00000001497	NM_001170650
ENSG00000001497	NM_031206
ENSG00000001497	XM_005262301
ENSG00000001561	NM_014936
ENSG00000001617	NM_004186
ENSG00000001617	XM_005265381
ENSG00000001617	XM_005265382
ENSG00000001617	XM_006713290
ENSG00000001626	NM_000492
ENSG00000001626	XM_006715842
ENSG00000001629	NM_019004
ENSG00000001629	XM_005250457
ENSG00000001629	XM_005250458
ENSG00000001630	NM_000786
ENSG00000001630	NM_001146152
ENSG00000001631	NM_001013406
ENSG00000001631	NM_004912
ENSG00000001631	NM_194454
ENSG00000001631	NM_194455
ENSG00000001631	NM_194456
ENSG00000001631	XM_005250660
ENSG00000001631	XM_005250662
ENSG00000001631	XM_005250663
ENSG00000001631	XM_005250665
ENSG00000001631	XM_005250666
ENSG00000001631	XM_005250667
ENSG00000001631	XM_006716160
ENSG00000001631	XM_006716161
ENSG00000001631	XM_006716162
ENSG00000001631	XM_006716163
ENSG00000001631	XM_006716164
ENSG00000002016	NM_001297419
ENSG00000002016	NM_001297420
ENSG00000002016	NM_001297422
