Ensembl ID	Uniprot_gn_trans_name ID
ENSG00000000003	TSPAN6
ENSG00000000003	TSPAN6-001
ENSG00000000003	TSPAN6-002
ENSG00000000003	TSPAN6-003
ENSG00000000003	TSPAN6-201
ENSG00000000003	TSPAN6-202
ENSG00000000003	UPI0000049052
ENSG00000000003	UPI0003583743
ENSG00000000003	UPI0003583745
ENSG00000000005	TNMD
ENSG00000000005	TNMD-001
ENSG00000000005	TNMD-002
ENSG00000000005	UPI0000001042
ENSG00000000419	DPM1
ENSG00000000419	DPM1-001
ENSG00000000419	DPM1-002
ENSG00000000419	DPM1-003
ENSG00000000419	DPM1-004
ENSG00000000419	DPM1-005
ENSG00000000419	DPM1-006
ENSG00000000419	UPI0000129751
ENSG00000000419	UPI0000470994
ENSG00000000419	UPI0000E5A340
ENSG00000000419	UPI0000E5A341
ENSG00000000457	SCYL3
ENSG00000000457	SCYL3-001
ENSG00000000457	SCYL3-002
ENSG00000000457	SCYL3-003
ENSG00000000457	SCYL3-004
ENSG00000000457	SCYL3-201
ENSG00000000457	UPI0000035B92
ENSG00000000457	UPI00001AE580
ENSG00000000457	UPI0000470932
ENSG00000000460	C1ORF112
ENSG00000000460	C1ORF112-001
ENSG00000000460	C1ORF112-002
ENSG00000000460	C1ORF112-003
ENSG00000000460	C1ORF112-004
ENSG00000000460	C1ORF112-005
ENSG00000000460	C1ORF112-006
ENSG00000000460	C1ORF112-007
ENSG00000000460	C1ORF112-008
ENSG00000000460	C1ORF112-201
ENSG00000000460	UPI000006E467
ENSG00000000460	UPI00005C40DA
ENSG00000000938	C-FGR
ENSG00000000938	FGR
ENSG00000000938	FGR-001
ENSG00000000938	FGR-002
ENSG00000000938	FGR-004
ENSG00000000938	FGR-005
ENSG00000000938	FGR-006
ENSG00000000938	FGR-007
ENSG00000000938	FGR-201
ENSG00000000938	UPI000012A72F
ENSG00000000938	UPI000047095C
ENSG00000000971	CFH
ENSG00000000971	CFH-001
ENSG00000000971	CFH-002
ENSG00000000971	CFH-003
ENSG00000000971	CFH-004
ENSG00000000971	CFH-005
ENSG00000000971	UPI000013C4D1
ENSG00000000971	UPI00004709EB
ENSG00000001036	FUCA2
ENSG00000001036	FUCA2-001
ENSG00000001036	FUCA2-002
ENSG00000001036	FUCA2-003
ENSG00000001036	UPI0000073C10
ENSG00000001036	UPI00001A3A81
ENSG00000001084	GCLC
ENSG00000001084	GCLC-001
ENSG00000001084	GCLC-003
ENSG00000001084	GCLC-004
ENSG00000001084	GCLC-005
ENSG00000001084	GCLC-006
ENSG00000001084	GCLC-007
ENSG00000001084	GCLC-008
ENSG00000001084	GCLC-009
ENSG00000001084	GCLC-010
ENSG00000001084	GCLC-011
ENSG00000001084	GCLC-012
ENSG00000001084	GCLC-013
ENSG00000001084	GCLC-201
ENSG00000001084	UPI000000D970
ENSG00000001084	UPI0000169FCC
ENSG00000001084	UPI0000415252
ENSG00000001084	UPI0001D3BBD8
ENSG00000001084	UPI0001D3BBD9
ENSG00000001084	UPI0001D3BBDA
ENSG00000001084	UPI0001D3BBDB
ENSG00000001084	UPI0001E556E9
ENSG00000001084	UPI0004620A4B
ENSG00000001167	NFYA
ENSG00000001167	NFYA-001
ENSG00000001167	NFYA-002
ENSG00000001167	UPI000002A57F
ENSG00000001167	UPI000012717C
ENSG00000001460	STPG1
ENSG00000001460	STPG1-001
ENSG00000001460	STPG1-002
ENSG00000001460	STPG1-003
ENSG00000001460	STPG1-004
ENSG00000001460	STPG1-005
ENSG00000001460	STPG1-006
ENSG00000001460	STPG1-007
ENSG00000001460	STPG1-008
ENSG00000001460	STPG1-009
ENSG00000001460	STPG1-010
ENSG00000001460	STPG1-011
ENSG00000001460	STPG1-201
ENSG00000001460	UPI000000DC39
ENSG00000001460	UPI0000049C6B
ENSG00000001460	UPI0000470936
ENSG00000001460	UPI000059CF7F
