Ensembl ID	Vega_gene ID
ENSG00000000003	OTTHUMG00000022002
ENSG00000000005	OTTHUMG00000022001
ENSG00000000419	OTTHUMG00000032742
ENSG00000000457	OTTHUMG00000035941
ENSG00000000460	OTTHUMG00000035821
ENSG00000000938	OTTHUMG00000003516
ENSG00000000971	OTTHUMG00000035607
ENSG00000001036	OTTHUMG00000015728
ENSG00000001084	OTTHUMG00000160220
ENSG00000001167	OTTHUMG00000014669
ENSG00000001460	OTTHUMG00000003297
ENSG00000001461	OTTHUMG00000003299
ENSG00000001497	OTTHUMG00000021720
ENSG00000001561	OTTHUMG00000014779
ENSG00000001617	OTTHUMG00000156806
ENSG00000001626	OTTHUMG00000023076
ENSG00000001629	OTTHUMG00000155859
ENSG00000001630	OTTHUMG00000131131
ENSG00000001631	OTTHUMG00000131187
ENSG00000002016	OTTHUMG00000090361
ENSG00000002079	OTTHUMG00000154426
ENSG00000002330	OTTHUMG00000134302
ENSG00000002549	OTTHUMG00000048214
ENSG00000002586	OTTHUMG00000021073
ENSG00000002587	OTTHUMG00000090547
ENSG00000002726	OTTHUMG00000158306
ENSG00000002745	OTTHUMG00000156963
ENSG00000002746	OTTHUMG00000128917
ENSG00000002822	OTTHUMG00000151493
ENSG00000002834	OTTHUMG00000133182
ENSG00000002919	OTTHUMG00000178822
ENSG00000002933	OTTHUMG00000158114
ENSG00000003056	OTTHUMG00000168276
ENSG00000003096	OTTHUMG00000022252
ENSG00000003137	OTTHUMG00000129756
ENSG00000003147	OTTHUMG00000152008
ENSG00000003249	OTTHUMG00000138984
ENSG00000003393	OTTHUMG00000154507
ENSG00000003400	OTTHUMG00000132818
ENSG00000003402	OTTHUMG00000132819
ENSG00000003436	OTTHUMG00000132634
ENSG00000003509	OTTHUMG00000128468
ENSG00000003756	OTTHUMG00000156785
ENSG00000003987	OTTHUMG00000163771
ENSG00000003989	OTTHUMG00000130819
ENSG00000004059	OTTHUMG00000023246
ENSG00000004139	OTTHUMG00000132499
ENSG00000004142	OTTHUMG00000132065
ENSG00000004399	OTTHUMG00000159547
ENSG00000004455	OTTHUMG00000004131
ENSG00000004468	OTTHUMG00000048206
ENSG00000004478	OTTHUMG00000090429
ENSG00000004487	OTTHUMG00000003220
ENSG00000004534	OTTHUMG00000156736
ENSG00000004660	OTTHUMG00000090725
ENSG00000004700	OTTHUMG00000169131
ENSG00000004766	OTTHUMG00000131733
ENSG00000004776	OTTHUMG00000048122
ENSG00000004777	OTTHUMG00000182071
ENSG00000004779	OTTHUMG00000096985
ENSG00000004799	OTTHUMG00000153977
ENSG00000004809	OTTHUMG00000016171
ENSG00000004838	OTTHUMG00000156874
ENSG00000004846	OTTHUMG00000094789
ENSG00000004848	OTTHUMG00000021275
ENSG00000004864	OTTHUMG00000023074
ENSG00000004866	OTTHUMG00000023888
ENSG00000004897	OTTHUMG00000166429
ENSG00000004939	OTTHUMG00000156843
ENSG00000004948	OTTHUMG00000023599
ENSG00000004961	OTTHUMG00000021128
ENSG00000004975	OTTHUMG00000102155
ENSG00000005001	OTTHUMG00000128961
ENSG00000005007	OTTHUMG00000183025
ENSG00000005020	OTTHUMG00000023495
ENSG00000005022	OTTHUMG00000022715
ENSG00000005059	OTTHUMG00000161103
ENSG00000005073	OTTHUMG00000023437
ENSG00000005075	OTTHUMG00000150387
ENSG00000005100	OTTHUMG00000102041
ENSG00000005102	OTTHUMG00000170513
ENSG00000005108	OTTHUMG00000152346
ENSG00000005156	OTTHUMG00000128519
ENSG00000005175	OTTHUMG00000169668
ENSG00000005187	OTTHUMG00000131552
ENSG00000005189	OTTHUMG00000131556
ENSG00000005194	OTTHUMG00000133457
ENSG00000005206	OTTHUMG00000180443
ENSG00000005238	OTTHUMG00000019847
ENSG00000005243	OTTHUMG00000178684
ENSG00000005249	OTTHUMG00000137418
ENSG00000005302	OTTHUMG00000021132
ENSG00000005339	OTTHUMG00000129431
ENSG00000005379	OTTHUMG00000178923
ENSG00000005381	OTTHUMG00000178922
ENSG00000005421	OTTHUMG00000153894
ENSG00000005436	OTTHUMG00000129989
ENSG00000005448	OTTHUMG00000129951
ENSG00000005469	OTTHUMG00000023653
ENSG00000005471	OTTHUMG00000023396
ENSG00000005483	OTTHUMG00000157403
ENSG00000005486	OTTHUMG00000156435
ENSG00000005513	OTTHUMG00000122101
ENSG00000005700	OTTHUMG00000015102
ENSG00000005801	OTTHUMG00000011694
ENSG00000005810	OTTHUMG00000017105
ENSG00000005812	OTTHUMG00000017099
ENSG00000005844	OTTHUMG00000176964
ENSG00000005882	OTTHUMG00000161948
ENSG00000005884	OTTHUMG00000161890
ENSG00000005889	OTTHUMG00000021264
ENSG00000005893	OTTHUMG00000022301
ENSG00000005961	OTTHUMG00000177935
ENSG00000005981	OTTHUMG00000153960
ENSG00000006007	OTTHUMG00000131454
ENSG00000006015	OTTHUMG00000183112
ENSG00000006016	OTTHUMG00000183111
ENSG00000006025	OTTHUMG00000178288
ENSG00000006042	OTTHUMG00000132882
ENSG00000006047	OTTHUMG00000177992
ENSG00000006059	OTTHUMG00000133432
ENSG00000006062	OTTHUMG00000180364
ENSG00000006071	OTTHUMG00000166316
ENSG00000006116	OTTHUMG00000131651
ENSG00000006118	OTTHUMG00000167803
ENSG00000006125	OTTHUMG00000179924
ENSG00000006128	OTTHUMG00000154069
ENSG00000006194	OTTHUMG00000129323
ENSG00000006210	OTTHUMG00000133469
ENSG00000006282	OTTHUMG00000162162
ENSG00000006283	OTTHUMG00000162180
ENSG00000006327	OTTHUMG00000129001
ENSG00000006377	OTTHUMG00000154201
ENSG00000006432	OTTHUMG00000171249
ENSG00000006451	OTTHUMG00000128775
ENSG00000006453	OTTHUMG00000165117
ENSG00000006459	OTTHUMG00000157327
ENSG00000006468	OTTHUMG00000152403
ENSG00000006530	OTTHUMG00000157499
ENSG00000006534	OTTHUMG00000154910
ENSG00000006555	OTTHUMG00000009916
ENSG00000006576	OTTHUMG00000155557
ENSG00000006606	OTTHUMG00000130403
ENSG00000006607	OTTHUMG00000151574
ENSG00000006611	OTTHUMG00000166323
ENSG00000006625	OTTHUMG00000128593
ENSG00000006634	OTTHUMG00000131034
ENSG00000006638	OTTHUMG00000180806
ENSG00000006652	OTTHUMG00000155124
ENSG00000006659	OTTHUMG00000183143
ENSG00000006695	OTTHUMG00000058814
ENSG00000006704	OTTHUMG00000023782
ENSG00000006712	OTTHUMG00000182968
ENSG00000006715	OTTHUMG00000023629
ENSG00000006740	OTTHUMG00000058765
ENSG00000006744	OTTHUMG00000058764
ENSG00000006747	OTTHUMG00000152385
ENSG00000006756	OTTHUMG00000021077
ENSG00000006757	OTTHUMG00000021103
ENSG00000006788	OTTHUMG00000177987
ENSG00000006831	OTTHUMG00000130139
ENSG00000006837	OTTHUMG00000186341
ENSG00000007001	OTTHUMG00000131969
ENSG00000007038	OTTHUMG00000128931
ENSG00000007047	OTTHUMG00000181769
ENSG00000007062	OTTHUMG00000160180
ENSG00000007080	OTTHUMG00000183405
ENSG00000007129	OTTHUMG00000151062
ENSG00000007168	OTTHUMG00000177574
ENSG00000007171	OTTHUMG00000132445
ENSG00000007174	OTTHUMG00000130383
ENSG00000007202	OTTHUMG00000166587
ENSG00000007216	OTTHUMG00000132523
ENSG00000007237	OTTHUMG00000177945
ENSG00000007255	OTTHUMG00000181775
ENSG00000007264	OTTHUMG00000180916
ENSG00000007306	OTTHUMG00000151063
ENSG00000007312	OTTHUMG00000172294
ENSG00000007314	OTTHUMG00000179046
ENSG00000007341	OTTHUMG00000011753
ENSG00000007350	OTTHUMG00000022707
ENSG00000007372	OTTHUMG00000041447
ENSG00000007376	OTTHUMG00000047840
ENSG00000007384	OTTHUMG00000060719
ENSG00000007392	OTTHUMG00000060730
ENSG00000007402	OTTHUMG00000156887
ENSG00000007516	OTTHUMG00000047833
ENSG00000007520	OTTHUMG00000047834
ENSG00000007541	OTTHUMG00000168047
ENSG00000007545	OTTHUMG00000074087
ENSG00000007866	OTTHUMG00000014571
ENSG00000007908	OTTHUMG00000034851
ENSG00000007923	OTTHUMG00000001443
ENSG00000007933	OTTHUMG00000035505
ENSG00000007944	OTTHUMG00000016405
ENSG00000007952	OTTHUMG00000022007
ENSG00000007968	OTTHUMG00000003223
ENSG00000008018	OTTHUMG00000016087
ENSG00000008056	OTTHUMG00000021454
ENSG00000008083	OTTHUMG00000014293
ENSG00000008086	OTTHUMG00000021214
ENSG00000008118	OTTHUMG00000036361
ENSG00000008128	OTTHUMG00000000703
ENSG00000008130	OTTHUMG00000000942
ENSG00000008196	OTTHUMG00000014836
ENSG00000008197	OTTHUMG00000014832
ENSG00000008226	OTTHUMG00000131085
ENSG00000008256	OTTHUMG00000023440
ENSG00000008277	OTTHUMG00000137417
ENSG00000008282	OTTHUMG00000157587
ENSG00000008283	OTTHUMG00000179116
ENSG00000008294	OTTHUMG00000162316
ENSG00000008300	OTTHUMG00000133544
ENSG00000008311	OTTHUMG00000157058
ENSG00000008323	OTTHUMG00000168266
ENSG00000008324	OTTHUMG00000131794
ENSG00000008382	OTTHUMG00000181914
ENSG00000008394	OTTHUMG00000168816
ENSG00000008405	OTTHUMG00000170005
ENSG00000008438	OTTHUMG00000182489
ENSG00000008441	OTTHUMG00000180726
ENSG00000008513	OTTHUMG00000164534
ENSG00000008516	OTTHUMG00000177475
ENSG00000008517	OTTHUMG00000167498
ENSG00000008710	OTTHUMG00000155795
ENSG00000008735	OTTHUMG00000150181
ENSG00000008838	OTTHUMG00000133329
ENSG00000008853	OTTHUMG00000097827
ENSG00000008869	OTTHUMG00000152158
ENSG00000008952	OTTHUMG00000158753
ENSG00000008988	OTTHUMG00000164297
ENSG00000009307	OTTHUMG00000012060
ENSG00000009335	OTTHUMG00000157239
ENSG00000009413	OTTHUMG00000016318
ENSG00000009694	OTTHUMG00000022721
ENSG00000009709	OTTHUMG00000002433
ENSG00000009724	OTTHUMG00000002121
ENSG00000009765	OTTHUMG00000016347
ENSG00000009780	OTTHUMG00000003729
ENSG00000009790	OTTHUMG00000036480
ENSG00000009830	OTTHUMG00000171556
ENSG00000009844	OTTHUMG00000015707
ENSG00000009950	OTTHUMG00000129995
