Ensembl ID	miRBase ID
ENSG00000130600	MI0005416
ENSG00000186594	MI0000078
ENSG00000194717	MI0003134
ENSG00000197182	MI0000062
ENSG00000197182	MI0000063
ENSG00000197182	MI0017404
ENSG00000198972	MI0000066
ENSG00000198973	MI0000783
ENSG00000198974	MI0000749
ENSG00000198975	MI0000061
ENSG00000198976	MI0001641
ENSG00000198982	MI0000788
ENSG00000198983	MI0001648
ENSG00000198984	MI0000825
ENSG00000198986	MI0000062
ENSG00000198987	MI0000115
ENSG00000198995	MI0000802
ENSG00000198997	MI0000114
ENSG00000199001	MI0001637
ENSG00000199004	MI0000077
ENSG00000199005	MI0000778
ENSG00000199012	MI0002464
ENSG00000199015	MI0000785
ENSG00000199017	MI0000651
ENSG00000199020	MI0000789
ENSG00000199023	MI0000815
ENSG00000199024	MI0000108
ENSG00000199024	MI0007262
ENSG00000199025	MI0000777
ENSG00000199030	MI0000064
ENSG00000199031	MI0000779
ENSG00000199032	MI0001448
ENSG00000199035	MI0000109
ENSG00000199035	MI0007261
ENSG00000199036	MI0000296
ENSG00000199038	MI0000286
ENSG00000199043	MI0000816
ENSG00000199047	MI0000786
ENSG00000199051	MI0000760
ENSG00000199053	MI0000813
ENSG00000199059	MI0000810
ENSG00000199065	MI0000739
ENSG00000199066	MI0000803
ENSG00000199069	MI0000807
ENSG00000199071	MI0001445
ENSG00000199071	MI0014226
ENSG00000199072	MI0000067
ENSG00000199075	MI0000083
ENSG00000199077	MI0000473
ENSG00000199080	MI0000822
ENSG00000199082	MI0000805
ENSG00000199085	MI0000253
ENSG00000199088	MI0000787
ENSG00000199090	MI0000808
ENSG00000199092	MI0002465
ENSG00000199094	MI0000254
ENSG00000199095	MI0000780
ENSG00000199102	MI0000773
ENSG00000199104	MI0000826
ENSG00000199107	MI0001735
ENSG00000199109	MI0003675
ENSG00000199121	MI0000084
ENSG00000199122	MI0000811
ENSG00000199127	MI0000791
ENSG00000199130	MI0000767
ENSG00000199132	MI0001652
ENSG00000199133	MI0000065
ENSG00000199135	MI0000103
ENSG00000199143	MI0000781
ENSG00000199145	MI0000774
ENSG00000199150	MI0000433
ENSG00000199151	MI0000806
ENSG00000199153	MI0000255
ENSG00000199156	MI0001444
ENSG00000199157	MI0000251
ENSG00000199158	MI0000098
ENSG00000199161	MI0000471
ENSG00000199165	MI0000060
ENSG00000199168	MI0000782
ENSG00000199169	MI0000775
ENSG00000199172	MI0000812
ENSG00000199177	MI0000089
ENSG00000199179	MI0000434
ENSG00000199187	MI0000769
ENSG00000201096	MI0024976
ENSG00000202560	MI0003514
ENSG00000202566	MI0003685
ENSG00000202569	MI0003129
ENSG00000202601	MI0003589
ENSG00000202609	MI0003123
ENSG00000203709	MI0000107
ENSG00000203709	MI0000735
ENSG00000206948	MI0019134
ENSG00000207546	MI0003630
ENSG00000207546	MI0016688
ENSG00000207547	MI0000082
ENSG00000207549	MI0003163
ENSG00000207550	MI0000746
