Ensembl ID	miRBase_trans_name ID
ENSG00000216191	hsa-mir-8485.1-201
ENSG00000261435	hsa-mir-1587.1-001
ENSG00000263552	hsa-mir-219a-1.1-201
ENSG00000263700	hsa-mir-877.1-201
ENSG00000263866	hsa-mir-877.1-202
ENSG00000263872	hsa-mir-4528.1-201
ENSG00000264115	hsa-mir-3180-4.1-201
ENSG00000264258	hsa-mir-1236.1-201
ENSG00000264555	hsa-mir-1236.1-202
ENSG00000264579	hsa-mir-877.1-203
ENSG00000264657	hsa-mir-3171.1-201
ENSG00000264781	hsa-mir-4537.1-201
ENSG00000264824	hsa-mir-5571.1-201
ENSG00000264836	hsa-mir-219a-1.1-202
ENSG00000264947	hsa-mir-3181.1-201
ENSG00000265031	hsa-mir-1273e.1-201
ENSG00000265306	hsa-mir-3195.1-201
ENSG00000265373	hsa-mir-3180-1.1-201
ENSG00000265376	hsa-mir-466.1-201
ENSG00000265459	hsa-mir-219a-1.1-203
ENSG00000265537	hsa-mir-3180-1.1-202
ENSG00000265612	hsa-mir-4539.1-201
ENSG00000265776	hsa-mir-3670-1.1-201
ENSG00000265895	hsa-mir-1236.1-203
ENSG00000265929	hsa-mir-5195.1-201
ENSG00000266130	hsa-mir-219a-1.1-204
ENSG00000266291	hsa-mir-3180-1.1-203
ENSG00000266299	hsa-mir-3118-1.1-201
ENSG00000266328	hsa-mir-4536-1.1-201
ENSG00000266362	hsa-mir-877.1-204
ENSG00000266406	hsa-mir-1236.1-204
ENSG00000266458	hsa-mir-4259.1-201
ENSG00000266574	hsa-mir-219a-1.1-205
ENSG00000266612	hsa-mir-1236.1-205
ENSG00000266712	hsa-mir-3149.1-201
ENSG00000266785	hsa-mir-877.1-205
ENSG00000266871	hsa-mir-877.1-206
ENSG00000272920	hsa-mir-1253.1-001
ENSG00000273848	hsa-mir-7847.1-201
ENSG00000273921	hsa-mir-570.1-201
ENSG00000274025	hsa-mir-3670-1.1-202
ENSG00000274060	hsa-mir-6724-1.1-201
ENSG00000274147	hsa-mir-4537.1-202
ENSG00000274411	hsa-mir-6724-1.1-202
ENSG00000274543	hsa-mir-570.1-202
ENSG00000274595	hsa-mir-211.1-201
ENSG00000274613	hsa-mir-3180-1.1-204
ENSG00000274643	hsa-mir-596.1-201
ENSG00000274757	hsa-mir-3670-1.1-203
ENSG00000274838	hsa-mir-6788.1-201
ENSG00000274850	hsa-mir-3180-1.1-205
ENSG00000274908	hsa-mir-6724-1.1-203
ENSG00000275073	hsa-mir-3670-1.1-204
ENSG00000275366	hsa-mir-5195.1-202
ENSG00000275487	hsa-mir-3180-1.1-206
ENSG00000275548	hsa-mir-570.1-203
ENSG00000275692	hsa-mir-6724-1.1-204
ENSG00000275712	hsa-mir-210.1-201
ENSG00000275755	hsa-mir-6724-1.1-205
ENSG00000275950	hsa-mir-6724-1.1-206
ENSG00000276239	hsa-mir-570.1-204
ENSG00000276648	hsa-mir-7706.1-201
ENSG00000276733	hsa-mir-7158.1-201
ENSG00000276933	hsa-mir-7641-1.1-201
ENSG00000276948	hsa-mir-1257.1-201
ENSG00000277148	hsa-mir-3670-1.1-205
ENSG00000277284	hsa-mir-7704.1-201
ENSG00000277314	hsa-mir-570.1-205
ENSG00000277343	hsa-mir-548i-1.1-201
ENSG00000277379	hsa-mir-6724-1.1-207
ENSG00000277522	hsa-mir-570.1-206
ENSG00000278132	hsa-mir-4539.1-202
ENSG00000278199	hsa-mir-570.1-207
ENSG00000278269	hsa-mir-3118-1.1-202
ENSG00000278538	hsa-mir-937.1-201
ENSG00000278544	hsa-mir-1539.1-201
