Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
C8orf37,DGLUCY,C11orf87,KIAA0930,GGACT
A2M,C19orf38,CCDC184,INAVA,A3GALT2
MYORG,CD300C,CEP170B,C1orf116,A4GALT
FAM216B,IFI16,AARS2,TMEM266,C15orf48
AASS,AAGAB,ABCA5,SHISA8,UQCC3
ABAT,ABCA1,ABCC8,AARD,C16orf89
ABCB9,ABCA9,ABLIM3,ABCA2,ABCA4
ABCC12,ABCC3,ABRACL,ABCA6,ABCB1
ABCC8,ABCD1,ACBD7,ABCA8,ABCC4
ABCD2,ABHD12,ASIC5,ABHD5,ABCC6
ABCD3,ABHD14B,ACHE,ABI2,ABCC9
ABHD3,ABI3,ACR,ABTB2,ABCG2
ABHD4,ACADS,ACSL4,ACAP3,ABLIM1
ABR,ACCS,ACTA1,ASIC2,ACACB
ACAA2,ACOX3,ACTL6B,ASIC1,ACE2
ACAD11,ACSL5,ADAMTS14,ASIC4,ACER2
ACADL,ACTB,ADAMTS15,ACE,ACOT9
ACADM,ADA,ADAMTS17,ACOT7,ACSS3
ACADVL,ADAM15,ADAR,ACSL3,ACTA2
ACOT11,ADAM33,ADARB1,ACY3,ACTN1
ACOT2,ADAM8,ADARB2,ADAM11,ACTN4
ACOX1,ADAMTS16,GADL1,ADAM12,ACTR3
ACSBG1,ADAP2,ADCY1,ADAM19,ACVRL1
ACSF2,ADCY7,ADCYAP1,ADAM22,ADAM10
ACSL6,ADORA3,ADNP,ADAM9,ADAMTS9
ACSS1,ADRB2,ADPRHL1,ADAMTS2,ADAMTSL2
ACSS2,GRK2,ADRA2C,ADAMTSL3,ADCY4
ACTR3B,ADSS1,TLE5,ADAMTSL4,ADH1C
ACVR1C,AFP,AFAP1,ADAP1,ADIPOR1
ADAMTS19,AGA,AFF3,ADCY3,ADM
ADAMTS3,AGPAT2,AGBL4,ADI1,ADORA2A
ADAMTS5,AIF1,AGTPBP1,ADO,AFAP1L1
ADAMTS6,AIM2,AGTR2,ADORA1,AGFG1
ADCY2,AKAP10,AHDC1,ADSS1,AHNAK
ADCYAP1R1,AKNA,AHI1,AEBP1,AHR
ADD3,AKR1B1,AJAP1,AFAP1L2,SLC45A2
ADHFE1,ALB,AKAP8L,AGAP1,AKAP12
ADK,ALDH16A1,AKR1B10,AGAP2,PALM2AKAP2
ADORA2B,ALDH3B1,ALKBH8,AGO3,ALKBH2
ADRA2A,ALKBH3,AMIGO1,AGPAT4,ALOX12
GRK3,ALOX15,AMMECR1L,GPAT3,AMDHD1
AFF1,ALOX5,AMY2A,ETNPPL,AMMECR1
AGBL2,AMDHD2,ANGPT1,ALAS2,ANGPT2
AGFG2,ANG,ANKHD1,ALDH18A1,ANGPTL4
AGL,ANGPTL7,ANKRD24,ALDH1A2,ANKRD37
AGPAT3,ANKRD44,ANKRD34A,ALDH1L2,ANO1
AGRN,ANKS6,ANKRD34B,ALX4,ANO6
AGT,ANXA4,ANKRD35,AMD1,ANPEP
AHCYL1,AOAH,ANKRD42,AMPD3,ANTXR2
AHCYL2,AP1B1,ANKRD45,ANK1,ANXA1
AIFM3,AP1G2,ANKRD55,ANKRD28,ANXA11
AK4,AP3B1,ANO5,SOWAHA,ANXA2
AK7,AP5B1,AP1AR,ANKS1B,ANXA3
AKT2,AP5Z1,AP3B2,ANLN,ANXA5
ALDH1A1,APAF1,APBA1,ANO2,ANXA6
ALDH1A2,APBB1IP,APC2,ANO3,ANXA7
ALDH1L1,APOBEC1,ARFRP1,APBA1,AOC3
ALDH4A1,APOBEC3B,ARG2,APBB1,APBB2
ALDH5A1,APOBR,ARHGAP15,APH1B,APCDD1
ALDH6A1,APOC2,ARHGAP36,APLP1,APLN
ALDOC,ARAP1,ARHGAP39,APOD,APLNR
ALMS1,ARAP3,ARHGAP44,AQP3,APOA1
