Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
2610301B20Rik,Dglucy,2700097O09Rik,5031439G07Rik,Ggact
A2m,9930111J21Rik2,AI593442,Inava,A3galt2
A2m,AB124611,AI606473,AA986860,A4galt
AA387883,Cd300c2,Ccdc184,Tmem266,AA467197
AI182371,Ifi207,AU022754,Shisa8,Uqcc3
AI450353,AI661453,AW551984,AV320801,AU021092
Myorg,AI662270,Cep170b,AW046200,AW112010
AI507597,Aagab,Aars2,AW551984,Abca4
AI987944,Abca1,Abca5,Aard,Abcb1a
Fam216b,Abca9,Abcc8,Abca2,Abcb1b
AU041133,Abcc3,Ablim3,Abca6,Abcc4
AV051173,Abcd1,Abracl,Abca8b,Abcc6
AW011738,Abcg3,Acbd7,Abhd5,Abcc9
AW146154,Abhd12,Asic5,Abi2,Abcg2
Aass,Abhd14b,Ache,Abtb2,Ablim1
Abat,Abhd15,Acr,Acan,Acacb
Abcb9,Abi3,Acsl4,Acap3,Ace2
Abcc12,Acads,Acta1,Asic2,Acer2
Abcc8,Accs,Actl6b,Asic1,Acnat1
Abcd2,Acox3,Adamts14,Asic4,Acot10
Abcd3,Acsl5,Adamts15,Ace,Acot9
Abhd1,Actb,Adamts17,Acot7,Acss3
Abhd3,Ada,Adar,Acsl3,Acta2
Abhd4,Adam15,Adarb1,Acy3,Actn1
Abr,Adam33,Adarb2,Adam11,Actn4
Acaa2,Adam8,Gadl1,Adam12,Actr3
Acad11,Adamts16,Adcy1,Adam19,Acvrl1
Acad12,Adap2,Adcy8,Adam22,Adam10
Acadl,Adcy7,Adcyap1,Adam5,Adamts8
Acadm,Adora3,Adnp,Adam9,Adamts9
Acadsb,Adrb2,Adprhl1,Adamts2,Adamtsl2
Acadvl,Grk2,Adra2c,Adamts4,Adcy4
Acot1,Adssl1,Tle5,Adamtsl3,Adh1
Acot11,Afp,Afap1,Adamtsl4,Adipor1
Acot2,Aga,Aff2,Adap1,Adm
Acot5,Agpat2,Aff3,Adcy3,Adora2a
Acox1,Aif1,Agbl4,Adi1,Afap1l1
Acsbg1,Aim2,Agtpbp1,Ado,Agfg1
Acsf2,Akap10,Agtr2,Adora1,Ahnak
Acsl6,Akna,Ahdc1,Adra1d,Ahr
Acss1,Akr1b3,Ahi1,Adssl1,Slc45a2
Acss2,Akr1b10,Ahsa2,Aebp1,Akap12
Actr3b,Akr1b3,Ajap1,Afap1l2,Pakap
Acvr1c,Alb,Akap8l,Agap1,Akr1c14
Acyp2,Aldh16a1,Akap9,Agap2,Aldh1a7
Adamts19,Aldh3b1,Akr1b8,Ago3,Alkbh2
Adamts3,Alkbh3,Alkbh8,Agpat4,Alox12
Adamts5,Alox15,Allc,Gpat3,Amdhd1
Adamts6,Alox5,Aloxe3,Etnppl,Ammecr1
Adcy2,Alox5ap,Amigo1,Alas2,Angpt2
Adcy8,Amdhd2,Ammecr1l,Aldh18a1,Angptl4
Adcyap1r1,Ang,Amy1,Aldh1a2,Ankrd37
Add3,Angptl7,Angpt1,Aldh1l2,Ano1
Adhfe1,Ankrd44,Ankhd1,Aldh3b2,Ano6
Adk,Anks6,Ankrd24,Alx4,Anpep
Adora2b,Anxa4,Ankrd34a,Amd1,Antxr2
Adra2a,Aoah,Ankrd34b,Ampd3,Anxa1
Grk3,Ap1b1,Ankrd35,Ank1,Anxa11
Aff1,Ap1g2,Ankrd42,Ankfn1,Anxa2
Agbl2,Ap3b1,Ankrd45,Ankrd28,Anxa3
Agfg2,Ap5b1,Ankrd50,Sowaha,Anxa5
Agl,Ap5z1,Ankrd55,Anks1b,Anxa6
Agpat3,Apaf1,Ano5,Anln,Anxa7
Agpat5,Apbb1ip,Aox4,Ano2,Aoc3
Agrn,Apobec1,Ap1ar,Ano3,Apbb2
Agt,Apobec2,Ap3b2,Apba1,Apcdd1
Ahcyl1,Apobec3,Apba1,Apbb1,Apln
Ahcyl2,Apobr,Apc2,Aph1b,Aplnr
Aifm3,Apoc1,Peg3os,Aph1c,Apoa1
Ak4,Apoc2,Arfrp1,Aplp1,Apol8
Ak7,Arap1,Arg2,Apod,Apold1
