,category_intercell_source,parent_intercell_source,source,target,category_intercell_target,parent_intercell_target,target_genesymbol,source_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,omnipath,kinaseextra,pathwayextra,ligrecextra,sources,references,curation_effort,n_references,n_resources,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,genesymbol_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,genesymbol_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target,direction
1,adhesion,adhesion,P06241,P04216,adhesion,adhesion,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,OmniPath,generic,functional,composite,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,HGNC;Adhesome;OmniPath,generic,functional,resource_specific,THY1,protein,5,TRUE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
2,adhesion,adhesion,P06241,P04216,cell_adhesion,cell_adhesion,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,OmniPath,generic,functional,composite,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,Cellinker;HGNC;OmniPath,generic,functional,resource_specific,THY1,protein,2,TRUE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
3,adhesion,adhesion,P06241,P04216,matrix_adhesion,matrix_adhesion,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,OmniPath,generic,functional,composite,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,Zhong2015;OmniPath,generic,functional,resource_specific,THY1,protein,1,FALSE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
4,adhesion,adhesion,P06241,P04216,receptor,receptor,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,OmniPath,generic,functional,composite,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,connectomeDB2020;CellCellInteractions;GO_Intercell;CellTalkDB;LRdb;OmniPath,generic,functional,resource_specific,THY1,protein,5,FALSE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
5,adhesion,adhesion,P06241,Q02156,ion_channel,ion_channel,PRKCE,FYN,1,1,0,1,1,0,FALSE,FALSE,TRUE,FALSE,HPRD;Wang,HPRD:8621384,1,1,2,OmniPath,generic,functional,composite,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,DGIdb;OmniPath,generic,functional,resource_specific,PRKCE,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE,Astrocyte → Neuron
6,adhesion,adhesion,P06241,Q02156,receptor,receptor,PRKCE,FYN,1,1,0,1,1,0,FALSE,FALSE,TRUE,FALSE,HPRD;Wang,HPRD:8621384,1,1,2,OmniPath,generic,functional,composite,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,scConnect;OmniPath,generic,functional,resource_specific,PRKCE,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE,Astrocyte → Neuron
7,adhesion,adhesion,P06241,Q02156,transporter,transporter,PRKCE,FYN,1,1,0,1,1,0,FALSE,FALSE,TRUE,FALSE,HPRD;Wang,HPRD:8621384,1,1,2,OmniPath,generic,functional,composite,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,OmniPath,generic,functional,composite,PRKCE,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE,Astrocyte → Neuron
8,adhesion,adhesion,Q13449,Q7Z3B1,adhesion,adhesion,NEGR1,LSAMP,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,Cellinker;Lit-BM-17,Cellinker:32589946;Lit-BM-17:21982860,2,2,2,HGNC;MCAM;OmniPath,generic,functional,resource_specific,LSAMP,protein,5,TRUE,TRUE,FALSE,TRUE,TRUE,HGNC;MCAM;OmniPath,generic,functional,resource_specific,NEGR1,protein,4,TRUE,TRUE,FALSE,TRUE,TRUE,Astrocyte → Neuron
9,adhesion,adhesion,Q13449,Q7Z3B1,cell_adhesion,cell_adhesion,NEGR1,LSAMP,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,Cellinker;Lit-BM-17,Cellinker:32589946;Lit-BM-17:21982860,2,2,2,HGNC;MCAM;OmniPath,generic,functional,resource_specific,LSAMP,protein,5,TRUE,TRUE,FALSE,TRUE,TRUE,Cellinker;HGNC;OmniPath,generic,functional,resource_specific,NEGR1,protein,2,TRUE,TRUE,FALSE,TRUE,TRUE,Astrocyte → Neuron
10,adhesion,adhesion,Q13449,Q7Z3B1,receptor,receptor,NEGR1,LSAMP,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,Cellinker;Lit-BM-17,Cellinker:32589946;Lit-BM-17:21982860,2,2,2,HGNC;MCAM;OmniPath,generic,functional,resource_specific,LSAMP,protein,5,TRUE,TRUE,FALSE,TRUE,TRUE,Cellinker;CellChatDB;Baccin2019;OmniPath,generic,functional,resource_specific,NEGR1,protein,3,FALSE,TRUE,FALSE,TRUE,TRUE,Astrocyte → Neuron
11,adhesion,adhesion,Q9P121,Q7Z3B1,adhesion,adhesion,NEGR1,NTM,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,Cellinker;Lit-BM-17,Cellinker:32589946;Lit-BM-17:21982860,2,2,2,HGNC;OmniPath,generic,functional,resource_specific,NTM,protein,4,TRUE,TRUE,FALSE,FALSE,TRUE,HGNC;MCAM;OmniPath,generic,functional,resource_specific,NEGR1,protein,4,TRUE,TRUE,FALSE,TRUE,TRUE,Astrocyte → Neuron
12,adhesion,adhesion,Q9P121,Q7Z3B1,cell_adhesion,cell_adhesion,NEGR1,NTM,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,Cellinker;Lit-BM-17,Cellinker:32589946;Lit-BM-17:21982860,2,2,2,HGNC;OmniPath,generic,functional,resource_specific,NTM,protein,4,TRUE,TRUE,FALSE,FALSE,TRUE,Cellinker;HGNC;OmniPath,generic,functional,resource_specific,NEGR1,protein,2,TRUE,TRUE,FALSE,TRUE,TRUE,Astrocyte → Neuron
13,adhesion,adhesion,Q9P121,Q7Z3B1,receptor,receptor,NEGR1,NTM,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,Cellinker;Lit-BM-17,Cellinker:32589946;Lit-BM-17:21982860,2,2,2,HGNC;OmniPath,generic,functional,resource_specific,NTM,protein,4,TRUE,TRUE,FALSE,FALSE,TRUE,Cellinker;CellChatDB;Baccin2019;OmniPath,generic,functional,resource_specific,NEGR1,protein,3,FALSE,TRUE,FALSE,TRUE,TRUE,Astrocyte → Neuron
14,cell_adhesion,cell_adhesion,P06241,P04216,adhesion,adhesion,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,Cellinker;OmniPath,generic,functional,resource_specific,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,HGNC;Adhesome;OmniPath,generic,functional,resource_specific,THY1,protein,5,TRUE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
15,cell_adhesion,cell_adhesion,P06241,P04216,cell_adhesion,cell_adhesion,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,Cellinker;OmniPath,generic,functional,resource_specific,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,Cellinker;HGNC;OmniPath,generic,functional,resource_specific,THY1,protein,2,TRUE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
16,cell_adhesion,cell_adhesion,P06241,P04216,matrix_adhesion,matrix_adhesion,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,Cellinker;OmniPath,generic,functional,resource_specific,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,Zhong2015;OmniPath,generic,functional,resource_specific,THY1,protein,1,FALSE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
17,cell_adhesion,cell_adhesion,P06241,P04216,receptor,receptor,THY1,FYN,1,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,Adhesome;CellTalkDB;HPRD;LRdb;PhosphoPoint;SPIKE_LC;Wang,Adhesome:1351058;CellTalkDB:25416548;HPRD:1351058;LRdb:25416548;SPIKE_LC:16713569,5,3,6,Cellinker;OmniPath,generic,functional,resource_specific,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,connectomeDB2020;CellCellInteractions;GO_Intercell;CellTalkDB;LRdb;OmniPath,generic,functional,resource_specific,THY1,protein,5,FALSE,TRUE,FALSE,FALSE,TRUE,Astrocyte → Neuron
18,cell_adhesion,cell_adhesion,P06241,Q02156,ion_channel,ion_channel,PRKCE,FYN,1,1,0,1,1,0,FALSE,FALSE,TRUE,FALSE,HPRD;Wang,HPRD:8621384,1,1,2,Cellinker;OmniPath,generic,functional,resource_specific,FYN,protein,1,TRUE,TRUE,FALSE,FALSE,FALSE,DGIdb;OmniPath,generic,functional,resource_specific,PRKCE,protein,1,FALSE,TRUE,FALSE,FALSE,FALSE,Astrocyte → Neuron
