Source Identifier	SystemCode
ENSG00000175899	En
ENSG00000115977	En
NA	En
ENSG00000149313	En
ENSG00000183044	En
ENSG00000141338	En
ENSG00000085563	En
ENSG00000125257	En
ENSG00000144827	En
ENSG00000100997	En
ENSG00000114779	En
ENSG00000136754	En
ENSG00000138443	En
ENSG00000099204	En
ENSG00000159842	En
ENSG00000060971	En
ENSG00000167315	En
ENSG00000117054	En
ENSG00000072778	En
ENSG00000157766	En
ENSG00000075239	En
ENSG00000120437	En
ENSG00000176244	En
ENSG00000131473	En
ENSG00000122729	En
ENSG00000100412	En
ENSG00000184227	En
ENSG00000097021	En
ENSG00000161533	En
ENSG00000143727	En
ENSG00000134575	En
ENSG00000103740	En
ENSG00000164398	En
ENSG00000154930	En
ENSG00000111058	En
ENSG00000159251	En
ENSG00000184009	En
ENSG00000072110	En
ENSG00000130402	En
ENSG00000138107	En
ENSG00000115073	En
ENSG00000138071	En
ENSG00000115091	En
ENSG00000133627	En
ENSG00000243989	En
ENSG00000119640	En
ENSG00000170634	En
ENSG00000137845	En
ENSG00000073670	En
ENSG00000008277	En
ENSG00000168615	En
ENSG00000105963	En
ENSG00000164742	En
ENSG00000078295	En
ENSG00000087274	En
ENSG00000075340	En
ENSG00000148700	En
ENSG00000150471	En
ENSG00000197894	En
ENSG00000156110	En
NA	En
NA	En
ENSG00000162688	En
ENSG00000188157	En
ENSG00000135744	En
ENSG00000101444	En
ENSG00000168710	En
ENSG00000158467	En
ENSG00000124942	En
ENSG00000185567	En
ENSG00000100591	En
ENSG00000156709	En
ENSG00000164022	En
ENSG00000106992	En
ENSG00000004455	En
ENSG00000147853	En
ENSG00000162433	En
ENSG00000131016	En
ENSG00000117448	En
ENSG00000085662	En
ENSG00000196139	En
ENSG00000053371	En
ENSG00000148218	En
ENSG00000170017	En
ENSG00000165092	En
ENSG00000144908	En
ENSG00000111275	En
ENSG00000072210	En
ENSG00000159423	En
ENSG00000112294	En
ENSG00000119711	En
ENSG00000164904	En
ENSG00000143149	En
ENSG00000149925	En
ENSG00000109107	En
ENSG00000162551	En
ENSG00000116337	En
ENSG00000078053	En
ENSG00000145362	En
ENSG00000151150	En
ENSG00000185722	En
ENSG00000177119	En
ENSG00000140350	En
ENSG00000169604	En
ENSG00000135046	En
ENSG00000122359	En
ENSG00000182718	En
ENSG00000138772	En
ENSG00000196975	En
ENSG00000164111	En
ENSG00000197043	En
ENSG00000138279	En
ENSG00000131471	En
ENSG00000100280	En
ENSG00000166747	En
ENSG00000196961	En
ENSG00000183020	En
ENSG00000006125	En
ENSG00000161203	En
ENSG00000103723	En
ENSG00000065000	En
ENSG00000070718	En
ENSG00000107282	En
ENSG00000164062	En
ENSG00000100823	En
ENSG00000101474	En
ENSG00000118137	En
NA	En
ENSG00000084674	En
ENSG00000189058	En
ENSG00000130203	En
ENSG00000091583	En
ENSG00000142192	En
ENSG00000157500	En
ENSG00000136044	En
ENSG00000198931	En
ENSG00000171885	En
ENSG00000143761	En
ENSG00000168374	En
ENSG00000004059	En
ENSG00000175220	En
ENSG00000160007	En
ENSG00000100852	En
ENSG00000141522	En
ENSG00000111348	En
ENSG00000196914	En
ENSG00000116584	En
ENSG00000102606	En
ENSG00000138175	En
ENSG00000143862	En
ENSG00000146476	En
ENSG00000241685	En
ENSG00000163466	En
ENSG00000111229	En
ENSG00000250151	En
ENSG00000162704	En
ENSG00000136950	En
ENSG00000128989	En
ENSG00000137486	En
ENSG00000099889	En
ENSG00000104763	En
ENSG00000169093	En
NA	En
ENSG00000108381	En
ENSG00000198363	En
