Source Identifier	SystemCode	ME	NA
ENSG00000175899	A2M	black	En
ENSG00000115977	AAK1	black	En
NA	AARS	black	En
ENSG00000149313	AASDHPPT	black	En
ENSG00000138443	ABI2	black	En
ENSG00000157766	ACAN	black	En
ENSG00000120437	ACAT2	black	En
ENSG00000131473	ACLY	black	En
ENSG00000097021	ACOT7	black	En
ENSG00000130402	ACTN4	black	En
ENSG00000133627	ACTR3B	black	En
ENSG00000137845	ADAM10	black	En
ENSG00000073670	ADAM11	black	En
ENSG00000105963	ADAP1	black	En
ENSG00000164742	ADCY1	black	En
ENSG00000075340	ADD2	black	En
ENSG00000148700	ADD3	black	En
ENSG00000150471	ADGRL3	black	En
NA	ADRBK1	black	En
NA	ADSS	black	En
ENSG00000188157	AGRN	black	En
ENSG00000135744	AGT	black	En
ENSG00000100591	AHSA1	black	En
ENSG00000165092	ALDH1A1	black	En
ENSG00000144908	ALDH1L1	black	En
ENSG00000111275	ALDH2	black	En
ENSG00000159423	ALDH4A1	black	En
ENSG00000164904	ALDH7A1	black	En
ENSG00000078053	AMPH	black	En
ENSG00000145362	ANK2	black	En
ENSG00000151150	ANK3	black	En
ENSG00000138772	ANXA3	black	En
ENSG00000100280	AP1B1	black	En
ENSG00000166747	AP1G1	black	En
ENSG00000196961	AP2A1	black	En
ENSG00000183020	AP2A2	black	En
ENSG00000006125	AP2B1	black	En
ENSG00000161203	AP2M1	black	En
ENSG00000103723	AP3B2	black	En
ENSG00000065000	AP3D1	black	En
ENSG00000070718	AP3M2	black	En
ENSG00000107282	APBA1	black	En
ENSG00000157500	APPL1	black	En
ENSG00000171885	AQP4	black	En
ENSG00000143761	ARF1	black	En
ENSG00000004059	ARF5	black	En
ENSG00000160007	ARHGAP35	black	En
ENSG00000141522	ARHGDIA	black	En
ENSG00000196914	ARHGEF12	black	En
ENSG00000116584	ARHGEF2	black	En
ENSG00000102606	ARHGEF7	black	En
ENSG00000146476	ARMT1	black	En
ENSG00000167654	ATCAY	black	En
ENSG00000197548	ATG7	black	En
ENSG00000198513	ATL1	black	En
ENSG00000070961	ATP2B1	black	En
ENSG00000157087	ATP2B2	black	En
ENSG00000067842	ATP2B3	black	En
ENSG00000058668	ATP2B4	black	En
ENSG00000088812	ATRN	black	En
ENSG00000151929	BAG3	black	En
ENSG00000204463	BAG6	black	En
ENSG00000175866	BAIAP2	black	En
ENSG00000176788	BASP1	black	En
ENSG00000164039	BDH2	black	En
ENSG00000164061	BSN	black	En
ENSG00000175573	C11orf68	black	En
NA	C14orf166	black	En
NA	C16orf13	black	En
ENSG00000125730	C3	black	En
ENSG00000167434	CA4	black	En
ENSG00000162706	CADM3	black	En
ENSG00000105767	CADM4	black	En
ENSG00000163618	CADPS	black	En
ENSG00000183049	CAMK1D	black	En
ENSG00000152495	CAMK4	black	En
ENSG00000076826	CAMSAP3	black	En
ENSG00000112186	CAP2	black	En
NA	CARS	black	En
ENSG00000167971	CASKIN1	black	En
ENSG00000108091	CCDC6	black	En
ENSG00000108100	CCNY	black	En
ENSG00000166226	CCT2	black	En
ENSG00000150753	CCT5	black	En
ENSG00000135624	CCT7	black	En
ENSG00000156261	CCT8	black	En
ENSG00000091972	CD200	black	En
ENSG00000196776	CD47	black	En
ENSG00000105401	CDC37	black	En
ENSG00000198752	CDC42BPB	black	En
ENSG00000164885	CDK5	black	En
ENSG00000172757	CFL1	black	En
ENSG00000101421	CHMP4B	black	En
ENSG00000110172	CHORDC1	black	En
ENSG00000175216	CKAP5	black	En
ENSG00000163539	CLASP2	black	En
ENSG00000106665	CLIP2	black	En
ENSG00000175416	CLTB	black	En
ENSG00000162368	CMPK1	black	En
ENSG00000133313	CNDP2	black	En
ENSG00000119865	CNRIP1	black	En
ENSG00000122756	CNTFR	black	En
ENSG00000166200	COPS2	black	En
ENSG00000138663	COPS4	black	En
ENSG00000121022	COPS5	black	En
ENSG00000168090	COPS6	black	En
ENSG00000111652	COPS7A	black	En
ENSG00000102879	CORO1A	black	En
ENSG00000110880	CORO1C	black	En
ENSG00000103647	CORO2B	black	En
ENSG00000103187	COTL1	black	En
ENSG00000168993	CPLX1	black	En
ENSG00000145920	CPLX2	black	En
ENSG00000135678	CPM	black	En
ENSG00000196353	CPNE4	black	En
ENSG00000124772	CPNE5	black	En
ENSG00000103381	CPPED1	black	En
ENSG00000099942	CRKL	black	En
ENSG00000072832	CRMP1	black	En
ENSG00000109846	CRYAB	black	En
