Source Identifier	SystemCode	ME	NA
ENSG00000183044	ABAT	turquoise	En
ENSG00000141338	ABCA8	turquoise	En
ENSG00000125257	ABCC4	turquoise	En
ENSG00000144827	ABHD10	turquoise	En
ENSG00000114779	ABHD14B	turquoise	En
ENSG00000060971	ACAA1	turquoise	En
ENSG00000167315	ACAA2	turquoise	En
ENSG00000117054	ACADM	turquoise	En
ENSG00000072778	ACADVL	turquoise	En
ENSG00000075239	ACAT1	turquoise	En
ENSG00000100412	ACO2	turquoise	En
ENSG00000184227	ACOT1	turquoise	En
ENSG00000161533	ACOX1	turquoise	En
ENSG00000143727	ACP1	turquoise	En
ENSG00000134575	ACP2	turquoise	En
ENSG00000103740	ACSBG1	turquoise	En
ENSG00000154930	ACSS1	turquoise	En
ENSG00000111058	ACSS3	turquoise	En
ENSG00000115091	ACTR3	turquoise	En
ENSG00000243989	ACY1	turquoise	En
ENSG00000168615	ADAM9	turquoise	En
ENSG00000197894	ADH5	turquoise	En
ENSG00000124942	AHNAK	turquoise	En
ENSG00000156709	AIFM1	turquoise	En
ENSG00000164022	AIMP1	turquoise	En
ENSG00000106992	AK1	turquoise	En
ENSG00000004455	AK2	turquoise	En
ENSG00000147853	AK3	turquoise	En
ENSG00000162433	AK4	turquoise	En
ENSG00000131016	AKAP12	turquoise	En
ENSG00000196139	AKR1C3	turquoise	En
ENSG00000053371	AKR7A2	turquoise	En
ENSG00000148218	ALAD	turquoise	En
ENSG00000170017	ALCAM	turquoise	En
ENSG00000112294	ALDH5A1	turquoise	En
ENSG00000119711	ALDH6A1	turquoise	En
ENSG00000143149	ALDH9A1	turquoise	En
ENSG00000149925	ALDOA	turquoise	En
ENSG00000109107	ALDOC	turquoise	En
ENSG00000162551	ALPL	turquoise	En
ENSG00000185722	ANKFY1	turquoise	En
ENSG00000177119	ANO6	turquoise	En
ENSG00000169604	ANTXR1	turquoise	En
ENSG00000135046	ANXA1	turquoise	En
ENSG00000182718	ANXA2	turquoise	En
ENSG00000196975	ANXA4	turquoise	En
ENSG00000164111	ANXA5	turquoise	En
ENSG00000131471	AOC3	turquoise	En
ENSG00000164062	APEH	turquoise	En
ENSG00000189058	APOD	turquoise	En
ENSG00000136044	APPL2	turquoise	En
ENSG00000198931	APRT	turquoise	En
ENSG00000111348	ARHGDIB	turquoise	En
ENSG00000162704	ARPC5	turquoise	En
ENSG00000099889	ARVCF	turquoise	En
ENSG00000104763	ASAH1	turquoise	En
ENSG00000130707	ASS1	turquoise	En
ENSG00000163399	ATP1A1	turquoise	En
ENSG00000105409	ATP1A3	turquoise	En
ENSG00000143153	ATP1B1	turquoise	En
ENSG00000069849	ATP1B3	turquoise	En
NA	ATP5A1	turquoise	En
NA	ATP5B	turquoise	En
NA	ATP5C1	turquoise	En
NA	ATP5F1	turquoise	En
NA	ATP5H	turquoise	En
NA	ATP5O	turquoise	En
ENSG00000100554	ATP6V1D	turquoise	En
