Ensembl	symbol	GeneOntology
ENSG00000103316	CRYM	GO:0047127
ENSG00000164742	ADCY1	GO:0034199
ENSG00000142875	PRKACB	GO:0034199
ENSG00000005249	PRKAR2B	GO:0034199
ENSG00000114302	PRKAR2A	GO:0034199
ENSG00000179295	PTPN11	GO:2000831
ENSG00000179295	PTPN11	GO:2000832
ENSG00000004478	FKBP4	GO:0030850
ENSG00000175793	SFN	GO:0030856
ENSG00000105723	GSK3A	GO:0030856
ENSG00000134318	ROCK2	GO:0030856
ENSG00000105723	GSK3A	GO:0030857
ENSG00000074319	TSG101	GO:0030855
ENSG00000175793	SFN	GO:0030855
ENSG00000197746	PSAP	GO:0030855
ENSG00000169032	MAP2K1	GO:0030855
ENSG00000176788	BASP1	GO:0030855
ENSG00000078902	TOLLIP	GO:0030855
ENSG00000164039	BDH2	GO:0030855
ENSG00000164733	CTSB	GO:0030855
ENSG00000175793	SFN	GO:0030858
ENSG00000166086	JAM3	GO:0031103
ENSG00000166086	JAM3	GO:0031102
ENSG00000136167	LCP1	GO:0031100
ENSG00000117632	STMN1	GO:0031109
ENSG00000109846	CRYAB	GO:0031109
ENSG00000103187	COTL1	GO:0050832
ENSG00000130402	ACTN4	GO:0034774
ENSG00000175899	A2M	GO:0034774
ENSG00000166086	JAM3	GO:0050839
ENSG00000156642	NPTN	GO:0050839
ENSG00000073670	ADAM11	GO:0050839
ENSG00000010322	NISCH	GO:0050839
ENSG00000151150	ANK3	GO:0050839
ENSG00000130402	ACTN4	GO:0050839
ENSG00000172037	LAMB2	GO:0050839
ENSG00000137845	ADAM10	GO:0050839
ENSG00000067141	NEO1	GO:0050839
ENSG00000154639	CXADR	GO:0050839
ENSG00000153707	PTPRD	GO:0050839
ENSG00000126583	PRKCG	GO:0030425
ENSG00000116106	EPHA4	GO:0030425
ENSG00000138834	MAPK8IP3	GO:0030425
ENSG00000133216	EPHB2	GO:0030425
ENSG00000169032	MAP2K1	GO:0030425
ENSG00000258947	TUBB3	GO:0030425
ENSG00000138443	ABI2	GO:0030425
ENSG00000167654	ATCAY	GO:0030425
ENSG00000113758	DBN1	GO:0030425
ENSG00000197386	HTT	GO:0030425
ENSG00000008056	SYN1	GO:0030425
ENSG00000164061	BSN	GO:0030425
ENSG00000204681	GABBR1	GO:0030425
ENSG00000168993	CPLX1	GO:0030425
ENSG00000130479	MAP1S	GO:0030425
ENSG00000151150	ANK3	GO:0030425
ENSG00000187391	MAGI2	GO:0030425
ENSG00000136279	DBNL	GO:0030425
ENSG00000145920	CPLX2	GO:0030425
ENSG00000078369	GNB1	GO:0030425
ENSG00000186642	PDE2A	GO:0030425
ENSG00000152413	HOMER1	GO:0030425
ENSG00000107130	NCS1	GO:0030425
ENSG00000149269	PAK1	GO:0030425
ENSG00000132535	DLG4	GO:0030425
ENSG00000277363	SRCIN1	GO:0030425
ENSG00000164885	CDK5	GO:0030425
ENSG00000164082	GRM2	GO:0030425
ENSG00000152767	FARP1	GO:0030425
ENSG00000072832	CRMP1	GO:0030425
ENSG00000175662	TOM1L2	GO:0051783
ENSG00000099901	RANBP1	GO:0051783
ENSG00000241360	PDXP	GO:0051783
ENSG00000182621	PLCB1	GO:0051783
ENSG00000127445	PIN1	GO:0051783
ENSG00000175662	TOM1L2	GO:0051782
ENSG00000099901	RANBP1	GO:0051781
ENSG00000171132	PRKCE	GO:0051781
ENSG00000182621	PLCB1	GO:0051781
ENSG00000036257	CUL3	GO:0051781
ENSG00000099901	RANBP1	GO:0051785
ENSG00000182621	PLCB1	GO:0051785
ENSG00000175662	TOM1L2	GO:0051784
ENSG00000160789	LMNA	GO:0090342
ENSG00000183049	CAMK1D	GO:0060263
ENSG00000132535	DLG4	GO:0031811
ENSG00000110169	HPX	GO:0020027
ENSG00000183049	CAMK1D	GO:0060267
ENSG00000099810	MTAP	GO:0006595
ENSG00000105723	GSK3A	GO:0010906
ENSG00000213639	PPP1CB	GO:0010906
ENSG00000095637	SORBS1	GO:0010906
ENSG00000171314	PGAM1	GO:0010906
ENSG00000205629	LCMT1	GO:0010906
ENSG00000131067	GGT7	GO:0046658
ENSG00000167434	CA4	GO:0046658
ENSG00000196358	NTNG2	GO:0046658
ENSG00000105723	GSK3A	GO:0010904
ENSG00000105723	GSK3A	GO:0010905
ENSG00000099864	PALM	GO:0050780
ENSG00000179295	PTPN11	GO:0050780
ENSG00000132535	DLG4	GO:0050780
ENSG00000107758	PPP3CB	GO:0046651
ENSG00000010810	FYN	GO:0046651
ENSG00000165704	HPRT1	GO:0046651
ENSG00000144908	ALDH1L1	GO:0046653
ENSG00000160007	ARHGAP35	GO:0050789
ENSG00000087470	DNM1L	GO:0050789
ENSG00000204590	GNL1	GO:0050789
ENSG00000110514	MADD	GO:0050789
ENSG00000204843	DCTN1	GO:0050789
ENSG00000076864	RAP1GAP	GO:0050789
ENSG00000162065	TBC1D24	GO:0050789
ENSG00000108424	KPNB1	GO:0050789
ENSG00000276293	PIP4K2B	GO:0050789
ENSG00000126583	PRKCG	GO:0050789
ENSG00000074319	TSG101	GO:0050789
ENSG00000183020	AP2A2	GO:0050789
ENSG00000206418	RAB12	GO:0050789
ENSG00000156011	PSD3	GO:0050789
ENSG00000055130	CUL1	GO:0050789
ENSG00000175662	TOM1L2	GO:0050789
ENSG00000132434	LANCL2	GO:0050789
ENSG00000214338	SOGA3	GO:0050789
ENSG00000175793	SFN	GO:0050789
ENSG00000105402	NAPA	GO:0050789
ENSG00000105401	CDC37	GO:0050789
ENSG00000112137	PHACTR1	GO:0050789
ENSG00000065559	MAP2K4	GO:0050789
ENSG00000116106	EPHA4	GO:0050789
ENSG00000164830	OXR1	GO:0050789
ENSG00000102879	CORO1A	GO:0050789
ENSG00000154277	UCHL1	GO:0050789
ENSG00000166228	PCBD1	GO:0050789
ENSG00000196961	AP2A1	GO:0050789
ENSG00000144118	RALB	GO:0050789
ENSG00000136928	GABBR2	GO:0050789
ENSG00000132507	EIF5A	GO:0050789
ENSG00000138834	MAPK8IP3	GO:0050789
ENSG00000196569	LAMA2	GO:0050789
ENSG00000101152	DNAJC5	GO:0050789
ENSG00000197746	PSAP	GO:0050789
ENSG00000188157	AGRN	GO:0050789
ENSG00000166086	JAM3	GO:0050789
ENSG00000105723	GSK3A	GO:0050789
ENSG00000104695	PPP2CB	GO:0050789
ENSG00000160307	S100B	GO:0050789
ENSG00000133216	EPHB2	GO:0050789
ENSG00000099901	RANBP1	GO:0050789
ENSG00000168461	RAB31	GO:0050789
ENSG00000138069	RAB1A	GO:0050789
ENSG00000164506	STXBP5	GO:0050789
ENSG00000136531	SCN2A	GO:0050789
ENSG00000169032	MAP2K1	GO:0050789
ENSG00000143155	TIPRL	GO:0050789
ENSG00000085832	EPS15	GO:0050789
ENSG00000233276	GPX1	GO:0050789
ENSG00000111737	RAB35	GO:0050789
ENSG00000100519	PSMC6	GO:0050789
ENSG00000138443	ABI2	GO:0050789
ENSG00000125868	DSTN	GO:0050789
ENSG00000133083	DCLK1	GO:0050789
ENSG00000132359	RAP1GAP2	GO:0050789
ENSG00000108262	GIT1	GO:0050789
ENSG00000007237	GAS7	GO:0050789
ENSG00000092621	PHGDH	GO:0050789
ENSG00000175582	RAB6A	GO:0050789
ENSG00000143321	HDGF	GO:0050789
ENSG00000167654	ATCAY	GO:0050789
ENSG00000103154	NECAB2	GO:0050789
ENSG00000113758	DBN1	GO:0050789
ENSG00000065000	AP3D1	GO:0050789
ENSG00000183023	SLC8A1	GO:0050789
ENSG00000011347	SYT7	GO:0050789
ENSG00000169710	FASN	GO:0050789
ENSG00000167578	RAB4B	GO:0050789
ENSG00000213639	PPP1CB	GO:0050789
ENSG00000176105	YES1	GO:0050789
ENSG00000117632	STMN1	GO:0050789
ENSG00000150471	LPHN3	GO:0050789
ENSG00000166974	MAPRE2	GO:0050789
ENSG00000112290	WASF1	GO:0050789
ENSG00000112640	PPP2R5D	GO:0050789
ENSG00000105649	RAB3A	GO:0050789
ENSG00000166579	NDEL1	GO:0050789
ENSG00000095637	SORBS1	GO:0050789
ENSG00000213023	SYT3	GO:0050789
ENSG00000115252	PDE1A	GO:0050789
ENSG00000115310	RTN4	GO:0050789
ENSG00000099942	CRKL	GO:0050789
ENSG00000161057	PSMC2	GO:0050789
ENSG00000099864	PALM	GO:0050789
ENSG00000028528	SNX1	GO:0050789
ENSG00000134308	YWHAQ	GO:0050789
ENSG00000135924	DNAJB2	GO:0050789
ENSG00000154001	PPP2R5E	GO:0050789
ENSG00000092199	HNRNPC	GO:0050789
ENSG00000171132	PRKCE	GO:0050789
ENSG00000087258	GNAO1	GO:0050789
ENSG00000041353	RAB27B	GO:0050789
ENSG00000136068	FLNB	GO:0050789
ENSG00000197386	HTT	GO:0050789
ENSG00000149575	SCN2B	GO:0050789
ENSG00000167971	CASKIN1	GO:0050789
ENSG00000135862	LAMC1	GO:0050789
ENSG00000108094	CUL2	GO:0050789
ENSG00000023734	STRAP	GO:0050789
ENSG00000161203	AP2M1	GO:0050789
ENSG00000164924	YWHAZ	GO:0050789
ENSG00000247596	TWF2	GO:0050789
ENSG00000131171	SH3BGRL	GO:0050789
ENSG00000172354	GNB2	GO:0050789
ENSG00000111344	RASAL1	GO:0050789
ENSG00000125730	C3	GO:0050789
ENSG00000119396	RAB14	GO:0050789
ENSG00000241973	PI4KA	GO:0050789
ENSG00000141985	SH3GL1	GO:0050789
ENSG00000128245	YWHAH	GO:0050789
ENSG00000196776	CD47	GO:0050789
ENSG00000088812	ATRN	GO:0050789
ENSG00000171314	PGAM1	GO:0050789
ENSG00000116288	PARK7	GO:0050789
ENSG00000128266	GNAZ	GO:0050789
ENSG00000110169	HPX	GO:0050789
ENSG00000007168	PAFAH1B1	GO:0050789
ENSG00000176788	BASP1	GO:0050789
ENSG00000174775	HRAS	GO:0050789
ENSG00000153904	DDAH1	GO:0050789
ENSG00000101421	CHMP4B	GO:0050789
ENSG00000156642	NPTN	GO:0050789
ENSG00000126803	HSPA2	GO:0050789
ENSG00000183049	CAMK1D	GO:0050789
ENSG00000164742	ADCY1	GO:0050789
ENSG00000091844	RGS17	GO:0050789
ENSG00000135744	AGT	GO:0050789
ENSG00000021355	SERPINB1	GO:0050789
ENSG00000170027	YWHAG	GO:0050789
ENSG00000232119	MCTS1	GO:0050789
ENSG00000100280	AP1B1	GO:0050789
ENSG00000073670	ADAM11	GO:0050789
ENSG00000084764	MAPRE3	GO:0050789
ENSG00000152932	RAB3C	GO:0050789
ENSG00000205629	LCMT1	GO:0050789
ENSG00000141522	ARHGDIA	GO:0050789
ENSG00000204681	GABBR1	GO:0050789
ENSG00000018189	RUFY3	GO:0050789
ENSG00000100764	PSMC1	GO:0050789
ENSG00000114742	WDR48	GO:0050789
ENSG00000079785	DDX1	GO:0050789
ENSG00000127955	GNAI1	GO:0050789
ENSG00000107758	PPP3CB	GO:0050789
ENSG00000111540	RAB5B	GO:0050789
ENSG00000006125	AP2B1	GO:0050789
ENSG00000063245	EPN1	GO:0050789
ENSG00000110880	CORO1C	GO:0050789
ENSG00000198752	CDC42BPB	GO:0050789
ENSG00000152495	CAMK4	GO:0050789
ENSG00000131475	VPS25	GO:0050789
ENSG00000029725	RABEP1	GO:0050789
ENSG00000131473	ACLY	GO:0050789
ENSG00000078902	TOLLIP	GO:0050789
ENSG00000144711	IQSEC1	GO:0050789
ENSG00000125814	NAPB	GO:0050789
ENSG00000010322	NISCH	GO:0050789
ENSG00000151150	ANK3	GO:0050789
ENSG00000221866	PLXNA4	GO:0050789
ENSG00000182149	IST1	GO:0050789
ENSG00000130402	ACTN4	GO:0050789
ENSG00000143621	ILF2	GO:0050789
ENSG00000122756	CNTFR	GO:0050789
ENSG00000187391	MAGI2	GO:0050789
ENSG00000105887	MTPN	GO:0050789
ENSG00000011454	RABGAP1	GO:0050789
ENSG00000159692	CTBP1	GO:0050789
ENSG00000065150	IPO5	GO:0050789
ENSG00000104490	NCALD	GO:0050789
ENSG00000102606	ARHGEF7	GO:0050789
ENSG00000169727	GPS1	GO:0050789
ENSG00000183775	KCTD16	GO:0050789
ENSG00000105220	GPI	GO:0050789
ENSG00000116584	ARHGEF2	GO:0050789
ENSG00000145087	STXBP5L	GO:0050789
ENSG00000145362	ANK2	GO:0050789
ENSG00000132639	SNAP25	GO:0050789
ENSG00000166200	COPS2	GO:0050789
ENSG00000136279	DBNL	GO:0050789
ENSG00000213949	ITGA1	GO:0050789
ENSG00000158856	DMTN	GO:0050789
ENSG00000177885	GRB2	GO:0050789
ENSG00000151025	GPR158	GO:0050789
ENSG00000145920	CPLX2	GO:0050789
ENSG00000078369	GNB1	GO:0050789
ENSG00000175866	BAIAP2	GO:0050789
ENSG00000197548	ATG7	GO:0050789
ENSG00000142875	PRKACB	GO:0050789
ENSG00000221914	PPP2R2A	GO:0050789
ENSG00000108100	CCNY	GO:0050789
ENSG00000074416	MGLL	GO:0050789
ENSG00000115756	HPCAL1	GO:0050789
ENSG00000004478	FKBP4	GO:0050789
ENSG00000175166	PSMD2	GO:0050789
ENSG00000073969	NSF	GO:0050789
ENSG00000125746	EML2	GO:0050789
ENSG00000187555	USP7	GO:0050789
ENSG00000166747	AP1G1	GO:0050789
ENSG00000221823	PPP3R1	GO:0050789
ENSG00000082397	EPB41L3	GO:0050789
ENSG00000220205	VAMP2	GO:0050789
ENSG00000173611	SCAI	GO:0050789
ENSG00000064651	SLC12A2	GO:0050789
ENSG00000127527	EPS15L1	GO:0050789
ENSG00000186469	GNG2	GO:0050789
ENSG00000179295	PTPN11	GO:0050789
ENSG00000070087	PFN2	GO:0050789
ENSG00000157087	ATP2B2	GO:0050789
ENSG00000169567	HINT1	GO:0050789
ENSG00000124507	PACSIN1	GO:0050789
ENSG00000075340	ADD2	GO:0050789
ENSG00000101558	VAPA	GO:0050789
ENSG00000152642	GPD1L	GO:0050789
ENSG00000204463	BAG6	GO:0050789
ENSG00000196262	PPIA	GO:0050789
ENSG00000076706	MCAM	GO:0050789
ENSG00000186642	PDE2A	GO:0050789
ENSG00000137845	ADAM10	GO:0050789
ENSG00000077264	PAK3	GO:0050789
ENSG00000160789	LMNA	GO:0050789
ENSG00000108861	DUSP3	GO:0050789
ENSG00000010810	FYN	GO:0050789
ENSG00000176533	GNG7	GO:0050789
ENSG00000091972	CD200	GO:0050789
ENSG00000101079	NDRG3	GO:0050789
ENSG00000130226	DPP6	GO:0050789
ENSG00000138814	PPP3CA	GO:0050789
ENSG00000124164	VAPB	GO:0050789
ENSG00000150672	DLG2	GO:0050789
ENSG00000145335	SNCA	GO:0050789
ENSG00000108671	PSMD11	GO:0050789
ENSG00000152413	HOMER1	GO:0050789
ENSG00000058668	ATP2B4	GO:0050789
ENSG00000107130	NCS1	GO:0050789
ENSG00000082458	DLG3	GO:0050789
ENSG00000136167	LCP1	GO:0050789
ENSG00000241360	PDXP	GO:0050789
ENSG00000136040	PLXNC1	GO:0050789
ENSG00000115977	AAK1	GO:0050789
ENSG00000110172	CHORDC1	GO:0050789
ENSG00000101210	EEF1A2	GO:0050789
ENSG00000107295	SH3GL2	GO:0050789
ENSG00000163539	CLASP2	GO:0050789
ENSG00000151929	BAG3	GO:0050789
ENSG00000013364	MVP	GO:0050789
ENSG00000067715	SYT1	GO:0050789
ENSG00000149269	PAK1	GO:0050789
ENSG00000004059	ARF5	GO:0050789
ENSG00000103316	CRYM	GO:0050789
ENSG00000075711	DLG1	GO:0050789
ENSG00000182901	RGS7	GO:0050789
ENSG00000165416	SUGT1	GO:0050789
ENSG00000170515	PA2G4	GO:0050789
ENSG00000196220	SRGAP3	GO:0050789
ENSG00000167770	OTUB1	GO:0050789
ENSG00000135018	UBQLN1	GO:0050789
ENSG00000106211	HSPB1	GO:0050789
ENSG00000143878	RHOB	GO:0050789
ENSG00000067141	NEO1	GO:0050789
ENSG00000109846	CRYAB	GO:0050789
ENSG00000105568	PPP2R1A	GO:0050789
ENSG00000164733	CTSB	GO:0050789
ENSG00000111667	USP5	GO:0050789
ENSG00000106089	STX1A	GO:0050789
ENSG00000204388	HSPA1B	GO:0050789
ENSG00000005249	PRKAR2B	GO:0050789
ENSG00000118473	SGIP1	GO:0050789
ENSG00000198822	GRM3	GO:0050789
ENSG00000105963	ADAP1	GO:0050789
ENSG00000166913	YWHAB	GO:0050789
ENSG00000104388	RAB2A	GO:0050789
ENSG00000165092	ALDH1A1	GO:0050789
ENSG00000116675	DNAJC6	GO:0050789
ENSG00000143761	ARF1	GO:0050789
ENSG00000154639	CXADR	GO:0050789
ENSG00000157500	APPL1	GO:0050789
ENSG00000002834	LASP1	GO:0050789
ENSG00000084207	GSTP1	GO:0050789
ENSG00000135655	USP15	GO:0050789
ENSG00000182621	PLCB1	GO:0050789
ENSG00000183715	OPCML	GO:0050789
ENSG00000172020	GAP43	GO:0050789
ENSG00000100241	SBF1	GO:0050789
ENSG00000132535	DLG4	GO:0050789
ENSG00000114554	PLXNA1	GO:0050789
ENSG00000133112	TPT1	GO:0050789
ENSG00000115685	PPP1R7	GO:0050789
ENSG00000150625	GPM6A	GO:0050789
ENSG00000167996	FTH1	GO:0050789
ENSG00000214517	PPME1	GO:0050789
ENSG00000109339	MAPK10	GO:0050789
ENSG00000069966	GNB5	GO:0050789
ENSG00000134265	NAPG	GO:0050789
ENSG00000138698	RAP1GDS1	GO:0050789
ENSG00000127445	PIN1	GO:0050789
ENSG00000099365	STX1B	GO:0050789
ENSG00000172500	FIBP	GO:0050789
ENSG00000165023	DIRAS2	GO:0050789
ENSG00000175115	PACS1	GO:0050789
ENSG00000277363	SRCIN1	GO:0050789
ENSG00000186479	RGS7BP	GO:0050789
ENSG00000186472	PCLO	GO:0050789
ENSG00000046889	PREX2	GO:0050789
ENSG00000138772	ANXA3	GO:0050789
ENSG00000172757	CFL1	GO:0050789
ENSG00000055163	CYFIP2	GO:0050789
ENSG00000108953	YWHAE	GO:0050789
ENSG00000116141	MARK1	GO:0050789
ENSG00000148356	LRSAM1	GO:0050789
ENSG00000148175	STOM	GO:0050789
ENSG00000136738	STAM	GO:0050789
ENSG00000144635	DYNC1LI1	GO:0050789
ENSG00000087191	PSMC5	GO:0050789
ENSG00000174903	RAB1B	GO:0050789
ENSG00000036257	CUL3	GO:0050789
ENSG00000076826	CAMSAP3	GO:0050789
ENSG00000092010	PSME1	GO:0050789
ENSG00000096384	HSP90AB1	GO:0050789
ENSG00000050165	DKK3	GO:0050789
ENSG00000117758	STX12	GO:0050789
ENSG00000140600	SH3GL3	GO:0050789
ENSG00000196914	ARHGEF12	GO:0050789
ENSG00000109654	TRIM2	GO:0050789
ENSG00000148672	GLUD1	GO:0050789
ENSG00000112186	CAP2	GO:0050789
ENSG00000164885	CDK5	GO:0050789
ENSG00000136854	STXBP1	GO:0050789
ENSG00000175931	UBE2O	GO:0050789
ENSG00000011485	PPP5C	GO:0050789
ENSG00000100591	AHSA1	GO:0050789
ENSG00000116962	NID1	GO:0050789
ENSG00000166501	PRKCB	GO:0050789
ENSG00000114302	PRKAR2A	GO:0050789
ENSG00000120694	HSPH1	GO:0050789
ENSG00000121022	COPS5	GO:0050789
