Ensembl	symbol	KEGG
ENSG00000103056	SMPD3	Sphingolipid metabolism:KEGG-hsa00600
ENSG00000165092	ALDH1A1	Retinol metabolism:KEGG-hsa00830
ENSG00000169032	MAP2K1	Endometrial cancer:KEGG-hsa05213
ENSG00000174775	HRAS	Endometrial cancer:KEGG-hsa05213
ENSG00000177885	GRB2	Endometrial cancer:KEGG-hsa05213
ENSG00000204843	DCTN1	Huntington's disease:KEGG-hsa05016
ENSG00000175416	CLTB	Huntington's disease:KEGG-hsa05016
ENSG00000183020	AP2A2	Huntington's disease:KEGG-hsa05016
ENSG00000196961	AP2A1	Huntington's disease:KEGG-hsa05016
ENSG00000175203	DCTN2	Huntington's disease:KEGG-hsa05016
ENSG00000233276	GPX1	Huntington's disease:KEGG-hsa05016
ENSG00000197386	HTT	Huntington's disease:KEGG-hsa05016
ENSG00000161203	AP2M1	Huntington's disease:KEGG-hsa05016
ENSG00000006125	AP2B1	Huntington's disease:KEGG-hsa05016
ENSG00000182621	PLCB1	Huntington's disease:KEGG-hsa05016
ENSG00000132535	DLG4	Huntington's disease:KEGG-hsa05016
ENSG00000126583	PRKCG	Long-term potentiation:KEGG-hsa04720
ENSG00000169032	MAP2K1	Long-term potentiation:KEGG-hsa04720
ENSG00000213639	PPP1CB	Long-term potentiation:KEGG-hsa04720
ENSG00000174775	HRAS	Long-term potentiation:KEGG-hsa04720
ENSG00000164742	ADCY1	Long-term potentiation:KEGG-hsa04720
ENSG00000107758	PPP3CB	Long-term potentiation:KEGG-hsa04720
ENSG00000152495	CAMK4	Long-term potentiation:KEGG-hsa04720
ENSG00000142875	PRKACB	Long-term potentiation:KEGG-hsa04720
ENSG00000221823	PPP3R1	Long-term potentiation:KEGG-hsa04720
ENSG00000138814	PPP3CA	Long-term potentiation:KEGG-hsa04720
ENSG00000182621	PLCB1	Long-term potentiation:KEGG-hsa04720
ENSG00000166501	PRKCB	Long-term potentiation:KEGG-hsa04720
ENSG00000165434	PGM2L1	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000105220	GPI	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000169299	PGM2	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000055130	CUL1	Oocyte meiosis:KEGG-hsa04114
ENSG00000104695	PPP2CB	Oocyte meiosis:KEGG-hsa04114
ENSG00000169032	MAP2K1	Oocyte meiosis:KEGG-hsa04114
ENSG00000213639	PPP1CB	Oocyte meiosis:KEGG-hsa04114
ENSG00000112640	PPP2R5D	Oocyte meiosis:KEGG-hsa04114
ENSG00000134308	YWHAQ	Oocyte meiosis:KEGG-hsa04114
ENSG00000154001	PPP2R5E	Oocyte meiosis:KEGG-hsa04114
ENSG00000164924	YWHAZ	Oocyte meiosis:KEGG-hsa04114
ENSG00000128245	YWHAH	Oocyte meiosis:KEGG-hsa04114
ENSG00000164742	ADCY1	Oocyte meiosis:KEGG-hsa04114
ENSG00000170027	YWHAG	Oocyte meiosis:KEGG-hsa04114
ENSG00000107758	PPP3CB	Oocyte meiosis:KEGG-hsa04114
ENSG00000142875	PRKACB	Oocyte meiosis:KEGG-hsa04114
ENSG00000221823	PPP3R1	Oocyte meiosis:KEGG-hsa04114
ENSG00000138814	PPP3CA	Oocyte meiosis:KEGG-hsa04114
ENSG00000105568	PPP2R1A	Oocyte meiosis:KEGG-hsa04114
ENSG00000166913	YWHAB	Oocyte meiosis:KEGG-hsa04114
ENSG00000108953	YWHAE	Oocyte meiosis:KEGG-hsa04114
ENSG00000233276	GPX1	Glutathione metabolism:KEGG-hsa00480
ENSG00000131067	GGT7	Glutathione metabolism:KEGG-hsa00480
ENSG00000084207	GSTP1	Glutathione metabolism:KEGG-hsa00480
ENSG00000104823	ECH1	Peroxisome:KEGG-hsa04146
ENSG00000087470	DNM1L	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000175416	CLTB	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000106976	DNM1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000112290	WASF1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000099942	CRKL	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000197959	DNM3	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000177105	RHOG	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000103415	HMOX2	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000167996	FTH1	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000135744	AGT	Renin-angiotensin system:KEGG-hsa04614
ENSG00000233276	GPX1	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000107758	PPP3CB	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000221823	PPP3R1	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000138814	PPP3CA	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000125730	C3	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000126583	PRKCG	Calcium signaling pathway:KEGG-hsa04020
ENSG00000183023	SLC8A1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000115252	PDE1A	Calcium signaling pathway:KEGG-hsa04020
ENSG00000067842	ATP2B3	Calcium signaling pathway:KEGG-hsa04020
ENSG00000164742	ADCY1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000107758	PPP3CB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000152495	CAMK4	Calcium signaling pathway:KEGG-hsa04020
ENSG00000118160	SLC8A2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000142875	PRKACB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000221823	PPP3R1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000157087	ATP2B2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000138814	PPP3CA	Calcium signaling pathway:KEGG-hsa04020
ENSG00000058668	ATP2B4	Calcium signaling pathway:KEGG-hsa04020
ENSG00000070961	ATP2B1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000182621	PLCB1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000166501	PRKCB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000112290	WASF1	Shigellosis:KEGG-hsa05131
ENSG00000099942	CRKL	Shigellosis:KEGG-hsa05131
ENSG00000070087	PFN2	Shigellosis:KEGG-hsa05131
ENSG00000109339	MAPK10	Shigellosis:KEGG-hsa05131
ENSG00000134318	ROCK2	Shigellosis:KEGG-hsa05131
ENSG00000177105	RHOG	Shigellosis:KEGG-hsa05131
ENSG00000055130	CUL1	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000130985	UBA1	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000108094	CUL2	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000036257	CUL3	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000175931	UBE2O	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000166266	CUL5	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000142875	PRKACB	Olfactory transduction:KEGG-hsa04740
ENSG00000065559	MAP2K4	GnRH signaling pathway:KEGG-hsa04912
ENSG00000169032	MAP2K1	GnRH signaling pathway:KEGG-hsa04912
ENSG00000174775	HRAS	GnRH signaling pathway:KEGG-hsa04912
ENSG00000164742	ADCY1	GnRH signaling pathway:KEGG-hsa04912
ENSG00000177885	GRB2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000142875	PRKACB	GnRH signaling pathway:KEGG-hsa04912
ENSG00000182621	PLCB1	GnRH signaling pathway:KEGG-hsa04912
ENSG00000109339	MAPK10	GnRH signaling pathway:KEGG-hsa04912
