GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
558 Ensembl source identifiers supplied in the input file:black_Module.txt
558 source identifiers meeting the filter linked to a Ensembl ID.
281 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
976 Genes linked to a term.
The z score is based on an N of 976 and a R of 281 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Endocytosis:KEGG-hsa04144	33	57	270	57.8947368421	21.1111111111	4.99844864975	0.0	0.107
Oocyte meiosis:KEGG-hsa04114	18	31	115	58.064516129	26.9565217391	3.65634055134	0.002	0.107
Cell cycle:KEGG-hsa04110	8	10	140	80.0	7.14285714286	3.59305970793	0.002	0.107
Vitamin B6 metabolism:KEGG-hsa00750	4	4	6	100.0	66.6666666667	3.15020207617	0.008	0.285333333333
Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961	14	26	52	53.8461538462	50.0	2.85843810411	0.0205	0.386130434783
Vasopressin-regulated water reabsorption:KEGG-hsa04962	11	19	48	57.8947368421	39.5833333333	2.82798039446	0.014	0.386130434783
T cell receptor signaling pathway:KEGG-hsa04660	11	19	138	57.8947368421	13.768115942	2.82798039446	0.0225	0.386130434783
Glutamatergic synapse:KEGG-hsa04724	19	39	129	48.7179487179	30.2325581395	2.80356243202	0.021	0.386130434783
Axon guidance:KEGG-hsa04360	18	37	136	48.6486486486	27.2058823529	2.71833395475	0.0275	0.386130434783
Gap junction:KEGG-hsa04540	16	32	104	50.0	30.7692307692	2.69287430935	0.0225	0.386130434783
Chagas disease (American trypanosomiasis):KEGG-hsa05142	10	18	142	55.5555555556	12.676056338	2.52999908029	0.036	0.386130434783
mRNA surveillance pathway:KEGG-hsa03015	6	9	92	66.6666666667	9.78260869565	2.51985212104	0.0385	0.386130434783
SNARE interactions in vesicular transport:KEGG-hsa04130	6	9	38	66.6666666667	23.6842105263	2.51985212104	0.0315	0.386130434783
Chemokine signaling pathway:KEGG-hsa04062	17	36	222	47.2222222222	16.2162162162	2.48741591381	0.0395	0.386130434783
Wnt signaling pathway:KEGG-hsa04310	15	31	167	48.3870967742	18.5628742515	2.44760563722	0.041	0.386130434783
Natural killer cell mediated cytotoxicity:KEGG-hsa04650	11	21	409	52.380952381	5.13447432763	2.41235873442	0.0405	0.386130434783
Fc epsilon RI signaling pathway:KEGG-hsa04664	8	14	97	57.1428571429	14.4329896907	2.35865710052	0.0415	0.386130434783
Chronic myeloid leukemia:KEGG-hsa05220	6	10	92	60.0	10.8695652174	2.18976788122	0.061	0.543916666667
MAPK signaling pathway:KEGG-hsa04010	21	50	323	42.0	15.479876161	2.11668655528	0.0875	0.621194444444
VEGF signaling pathway:KEGG-hsa04370	8	15	88	53.3333333333	17.0454545455	2.11449488756	0.066	0.56496
Jak-STAT signaling pathway:KEGG-hsa04630	4	6	184	66.6666666667	3.26086956522	2.05426655274	0.0935	0.621194444444
Taste transduction:KEGG-hsa04742	3	4	73	75.0	5.47945205479	2.04423185087	0.0985	0.621194444444
ErbB signaling pathway:KEGG-hsa04012	11	23	102	47.8260869565	22.5490196078	2.03929131706	0.086	0.621194444444
Renal cell carcinoma:KEGG-hsa05211	9	18	85	50.0	21.1764705882	2.00484401811	0.098	0.621194444444
Pathogenic Escherichia coli infection:KEGG-hsa05130	13	29	67	44.8275862069	43.2835820896	1.93527612957	0.1045	0.621194444444
Neurotrophin signaling pathway:KEGG-hsa04722	14	32	144	43.75	22.2222222222	1.89932197664	0.1175	0.679594594595
B cell receptor signaling pathway:KEGG-hsa04662	7	14	100	50.0	14.0	1.76442650421	0.148	0.754095238095
Lysine biosynthesis:KEGG-hsa00300	1	1	3	100.0	33.3333333333	1.57267593882	0.315	0.854695121951
Fatty acid biosynthesis:KEGG-hsa00061	1	1	7	100.0	14.2857142857	1.57267593882	0.3255	0.854695121951
D-Glutamine and D-glutamate metabolism:KEGG-hsa00471	1	1	4	100.0	25.0	1.57267593882	0.3205	0.854695121951
Osteoclast differentiation:KEGG-hsa04380	7	15	198	46.6666666667	7.57575757576	1.54011497933	0.2125	0.831542857143
Salivary secretion:KEGG-hsa04970	12	29	96	41.3793103448	30.2083333333	1.5191427296	0.225	0.831542857143
Long-term potentiation:KEGG-hsa04720	12	29	76	41.3793103448	38.1578947368	1.5191427296	0.211	0.831542857143
Non-small cell lung cancer:KEGG-hsa05223	5	10	75	50.0	13.3333333333	1.48812196787	0.182	0.828680851064
RIG-I-like receptor signaling pathway:KEGG-hsa04622	2	3	87	66.6666666667	3.44827586207	1.45034474011	0.239	0.831542857143
Drug metabolism - other enzymes:KEGG-hsa00983	2	3	60	66.6666666667	5.0	1.45034474011	0.234	0.831542857143
Long-term depression:KEGG-hsa04730	10	24	79	41.6666666667	30.3797468354	1.40982104036	0.228	0.831542857143
Progesterone-mediated oocyte maturation:KEGG-hsa04914	6	13	94	46.1538461538	13.829787234	1.39118992241	0.235	0.831542857143
Hepatitis C:KEGG-hsa05160	6	13	165	46.1538461538	7.87878787879	1.39118992241	0.2565	0.831542857143
Apoptosis:KEGG-hsa04210	6	13	114	46.1538461538	11.4035087719	1.39118992241	0.2635	0.831542857143
Insulin signaling pathway:KEGG-hsa04910	11	27	165	40.7407407407	16.3636363636	1.38999877638	0.2415	0.831542857143
TGF-beta signaling pathway:KEGG-hsa04350	4	8	94	50.0	8.51063829787	1.32964102331	0.239	0.831542857143
Amoebiasis:KEGG-hsa05146	12	31	138	38.7096774194	22.4637681159	1.23887072311	0.2955	0.854695121951
Fc gamma R-mediated phagocytosis:KEGG-hsa04666	13	34	108	38.2352941176	31.4814814815	1.23734505726	0.3025	0.854695121951
Phosphatidylinositol signaling system:KEGG-hsa04070	8	20	86	40.0	23.2558139535	1.11804715103	0.3655	0.9095
Pancreatic secretion:KEGG-hsa04972	12	32	107	37.5	29.9065420561	1.10576964393	0.392	0.942561797753
Neuroactive ligand-receptor interaction:KEGG-hsa04080	4	9	291	44.4444444444	3.09278350515	1.04141769355	0.4175	0.945977272727
Tight junction:KEGG-hsa04530	15	42	152	35.7142857143	27.6315789474	1.0124440989	0.444	0.945977272727
Pathways in cancer:KEGG-hsa05200	18	52	395	34.6153846154	13.164556962	0.9528477612	0.4505	0.945977272727
Synthesis and degradation of ketone bodies:KEGG-hsa00072	2	4	11	50.0	36.3636363636	0.938261625564	0.3855	0.942561797753
Fat digestion and absorption:KEGG-hsa04975	2	4	53	50.0	7.54716981132	0.938261625564	0.3895	0.942561797753
Calcium signaling pathway:KEGG-hsa04020	16	46	191	34.7826086957	24.0837696335	0.918943130321	0.486	0.945977272727
NOD-like receptor signaling pathway:KEGG-hsa04621	3	7	78	42.8571428571	8.97435897436	0.824459306594	0.621	0.9844
Glycerolipid metabolism:KEGG-hsa00561	3	7	60	42.8571428571	11.6666666667	0.824459306594	0.6115	0.976574626866
Vascular smooth muscle contraction:KEGG-hsa04270	10	28	125	35.7142857143	22.4	0.820530432826	0.561	0.945977272727
Melanogenesis:KEGG-hsa04916	9	25	110	36.0	22.7272727273	0.806050630928	0.539	0.945977272727
Toll-like receptor signaling pathway:KEGG-hsa04620	4	10	131	40.0	7.63358778626	0.786476054516	0.4965	0.945977272727
Sphingolipid metabolism:KEGG-hsa00600	1	2	52	50.0	3.84615384615	0.662769646578	0.5385	0.945977272727
Retinol metabolism:KEGG-hsa00830	1	2	69	50.0	2.89855072464	0.662769646578	0.5405	0.945977272727
Regulation of autophagy:KEGG-hsa04140	1	2	34	50.0	5.88235294118	0.662769646578	0.5355	0.945977272727
Phenylalanine, tyrosine and tryptophan biosynthesis:KEGG-hsa00400	1	2	5	50.0	40.0	0.662769646578	0.544	0.945977272727
Pantothenate and CoA biosynthesis:KEGG-hsa00770	1	2	19	50.0	10.5263157895	0.662769646578	0.517	0.945977272727
Notch signaling pathway:KEGG-hsa04330	1	2	55	50.0	3.63636363636	0.662769646578	0.5335	0.945977272727
Circadian rhythm - mammal:KEGG-hsa04710	1	2	22	50.0	9.09090909091	0.662769646578	0.5345	0.945977272727
Biosynthesis of unsaturated fatty acids:KEGG-hsa01040	1	2	6	50.0	33.3333333333	0.662769646578	0.5455	0.945977272727
Toxoplasmosis:KEGG-hsa05145	8	23	252	34.7826086957	9.12698412698	0.641901900642	0.6815	0.999871621622
Inositol phosphate metabolism:KEGG-hsa00562	6	17	63	35.2941176471	26.9841269841	0.597096363234	0.6315	0.993683823529
Prostate cancer:KEGG-hsa05215	5	14	105	35.7142857143	13.3333333333	0.575965311587	0.7765	1.0
Prion diseases:KEGG-hsa05020	5	14	55	35.7142857143	25.4545454545	0.575965311587	0.777	1.0
Nitrogen metabolism:KEGG-hsa00910	2	5	25	40.0	20.0	0.554688873956	0.507	0.945977272727
Glycerophospholipid metabolism:KEGG-hsa00564	2	5	100	40.0	5.0	0.554688873956	0.503	0.945977272727
Ether lipid metabolism:KEGG-hsa00565	2	5	38	40.0	13.1578947368	0.554688873956	0.511	0.945977272727
Ascorbate and aldarate metabolism:KEGG-hsa00053	2	5	32	40.0	15.625	0.554688873956	0.516	0.945977272727
GnRH signaling pathway:KEGG-hsa04912	9	27	107	33.3333333333	25.2336448598	0.528367270668	0.6895	0.999871621622
Focal adhesion:KEGG-hsa04510	21	67	244	31.3432835821	27.4590163934	0.477852364502	0.7395	1.0
Thyroid cancer:KEGG-hsa05216	3	9	42	33.3333333333	21.4285714286	0.3022004798	0.9665	1.0
Spliceosome:KEGG-hsa03040	3	9	176	33.3333333333	5.11363636364	0.3022004798	0.969	1.0
Colorectal cancer:KEGG-hsa05210	3	9	77	33.3333333333	11.6883116883	0.3022004798	0.9735	1.0
Acute myeloid leukemia:KEGG-hsa05221	3	9	72	33.3333333333	12.5	0.3022004798	0.9715	1.0
Ubiquitin mediated proteolysis:KEGG-hsa04120	6	19	151	31.5789473684	12.582781457	0.270903439677	0.8275	1.0
Dorso-ventral axis formation:KEGG-hsa04320	2	6	34	33.3333333333	17.6470588235	0.246363797578	0.898	1.0
Bladder cancer:KEGG-hsa05219	2	6	52	33.3333333333	11.5384615385	0.246363797578	0.9055	1.0
Pentose phosphate pathway:KEGG-hsa00030	5	16	30	31.25	53.3333333333	0.218923489611	0.9985	1.0
p53 signaling pathway:KEGG-hsa04115	1	3	79	33.3333333333	3.79746835443	0.173936745207	0.685	0.999871621622
Renin-angiotensin system:KEGG-hsa04614	1	3	17	33.3333333333	17.6470588235	0.173936745207	0.6885	0.999871621622
One carbon pool by folate:KEGG-hsa00670	1	3	23	33.3333333333	13.0434782609	0.173936745207	0.687	0.999871621622
Hedgehog signaling pathway:KEGG-hsa04340	1	3	61	33.3333333333	4.91803278689	0.173936745207	0.6755	0.999871621622
Cytokine-cytokine receptor interaction:KEGG-hsa04060	1	3	334	33.3333333333	0.898203592814	0.173936745207	0.686	0.999871621622
Cyanoamino acid metabolism:KEGG-hsa00460	1	3	7	33.3333333333	42.8571428571	0.173936745207	0.702	1.0
African trypanosomiasis:KEGG-hsa05143	4	13	50	30.7692307692	26.0	0.15850597845	0.991	1.0
Measles:KEGG-hsa05162	3	10	183	30.0	5.46448087432	0.0848301411636	0.978	1.0
Histidine metabolism:KEGG-hsa00340	3	10	30	30.0	33.3333333333	0.0848301411636	0.9805	1.0
Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630	3	10	18	30.0	55.5555555556	0.0848301411636	0.978	1.0
Galactose metabolism:KEGG-hsa00052	3	10	32	30.0	31.25	0.0848301411636	0.979	1.0
Antigen processing and presentation:KEGG-hsa04612	5	17	441	29.4117647059	3.85487528345	0.056998077306	0.997	1.0
Purine metabolism:KEGG-hsa00230	9	31	178	29.0322580645	17.4157303371	0.0301358089926	1.0	1.0
Type II diabetes mellitus:KEGG-hsa04930	2	7	63	28.5714285714	11.1111111111	-0.012868771695	0.931	1.0
Porphyrin and chlorophyll metabolism:KEGG-hsa00860	2	7	50	28.5714285714	14.0	-0.012868771695	0.9345	1.0
Mineral absorption:KEGG-hsa04978	4	14	56	28.5714285714	25.0	-0.0182652847226	0.998	1.0
Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014	4	14	68	28.5714285714	20.5882352941	-0.0182652847226	0.9945	1.0
Regulation of actin cytoskeleton:KEGG-hsa04810	23	81	234	28.3950617284	34.6153846154	-0.0821385545598	1.0	1.0
