GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
558 Ensembl source identifiers supplied in the input file:black_Module.txt
558 source identifiers meeting the filter linked to a Ensembl ID.
213 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 213 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Synaptic Vesicle Pathway:WP2267	22	29	51	75.8620689655	56.862745098	5.85785046663	0.0	0.0395
Cell Cycle:WP179	7	7	104	100.0	6.73076923077	4.26446194359	0.0	0.0395
EGF/EGFR Signaling Pathway:WP437	24	43	168	55.8139534884	25.5952380952	4.18832996111	0.0005	0.0395
Calcium Regulation in the Cardiac Cell:WP536	29	56	153	51.7857142857	36.6013071895	4.12611134409	0.0015	0.088875
G Protein Signaling Pathways:WP35	18	31	94	58.064516129	32.9787234043	3.81179580481	0.002	0.0948
Wnt Signaling Pathway and Pluripotency:WP399	11	16	101	68.75	15.8415841584	3.67276152582	0.0045	0.148125
IL-3 Signaling Pathway:WP286	8	11	49	72.7272727273	22.4489795918	3.33103048866	0.0095	0.250166666667
Myometrial Relaxation and Contraction Pathways:WP289	22	45	160	48.8888888889	28.125	3.22414431614	0.015	0.316
Monoamine Transport:WP727	5	6	32	83.3333333333	18.75	3.03279833397	0.0155	0.316
miRs in Muscle Cell Differentiation:WP2012	6	8	41	75.0	19.512195122	2.97896111973	0.016	0.316
B Cell Receptor Signaling Pathway:WP23	10	17	99	58.8235294118	17.1717171717	2.86658722773	0.0245	0.446653846154
Initiation of transcription and translation elongation at the HIV-1 LTR:WP3414	3	3	31	100.0	9.67741935484	2.78437956858	0.0385	0.498947368421
Deregulation of Rab and Rab Effector Genes in Bladder Cancer:WP2291	3	3	16	100.0	18.75	2.78437956858	0.0335	0.494911764706
Wnt Signaling Pathway:WP428	6	9	67	66.6666666667	13.4328358209	2.6017294746	0.0355	0.494911764706
Nicotine Activity on Dopaminergic Neurons:WP1602	4	5	21	80.0	23.8095238095	2.60019624469	0.033	0.494911764706
TCR Signaling Pathway:WP69	8	14	91	57.1428571429	15.3846153846	2.45482278651	0.04	0.498947368421
Pilocytic astrocytoma:WP2253	2	2	4	100.0	50.0	2.27194022358	0.1085	0.849814285714
Mitochondrial Gene Expression:WP391	2	2	19	100.0	10.5263157895	2.27194022358	0.1085	0.849814285714
Fatty Acid Omega Oxidation:WP206	2	2	15	100.0	13.3333333333	2.27194022358	0.0955	0.849814285714
Parkin-Ubiquitin Proteasomal System pathway:WP2359	14	31	71	45.1612903226	43.661971831	2.17839869908	0.086	0.82002
p38 MAPK Signaling Pathway:WP400	4	6	32	66.6666666667	18.75	2.12008414341	0.0845	0.82002
Parkinsons Disease Pathway:WP2371	4	6	39	66.6666666667	15.3846153846	2.12008414341	0.0865	0.82002
GPCRs, Class C Metabotropic glutamate, pheromone:WP501	3	4	14	75.0	28.5714285714	2.10087835822	0.1015	0.849814285714
MAPK Signaling Pathway:WP382	14	32	170	43.75	18.8235294118	2.03313498576	0.1205	0.849814285714
Physiological and Pathological Hypertrophy  of the Heart:WP1528	5	9	23	55.5555555556	39.1304347826	1.85501841635	0.135	0.88875
Signaling of Hepatocyte Growth Factor Receptor:WP313	7	14	36	50.0	38.8888888889	1.85412433972	0.1235	0.849814285714
Signaling Pathways in Glioblastoma:WP2261	6	12	83	50.0	14.4578313253	1.71429527252	0.153	0.911900662252
IL-2 Signaling Pathway:WP49	6	12	43	50.0	27.9069767442	1.71429527252	0.1455	0.911900662252
Kit receptor signaling pathway:WP304	7	15	61	46.6666666667	24.5901639344	1.63012612852	0.187	0.911900662252
NLR Proteins:WP288	1	1	9	100.0	11.1111111111	1.60544846966	0.318	0.911900662252
NAD Biosynthesis II (from tryptophan):WP2485	1	1	8	100.0	12.5	1.60544846966	0.331	0.911900662252
Liver X Receptor Pathway:WP2874	1	1	10	100.0	10.0	1.60544846966	0.3255	0.911900662252
Gene regulatory network modelling somitogenesis :WP2854	1	1	12	100.0	8.33333333333	1.60544846966	0.306	0.911900662252
GPCRs, Class B Secretin-like:WP334	1	1	24	100.0	4.16666666667	1.60544846966	0.3135	0.911900662252
Dual hijack model of Vif in HIV infection:WP3300	1	1	7	100.0	14.2857142857	1.60544846966	0.3315	0.911900662252
DDX1 as a regulatory component of the Drosha microprocessor:WP2942	1	1	7	100.0	14.2857142857	1.60544846966	0.3155	0.911900662252
Complement Activation:WP545	1	1	19	100.0	5.26315789474	1.60544846966	0.3145	0.911900662252
ACE Inhibitor Pathway:WP554	1	1	18	100.0	5.55555555556	1.60544846966	0.321	0.911900662252
T-Cell Receptor and Co-stimulatory Signaling:WP2583	3	5	30	60.0	16.6666666667	1.60102855006	0.2035	0.911900662252
Leptin signaling pathway:WP2034	8	18	78	44.4444444444	23.0769230769	1.57683494035	0.2315	0.911900662252
Regulation of toll-like receptor signaling pathway:WP1449	5	10	141	50.0	7.09219858156	1.56284790844	0.1845	0.911900662252
IL-6 signaling pathway:WP364	5	10	43	50.0	23.2558139535	1.56284790844	0.1815	0.911900662252
Insulin Signaling:WP481	14	36	165	38.8888888889	21.8181818182	1.49698706731	0.278	0.911900662252
BDNF signaling pathway:WP2380	14	36	145	38.8888888889	24.8275862069	1.49698706731	0.2675	0.911900662252
Serotonin Transporter Activity:WP1455	2	3	11	66.6666666667	27.2727272727	1.49616024177	0.2555	0.911900662252
Retinoblastoma (RB) in Cancer:WP2446	2	3	93	66.6666666667	3.22580645161	1.49616024177	0.233	0.911900662252
Oncostatin M Signaling Pathway:WP2374	6	13	64	46.1538461538	20.3125	1.47400683093	0.2425	0.911900662252
Interleukin-11 Signaling Pathway:WP2332	6	13	44	46.1538461538	29.5454545455	1.47400683093	0.259	0.911900662252
MicroRNAs in cardiomyocyte hypertrophy:WP1544	7	16	103	43.75	15.5339805825	1.42214288274	0.239	0.911900662252
BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231	7	16	92	43.75	17.3913043478	1.42214288274	0.2455	0.911900662252
IL-1 signaling pathway:WP195	4	8	55	50.0	14.5454545455	1.39599851636	0.224	0.911900662252
Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272	10	25	55	40.0	45.4545454545	1.36394009425	0.2725	0.911900662252
Glycogen Metabolism:WP500	6	14	36	42.8571428571	38.8888888889	1.25342589292	0.3105	0.911900662252
Alpha 6 Beta 4 signaling pathway:WP244	6	14	33	42.8571428571	42.4242424242	1.25342589292	0.312	0.911900662252
Toll-like receptor signaling pathway:WP75	4	9	99	44.4444444444	9.09090909091	1.10830735811	0.4535	0.911900662252
FAS pathway and Stress induction of HSP regulation:WP314	4	9	41	44.4444444444	21.9512195122	1.10830735811	0.4325	0.911900662252
Aryl Hydrocarbon Receptor:WP2586	4	9	47	44.4444444444	19.1489361702	1.10830735811	0.4285	0.911900662252
Hypothetical Network for Drug Addiction:WP666	5	12	31	41.6666666667	38.7096774194	1.06633247606	0.3755	0.911900662252
SIDS Susceptibility Pathways:WP706	13	37	157	35.1351351351	23.5668789809	0.997404944107	0.4455	0.911900662252
miRNA Regulation of DNA Damage Response:WP1530	2	4	99	50.0	4.0404040404	0.984512033978	0.379	0.911900662252
NOD pathway:WP1433	2	4	42	50.0	9.52380952381	0.984512033978	0.3835	0.911900662252
Folate-Alcohol and Cancer Pathway:WP1589	2	4	8	50.0	50.0	0.984512033978	0.3715	0.911900662252
Estrogen signaling pathway:WP712	2	4	26	50.0	15.3846153846	0.984512033978	0.385	0.911900662252
DNA Damage Response:WP707	2	4	69	50.0	5.79710144928	0.984512033978	0.379	0.911900662252
Apoptosis:WP254	2	4	89	50.0	4.49438202247	0.984512033978	0.39	0.911900662252
TSH signaling pathway:WP2032	8	22	69	36.3636363636	31.884057971	0.891473148954	0.541	0.911900662252
AMPK Signaling:WP1403	3	7	69	42.8571428571	10.1449275362	0.882187677635	0.3995	0.911900662252
Wnt Signaling Pathway Netpath:WP363	4	10	53	40.0	18.8679245283	0.853984749971	0.5075	0.911900662252
TSLP Signaling Pathway:WP2203	4	10	46	40.0	21.7391304348	0.853984749971	0.4945	0.911900662252
MAPK Cascade:WP422	4	10	30	40.0	33.3333333333	0.853984749971	0.4865	0.911900662252
IL-5 Signaling Pathway:WP127	4	10	41	40.0	24.3902439024	0.853984749971	0.5005	0.911900662252
Endothelin Pathways:WP2197	4	10	33	40.0	30.303030303	0.853984749971	0.4965	0.911900662252
Rac1/Pak1/p38/MMP-2 pathway:WP3303	5	13	67	38.4615384615	19.4029850746	0.851048869104	0.5555	0.911900662252
TGF beta Signaling Pathway:WP366	8	23	136	34.7826086957	16.9117647059	0.740669340398	0.545	0.911900662252
Corticotropin-releasing hormone:WP2355	8	23	93	34.7826086957	24.7311827957	0.740669340398	0.563	0.911900662252
