Ensembl	symbol	GeneOntology
ENSG00000075142	SRI	GO:0035774
ENSG00000120063	GNA13	GO:0001569
ENSG00000140575	IQGAP1	GO:0035770
ENSG00000089009	RPL6	GO:0035770
ENSG00000089157	RPLP0	GO:0035770
ENSG00000137642	SORL1	GO:0034358
ENSG00000091583	APOH	GO:0034358
ENSG00000084674	APOB	GO:0034358
ENSG00000116005	PCYOX1	GO:0034358
ENSG00000154229	PRKCA	GO:0034351
ENSG00000154229	PRKCA	GO:0034350
ENSG00000113552	GNPDA1	GO:0046348
ENSG00000081237	PTPRC	GO:0002707
ENSG00000081237	PTPRC	GO:0002706
ENSG00000081237	PTPRC	GO:0002705
ENSG00000081237	PTPRC	GO:0002704
ENSG00000081237	PTPRC	GO:0002703
ENSG00000081237	PTPRC	GO:0002702
ENSG00000108946	PRKAR1A	GO:0034199
ENSG00000081237	PTPRC	GO:0002700
ENSG00000091583	APOH	GO:0034197
ENSG00000091583	APOH	GO:0034196
ENSG00000082898	XPO1	GO:0051656
ENSG00000092964	DPYSL2	GO:0051656
ENSG00000127022	CANX	GO:0051656
ENSG00000100345	MYH9	GO:0051656
ENSG00000133026	MYH10	GO:0051656
ENSG00000137642	SORL1	GO:0051651
ENSG00000044574	HSPA5	GO:0051651
ENSG00000075142	SRI	GO:0051651
ENSG00000167004	PDIA3	GO:0051651
ENSG00000092964	DPYSL2	GO:0051650
ENSG00000127022	CANX	GO:0051650
ENSG00000081237	PTPRC	GO:0002709
ENSG00000184743	ATL3	GO:0046434
ENSG00000120063	GNA13	GO:0046434
ENSG00000110047	EHD1	GO:0046434
ENSG00000197879	MYO1C	GO:0046434
ENSG00000154917	RAB6B	GO:0046434
ENSG00000183207	RUVBL2	GO:0046434
ENSG00000044574	HSPA5	GO:0046434
ENSG00000100345	MYH9	GO:0046434
ENSG00000088256	GNA11	GO:0046434
ENSG00000100997	ABHD12	GO:0046434
ENSG00000133026	MYH10	GO:0046434
ENSG00000092841	MYL6	GO:0046434
ENSG00000130741	EIF2S3	GO:0046434
ENSG00000100804	PSMB5	GO:0005839
ENSG00000100567	PSMA3	GO:0005839
ENSG00000008018	PSMB1	GO:0005839
ENSG00000120063	GNA13	GO:0005834
ENSG00000088256	GNA11	GO:0005834
ENSG00000108518	PFN1	GO:0051496
ENSG00000108518	PFN1	GO:0051495
ENSG00000120708	TGFBI	GO:0050840
ENSG00000082898	XPO1	GO:0051493
ENSG00000169504	CLIC4	GO:0051493
ENSG00000128872	TMOD2	GO:0051493
ENSG00000164050	PLXNB1	GO:0051493
