Ensembl	symbol	KEGG
ENSG00000146648	EGFR	Endometrial cancer:KEGG-hsa05213
ENSG00000166598	HSP90B1	Prostate cancer:KEGG-hsa05215
ENSG00000146648	EGFR	Prostate cancer:KEGG-hsa05215
ENSG00000169764	UGP2	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000100504	PYGL	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000123104	ITPR2	Oocyte meiosis:KEGG-hsa04114
ENSG00000117862	TXNDC12	Glutathione metabolism:KEGG-hsa00480
ENSG00000100983	GSS	Glutathione metabolism:KEGG-hsa00480
ENSG00000133835	HSD17B4	Peroxisome:KEGG-hsa04146
ENSG00000164398	ACSL6	Peroxisome:KEGG-hsa04146
ENSG00000152556	PFKM	Fructose and mannose metabolism:KEGG-hsa00051
ENSG00000090013	BLVRB	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000000971	CFH	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000171557	FGG	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000146648	EGFR	Calcium signaling pathway:KEGG-hsa04020
ENSG00000154229	PRKCA	Calcium signaling pathway:KEGG-hsa04020
ENSG00000123104	ITPR2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000174437	ATP2A2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000088256	GNA11	Calcium signaling pathway:KEGG-hsa04020
ENSG00000116661	FBXO2	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000146648	EGFR	GnRH signaling pathway:KEGG-hsa04912
ENSG00000154229	PRKCA	GnRH signaling pathway:KEGG-hsa04912
ENSG00000123104	ITPR2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000088256	GNA11	GnRH signaling pathway:KEGG-hsa04912
ENSG00000253729	PRKDC	Cell cycle:KEGG-hsa04110
ENSG00000108946	PRKAR1A	Apoptosis:KEGG-hsa04210
ENSG00000149218	ENDOD1	Apoptosis:KEGG-hsa04210
ENSG00000259207	ITGB3	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000120063	GNA13	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000146648	EGFR	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000140575	IQGAP1	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000100345	MYH9	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000133026	MYH10	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000108518	PFN1	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000169764	UGP2	Galactose metabolism:KEGG-hsa00052
ENSG00000152556	PFKM	Galactose metabolism:KEGG-hsa00052
ENSG00000072210	ALDH3A2	Arginine and proline metabolism:KEGG-hsa00330
ENSG00000146648	EGFR	Hepatitis C:KEGG-hsa05160
ENSG00000154229	PRKCA	Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000103496	STX4	SNARE interactions in vesicular transport:KEGG-hsa04130
ENSG00000072210	ALDH3A2	Lysine degradation:KEGG-hsa00310
ENSG00000154229	PRKCA	Long-term potentiation:KEGG-hsa04720
ENSG00000123104	ITPR2	Long-term potentiation:KEGG-hsa04720
ENSG00000100804	PSMB5	Proteasome:KEGG-hsa03050
ENSG00000100567	PSMA3	Proteasome:KEGG-hsa03050
ENSG00000008018	PSMB1	Proteasome:KEGG-hsa03050
ENSG00000072210	ALDH3A2	Propanoate metabolism:KEGG-hsa00640
ENSG00000111716	LDHB	Propanoate metabolism:KEGG-hsa00640
ENSG00000072210	ALDH3A2	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000067225	PKM	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000111716	LDHB	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000152556	PFKM	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000102144	PGK1	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000100243	CYB5R3	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000113552	GNPDA1	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
