GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
166 Ensembl source identifiers supplied in the input file:green_Module.txt
166 source identifiers meeting the filter linked to a Ensembl ID.
103 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
976 Genes linked to a term.
The z score is based on an N of 976 and a R of 103 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Protein processing in endoplasmic reticulum:KEGG-hsa04141	22	51	192	43.137254902	26.5625	7.77579304199	0.0	0.142666666667
Ribosome:KEGG-hsa03010	16	35	109	45.7142857143	32.1100917431	6.89170861113	0.0	0.142666666667
Non-homologous end-joining:KEGG-hsa03450	3	3	18	100.0	16.6666666667	5.04771730632	0.002	0.142666666667
N-Glycan biosynthesis:KEGG-hsa00510	3	4	50	75.0	8.0	4.20169072768	0.0035	0.18725
Steroid hormone biosynthesis:KEGG-hsa00140	2	3	71	66.6666666667	4.22535211268	3.16662830633	0.0275	0.808444444444
Complement and coagulation cascades:KEGG-hsa04610	4	10	119	40.0	8.40336134454	3.04491219972	0.0085	0.3638
Primary immunodeficiency:KEGG-hsa05340	1	1	79	100.0	1.26582278481	2.91131038458	0.095	1.0
Glycosphingolipid biosynthesis - lacto and neolacto series:KEGG-hsa00601	1	1	26	100.0	3.84615384615	2.91131038458	0.103	1.0
Vascular smooth muscle contraction:KEGG-hsa04270	6	28	125	21.4285714286	22.4	1.89951266865	0.0485	0.963
Pentose and glucuronate interconversions:KEGG-hsa00040	2	6	38	33.3333333333	15.7894736842	1.82083633375	0.107	1.0
Vitamin digestion and absorption:KEGG-hsa04977	1	2	28	50.0	7.14285714286	1.8166565228	0.188	1.0
Protein export:KEGG-hsa03060	1	2	23	50.0	8.69565217391	1.8166565228	0.177	1.0
Primary bile acid biosynthesis:KEGG-hsa00120	1	2	17	50.0	11.7647058824	1.8166565228	0.1755	1.0
