GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
166 Ensembl source identifiers supplied in the input file:green_Module.txt
166 source identifiers meeting the filter linked to a Ensembl ID.
84 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 84 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Cytoplasmic Ribosomal Proteins:WP477	14	26	97	53.8461538462	26.8041237113	7.0894560924	0.0	0.158
Non-homologous end joining:WP438	3	3	7	100.0	42.8571428571	4.92728033237	0.002	0.158
Blood Clotting Cascade:WP272	3	3	22	100.0	13.6363636364	4.92728033237	0.0	0.158
Phase I biotransformations, non P450:WP136	2	3	8	66.6666666667	37.5	3.08136705151	0.024	1.0
Steroid Biosynthesis:WP496	1	1	11	100.0	9.09090909091	2.84102597162	0.093	1.0
Gastric Cancer Network 1:WP2361	1	1	28	100.0	3.57142857143	2.84102597162	0.0965	1.0
Complement and Coagulation Cascades:WP558	3	8	60	37.5	13.3333333333	2.40220851674	0.03	1.0
eIF5A regulation in response to inhibition of the nuclear export system:WP3302	1	2	4	50.0	50.0	1.76117490851	0.1745	1.0
Irinotecan Pathway:WP229	1	2	13	50.0	15.3846153846	1.76117490851	0.186	1.0
Hypertrophy Model:WP516	1	2	20	50.0	10.0	1.76117490851	0.1735	1.0
Endochondral Ossification:WP474	2	6	64	33.3333333333	9.375	1.7506587035	0.105	1.0
AMPK Signaling:WP1403	2	7	69	28.5714285714	10.1449275362	1.48830243169	0.136	1.0
G13 Signaling Pathway:WP524	3	13	40	23.0769230769	32.5	1.39871612039	0.133	1.0
miRs in Muscle Cell Differentiation:WP2012	2	8	41	25.0	19.512195122	1.26808033226	0.17	1.0
Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368	2	8	18	25.0	44.4444444444	1.26808033226	0.174	1.0
NOTCH1 regulation of human endothelial cell calcification:WP3413	1	3	17	33.3333333333	17.6470588235	1.23545377065	0.2435	1.0
Mesodermal Commitment Pathway:WP2857	1	3	76	33.3333333333	3.94736842105	1.23545377065	0.2485	1.0
MFAP5-mediated ovarian cancer cell motility and invasiveness:WP3301	1	3	12	33.3333333333	25.0	1.23545377065	0.2655	1.0
Hair Follicle Development: Induction (Part 1 of 3):WP2804	1	3	44	33.3333333333	6.81818181818	1.23545377065	0.266	1.0
Gastric cancer network 2:WP2363	1	3	35	33.3333333333	8.57142857143	1.23545377065	0.2635	1.0
Fluoropyrimidine Activity:WP1601	1	3	34	33.3333333333	8.82352941176	1.23545377065	0.2595	1.0
Estrogen metabolism:WP697	1	3	15	33.3333333333	20.0	1.23545377065	0.2475	1.0
Biogenic Amine Synthesis:WP550	1	3	15	33.3333333333	20.0	1.23545377065	0.2565	1.0
