GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
420 Ensembl source identifiers supplied in the input file:grey_Module.txt
420 source identifiers meeting the filter linked to a Ensembl ID.
418 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
1730 Genes linked to a term.
The z score is based on an N of 1730 and a R of 418 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0070003	threonine-type peptidase activity	molecular_function	11	14	39	78.5714285714	35.8974358974	4.77385563906	0.0	0.058186746988
GO:0005839	proteasome core complex	cellular_component	11	14	38	78.5714285714	36.8421052632	4.77385563906	0.0	0.058186746988
GO:0004298	threonine-type endopeptidase activity	molecular_function	11	14	39	78.5714285714	35.8974358974	4.77385563906	0.0	0.058186746988
GO:0010948	negative regulation of cell cycle process	biological_process	24	45	229	53.3333333333	19.6506550218	4.6307716193	0.0	0.058186746988
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	biological_process	20	35	85	57.1428571429	41.1764705882	4.60364291253	0.0	0.058186746988
GO:0038094	Fc-gamma receptor signaling pathway	biological_process	20	35	86	57.1428571429	40.6976744186	4.60364291253	0.0	0.058186746988
GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	biological_process	20	35	85	57.1428571429	41.1764705882	4.60364291253	0.0	0.058186746988
GO:0002431	Fc receptor mediated stimulatory signaling pathway	biological_process	20	35	86	57.1428571429	40.6976744186	4.60364291253	0.0	0.058186746988
GO:0090068	positive regulation of cell cycle process	biological_process	26	52	243	50.0	21.3991769547	4.41830461932	0.0	0.058186746988
GO:0032446	protein modification by small protein conjugation	biological_process	31	66	620	46.9696969697	10.6451612903	4.41233160524	0.0	0.058186746988
GO:1901991	negative regulation of mitotic cell cycle phase transition	biological_process	21	39	155	53.8461538462	25.1612903226	4.37900976493	0.0	0.058186746988
GO:1901988	negative regulation of cell cycle phase transition	biological_process	21	39	161	53.8461538462	24.2236024845	4.37900976493	0.0	0.058186746988
GO:1901990	regulation of mitotic cell cycle phase transition	biological_process	24	47	220	51.0638297872	21.3636363636	4.36696447577	0.0	0.058186746988
GO:1901987	regulation of cell cycle phase transition	biological_process	24	47	229	51.0638297872	20.5240174672	4.36696447577	0.0	0.058186746988
GO:0010564	regulation of cell cycle process	biological_process	34	76	476	44.7368421053	15.9663865546	4.28417564761	0.0	0.058186746988
GO:1903364	positive regulation of cellular protein catabolic process	biological_process	23	45	148	51.1111111111	30.4054054054	4.27800918419	0.0	0.058186746988
GO:0031397	negative regulation of protein ubiquitination	biological_process	21	41	130	51.2195121951	31.5384615385	4.09501898973	0.0	0.058186746988
GO:1903321	negative regulation of protein modification by small protein conjugation or removal	biological_process	22	44	138	50.0	31.884057971	4.05459531721	0.0	0.058186746988
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	biological_process	22	44	147	50.0	29.9319727891	4.05459531721	0.0	0.058186746988
