GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
420 Ensembl source identifiers supplied in the input file:grey_Module.txt
420 source identifiers meeting the filter linked to a Ensembl ID.
176 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 176 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Vitamin B12 Metabolism:WP1533	6	8	55	75.0	14.5454545455	3.49939522486	0.005	0.325875
Striated Muscle Contraction:WP383	6	8	41	75.0	19.512195122	3.49939522486	0.0035	0.325875
TWEAK Signaling Pathway:WP2036	3	3	40	100.0	7.5	3.16464166709	0.0135	0.53325
Cholesterol Biosynthesis:WP197	3	3	17	100.0	17.6470588235	3.16464166709	0.0185	0.567107142857
Proteasome Degradation:WP183	16	37	59	43.2432432432	62.7118644068	2.9789667571	0.0055	0.325875
GPCRs, Class A Rhodopsin-like:WP455	2	2	258	100.0	0.77519379845	2.5822185947	0.065	0.567107142857
EBV LMP1 signaling:WP262	2	2	23	100.0	8.69565217391	2.5822185947	0.059	0.567107142857
Constitutive Androstane Receptor Pathway:WP2875	2	2	32	100.0	6.25	2.5822185947	0.0585	0.567107142857
Endoderm Differentiation:WP2853	4	6	72	66.6666666667	8.33333333333	2.54062166749	0.0305	0.567107142857
Trans-sulfuration and one carbon metabolism:WP2525	6	11	31	54.5454545455	35.4838709677	2.49124408932	0.0275	0.567107142857
Structural Pathway of Interleukin 1 (IL-1):WP2637	3	4	9	75.0	44.4444444444	2.46790857593	0.0525	0.567107142857
Imatinib Resistance in Chronic Myeloid Leukemia:WP2946	3	4	49	75.0	8.16326530612	2.46790857593	0.0395	0.567107142857
Cardiac Progenitor Differentiation:WP2406	3	4	53	75.0	7.54716981132	2.46790857593	0.043	0.567107142857
Hypothetical Network for Drug Addiction:WP666	6	12	31	50.0	38.7096774194	2.2274144813	0.0465	0.567107142857
NRF2 pathway:WP2884	14	37	143	37.8378378378	25.8741258741	2.17968060608	0.052	0.567107142857
RANKL/RANK Signaling Pathway:WP2018	4	7	55	57.1428571429	12.7272727273	2.14575698446	0.066	0.567107142857
IL-9 Signaling Pathway:WP22	4	7	18	57.1428571429	38.8888888889	2.14575698446	0.0765	0.625189655172
IL-7 Signaling Pathway:WP205	4	7	25	57.1428571429	28.0	2.14575698446	0.0665	0.567107142857
Folate Metabolism:WP176	4	7	35	57.1428571429	20.0	2.14575698446	0.066	0.567107142857
Amyotrophic lateral sclerosis (ALS):WP2447	4	7	32	57.1428571429	21.875	2.14575698446	0.0585	0.567107142857
Selenium Micronutrient Network:WP15	8	19	87	42.1052631579	21.8390804598	1.98959375312	0.065	0.567107142857
MicroRNAs in cardiomyocyte hypertrophy:WP1544	7	16	103	43.75	15.5339805825	1.97976438471	0.067	0.567107142857
Type III interferon signaling:WP2113	1	1	11	100.0	9.09090909091	1.82470421015	0.2375	0.726517857143
SRF and miRs in Smooth Muscle Differentiation and Proliferation:WP1991	1	1	17	100.0	5.88235294118	1.82470421015	0.2525	0.726517857143
Nuclear Receptors in Lipid Metabolism and Toxicity:WP299	1	1	36	100.0	2.77777777778	1.82470421015	0.246	0.726517857143
Metastatic brain tumor:WP2249	1	1	12	100.0	8.33333333333	1.82470421015	0.245	0.726517857143
Farnesoid X Receptor  Pathway:WP2879	1	1	20	100.0	5.0	1.82470421015	0.246	0.726517857143
Effects of Nitric Oxide:WP1995	1	1	9	100.0	11.1111111111	1.82470421015	0.237	0.726517857143
Codeine and Morphine Metabolism:WP1604	1	1	10	100.0	10.0	1.82470421015	0.246	0.726517857143
Angiogenesis:WP1539	1	1	20	100.0	5.0	1.82470421015	0.24	0.726517857143
Iron metabolism in placenta:WP2007	2	3	12	66.6666666667	25.0	1.79293691719	0.135	0.726517857143
IL17 signaling pathway:WP2112	2	3	31	66.6666666667	9.67741935484	1.79293691719	0.149	0.726517857143
Heart Development:WP1591	2	3	48	66.6666666667	6.25	1.79293691719	0.1495	0.726517857143
Differentiation Pathway:WP2848	2	3	49	66.6666666667	6.12244897959	1.79293691719	0.1405	0.726517857143
DNA Damage Response (only ATM dependent):WP710	5	11	101	45.4545454545	10.8910891089	1.77108931084	0.1055	0.726517857143
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118	11	31	77	35.4838709677	40.2597402597	1.66963666366	0.124	0.726517857143
Leptin signaling pathway:WP2034	7	18	78	38.8888888889	23.0769230769	1.60776628946	0.166	0.726517857143
One Carbon Metabolism:WP241	3	6	28	50.0	21.4285714286	1.56875735493	0.159	0.726517857143
Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272	9	25	55	36.0	45.4545454545	1.55548317093	0.1565	0.726517857143
Integrated Pancreatic Cancer Pathway:WP2377	9	25	171	36.0	14.6198830409	1.55548317093	0.159	0.726517857143
Toll-like receptor signaling pathway:WP75	4	9	99	44.4444444444	9.09090909091	1.52759954509	0.165	0.726517857143
Oxidative Stress:WP408	4	9	30	44.4444444444	30.0	1.52759954509	0.158	0.726517857143
EPO Receptor Signaling:WP581	4	9	27	44.4444444444	33.3333333333	1.52759954509	0.16	0.726517857143
Cardiac Hypertrophic Response:WP2795	4	9	53	44.4444444444	16.9811320755	1.52759954509	0.133	0.726517857143
BDNF signaling pathway:WP2380	12	36	145	33.3333333333	24.8275862069	1.4919859355	0.1765	0.726517857143
Regulation of Actin Cytoskeleton:WP51	15	47	157	31.914893617	29.9363057325	1.47978071201	0.1725	0.726517857143
Alzheimers Disease:WP2059	9	26	81	34.6153846154	32.0987654321	1.41702412883	0.2435	0.726517857143
BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231	6	16	92	37.5	17.3913043478	1.38064585368	0.223	0.726517857143
AGE/RAGE pathway:WP2324	6	16	66	37.5	24.2424242424	1.38064585368	0.2125	0.726517857143
TGF beta Signaling Pathway:WP366	8	23	136	34.7826086957	16.9117647059	1.34936984817	0.238	0.726517857143
Rac1/Pak1/p38/MMP-2 pathway:WP3303	5	13	67	38.4615384615	19.4029850746	1.32491877352	0.2915	0.794086206897
G13 Signaling Pathway:WP524	5	13	40	38.4615384615	32.5	1.32491877352	0.3015	0.802870786517
