Ensembl	symbol	GeneOntology
ENSG00000088247	KHSRP	GO:0035770
ENSG00000156052	GNAQ	GO:0046434
ENSG00000075785	RAB7A	GO:0046434
ENSG00000156976	EIF4A2	GO:0046434
ENSG00000128524	ATP6V1F	GO:0046434
ENSG00000047249	ATP6V1H	GO:0046434
ENSG00000132341	RAN	GO:0046434
ENSG00000173692	PSMD1	GO:0010564
ENSG00000108344	PSMD3	GO:0010564
ENSG00000103035	PSMD7	GO:0010564
ENSG00000182985	CADM1	GO:0002706
ENSG00000182985	CADM1	GO:0002705
ENSG00000182985	CADM1	GO:0002703
ENSG00000197535	MYO5A	GO:0051656
ENSG00000132341	RAN	GO:0051656
ENSG00000197535	MYO5A	GO:0051650
ENSG00000182985	CADM1	GO:0002708
ENSG00000173692	PSMD1	GO:0005838
ENSG00000108344	PSMD3	GO:0005838
ENSG00000103035	PSMD7	GO:0005838
ENSG00000156052	GNAQ	GO:0005834
ENSG00000250151	ARPC4-TTLL3	GO:0051495
ENSG00000241685	ARPC1A	GO:0051495
ENSG00000115306	SPTBN1	GO:0051494
ENSG00000250151	ARPC4-TTLL3	GO:0051493
ENSG00000241685	ARPC1A	GO:0051493
ENSG00000115306	SPTBN1	GO:0051493
ENSG00000115484	CCT4	GO:0005832
ENSG00000146731	CCT6A	GO:0005832
ENSG00000163468	CCT3	GO:0005832
ENSG00000120438	TCP1	GO:0005832
ENSG00000173692	PSMD1	GO:0033238
ENSG00000108344	PSMD3	GO:0033238
ENSG00000132471	WBP2	GO:0033238
ENSG00000103035	PSMD7	GO:0033238
ENSG00000156052	GNAQ	GO:0030856
ENSG00000197535	MYO5A	GO:0030855
ENSG00000075785	RAB7A	GO:0045851
ENSG00000047249	ATP6V1H	GO:0045851
ENSG00000021645	NRXN3	GO:0035176
ENSG00000104888	SLC17A7	GO:0015849
ENSG00000197106	SLC6A17	GO:0015849
ENSG00000156052	GNAQ	GO:0045859
ENSG00000159720	ATP6V0D1	GO:0045859
ENSG00000132471	WBP2	GO:0001067
ENSG00000198910	L1CAM	GO:0050839
ENSG00000182985	CADM1	GO:0050839
ENSG00000021645	NRXN3	GO:0050839
ENSG00000171246	NPTX1	GO:0034284
ENSG00000047249	ATP6V1H	GO:0043900
ENSG00000111911	HINT3	GO:0005488
ENSG00000107317	PTGDS	GO:0005488
