GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
59 Ensembl source identifiers supplied in the input file:pink_Module.txt
59 source identifiers meeting the filter linked to a Ensembl ID.
30 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
976 Genes linked to a term.
The z score is based on an N of 976 and a R of 30 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Rheumatoid arthritis:KEGG-hsa05323	9	15	191	60.0	7.85340314136	12.8659626127	0.0	0.0611428571429
Collecting duct acid secretion:KEGG-hsa04966	8	12	36	66.6666666667	33.3333333333	12.8353182167	0.0	0.0611428571429
Vibrio cholerae infection:KEGG-hsa05110	9	21	67	42.8571428571	31.3432835821	10.6722376173	0.0	0.0611428571429
Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120	9	25	83	36.0	30.1204819277	9.65756582377	0.0	0.0611428571429
Oxidative phosphorylation:KEGG-hsa00190	9	40	159	22.5	25.1572327044	7.26484773997	0.0	0.0611428571429
Phagosome:KEGG-hsa04145	10	59	314	16.9491525424	18.7898089172	6.36696141474	0.0	0.0611428571429
Aminoacyl-tRNA biosynthesis:KEGG-hsa00970	1	1	53	100.0	1.88679245283	5.61545486433	0.0395	0.8453
Lysosome:KEGG-hsa04142	5	29	146	17.2413793103	19.8630136986	4.4850418154	0.002	0.0611428571429
Tuberculosis:KEGG-hsa05152	5	41	288	12.1951219512	14.2361111111	3.45534362203	0.0095	0.254125
Cell adhesion molecules (CAMs):KEGG-hsa04514	4	35	254	11.4285714286	13.7795275591	2.91488380412	0.032	0.760888888889
Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961	3	26	52	11.5384615385	50.0	2.53327252352	0.054	1.0
Bacterial invasion of epithelial cells:KEGG-hsa05100	3	29	82	10.3448275862	35.3658536585	2.30179951523	0.076	1.0
Proteasome:KEGG-hsa03050	3	30	62	10.0	48.3870967742	2.23129949626	0.081	1.0
Ribosome biogenesis in eukaryotes:KEGG-hsa03008	1	5	90	20.0	5.55555555556	2.19726046956	0.1765	1.0
RNA transport:KEGG-hsa03013	2	20	172	10.0	11.6279069767	1.81229486506	0.1485	1.0
Olfactory transduction:KEGG-hsa04740	1	7	522	14.2857142857	1.34099616858	1.72390755672	0.1975	1.0
Melanogenesis:KEGG-hsa04916	2	25	110	8.0	22.7272727273	1.4449084043	0.2015	1.0
GnRH signaling pathway:KEGG-hsa04912	2	27	107	7.40740740741	25.2336448598	1.32235246127	0.2265	1.0
Huntington's disease:KEGG-hsa05016	3	50	205	6.0	24.3902439024	1.23008132244	0.2345	1.0
Long-term potentiation:KEGG-hsa04720	2	29	76	6.89655172414	38.1578947368	1.21017836515	0.258	1.0
Gastric acid secretion:KEGG-hsa04971	2	30	82	6.66666666667	36.5853658537	1.15745910753	0.254	1.0
Amoebiasis:KEGG-hsa05146	2	31	138	6.45161290323	22.4637681159	1.1067518508	0.287	1.0
Arachidonic acid metabolism:KEGG-hsa00590	1	12	62	8.33333333333	19.3548387097	1.06156767205	0.3455	1.0
ECM-receptor interaction:KEGG-hsa04512	2	32	118	6.25	27.1186440678	1.05790531273	0.2985	1.0
Endocytosis:KEGG-hsa04144	3	57	270	5.26315789474	21.1111111111	0.98638899228	0.308	1.0
African trypanosomiasis:KEGG-hsa05143	1	13	50	7.69230769231	26.0	0.970753373808	0.378	1.0
Glutamatergic synapse:KEGG-hsa04724	2	39	129	5.12820512821	30.2325581395	0.758229655604	0.3845	1.0
Glioma:KEGG-hsa05214	1	18	83	5.55555555556	21.686746988	0.615408647447	0.4605	1.0
Chagas disease (American trypanosomiasis):KEGG-hsa05142	1	18	142	5.55555555556	12.676056338	0.615408647447	0.4865	1.0
Calcium signaling pathway:KEGG-hsa04020	2	46	191	4.34782608696	24.0837696335	0.51259191393	0.4735	1.0
ErbB signaling pathway:KEGG-hsa04012	1	23	102	4.34782608696	22.5490196078	0.358056677229	0.5595	1.0
Shigellosis:KEGG-hsa05131	1	24	68	4.16666666667	35.2941176471	0.313914937973	0.567	1.0
Long-term depression:KEGG-hsa04730	1	24	79	4.16666666667	30.3797468354	0.313914937973	0.5815	1.0
Vascular smooth muscle contraction:KEGG-hsa04270	1	28	125	3.57142857143	22.4	0.154721916519	0.62	1.0
Salivary secretion:KEGG-hsa04970	1	29	96	3.44827586207	30.2083333333	0.11855721507	0.634	1.0
Pathogenic Escherichia coli infection:KEGG-hsa05130	1	29	67	3.44827586207	43.2835820896	0.11855721507	0.641	1.0
