Ensembl	symbol	GeneOntology
ENSG00000135046	ANXA1	GO:0030850
ENSG00000011052	NME2	GO:0030856
ENSG00000105974	CAV1	GO:0030856
ENSG00000105974	CAV1	GO:0030857
ENSG00000130702	LAMA5	GO:0030855
ENSG00000131981	LGALS3	GO:0030855
ENSG00000168615	ADAM9	GO:0030855
ENSG00000196586	MYO6	GO:0030855
ENSG00000213585	VDAC1	GO:0030855
ENSG00000117519	CNN3	GO:0030855
ENSG00000149591	TAGLN	GO:0030855
ENSG00000151012	SLC7A11	GO:0030855
ENSG00000158710	TAGLN2	GO:0030855
ENSG00000135046	ANXA1	GO:0030855
ENSG00000196975	ANXA4	GO:0030855
ENSG00000072778	ACADVL	GO:0030855
ENSG00000166340	TPP1	GO:0030855
ENSG00000092820	EZR	GO:0030855
ENSG00000159228	CBR1	GO:0030855
ENSG00000164171	ITGA2	GO:0030855
ENSG00000109107	ALDOC	GO:0030855
ENSG00000128311	TST	GO:0030855
ENSG00000196139	AKR1C3	GO:0030855
ENSG00000011052	NME2	GO:0030858
ENSG00000044115	CTNNA1	GO:0031103
ENSG00000189058	APOD	GO:0031103
ENSG00000041982	TNC	GO:0031103
ENSG00000044115	CTNNA1	GO:0031102
ENSG00000131095	GFAP	GO:0031102
ENSG00000189058	APOD	GO:0031102
ENSG00000041982	TNC	GO:0031102
ENSG00000109107	ALDOC	GO:0031100
ENSG00000171368	TPPP	GO:0031109
ENSG00000145864	GABRB2	GO:0034776
ENSG00000149925	ALDOA	GO:0034774
ENSG00000124491	F13A1	GO:0034774
ENSG00000120885	CLU	GO:0034774
ENSG00000113140	SPARC	GO:0034774
ENSG00000205542	TMSB4X	GO:0034774
ENSG00000137076	TLN1	GO:0050839
ENSG00000082781	ITGB5	GO:0050839
ENSG00000130702	LAMA5	GO:0050839
ENSG00000168615	ADAM9	GO:0050839
ENSG00000154096	THY1	GO:0050839
ENSG00000140945	CDH13	GO:0050839
ENSG00000140545	MFGE8	GO:0050839
ENSG00000166333	ILK	GO:0050839
ENSG00000147065	MSN	GO:0050839
ENSG00000044115	CTNNA1	GO:0050839
ENSG00000005884	ITGA3	GO:0050839
ENSG00000150093	ITGB1	GO:0050839
ENSG00000092820	EZR	GO:0050839
ENSG00000091409	ITGA6	GO:0050839
ENSG00000131095	GFAP	GO:0050839
ENSG00000161638	ITGA5	GO:0050839
ENSG00000135424	ITGA7	GO:0050839
ENSG00000164171	ITGA2	GO:0050839
ENSG00000090339	ICAM1	GO:0050839
ENSG00000035403	VCL	GO:0050839
ENSG00000109472	CPE	GO:0050839
ENSG00000108561	C1QBP	GO:0097177
ENSG00000071242	RPS6KA2	GO:0051783
ENSG00000113721	PDGFRB	GO:0051783
ENSG00000071242	RPS6KA2	GO:0051782
ENSG00000121691	CAT	GO:0051781
ENSG00000113721	PDGFRB	GO:0051781
ENSG00000155380	SLC16A1	GO:0051780
ENSG00000120885	CLU	GO:0051787
ENSG00000113721	PDGFRB	GO:0051785
ENSG00000071242	RPS6KA2	GO:0051784
ENSG00000120885	CLU	GO:0051788
ENSG00000105372	RPS19	GO:0060263
ENSG00000105372	RPS19	GO:0060264
ENSG00000105372	RPS19	GO:0060265
ENSG00000105372	RPS19	GO:0060266
ENSG00000105372	RPS19	GO:0060267
ENSG00000105372	RPS19	GO:0060268
ENSG00000145293	ENOPH1	GO:0006595
ENSG00000120053	GOT1	GO:0006595
ENSG00000198793	MTOR	GO:0010906
ENSG00000117054	ACADM	GO:0010906
ENSG00000154096	THY1	GO:0046658
ENSG00000165457	FOLR2	GO:0046658
ENSG00000099998	GGT5	GO:0046658
ENSG00000100031	GGT1	GO:0046658
ENSG00000105409	ATP1A3	GO:0050780
ENSG00000087460	GNAS	GO:0050780
ENSG00000137154	RPS6	GO:0046651
ENSG00000144381	HSPD1	GO:0046651
ENSG00000169896	ITGAM	GO:0046651
ENSG00000162736	NCSTN	GO:0046651
ENSG00000137312	FLOT1	GO:0050789
ENSG00000106554	CHCHD3	GO:0050789
ENSG00000138796	HADH	GO:0050789
ENSG00000158290	CUL4B	GO:0050789
ENSG00000185129	PURA	GO:0050789
ENSG00000109501	WFS1	GO:0050789
ENSG00000148053	NTRK2	GO:0050789
ENSG00000011052	NME2	GO:0050789
ENSG00000137076	TLN1	GO:0050789
ENSG00000170385	SLC30A1	GO:0050789
ENSG00000152583	SPARCL1	GO:0050789
ENSG00000158270	COLEC12	GO:0050789
ENSG00000082781	ITGB5	GO:0050789
ENSG00000168291	PDHB	GO:0050789
ENSG00000100554	ATP6V1D	GO:0050789
ENSG00000149925	ALDOA	GO:0050789
ENSG00000123384	LRP1	GO:0050789
ENSG00000143772	ITPKB	GO:0050789
ENSG00000020129	NCDN	GO:0050789
ENSG00000119318	RAD23B	GO:0050789
ENSG00000169100	SLC25A6	GO:0050789
ENSG00000105409	ATP1A3	GO:0050789
ENSG00000100380	ST13	GO:0050789
ENSG00000084623	EIF3I	GO:0050789
ENSG00000130702	LAMA5	GO:0050789
ENSG00000130707	ASS1	GO:0050789
ENSG00000249915	PDCD6	GO:0050789
ENSG00000182732	RGS6	GO:0050789
ENSG00000131238	PPT1	GO:0050789
ENSG00000136888	ATP6V1G1	GO:0050789
ENSG00000131981	LGALS3	GO:0050789
ENSG00000168610	STAT3	GO:0050789
ENSG00000100097	LGALS1	GO:0050789
ENSG00000168615	ADAM9	GO:0050789
ENSG00000161714	PLCD3	GO:0050789
ENSG00000114450	GNB4	GO:0050789
ENSG00000114353	GNAI2	GO:0050789
ENSG00000196586	MYO6	GO:0050789
ENSG00000117115	PADI2	GO:0050789
