GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
540 Ensembl source identifiers supplied in the input file:turquoise_Module.txt
540 source identifiers meeting the filter linked to a Ensembl ID.
335 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
976 Genes linked to a term.
The z score is based on an N of 976 and a R of 335 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Parkinson's disease:KEGG-hsa05012	33	38	150	86.8421052632	25.3333333333	6.95187626466	0.0	0.0118888888889
Oxidative phosphorylation:KEGG-hsa00190	29	40	159	72.5	25.1572327044	5.19022053263	0.0	0.0118888888889
Huntington's disease:KEGG-hsa05016	33	50	205	66.0	24.3902439024	4.84076162437	0.0	0.0118888888889
Valine, leucine and isoleucine degradation:KEGG-hsa00280	18	22	50	81.8181818182	44.0	4.74329755405	0.0	0.0118888888889
Alzheimer's disease:KEGG-hsa05010	33	52	200	63.4615384615	26.0	4.5459292677	0.0	0.0118888888889
Citrate cycle (TCA cycle):KEGG-hsa00020	16	20	34	80.0	58.8235294118	4.34487218767	0.0	0.0118888888889
Fatty acid elongation in mitochondria:KEGG-hsa00062	6	6	16	100.0	37.5	3.39702448476	0.0005	0.0118888888889
Nicotinate and nicotinamide metabolism:KEGG-hsa00760	7	8	27	87.5	29.6296296296	3.17925645889	0.0015	0.0246923076923
Propanoate metabolism:KEGG-hsa00640	12	17	33	70.5882352941	51.5151515152	3.17539046815	0.0005	0.0118888888889
Fatty acid metabolism:KEGG-hsa00071	13	19	45	68.4210526316	42.2222222222	3.15966691019	0.0005	0.0118888888889
Butanoate metabolism:KEGG-hsa00650	9	12	32	75.0	37.5	2.98465063383	0.0025	0.0356666666667
Hematopoietic cell lineage:KEGG-hsa04640	10	14	126	71.4285714286	11.1111111111	2.94379318156	0.0015	0.0246923076923
Type I diabetes mellitus:KEGG-hsa04940	6	7	167	85.7142857143	4.19161676647	2.87257125635	0.0065	0.0554814814815
Graft-versus-host disease:KEGG-hsa05332	4	4	284	100.0	1.40845070423	2.77080384923	0.007	0.0554814814815
Autoimmune thyroid disease:KEGG-hsa05320	4	4	165	100.0	2.42424242424	2.77080384923	0.007	0.0554814814815
Allograft rejection:KEGG-hsa05330	4	4	157	100.0	2.54777070064	2.77080384923	0.007	0.0554814814815
Tryptophan metabolism:KEGG-hsa00380	9	13	43	69.2307692308	30.2325581395	2.66729929478	0.0065	0.0554814814815
ECM-receptor interaction:KEGG-hsa04512	18	32	118	56.25	27.1186440678	2.6549335456	0.005	0.0535
Phenylalanine metabolism:KEGG-hsa00360	5	6	19	83.3333333333	31.5789473684	2.53496106897	0.015	0.0972727272727
Nucleotide excision repair:KEGG-hsa03420	3	3	67	100.0	4.4776119403	2.39835311875	0.0335	0.168822222222
Protein digestion and absorption:KEGG-hsa04974	10	16	98	62.5	16.3265306122	2.39225768393	0.01	0.0713333333333
Glycolysis / Gluconeogenesis:KEGG-hsa00010	16	30	69	53.3333333333	43.4782608696	2.22632158006	0.032	0.168822222222
RNA degradation:KEGG-hsa03018	4	5	92	80.0	5.4347826087	2.15559089708	0.035	0.168822222222
PPAR signaling pathway:KEGG-hsa03320	9	15	78	60.0	19.2307692308	2.10967662965	0.0415	0.170788461538
Small cell lung cancer:KEGG-hsa05222	8	13	106	61.5384615385	12.2641509434	2.07951782906	0.021	0.1284
Tyrosine metabolism:KEGG-hsa00350	6	9	42	66.6666666667	21.4285714286	2.05204854941	0.0355	0.168822222222
Pyrimidine metabolism:KEGG-hsa00240	6	9	111	66.6666666667	8.10810810811	2.05204854941	0.028	0.159128205128
Carbohydrate digestion and absorption:KEGG-hsa04973	6	9	53	66.6666666667	16.9811320755	2.05204854941	0.0225	0.13375
Arginine and proline metabolism:KEGG-hsa00330	11	20	59	55.0	33.8983050847	1.96679050577	0.04	0.170788461538
Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290	2	2	18	100.0	11.1111111111	1.95724160283	0.099	0.307043478261
Sulfur relay system:KEGG-hsa04122	2	2	11	100.0	18.1818181818	1.95724160283	0.0985	0.307043478261
Intestinal immune network for IgA production:KEGG-hsa04672	2	2	126	100.0	1.5873015873	1.95724160283	0.0915	0.301246153846
Asthma:KEGG-hsa05310	2	2	109	100.0	1.83486238532	1.95724160283	0.0915	0.301246153846
Cardiac muscle contraction:KEGG-hsa04260	13	25	90	52.0	27.7777777778	1.88482088293	0.0895	0.301246153846
Toxoplasmosis:KEGG-hsa05145	12	23	252	52.1739130435	9.12698412698	1.82372715059	0.075	0.263114754098
Lysine degradation:KEGG-hsa00310	7	12	56	58.3333333333	21.4285714286	1.76172073517	0.1105	0.328430555556
Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630	6	10	18	60.0	55.5555555556	1.71808004248	0.0655	0.245912280702
mTOR signaling pathway:KEGG-hsa04150	5	8	62	62.5	12.9032258065	1.68457712176	0.065	0.245912280702
Peroxisome:KEGG-hsa04146	8	15	85	53.3333333333	17.6470588235	1.5619127588	0.1885	0.463261363636
Pyruvate metabolism:KEGG-hsa00620	12	25	42	48.0	59.5238095238	1.45829985772	0.224	0.49418556701
Ribosome:KEGG-hsa03010	16	35	109	45.7142857143	32.1100917431	1.44471867434	0.238	0.504277227723
Cell adhesion molecules (CAMs):KEGG-hsa04514	16	35	254	45.7142857143	13.7795275591	1.44471867434	0.2485	0.521362745098
Staphylococcus aureus infection:KEGG-hsa05150	6	11	173	54.5454545455	6.35838150289	1.41987696563	0.164	0.457061728395
Glycine, serine and threonine metabolism:KEGG-hsa00260	6	11	35	54.5454545455	31.4285714286	1.41987696563	0.1505	0.43522972973
alpha-Linolenic acid metabolism:KEGG-hsa00592	1	1	21	100.0	4.7619047619	1.38326889498	0.311	0.593707964602
Mismatch repair:KEGG-hsa03430	1	1	30	100.0	3.33333333333	1.38326889498	0.3135	0.593707964602
Homologous recombination:KEGG-hsa03440	1	1	35	100.0	2.85714285714	1.38326889498	0.3135	0.593707964602
DNA replication:KEGG-hsa03030	1	1	42	100.0	2.38095238095	1.38326889498	0.3135	0.593707964602
Butirosin and neomycin biosynthesis:KEGG-hsa00524	1	1	6	100.0	16.6666666667	1.38326889498	0.2995	0.593453703704
beta-Alanine metabolism:KEGG-hsa00410	7	14	28	50.0	50.0	1.24370907197	0.232	0.50397
Leukocyte transendothelial migration:KEGG-hsa04670	15	34	135	44.1176470588	25.1851851852	1.22368416646	0.291	0.587490566038
Glycerophospholipid metabolism:KEGG-hsa00564	3	5	100	60.0	5.0	1.21173413819	0.1785	0.457860465116
Ether lipid metabolism:KEGG-hsa00565	3	5	38	60.0	13.1578947368	1.21173413819	0.182	0.457860465116
Glutathione metabolism:KEGG-hsa00480	11	24	57	45.8333333333	42.1052631579	1.2018400779	0.2995	0.593453703704
Riboflavin metabolism:KEGG-hsa00740	2	3	12	66.6666666667	25.0	1.18109225349	0.2225	0.49418556701
Renin-angiotensin system:KEGG-hsa04614	2	3	17	66.6666666667	17.6470588235	1.18109225349	0.2235	0.49418556701
Cyanoamino acid metabolism:KEGG-hsa00460	2	3	7	66.6666666667	42.8571428571	1.18109225349	0.2355	0.50397
ABC transporters:KEGG-hsa02010	2	3	62	66.6666666667	4.83870967742	1.18109225349	0.22	0.49418556701
Leishmaniasis:KEGG-hsa05140	6	12	167	50.0	7.18562874251	1.15025578583	0.3445	0.617642276423
Arachidonic acid metabolism:KEGG-hsa00590	6	12	62	50.0	19.3548387097	1.15025578583	0.364	0.61859375
Inositol phosphate metabolism:KEGG-hsa00562	8	17	63	47.0588235294	26.9841269841	1.11510720612	0.308	0.593707964602
Drug metabolism - cytochrome P450:KEGG-hsa00982	5	10	84	50.0	11.9047619048	1.04894751197	0.264	0.547346153846
Viral myocarditis:KEGG-hsa05416	9	20	194	45.0	10.3092783505	1.01555783301	0.3545	0.617642276423
Malaria:KEGG-hsa05144	4	8	66	50.0	12.1212121212	0.937237453199	0.3995	0.647674242424
Fructose and mannose metabolism:KEGG-hsa00051	6	13	39	46.1538461538	33.3333333333	0.9039548976	0.368	0.61859375
Lysosome:KEGG-hsa04142	12	29	146	41.3793103448	19.8630136986	0.811998012045	0.423	0.670533333333
Pentose phosphate pathway:KEGG-hsa00030	7	16	30	43.75	53.3333333333	0.80031893426	0.4095	0.65397761194
Focal adhesion:KEGG-hsa04510	26	67	244	38.8059701493	27.4590163934	0.800289953627	0.4715	0.720721428571
Proximal tubule bicarbonate reclamation:KEGG-hsa04964	5	11	25	45.4545454545	44.0	0.781553649897	0.505	0.744803921569
Alanine, aspartate and glutamate metabolism:KEGG-hsa00250	5	11	34	45.4545454545	32.3529411765	0.781553649897	0.5105	0.744803921569
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412	13	32	88	40.625	36.3636363636	0.762983238572	0.4485	0.694345323741
Mineral absorption:KEGG-hsa04978	6	14	56	42.8571428571	25.0	0.677014368777	0.5325	0.744803921569
Taurine and hypotaurine metabolism:KEGG-hsa00430	2	4	11	50.0	36.3636363636	0.66136191721	0.37	0.61859375
Synthesis and degradation of ketone bodies:KEGG-hsa00072	2	4	11	50.0	36.3636363636	0.66136191721	0.37	0.61859375
Folate biosynthesis:KEGG-hsa00790	2	4	13	50.0	30.7692307692	0.66136191721	0.3785	0.627899224806
Antigen processing and presentation:KEGG-hsa04612	7	17	441	41.1764705882	3.85487528345	0.600036390607	0.6105	0.787030120482
Purine metabolism:KEGG-hsa00230	12	31	178	38.7096774194	17.4157303371	0.522426335103	0.725	0.886571428571
Porphyrin and chlorophyll metabolism:KEGG-hsa00860	3	7	50	42.8571428571	14.0	0.476989188964	0.601	0.779478787879
Sphingolipid metabolism:KEGG-hsa00600	1	2	52	50.0	3.84615384615	0.467173112687	0.524	0.744803921569
Retinol metabolism:KEGG-hsa00830	1	2	69	50.0	2.89855072464	0.467173112687	0.5295	0.744803921569
Regulation of autophagy:KEGG-hsa04140	1	2	34	50.0	5.88235294118	0.467173112687	0.5195	0.744803921569
Protein export:KEGG-hsa03060	1	2	23	50.0	8.69565217391	0.467173112687	0.528	0.744803921569
Primary bile acid biosynthesis:KEGG-hsa00120	1	2	17	50.0	11.7647058824	0.467173112687	0.542	0.751743589744
Phenylalanine, tyrosine and tryptophan biosynthesis:KEGG-hsa00400	1	2	5	50.0	40.0	0.467173112687	0.548	0.751743589744
Notch signaling pathway:KEGG-hsa04330	1	2	55	50.0	3.63636363636	0.467173112687	0.5275	0.744803921569
Biosynthesis of unsaturated fatty acids:KEGG-hsa01040	1	2	6	50.0	33.3333333333	0.467173112687	0.527	0.744803921569
Rheumatoid arthritis:KEGG-hsa05323	6	15	191	40.0	7.85340314136	0.46638501709	0.776	0.927731843575
Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520	7	18	51	38.8888888889	35.2941176471	0.411534501575	0.804	0.945362637363
Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980	4	10	79	40.0	12.6582278481	0.379814981459	0.693	0.862220930233
Histidine metabolism:KEGG-hsa00340	4	10	30	40.0	33.3333333333	0.379814981459	0.7115	0.875063218391
Galactose metabolism:KEGG-hsa00052	4	10	32	40.0	31.25	0.379814981459	0.6995	0.865277456647
Tuberculosis:KEGG-hsa05152	15	41	288	36.5853658537	14.2361111111	0.311459609661	0.883	0.999798941799
Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410	10	27	112	37.037037037	24.1071428571	0.300982983671	0.8325	0.954462765957
Cysteine and methionine metabolism:KEGG-hsa00270	6	16	39	37.5	41.0256410256	0.26967268437	0.785	0.928121546961
Ascorbate and aldarate metabolism:KEGG-hsa00053	2	5	32	40.0	15.625	0.267877379314	0.8385	0.954462765957
Systemic lupus erythematosus:KEGG-hsa05322	3	8	247	37.5	3.23886639676	0.189897784635	0.9625	1.0
Adipocytokine signaling pathway:KEGG-hsa04920	3	8	92	37.5	8.69565217391	0.189897784635	0.9555	1.0
Starch and sucrose metabolism:KEGG-hsa00500	4	11	64	36.3636363636	17.1875	0.143230334165	0.982	1.0
Dilated cardiomyopathy:KEGG-hsa05414	11	31	120	35.4838709677	25.8333333333	0.138185111998	1.0	1.0
p53 signaling pathway:KEGG-hsa04115	1	3	79	33.3333333333	3.79746835443	-0.0361686117752	0.677	0.850368421053
Steroid hormone biosynthesis:KEGG-hsa00140	1	3	71	33.3333333333	4.22535211268	-0.0361686117752	0.6765	0.850368421053
RIG-I-like receptor signaling pathway:KEGG-hsa04622	1	3	87	33.3333333333	3.44827586207	-0.0361686117752	0.661	0.84702994012
Hedgehog signaling pathway:KEGG-hsa04340	1	3	61	33.3333333333	4.91803278689	-0.0361686117752	0.6695	0.850368421053
Cytokine-cytokine receptor interaction:KEGG-hsa04060	1	3	334	33.3333333333	0.898203592814	-0.0361686117752	0.6795	0.850368421053
Pentose and glucuronate interconversions:KEGG-hsa00040	2	6	38	33.3333333333	15.7894736842	-0.0512291783973	0.8955	1.0
Aldosterone-regulated sodium reabsorption:KEGG-hsa04960	4	12	47	33.3333333333	25.5319148936	-0.0726741128305	0.9875	1.0
Gastric acid secretion:KEGG-hsa04971	10	30	82	33.3333333333	36.5853658537	-0.11599591416	1.0	1.0
Calcium signaling pathway:KEGG-hsa04020	15	46	191	32.6086956522	24.0837696335	-0.250854112144	0.898	1.0
Bile secretion:KEGG-hsa04976	6	19	75	31.5789473684	25.3333333333	-0.254352436705	0.8385	0.954462765957
Measles:KEGG-hsa05162	3	10	183	30.0	5.46448087432	-0.289317549053	0.9785	1.0
Complement and coagulation cascades:KEGG-hsa04610	3	10	119	30.0	8.40336134454	-0.289317549053	0.9785	1.0
Type II diabetes mellitus:KEGG-hsa04930	2	7	63	28.5714285714	11.1111111111	-0.321538166832	0.932	1.0
Olfactory transduction:KEGG-hsa04740	2	7	522	28.5714285714	1.34099616858	-0.321538166832	0.923	1.0
Phagosome:KEGG-hsa04145	19	59	314	32.2033898305	18.7898089172	-0.353716956758	0.8235	0.954462765957
Taste transduction:KEGG-hsa04742	1	4	73	25.0	5.47945205479	-0.393359048798	0.768	0.927533707865
Phototransduction:KEGG-hsa04744	1	4	29	25.0	13.7931034483	-0.393359048798	0.764	0.927533707865
N-Glycan biosynthesis:KEGG-hsa00510	1	4	50	25.0	8.0	-0.393359048798	0.7715	0.927533707865
RNA transport:KEGG-hsa03013	6	20	172	30.0	11.6279069767	-0.411291176132	0.832	0.954462765957
Phosphatidylinositol signaling system:KEGG-hsa04070	6	20	86	30.0	23.2558139535	-0.411291176132	0.8275	0.954462765957
Regulation of actin cytoskeleton:KEGG-hsa04810	26	81	234	32.0987654321	34.6153846154	-0.440212836102	0.7805	0.927927777778
Terpenoid backbone biosynthesis:KEGG-hsa00900	1	5	18	20.0	27.7777777778	-0.675979379567	0.526	0.744803921569
Nitrogen metabolism:KEGG-hsa00910	1	5	25	20.0	20.0	-0.675979379567	0.5255	0.744803921569
Collecting duct acid secretion:KEGG-hsa04966	3	12	36	25.0	33.3333333333	-0.684139062163	0.5865	0.774759259259
Sulfur metabolism:KEGG-hsa00920	0	1	14	0.0	7.14285714286	-0.722925241527	1.0	1.0
Selenocompound metabolism:KEGG-hsa00450	0	1	18	0.0	5.55555555556	-0.722925241527	1.0	1.0
Primary immunodeficiency:KEGG-hsa05340	0	1	79	0.0	1.26582278481	-0.722925241527	1.0	1.0
Lysine biosynthesis:KEGG-hsa00300	0	1	3	0.0	33.3333333333	-0.722925241527	1.0	1.0
