GO-Elite ORA Results
File:
Table:
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
540 Ensembl source identifiers supplied in the input file:turquoise_Module.txt
540 source identifiers meeting the filter linked to a Ensembl ID.
271 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 271 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Electron Transport Chain:WP111	27	27	109	100.0	24.7706422018	7.11683081289	0.0	0.0474
Oxidative phosphorylation:WP623	14	14	66	100.0	21.2121212121	5.07997585288	0.0	0.0474
Fatty Acid Beta Oxidation:WP143	13	15	33	86.6666666667	45.4545454545	4.1729983471	0.0	0.0474
TCA Cycle:WP78	10	12	20	83.3333333333	60.0	3.48199635265	0.001	0.0474
TCA Cycle and PDHc:WP2453	11	14	16	78.5714285714	87.5	3.39059197163	0.0	0.0474
Tryptophan metabolism:WP465	8	11	45	72.7272727273	24.4444444444	2.59184291671	0.009	0.2133
Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368	6	8	18	75.0	44.4444444444	2.34083463034	0.0145	0.312409090909
Osteoblast Signaling:WP322	3	3	14	100.0	21.4285714286	2.33446930759	0.0315	0.5214
Integrin-mediated Cell Adhesion:WP185	20	38	103	52.6315789474	36.8932038835	2.25324593656	0.063	0.635853658537
Glycolysis and Gluconeogenesis:WP534	16	29	52	55.1724137931	55.7692307692	2.24752556104	0.0285	0.519576923077
TarBasePathway:WP1992	2	2	13	100.0	15.3846153846	1.90483179107	0.0975	0.635853658537
Synthesis and Degradation of Ketone Bodies:WP311	2	2	5	100.0	40.0	1.90483179107	0.1015	0.635853658537
Estrogen Receptor Pathway:WP2881	2	2	13	100.0	15.3846153846	1.90483179107	0.093	0.635853658537
Primary Focal Segmental Glomerulosclerosis FSGS:WP2572	13	25	73	52.0	34.2465753425	1.74440071591	0.082	0.635853658537
Senescence and Autophagy in Cancer:WP615	7	12	110	58.3333333333	10.9090909091	1.65968782194	0.1145	0.641445652174
Fatty Acid Biosynthesis:WP357	6	10	22	60.0	45.4545454545	1.6238192787	0.161	0.698238461538
Integrated Breast Cancer Pathway:WP1984	5	8	69	62.5	11.5942028986	1.59885626581	0.0705	0.635853658537
PPAR Alpha Pathway:WP2878	4	6	26	66.6666666667	23.0769230769	1.59672457802	0.0845	0.635853658537
Notch Signaling Pathway:WP61	4	6	58	66.6666666667	10.3448275862	1.59672457802	0.0805	0.635853658537
Focal Adhesion:WP306	24	54	190	44.4444444444	28.4210526316	1.41325968762	0.2745	0.797556521739
Triacylglyceride Synthesis:WP325	1	1	22	100.0	4.54545454545	1.34603421876	0.2955	0.797556521739
TFs Regulate miRNAs related to cardiac hypertrophy:WP1559	1	1	15	100.0	6.66666666667	1.34603421876	0.3055	0.797556521739
Sphingolipid Metabolism:WP1422	1	1	19	100.0	5.26315789474	1.34603421876	0.3265	0.797556521739
Matrix Metalloproteinases:WP129	1	1	32	100.0	3.125	1.34603421876	0.298	0.797556521739
Histone Modifications:WP2369	1	1	66	100.0	1.51515151515	1.34603421876	0.3105	0.797556521739
Heme Biosynthesis:WP561	1	1	9	100.0	11.1111111111	1.34603421876	0.31	0.797556521739
Eukaryotic Transcription Initiation:WP405	1	1	42	100.0	2.38095238095	1.34603421876	0.3075	0.797556521739
Cell Differentiation - Index:WP2029	1	1	54	100.0	1.85185185185	1.34603421876	0.3055	0.797556521739
Acetylcholine Synthesis:WP528	1	1	7	100.0	14.2857142857	1.34603421876	0.3165	0.797556521739
Glutathione metabolism:WP100	5	9	17	55.5555555556	52.9411764706	1.25946368256	0.264	0.797556521739
