Ensembl	symbol	GeneOntology
ENSG00000137486	ARRB1	GO:0035774
ENSG00000172725	CORO1B	GO:2000394
ENSG00000134001	EIF2S1	GO:0035770
ENSG00000089157	RPLP0	GO:0035770
ENSG00000070831	CDC42	GO:0035770
ENSG00000137154	RPS6	GO:0035770
ENSG00000136238	RAC1	GO:0035770
ENSG00000198034	RPS4X	GO:0035770
ENSG00000089009	RPL6	GO:0035770
ENSG00000153187	HNRNPU	GO:0035770
ENSG00000215301	DDX3X	GO:0035770
ENSG00000087258	GNAO1	GO:0046434
ENSG00000085563	ABCB1	GO:0046434
ENSG00000121691	CAT	GO:0046434
ENSG00000078369	GNB1	GO:0046434
ENSG00000178952	TUFM	GO:0046434
ENSG00000070831	CDC42	GO:0046434
ENSG00000084733	RAB10	GO:0046434
ENSG00000119396	RAB14	GO:0046434
ENSG00000080371	RAB21	GO:0046434
ENSG00000108774	RAB5C	GO:0046434
ENSG00000049239	H6PD	GO:0046434
ENSG00000067560	RHOA	GO:0046434
ENSG00000144118	RALB	GO:0046434
ENSG00000174775	HRAS	GO:0046434
ENSG00000136238	RAC1	GO:0046434
ENSG00000138175	ARL3	GO:0046434
ENSG00000105357	MYH14	GO:0046434
ENSG00000156976	EIF4A2	GO:0046434
ENSG00000183207	RUVBL2	GO:0046434
ENSG00000174903	RAB1B	GO:0046434
ENSG00000143862	ARL8A	GO:0046434
ENSG00000111540	RAB5B	GO:0046434
ENSG00000156508	EEF1A1	GO:0046434
ENSG00000175582	RAB6A	GO:0046434
ENSG00000198563	DDX39B	GO:0046434
ENSG00000158186	MRAS	GO:0046434
ENSG00000215301	DDX3X	GO:0046434
ENSG00000198805	PNP	GO:0046434
ENSG00000006451	RALA	GO:0046434
ENSG00000177105	RHOG	GO:0046434
ENSG00000100345	MYH9	GO:0046434
ENSG00000130741	EIF2S3	GO:0046434
ENSG00000136238	RAC1	GO:0001891
ENSG00000198805	PNP	GO:0034356
ENSG00000136238	RAC1	GO:0016358
ENSG00000196586	MYO6	GO:0016358
ENSG00000070831	CDC42	GO:0051656
ENSG00000092964	DPYSL2	GO:0051656
ENSG00000100345	MYH9	GO:0051656
ENSG00000136068	FLNB	GO:0051651
ENSG00000173801	JUP	GO:0051651
ENSG00000092964	DPYSL2	GO:0051650
ENSG00000070831	CDC42	GO:0034191
ENSG00000070831	CDC42	GO:0034190
ENSG00000100804	PSMB5	GO:0005839
ENSG00000137486	ARRB1	GO:0005834
ENSG00000087258	GNAO1	GO:0005834
ENSG00000078369	GNB1	GO:0005834
ENSG00000176533	GNG7	GO:0005834
ENSG00000140416	TPM1	GO:0051496
ENSG00000067560	RHOA	GO:0051496
ENSG00000140416	TPM1	GO:0051495
ENSG00000067560	RHOA	GO:0051495
ENSG00000174775	HRAS	GO:0051495
ENSG00000136238	RAC1	GO:0051495
ENSG00000115306	SPTBN1	GO:0051494
ENSG00000126524	SBDS	GO:0051494
ENSG00000101367	MAPRE1	GO:0051494
ENSG00000197694	SPTAN1	GO:0051494
ENSG00000181163	NPM1	GO:0051494
ENSG00000173898	SPTBN2	GO:0051494
ENSG00000172725	CORO1B	GO:0051494
ENSG00000116489	CAPZA1	GO:0051494
ENSG00000115306	SPTBN1	GO:0051493
ENSG00000070831	CDC42	GO:0051493
ENSG00000140416	TPM1	GO:0051493
ENSG00000143546	S100A8	GO:0051493
ENSG00000126524	SBDS	GO:0051493
ENSG00000067560	RHOA	GO:0051493
ENSG00000174775	HRAS	GO:0051493
ENSG00000136238	RAC1	GO:0051493
ENSG00000101367	MAPRE1	GO:0051493
ENSG00000197694	SPTAN1	GO:0051493
ENSG00000181163	NPM1	GO:0051493
ENSG00000173898	SPTBN2	GO:0051493
ENSG00000172725	CORO1B	GO:0051493
ENSG00000151914	DST	GO:0051493
ENSG00000163220	S100A9	GO:0051493
ENSG00000116489	CAPZA1	GO:0051493
ENSG00000140416	TPM1	GO:0051492
ENSG00000067560	RHOA	GO:0051492
ENSG00000006451	RALA	GO:0051491
ENSG00000137486	ARRB1	GO:0033238
ENSG00000100804	PSMB5	GO:0033238
ENSG00000070831	CDC42	GO:0033238
ENSG00000183207	RUVBL2	GO:0033238
ENSG00000180370	PAK2	GO:0033238
ENSG00000175793	SFN	GO:0030856
ENSG00000109107	ALDOC	GO:0030855
ENSG00000164733	CTSB	GO:0030855
ENSG00000175793	SFN	GO:0030855
ENSG00000084733	RAB10	GO:0030855
ENSG00000143556	S100A7	GO:0030855
ENSG00000176788	BASP1	GO:0030855
ENSG00000131981	LGALS3	GO:0030855
ENSG00000196586	MYO6	GO:0030855
ENSG00000072778	ACADVL	GO:0030855
ENSG00000117519	CNN3	GO:0030855
ENSG00000096696	DSP	GO:0030855
ENSG00000175793	SFN	GO:0030858
ENSG00000070831	CDC42	GO:0007088
ENSG00000100823	APEX1	GO:0006284
ENSG00000277586	NEFL	GO:0031103
ENSG00000044115	CTNNA1	GO:0031103
ENSG00000277586	NEFL	GO:0031102
ENSG00000131095	GFAP	GO:0031102
ENSG00000044115	CTNNA1	GO:0031102
ENSG00000109107	ALDOC	GO:0031100
ENSG00000174775	HRAS	GO:0035176
ENSG00000196586	MYO6	GO:0015849
ENSG00000115902	SLC1A4	GO:0015849
ENSG00000175793	SFN	GO:0045859
ENSG00000134001	EIF2S1	GO:0045859
ENSG00000106211	HSPB1	GO:0045859
ENSG00000070831	CDC42	GO:0045859
ENSG00000174775	HRAS	GO:0045859
ENSG00000160789	LMNA	GO:0045859
ENSG00000072778	ACADVL	GO:0045859
ENSG00000012223	LTF	GO:0045859
ENSG00000181163	NPM1	GO:0045859
ENSG00000180370	PAK2	GO:0045859
ENSG00000137486	ARRB1	GO:0001067
ENSG00000176788	BASP1	GO:0001067
ENSG00000168610	STAT3	GO:0001067
ENSG00000183207	RUVBL2	GO:0001067
ENSG00000006625	GGCT	GO:0019184
ENSG00000100345	MYH9	GO:0030220
ENSG00000143546	S100A8	GO:0050832
ENSG00000161634	DCD	GO:0050832
ENSG00000012223	LTF	GO:0050832
ENSG00000163220	S100A9	GO:0050832
ENSG00000253729	PRKDC	GO:0005958
ENSG00000022355	GABRA1	GO:0034776
ENSG00000130402	ACTN4	GO:0034774
ENSG00000175793	SFN	GO:0030291
ENSG00000106211	HSPB1	GO:0030291
ENSG00000115306	SPTBN1	GO:0097485
ENSG00000070831	CDC42	GO:0097485
ENSG00000172020	GAP43	GO:0097485
ENSG00000067560	RHOA	GO:0097485
ENSG00000174775	HRAS	GO:0097485
ENSG00000136238	RAC1	GO:0097485
ENSG00000105357	MYH14	GO:0097485
ENSG00000197694	SPTAN1	GO:0097485
ENSG00000108797	CNTNAP1	GO:0097485
ENSG00000180370	PAK2	GO:0097485
ENSG00000173898	SPTBN2	GO:0097485
ENSG00000092964	DPYSL2	GO:0097485
ENSG00000177105	RHOG	GO:0097485
ENSG00000100345	MYH9	GO:0097485
ENSG00000012223	LTF	GO:0030295
ENSG00000180370	PAK2	GO:0030295
ENSG00000180370	PAK2	GO:0030296
ENSG00000172020	GAP43	GO:0008038
ENSG00000223572	CKMT1A	GO:0006575
ENSG00000068120	COASY	GO:0006575
ENSG00000169710	FASN	GO:0006575
ENSG00000006625	GGCT	GO:0006575
ENSG00000164687	FABP5	GO:0006576
ENSG00000116649	SRM	GO:0006576
ENSG00000095321	CRAT	GO:0006577
ENSG00000012223	LTF	GO:0043903
ENSG00000085563	ABCB1	GO:0030554
ENSG00000253729	PRKDC	GO:0030554
ENSG00000065833	ME1	GO:0030554
ENSG00000138175	ARL3	GO:0030554
ENSG00000105357	MYH14	GO:0030554
ENSG00000156976	EIF4A2	GO:0030554
ENSG00000196586	MYO6	GO:0030554
ENSG00000183207	RUVBL2	GO:0030554
ENSG00000163344	PMVK	GO:0030554
ENSG00000164076	CAMKV	GO:0030554
ENSG00000152556	PFKM	GO:0030554
ENSG00000223572	CKMT1A	GO:0030554
ENSG00000068120	COASY	GO:0030554
ENSG00000198563	DDX39B	GO:0030554
ENSG00000180370	PAK2	GO:0030554
ENSG00000153187	HNRNPU	GO:0030554
ENSG00000215301	DDX3X	GO:0030554
ENSG00000151914	DST	GO:0030554
ENSG00000054793	ATP9A	GO:0030554
ENSG00000100345	MYH9	GO:0030554
ENSG00000100220	RTCB	GO:0030554
ENSG00000069345	DNAJA2	GO:0030554
ENSG00000070831	CDC42	GO:0051783
ENSG00000121691	CAT	GO:0051781
ENSG00000070831	CDC42	GO:0051781
ENSG00000067560	RHOA	GO:0051781
ENSG00000068120	COASY	GO:0004140
ENSG00000160789	LMNA	GO:0090342
ENSG00000136238	RAC1	GO:0060263
ENSG00000121691	CAT	GO:0020027
ENSG00000106211	HSPB1	GO:0005080
ENSG00000096696	DSP	GO:0005080
ENSG00000131981	LGALS3	GO:0050670
ENSG00000198805	PNP	GO:0050670
ENSG00000116649	SRM	GO:0006596
ENSG00000116649	SRM	GO:0006595
ENSG00000128989	ARPP19	GO:0010906
