Ensembl	symbol	KEGG
ENSG00000174775	HRAS	Endometrial cancer:KEGG-hsa05213
ENSG00000044115	CTNNA1	Endometrial cancer:KEGG-hsa05213
ENSG00000174775	HRAS	Long-term potentiation:KEGG-hsa04720
ENSG00000178372	CALML5	Long-term potentiation:KEGG-hsa04720
ENSG00000100994	PYGB	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000178372	CALML5	Oocyte meiosis:KEGG-hsa04114
ENSG00000116649	SRM	Glutathione metabolism:KEGG-hsa00480
ENSG00000006625	GGCT	Glutathione metabolism:KEGG-hsa00480
ENSG00000121691	CAT	Peroxisome:KEGG-hsa04146
ENSG00000133835	HSD17B4	Peroxisome:KEGG-hsa04146
ENSG00000060971	ACAA1	Peroxisome:KEGG-hsa04146
ENSG00000163344	PMVK	Peroxisome:KEGG-hsa04146
ENSG00000161533	ACOX1	Peroxisome:KEGG-hsa04146
ENSG00000095321	CRAT	Peroxisome:KEGG-hsa04146
ENSG00000109107	ALDOC	Fructose and mannose metabolism:KEGG-hsa00051
ENSG00000085662	AKR1B1	Fructose and mannose metabolism:KEGG-hsa00051
ENSG00000152556	PFKM	Fructose and mannose metabolism:KEGG-hsa00051
ENSG00000049860	HEXB	Glycosphingolipid biosynthesis - ganglio series:KEGG-hsa00604
ENSG00000198431	TXNRD1	Selenocompound metabolism:KEGG-hsa00450
ENSG00000277586	NEFL	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000121691	CAT	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000136238	RAC1	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000134760	DSG1	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000174775	HRAS	Bladder cancer:KEGG-hsa05219
ENSG00000137486	ARRB1	Phototransduction:KEGG-hsa04744
ENSG00000078369	GNB1	Phototransduction:KEGG-hsa04744
ENSG00000178372	CALML5	Phototransduction:KEGG-hsa04744
ENSG00000178372	CALML5	Olfactory transduction:KEGG-hsa04740
ENSG00000070831	CDC42	GnRH signaling pathway:KEGG-hsa04912
ENSG00000174775	HRAS	GnRH signaling pathway:KEGG-hsa04912
ENSG00000178372	CALML5	GnRH signaling pathway:KEGG-hsa04912
ENSG00000070831	CDC42	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000067560	RHOA	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000174775	HRAS	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000136238	RAC1	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000178372	CALML5	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000049860	HEXB	Glycosphingolipid biosynthesis - globo series:KEGG-hsa00603
ENSG00000175793	SFN	Cell cycle:KEGG-hsa04110
ENSG00000253729	PRKDC	Cell cycle:KEGG-hsa04110
ENSG00000014216	CAPN1	Apoptosis:KEGG-hsa04210
ENSG00000167315	ACAA2	Fatty acid elongation in mitochondria:KEGG-hsa00062
ENSG00000070831	CDC42	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000067560	RHOA	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000174775	HRAS	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000136238	RAC1	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000105357	MYH14	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000180370	PAK2	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000158186	MRAS	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000130402	ACTN4	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000100345	MYH9	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000085563	ABCB1	ABC transporters:KEGG-hsa02010
ENSG00000085662	AKR1B1	Galactose metabolism:KEGG-hsa00052
ENSG00000152556	PFKM	Galactose metabolism:KEGG-hsa00052
ENSG00000070831	CDC42	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000067560	RHOA	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000136238	RAC1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000044115	CTNNA1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000177105	RHOG	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000116649	SRM	beta-Alanine metabolism:KEGG-hsa00410
ENSG00000134001	EIF2S1	Hepatitis C:KEGG-hsa05160
ENSG00000174775	HRAS	Hepatitis C:KEGG-hsa05160
ENSG00000168610	STAT3	Hepatitis C:KEGG-hsa05160
ENSG00000174775	HRAS	Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000136238	RAC1	Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000087258	GNAO1	Glutamatergic synapse:KEGG-hsa04724
ENSG00000078369	GNB1	Glutamatergic synapse:KEGG-hsa04724
ENSG00000176533	GNG7	Glutamatergic synapse:KEGG-hsa04724
ENSG00000143549	TPM3	Thyroid cancer:KEGG-hsa05216
ENSG00000174775	HRAS	Thyroid cancer:KEGG-hsa05216
ENSG00000087258	GNAO1	Toxoplasmosis:KEGG-hsa05145
ENSG00000168610	STAT3	Toxoplasmosis:KEGG-hsa05145
ENSG00000174775	HRAS	Prostate cancer:KEGG-hsa05215
ENSG00000100804	PSMB5	Proteasome:KEGG-hsa03050
ENSG00000022355	GABRA1	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000109107	ALDOC	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000152556	PFKM	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000049860	HEXB	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000060971	ACAA1	Fatty acid metabolism:KEGG-hsa00071
ENSG00000072778	ACADVL	Fatty acid metabolism:KEGG-hsa00071
ENSG00000167315	ACAA2	Fatty acid metabolism:KEGG-hsa00071
ENSG00000161533	ACOX1	Fatty acid metabolism:KEGG-hsa00071
