GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
200 Ensembl source identifiers supplied in the input file:blue_Module.txt
200 source identifiers meeting the filter linked to a Ensembl ID.
123 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 123 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Ribosome:KEGG-hsa03010	22	35	109	62.8571428571	32.1100917431	9.12503535445	0.0	0.178333333333
RNA transport:KEGG-hsa03013	10	20	172	50.0	11.6279069767	5.0931894171	0.0	0.178333333333
Phototransduction:KEGG-hsa04744	3	4	29	75.0	13.7931034483	3.76850245287	0.0065	0.231833333333
Pancreatic cancer:KEGG-hsa05212	5	11	87	45.4545454545	12.6436781609	3.30277666013	0.0025	0.178333333333
Peroxisome:KEGG-hsa04146	6	15	85	40.0	17.6470588235	3.22338428272	0.004	0.214
alpha-Linolenic acid metabolism:KEGG-hsa00592	1	1	21	100.0	4.7619047619	2.63497427519	0.126	0.898151515152
Selenocompound metabolism:KEGG-hsa00450	1	1	18	100.0	5.55555555556	2.63497427519	0.119	0.878137931034
Glycosphingolipid biosynthesis - globo series:KEGG-hsa00603	1	1	15	100.0	6.66666666667	2.63497427519	0.11	0.878137931034
Glycosphingolipid biosynthesis - ganglio series:KEGG-hsa00604	1	1	19	100.0	5.26315789474	2.63497427519	0.11	0.878137931034
Glycosaminoglycan degradation:KEGG-hsa00531	1	1	19	100.0	5.26315789474	2.63497427519	0.11	0.878137931034
Fatty acid biosynthesis:KEGG-hsa00061	1	1	7	100.0	14.2857142857	2.63497427519	0.1115	0.878137931034
Base excision repair:KEGG-hsa03410	1	1	36	100.0	2.77777777778	2.63497427519	0.1065	0.878137931034
Pathways in cancer:KEGG-hsa05200	12	52	395	23.0769230769	13.164556962	2.34172070417	0.022	0.523111111111
Tight junction:KEGG-hsa04530	10	42	152	23.8095238095	27.6315789474	2.23948564041	0.0165	0.441375
Renal cell carcinoma:KEGG-hsa05211	5	18	85	27.7777777778	21.1764705882	1.95961948746	0.052	0.856
Spliceosome:KEGG-hsa03040	3	9	176	33.3333333333	5.11363636364	1.88368950622	0.068	0.878137931034
Colorectal cancer:KEGG-hsa05210	3	9	77	33.3333333333	11.6883116883	1.88368950622	0.0785	0.878137931034
Acute myeloid leukemia:KEGG-hsa05221	3	9	72	33.3333333333	12.5	1.88368950622	0.085	0.878137931034
Chemokine signaling pathway:KEGG-hsa04062	8	36	222	22.2222222222	16.2162162162	1.77435599146	0.1105	0.878137931034
VEGF signaling pathway:KEGG-hsa04370	4	15	88	26.6666666667	17.0454545455	1.65542488804	0.093	0.878137931034
PPAR signaling pathway:KEGG-hsa03320	4	15	78	26.6666666667	19.2307692308	1.65542488804	0.089	0.878137931034
Primary bile acid biosynthesis:KEGG-hsa00120	1	2	17	50.0	11.7647058824	1.59567150291	0.226	0.898151515152
Pantothenate and CoA biosynthesis:KEGG-hsa00770	1	2	19	50.0	10.5263157895	1.59567150291	0.2145	0.898151515152
Adherens junction:KEGG-hsa04520	6	28	88	21.4285714286	31.8181818182	1.42984049402	0.209	0.898151515152
MAPK signaling pathway:KEGG-hsa04010	9	50	323	18.0	15.479876161	1.18335680251	0.2565	0.898151515152
Hepatitis C:KEGG-hsa05160	3	13	165	23.0769230769	7.87878787879	1.14693141781	0.197	0.898151515152
Fructose and mannose metabolism:KEGG-hsa00051	3	13	39	23.0769230769	33.3333333333	1.14693141781	0.1865	0.898151515152
T cell receptor signaling pathway:KEGG-hsa04660	4	19	138	21.0526315789	13.768115942	1.12243202085	0.1675	0.898151515152
Fatty acid metabolism:KEGG-hsa00071	4	19	45	21.0526315789	42.2222222222	1.12243202085	0.159	0.898151515152
p53 signaling pathway:KEGG-hsa04115	1	3	79	33.3333333333	3.79746835443	1.08419372965	0.304	0.898151515152
RIG-I-like receptor signaling pathway:KEGG-hsa04622	1	3	87	33.3333333333	3.44827586207	1.08419372965	0.324	0.898151515152
Non-homologous end-joining:KEGG-hsa03450	1	3	18	33.3333333333	16.6666666667	1.08419372965	0.2985	0.898151515152
ABC transporters:KEGG-hsa02010	1	3	62	33.3333333333	4.83870967742	1.08419372965	0.304	0.898151515152
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412	6	32	88	18.75	36.3636363636	1.06760059496	0.3895	0.898151515152
mTOR signaling pathway:KEGG-hsa04150	2	8	62	25.0	12.9032258065	1.06196027187	0.2405	0.898151515152
Nicotinate and nicotinamide metabolism:KEGG-hsa00760	2	8	27	25.0	29.6296296296	1.06196027187	0.2415	0.898151515152
Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014	3	14	68	21.4285714286	20.5882352941	1.0036737302	0.2055	0.898151515152
Insulin signaling pathway:KEGG-hsa04910	5	27	165	18.5185185185	16.3636363636	0.94131825656	0.3085	0.898151515152
Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410	5	27	112	18.5185185185	24.1071428571	0.94131825656	0.3055	0.898151515152
