Ensembl	symbol	WikiPathways
ENSG00000168610	STAT3	IL-5 Signaling Pathway:WP127
ENSG00000174775	HRAS	TGF Beta Signaling Pathway:WP560
ENSG00000168610	STAT3	TGF Beta Signaling Pathway:WP560
ENSG00000067560	RHOA	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000174775	HRAS	Insulin Signaling:WP481
ENSG00000152556	PFKM	Insulin Signaling:WP481
ENSG00000091483	FH	TCA Cycle:WP78
ENSG00000007402	CACNA2D2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000160789	LMNA	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000044115	CTNNA1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000173801	JUP	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000130402	ACTN4	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000096696	DSP	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000070831	CDC42	TOR Signaling:WP1471
ENSG00000136238	RAC1	TOR Signaling:WP1471
ENSG00000172020	GAP43	Glial Cell Differentiation:WP2276
ENSG00000109107	ALDOC	Glycolysis and Gluconeogenesis:WP534
ENSG00000152556	PFKM	Glycolysis and Gluconeogenesis:WP534
ENSG00000134001	EIF2S1	BDNF signaling pathway:WP2380
ENSG00000070831	CDC42	BDNF signaling pathway:WP2380
ENSG00000174775	HRAS	BDNF signaling pathway:WP2380
ENSG00000168610	STAT3	BDNF signaling pathway:WP2380
ENSG00000167658	EEF2	BDNF signaling pathway:WP2380
ENSG00000092964	DPYSL2	BDNF signaling pathway:WP2380
ENSG00000177105	RHOG	BDNF signaling pathway:WP2380
ENSG00000168610	STAT3	IL-9 Signaling Pathway:WP22
ENSG00000130402	ACTN4	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000026025	VIM	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000100345	MYH9	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000136810	TXN	NRF2 pathway:WP2884
ENSG00000198431	TXNRD1	NRF2 pathway:WP2884
ENSG00000065833	ME1	NRF2 pathway:WP2884
ENSG00000085662	AKR1B1	Polyol Pathway:WP690
ENSG00000133835	HSD17B4	Steroid Biosynthesis:WP496
ENSG00000174775	HRAS	Extracellular vesicle-mediated signaling in recipient cells:WP2870
ENSG00000174775	HRAS	Signaling Pathways in Glioblastoma:WP2261
ENSG00000174775	HRAS	Kit receptor signaling pathway:WP304
ENSG00000168610	STAT3	Kit receptor signaling pathway:WP304
ENSG00000106211	HSPB1	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000044115	CTNNA1	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000180370	PAK2	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000026025	VIM	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000115306	SPTBN1	TGF beta Signaling Pathway:WP366
ENSG00000070831	CDC42	TGF beta Signaling Pathway:WP366
ENSG00000067560	RHOA	TGF beta Signaling Pathway:WP366
ENSG00000180370	PAK2	TGF beta Signaling Pathway:WP366
ENSG00000070831	CDC42	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000136238	RAC1	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000168610	STAT3	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000101367	MAPRE1	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000092964	DPYSL2	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000072506	HSD17B10	Alzheimers Disease:WP2059
ENSG00000014216	CAPN1	Alzheimers Disease:WP2059
ENSG00000178372	CALML5	Alzheimers Disease:WP2059
ENSG00000070831	CDC42	RANKL/RANK Signaling Pathway:WP2018
ENSG00000137563	GGH	Fluoropyrimidine Activity:WP1601
ENSG00000121691	CAT	Oxidative Stress:WP408
ENSG00000198431	TXNRD1	Oxidative Stress:WP408
ENSG00000140416	TPM1	Striated Muscle Contraction:WP383
ENSG00000143549	TPM3	Striated Muscle Contraction:WP383
ENSG00000167460	TPM4	Striated Muscle Contraction:WP383
ENSG00000130402	ACTN4	Striated Muscle Contraction:WP383
ENSG00000026025	VIM	Striated Muscle Contraction:WP383
ENSG00000070831	CDC42	Focal Adhesion:WP306
ENSG00000067560	RHOA	Focal Adhesion:WP306
ENSG00000174775	HRAS	Focal Adhesion:WP306
ENSG00000014216	CAPN1	Focal Adhesion:WP306
ENSG00000180370	PAK2	Focal Adhesion:WP306
ENSG00000163220	S100A9	IL1 and megakaryotyces in obesity:WP2865
ENSG00000014216	CAPN1	Integrated Pancreatic Cancer Pathway:WP2377
ENSG00000174775	HRAS	IL-2 Signaling Pathway:WP49
ENSG00000168610	STAT3	IL-2 Signaling Pathway:WP49
ENSG00000085563	ABCB1	Imatinib Resistance in Chronic Myeloid Leukemia:WP2946
ENSG00000144290	SLC4A10	Imatinib Resistance in Chronic Myeloid Leukemia:WP2946
ENSG00000085662	AKR1B1	Metapathway biotransformation:WP702
ENSG00000168610	STAT3	Adipogenesis:WP236
ENSG00000160789	LMNA	Adipogenesis:WP236
ENSG00000105835	NAMPT	Adipogenesis:WP236
ENSG00000070831	CDC42	Androgen receptor signaling pathway:WP138
ENSG00000067560	RHOA	Androgen receptor signaling pathway:WP138
ENSG00000168610	STAT3	Androgen receptor signaling pathway:WP138
ENSG00000138668	HNRNPD	mRNA Processing:WP411
ENSG00000122566	HNRNPA2B1	mRNA Processing:WP411
ENSG00000153187	HNRNPU	mRNA Processing:WP411
ENSG00000085563	ABCB1	Allograft Rejection:KEGG-hsa05330:WP2328
ENSG00000026025	VIM	Allograft Rejection:KEGG-hsa05330:WP2328
ENSG00000137486	ARRB1	MAPK Signaling Pathway:WP382
ENSG00000106211	HSPB1	MAPK Signaling Pathway:WP382
ENSG00000070831	CDC42	MAPK Signaling Pathway:WP382
ENSG00000180370	PAK2	MAPK Signaling Pathway:WP382
ENSG00000158186	MRAS	MAPK Signaling Pathway:WP382
ENSG00000067560	RHOA	MicroRNAs in cardiomyocyte hypertrophy:WP1544
ENSG00000168610	STAT3	MicroRNAs in cardiomyocyte hypertrophy:WP1544
ENSG00000116649	SRM	Nucleotide Metabolism:WP404
ENSG00000168610	STAT3	IL17 signaling pathway:WP2112
ENSG00000180817	PPA1	Hypothetical Network for Drug Addiction:WP666
ENSG00000168610	STAT3	Notch Signaling Pathway:WP61
ENSG00000167658	EEF2	AMPK Signaling:WP1403
ENSG00000169710	FASN	AMPK Signaling:WP1403
ENSG00000168610	STAT3	Serotonin Receptor 2 and STAT3 Signaling:WP733
ENSG00000168610	STAT3	TFs Regulate miRNAs related to cardiac hypertrophy:WP1559
ENSG00000070831	CDC42	Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272
ENSG00000067560	RHOA	Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272
ENSG00000085563	ABCB1	Codeine and Morphine Metabolism:WP1604
ENSG00000087258	GNAO1	G Protein Signaling Pathways:WP35
ENSG00000078369	GNB1	G Protein Signaling Pathways:WP35
ENSG00000067560	RHOA	G Protein Signaling Pathways:WP35
ENSG00000174775	HRAS	G Protein Signaling Pathways:WP35
ENSG00000176533	GNG7	G Protein Signaling Pathways:WP35
ENSG00000078369	GNB1	Estrogen signaling pathway:WP712
ENSG00000067560	RHOA	Wnt Signaling Pathway:WP428
ENSG00000070831	CDC42	EGF/EGFR Signaling Pathway:WP437
ENSG00000144118	RALB	EGF/EGFR Signaling Pathway:WP437
ENSG00000174775	HRAS	EGF/EGFR Signaling Pathway:WP437
ENSG00000168610	STAT3	EGF/EGFR Signaling Pathway:WP437
ENSG00000006451	RALA	EGF/EGFR Signaling Pathway:WP437
ENSG00000197043	ANXA6	Prostaglandin Synthesis and Regulation:WP98
ENSG00000106211	HSPB1	FAS pathway and Stress induction of HSP regulation:WP314
ENSG00000197694	SPTAN1	FAS pathway and Stress induction of HSP regulation:WP314
ENSG00000160789	LMNA	FAS pathway and Stress induction of HSP regulation:WP314
ENSG00000180370	PAK2	FAS pathway and Stress induction of HSP regulation:WP314
ENSG00000168610	STAT3	IL-6 signaling pathway:WP364
ENSG00000174775	HRAS	Rac1/Pak1/p38/MMP-2 pathway:WP3303
ENSG00000136238	RAC1	Rac1/Pak1/p38/MMP-2 pathway:WP3303
ENSG00000168610	STAT3	Rac1/Pak1/p38/MMP-2 pathway:WP3303
ENSG00000174775	HRAS	Aryl Hydrocarbon Receptor:WP2586
ENSG00000067560	RHOA	Alpha 6 Beta 4 signaling pathway:WP244
ENSG00000174775	HRAS	Alpha 6 Beta 4 signaling pathway:WP244
ENSG00000070831	CDC42	AGE/RAGE pathway:WP2324
ENSG00000067560	RHOA	AGE/RAGE pathway:WP2324
ENSG00000131981	LGALS3	AGE/RAGE pathway:WP2324
ENSG00000168610	STAT3	AGE/RAGE pathway:WP2324
ENSG00000168610	STAT3	Dopaminergic Neurogenesis:WP2855
ENSG00000070831	CDC42	Spinal Cord Injury:WP2431
ENSG00000172020	GAP43	Spinal Cord Injury:WP2431
ENSG00000067560	RHOA	Spinal Cord Injury:WP2431
ENSG00000136238	RAC1	Spinal Cord Injury:WP2431
ENSG00000131981	LGALS3	Spinal Cord Injury:WP2431
ENSG00000131095	GFAP	Spinal Cord Injury:WP2431
ENSG00000100823	APEX1	Spinal Cord Injury:WP2431
ENSG00000026025	VIM	Spinal Cord Injury:WP2431
ENSG00000085563	ABCB1	Constitutive Androstane Receptor Pathway:WP2875
ENSG00000070831	CDC42	RalA downstream regulated genes:WP2290
ENSG00000174775	HRAS	RalA downstream regulated genes:WP2290
ENSG00000006451	RALA	RalA downstream regulated genes:WP2290
ENSG00000198431	TXNRD1	Selenium Metabolism and Selenoproteins:WP28
ENSG00000157500	APPL1	FSH signaling pathway:WP2035
ENSG00000175793	SFN	miRNA Regulation of DNA Damage Response:WP1530
ENSG00000253729	PRKDC	miRNA Regulation of DNA Damage Response:WP1530
ENSG00000168610	STAT3	TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer:WP2868
ENSG00000070831	CDC42	Regulation of Actin Cytoskeleton:WP51
ENSG00000067560	RHOA	Regulation of Actin Cytoskeleton:WP51
ENSG00000180370	PAK2	Regulation of Actin Cytoskeleton:WP51
ENSG00000158186	MRAS	Regulation of Actin Cytoskeleton:WP51
ENSG00000131095	GFAP	Neural Crest Differentiation:WP2064
ENSG00000078369	GNB1	Nicotine Activity on Dopaminergic Neurons:WP1602
ENSG00000121691	CAT	Folate Metabolism:WP176
ENSG00000070831	CDC42	Leptin signaling pathway:WP2034
ENSG00000067560	RHOA	Leptin signaling pathway:WP2034
