GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
200 Ensembl source identifiers supplied in the input file:blue_Module.txt
200 source identifiers meeting the filter linked to a Ensembl ID.
97 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 97 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Cytoplasmic Ribosomal Proteins:WP477	15	26	97	57.6923076923	26.8041237113	6.99439678586	0.0	0.0395
RalA downstream regulated genes:WP2290	3	3	13	100.0	23.0769230769	4.5410577325	0.002	0.1185
Translation Factors:WP107	8	16	53	50.0	30.1886792453	4.51756652089	0.0	0.0395
Striated Muscle Contraction:WP383	5	8	41	62.5	19.512195122	4.24307343931	0.0005	0.0395
Estrogen Receptor Pathway:WP2881	2	2	13	100.0	15.3846153846	3.7053179949	0.01	0.372428571429
DNA Damage Response (only ATM dependent):WP710	5	11	101	45.4545454545	10.8910891089	3.2779712117	0.008	0.372428571429
FAS pathway and Stress induction of HSP regulation:WP314	4	9	41	44.4444444444	21.9512195122	2.86969774905	0.011	0.372428571429
p38 MAPK Signaling Pathway:WP400	3	6	32	50.0	18.75	2.74807579	0.027	0.7584
TFs Regulate miRNAs related to cardiac hypertrophy:WP1559	1	1	15	100.0	6.66666666667	2.61833345911	0.1085	0.894483870968
Steroid Biosynthesis:WP496	1	1	11	100.0	9.09090909091	2.61833345911	0.122	0.901318181818
Nuclear Receptors in Lipid Metabolism and Toxicity:WP299	1	1	36	100.0	2.77777777778	2.61833345911	0.117	0.894483870968
Metastatic brain tumor:WP2249	1	1	12	100.0	8.33333333333	2.61833345911	0.1255	0.901318181818
Liver X Receptor Pathway:WP2874	1	1	10	100.0	10.0	2.61833345911	0.1115	0.894483870968
Farnesoid X Receptor  Pathway:WP2879	1	1	20	100.0	5.0	2.61833345911	0.117	0.894483870968
Codeine and Morphine Metabolism:WP1604	1	1	10	100.0	10.0	2.61833345911	0.117	0.894483870968
Cell Differentiation - Index:WP2029	1	1	54	100.0	1.85185185185	2.61833345911	0.1085	0.894483870968
mRNA Processing:WP411	3	7	126	42.8571428571	5.55555555556	2.40098263771	0.04	0.799875
miRNA Regulation of DNA Damage Response:WP1530	2	4	99	50.0	4.0404040404	2.24083238044	0.0655	0.894483870968
Imatinib Resistance in Chronic Myeloid Leukemia:WP2946	2	4	49	50.0	8.16326530612	2.24083238044	0.06	0.894483870968
DNA Damage Response:WP707	2	4	69	50.0	5.79710144928	2.24083238044	0.0655	0.894483870968
Regulation of Microtubule Cytoskeleton:WP2038	5	17	46	29.4117647059	36.9565217391	2.08568063295	0.032	0.7584
Spinal Cord Injury:WP2431	8	34	116	23.5294117647	29.3103448276	1.93169342053	0.03	0.7584
Adipogenesis:WP236	3	9	128	33.3333333333	7.03125	1.86431398593	0.0765	0.894483870968
TOR Signaling:WP1471	2	5	34	40.0	14.7058823529	1.83433327483	0.107	0.894483870968
Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864	4	14	54	28.5714285714	25.9259259259	1.79377318069	0.0755	0.894483870968
Fatty Acid Biosynthesis:WP357	3	10	22	30.0	45.4545454545	1.64832409669	0.092	0.894483870968
Serotonin Receptor 2 and STAT3 Signaling:WP733	1	2	4	50.0	50.0	1.58242151962	0.2185	1.0
SREBF and miR33 in cholesterol and lipid homeostasis:WP2011	1	2	19	50.0	10.5263157895	1.58242151962	0.213	1.0
Polyol Pathway:WP690	1	2	4	50.0	50.0	1.58242151962	0.217	1.0
Drug Induction of Bile Acid Pathway:WP2289	1	2	18	50.0	11.1111111111	1.58242151962	0.209	1.0
Dopaminergic Neurogenesis:WP2855	1	2	30	50.0	6.66666666667	1.58242151962	0.213	1.0
Constitutive Androstane Receptor Pathway:WP2875	1	2	32	50.0	6.25	1.58242151962	0.215	1.0
AGE/RAGE pathway:WP2324	4	16	66	25.0	24.2424242424	1.48729742853	0.103	0.894483870968
TSH signaling pathway:WP2032	5	22	69	22.7272727273	31.884057971	1.42673216599	0.105	0.894483870968
Corticotropin-releasing hormone:WP2355	5	23	93	21.7391304348	24.7311827957	1.31550235957	0.1065	0.894483870968
TGF Beta Signaling Pathway:WP560	2	7	55	28.5714285714	12.7272727273	1.26249553756	0.1945	1.0
Allograft Rejection:KEGG-hsa05330:WP2328	2	7	63	28.5714285714	11.1111111111	1.26249553756	0.1905	1.0
AMPK Signaling:WP1403	2	7	69	28.5714285714	10.1449275362	1.26249553756	0.1885	1.0
BDNF signaling pathway:WP2380	7	36	145	19.4444444444	24.8275862069	1.23755840403	0.2945	1.0
Leptin signaling pathway:WP2034	4	18	78	22.2222222222	23.0769230769	1.2220357257	0.155	1.0
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118	6	31	77	19.3548387097	40.2597402597	1.12919889656	0.22	1.0
Rac1/Pak1/p38/MMP-2 pathway:WP3303	3	13	67	23.0769230769	19.4029850746	1.12825409636	0.186	1.0
Selenium Metabolism and Selenoproteins:WP28	1	3	35	33.3333333333	8.57142857143	1.07209934436	0.32	1.0
Non-homologous end joining:WP438	1	3	7	33.3333333333	42.8571428571	1.07209934436	0.2985	1.0
IL17 signaling pathway:WP2112	1	3	31	33.3333333333	9.67741935484	1.07209934436	0.3035	1.0
