Ensembl	symbol	GeneOntology
ENSG00000164742	ADCY1	GO:0034199
ENSG00000142875	PRKACB	GO:0034199
ENSG00000005249	PRKAR2B	GO:0034199
ENSG00000078295	ADCY2	GO:0034199
ENSG00000114302	PRKAR2A	GO:0034199
ENSG00000179295	PTPN11	GO:2000831
ENSG00000091583	APOH	GO:0034196
ENSG00000179295	PTPN11	GO:2000832
ENSG00000118137	APOA1	GO:0034191
ENSG00000118137	APOA1	GO:0034190
ENSG00000088992	TESC	GO:0030852
ENSG00000114115	RBP1	GO:0030852
ENSG00000004478	FKBP4	GO:0030850
ENSG00000105723	GSK3A	GO:0030856
ENSG00000134318	ROCK2	GO:0030856
ENSG00000105723	GSK3A	GO:0030857
ENSG00000088992	TESC	GO:0030854
ENSG00000169032	MAP2K1	GO:0030855
ENSG00000074319	TSG101	GO:0030855
ENSG00000197746	PSAP	GO:0030855
ENSG00000166340	TPP1	GO:0030855
ENSG00000167363	FN3K	GO:0030855
ENSG00000078902	TOLLIP	GO:0030855
ENSG00000159228	CBR1	GO:0030855
ENSG00000187498	COL4A1	GO:0030855
ENSG00000158710	TAGLN2	GO:0030855
ENSG00000197535	MYO5A	GO:0030855
ENSG00000118137	APOA1	GO:0031103
ENSG00000118137	APOA1	GO:0031102
ENSG00000138363	ATIC	GO:0031100
ENSG00000118137	APOA1	GO:0031100
ENSG00000171368	TPPP	GO:0031109
ENSG00000117632	STMN1	GO:0031109
ENSG00000171564	FGB	GO:0034774
ENSG00000171560	FGA	GO:0034774
ENSG00000171557	FGG	GO:0034774
ENSG00000091513	TF	GO:0034774
ENSG00000118137	APOA1	GO:0034774
ENSG00000175899	A2M	GO:0034774
ENSG00000197249	SERPINA1	GO:0034774
ENSG00000205542	TMSB4X	GO:0034774
ENSG00000124486	USP9X	GO:0071559
ENSG00000134871	COL4A2	GO:0071559
ENSG00000186642	PDE2A	GO:0071559
ENSG00000254087	LYN	GO:0050839
ENSG00000153707	PTPRD	GO:0050839
ENSG00000171564	FGB	GO:0050839
ENSG00000171560	FGA	GO:0050839
ENSG00000035403	VCL	GO:0050839
ENSG00000198561	CTNND1	GO:0050839
ENSG00000171557	FGG	GO:0050839
ENSG00000156642	NPTN	GO:0050839
ENSG00000073670	ADAM11	GO:0050839
ENSG00000010322	NISCH	GO:0050839
ENSG00000151150	ANK3	GO:0050839
ENSG00000182985	CADM1	GO:0050839
ENSG00000154639	CXADR	GO:0050839
ENSG00000175662	TOM1L2	GO:0051783
ENSG00000099901	RANBP1	GO:0051783
ENSG00000101266	CSNK2A1	GO:0051783
ENSG00000241360	PDXP	GO:0051783
ENSG00000182621	PLCB1	GO:0051783
ENSG00000127445	PIN1	GO:0051783
