GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
768 Ensembl source identifiers supplied in the input file:brown_Module.txt
768 source identifiers meeting the filter linked to a Ensembl ID.
761 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
1732 Genes linked to a term.
The z score is based on an N of 1732 and a R of 761 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0005874	microtubule	cellular_component	63	75	371	84.0	20.2156334232	7.14496881984	0.0	0.0336284722222
GO:0044456	synapse part	cellular_component	68	93	407	73.1182795699	22.8501228501	5.82694900724	0.0	0.0336284722222
GO:0008021	synaptic vesicle	cellular_component	28	32	88	87.5	36.3636363636	5.01021500376	0.0	0.0336284722222
GO:0005875	microtubule associated complex	cellular_component	26	30	141	86.6666666667	21.2765957447	4.75552296944	0.0	0.0336284722222
GO:1903047	mitotic cell cycle process	biological_process	73	114	714	64.0350877193	15.9663865546	4.47196565073	0.0	0.0336284722222
GO:0007017	microtubule-based process	biological_process	51	74	447	68.9189189189	16.5548098434	4.42417877515	0.0	0.0336284722222
GO:0051656	establishment of organelle localization	biological_process	36	48	163	75.0	29.4478527607	4.39621011705	0.0	0.0336284722222
GO:0051650	establishment of vesicle localization	biological_process	28	35	91	80.0	38.4615384615	4.34151865533	0.0	0.0336284722222
GO:0065009	regulation of molecular function	biological_process	191	353	2611	54.1076487252	13.5197242436	4.31341096491	0.0	0.0336284722222
GO:0030234	enzyme regulator activity	molecular_function	81	131	927	61.8320610687	14.1316073355	4.29093570513	0.0	0.0336284722222
GO:0043234	protein complex	cellular_component	307	603	4339	50.912106136	13.897211339	4.27284228596	0.0	0.0336284722222
GO:0007173	epidermal growth factor receptor signaling pathway	biological_process	34	46	196	73.9130434783	23.4693877551	4.15058759377	0.0	0.0336284722222
GO:0070647	protein modification by small protein conjugation or removal	biological_process	54	82	708	65.8536585366	11.581920904	4.09563273413	0.0	0.0336284722222
GO:0007049	cell cycle	biological_process	61	95	652	64.2105263158	14.5705521472	4.09399618095	0.0	0.0336284722222
GO:0050790	regulation of catalytic activity	biological_process	170	313	2170	54.3130990415	14.4239631336	4.08491089757	0.0	0.0336284722222
GO:0051084	'de novo' posttranslational protein folding	biological_process	21	25	53	84.0	47.1698113208	4.06428546606	0.0	0.0336284722222
GO:0007167	enzyme linked receptor protein signaling pathway	biological_process	73	118	774	61.8644067797	15.2454780362	4.0633626105	0.0	0.0336284722222
GO:0070646	protein modification by small protein removal	biological_process	15	16	95	93.75	16.8421052632	4.03211498144	0.0	0.0336284722222
GO:0022402	cell cycle process	biological_process	88	148	1019	59.4594594595	14.5240431796	3.97731743091	0.0	0.0336284722222
GO:0038127	ERBB signaling pathway	biological_process	34	47	198	72.3404255319	23.7373737374	3.97653054478	0.0	0.0336284722222
GO:0038093	Fc receptor signaling pathway	biological_process	38	54	239	70.3703703704	22.5941422594	3.97500184463	0.0	0.0336284722222
GO:0006458	'de novo' protein folding	biological_process	22	27	58	81.4814814815	46.5517241379	3.96052561065	0.0	0.0336284722222
GO:0005515	protein binding	molecular_function	633	1365	11853	46.3736263736	11.5160718805	3.93823703903	0.0	0.0336284722222
GO:0017157	regulation of exocytosis	biological_process	25	32	99	78.125	32.3232323232	3.93197290802	0.0005	0.0336284722222
GO:0000278	mitotic cell cycle	biological_process	50	76	454	65.7894736842	16.7400881057	3.92427025289	0.0005	0.0336284722222
GO:0044430	cytoskeletal part	cellular_component	125	223	1401	56.0538116592	15.9172019986	3.90451910306	0.0	0.0336284722222
GO:0036211	protein modification process	biological_process	130	234	2443	55.5555555556	9.57838722882	3.84923612953	0.0	0.0336284722222
GO:0006464	cellular protein modification process	biological_process	130	234	2443	55.5555555556	9.57838722882	3.84923612953	0.0	0.0336284722222
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	biological_process	64	103	573	62.1359223301	17.9755671902	3.83603749331	0.0	0.0336284722222
GO:0060589	nucleoside-triphosphatase regulator activity	molecular_function	34	48	339	70.8333333333	14.1592920354	3.80650783059	0.0	0.0336284722222
GO:0019904	protein domain specific binding	molecular_function	65	106	628	61.320754717	16.8789808917	3.72061410397	0.0005	0.0336284722222
GO:0030672	synaptic vesicle membrane	cellular_component	17	20	47	85.0	42.5531914894	3.7205012623	0.0005	0.0336284722222
GO:0004721	phosphoprotein phosphatase activity	molecular_function	25	33	175	75.7575757576	18.8571428571	3.71752585797	0.0	0.0336284722222
GO:0043412	macromolecule modification	biological_process	131	238	2582	55.0420168067	9.21766072812	3.71536665136	0.0	0.0336284722222
GO:0005829	cytosol	cellular_component	333	673	2796	49.4799405646	24.0701001431	3.7037679088	0.0	0.0336284722222
GO:0072512	trivalent inorganic cation transport	biological_process	13	14	42	92.8571428571	33.3333333333	3.70193605472	0.001	0.0563081395349
GO:0033572	transferrin transport	biological_process	13	14	40	92.8571428571	35.0	3.70193605472	0.001	0.0563081395349
GO:0015682	ferric iron transport	biological_process	13	14	42	92.8571428571	33.3333333333	3.70193605472	0.001	0.0563081395349
GO:0097458	neuron part	cellular_component	131	239	930	54.8117154812	25.6989247312	3.64716737879	0.0	0.0336284722222
GO:0044839	cell cycle G2/M phase transition	biological_process	23	30	153	76.6666666667	19.6078431373	3.64257380498	0.001	0.0563081395349
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	23	30	153	76.6666666667	19.6078431373	3.64257380498	0.001	0.0563081395349
GO:0044772	mitotic cell cycle phase transition	biological_process	47	73	308	64.3835616438	23.7012987013	3.59533460789	0.001	0.0563081395349
GO:0015991	ATP hydrolysis coupled proton transport	biological_process	10	10	31	100.0	32.2580645161	3.58137045853	0.0	0.0336284722222
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	biological_process	10	10	31	100.0	32.2580645161	3.58137045853	0.0	0.0336284722222
GO:0060090	binding, bridging	molecular_function	24	32	147	75.0	21.768707483	3.5725588761	0.001	0.0563081395349
GO:0051640	organelle localization	biological_process	21	27	120	77.7777777778	22.5	3.56981931927	0.0005	0.0336284722222
GO:0030674	protein binding, bridging	molecular_function	22	29	135	75.8620689655	21.4814814815	3.49228140835	0.001	0.0563081395349
