Ensembl	symbol	KEGG
ENSG00000106028	SSBP1	Mismatch repair:KEGG-hsa03430
ENSG00000169032	MAP2K1	Endometrial cancer:KEGG-hsa05213
ENSG00000126934	MAP2K2	Endometrial cancer:KEGG-hsa05213
ENSG00000177885	GRB2	Endometrial cancer:KEGG-hsa05213
ENSG00000102882	MAPK3	Endometrial cancer:KEGG-hsa05213
ENSG00000100030	MAPK1	Endometrial cancer:KEGG-hsa05213
ENSG00000204843	DCTN1	Huntington's disease:KEGG-hsa05016
ENSG00000175416	CLTB	Huntington's disease:KEGG-hsa05016
ENSG00000183020	AP2A2	Huntington's disease:KEGG-hsa05016
ENSG00000196961	AP2A1	Huntington's disease:KEGG-hsa05016
ENSG00000175203	DCTN2	Huntington's disease:KEGG-hsa05016
ENSG00000197386	HTT	Huntington's disease:KEGG-hsa05016
ENSG00000161203	AP2M1	Huntington's disease:KEGG-hsa05016
ENSG00000142168	SOD1	Huntington's disease:KEGG-hsa05016
ENSG00000006125	AP2B1	Huntington's disease:KEGG-hsa05016
ENSG00000122705	CLTA	Huntington's disease:KEGG-hsa05016
ENSG00000141367	CLTC	Huntington's disease:KEGG-hsa05016
ENSG00000182621	PLCB1	Huntington's disease:KEGG-hsa05016
ENSG00000132535	DLG4	Huntington's disease:KEGG-hsa05016
ENSG00000169032	MAP2K1	Long-term potentiation:KEGG-hsa04720
ENSG00000126583	PRKCG	Long-term potentiation:KEGG-hsa04720
ENSG00000213639	PPP1CB	Long-term potentiation:KEGG-hsa04720
ENSG00000143933	CALM2	Long-term potentiation:KEGG-hsa04720
ENSG00000138814	PPP3CA	Long-term potentiation:KEGG-hsa04720
ENSG00000126934	MAP2K2	Long-term potentiation:KEGG-hsa04720
ENSG00000070808	CAMK2A	Long-term potentiation:KEGG-hsa04720
ENSG00000164742	ADCY1	Long-term potentiation:KEGG-hsa04720
ENSG00000107758	PPP3CB	Long-term potentiation:KEGG-hsa04720
ENSG00000152495	CAMK4	Long-term potentiation:KEGG-hsa04720
ENSG00000142875	PRKACB	Long-term potentiation:KEGG-hsa04720
ENSG00000102882	MAPK3	Long-term potentiation:KEGG-hsa04720
ENSG00000221823	PPP3R1	Long-term potentiation:KEGG-hsa04720
ENSG00000187446	CHP1	Long-term potentiation:KEGG-hsa04720
ENSG00000100030	MAPK1	Long-term potentiation:KEGG-hsa04720
ENSG00000182621	PLCB1	Long-term potentiation:KEGG-hsa04720
ENSG00000166501	PRKCB	Long-term potentiation:KEGG-hsa04720
ENSG00000116120	FARSB	Aminoacyl-tRNA biosynthesis:KEGG-hsa00970
ENSG00000165434	PGM2L1	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000171298	GAA	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000105220	GPI	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000156515	HK1	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000169299	PGM2	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000134308	YWHAQ	Oocyte meiosis:KEGG-hsa04114
ENSG00000169032	MAP2K1	Oocyte meiosis:KEGG-hsa04114
ENSG00000055130	CUL1	Oocyte meiosis:KEGG-hsa04114
ENSG00000104695	PPP2CB	Oocyte meiosis:KEGG-hsa04114
ENSG00000213639	PPP1CB	Oocyte meiosis:KEGG-hsa04114
ENSG00000143933	CALM2	Oocyte meiosis:KEGG-hsa04114
ENSG00000112640	PPP2R5D	Oocyte meiosis:KEGG-hsa04114
ENSG00000138814	PPP3CA	Oocyte meiosis:KEGG-hsa04114
ENSG00000154001	PPP2R5E	Oocyte meiosis:KEGG-hsa04114
ENSG00000164924	YWHAZ	Oocyte meiosis:KEGG-hsa04114
ENSG00000128245	YWHAH	Oocyte meiosis:KEGG-hsa04114
ENSG00000070808	CAMK2A	Oocyte meiosis:KEGG-hsa04114
ENSG00000170027	YWHAG	Oocyte meiosis:KEGG-hsa04114
ENSG00000164742	ADCY1	Oocyte meiosis:KEGG-hsa04114
ENSG00000107758	PPP3CB	Oocyte meiosis:KEGG-hsa04114
ENSG00000142875	PRKACB	Oocyte meiosis:KEGG-hsa04114
ENSG00000102882	MAPK3	Oocyte meiosis:KEGG-hsa04114
ENSG00000221823	PPP3R1	Oocyte meiosis:KEGG-hsa04114
ENSG00000187446	CHP1	Oocyte meiosis:KEGG-hsa04114
ENSG00000166913	YWHAB	Oocyte meiosis:KEGG-hsa04114
ENSG00000105568	PPP2R1A	Oocyte meiosis:KEGG-hsa04114
ENSG00000100030	MAPK1	Oocyte meiosis:KEGG-hsa04114
ENSG00000078295	ADCY2	Oocyte meiosis:KEGG-hsa04114
ENSG00000108953	YWHAE	Oocyte meiosis:KEGG-hsa04114
ENSG00000182054	IDH2	Glutathione metabolism:KEGG-hsa00480
ENSG00000131067	GGT7	Glutathione metabolism:KEGG-hsa00480
ENSG00000001084	GCLC	Glutathione metabolism:KEGG-hsa00480
ENSG00000134201	GSTM5	Glutathione metabolism:KEGG-hsa00480
ENSG00000002549	LAP3	Glutathione metabolism:KEGG-hsa00480
ENSG00000142657	PGD	Glutathione metabolism:KEGG-hsa00480
ENSG00000084207	GSTP1	Glutathione metabolism:KEGG-hsa00480
ENSG00000102172	SMS	Glutathione metabolism:KEGG-hsa00480
ENSG00000100983	GSS	Glutathione metabolism:KEGG-hsa00480
ENSG00000182054	IDH2	Peroxisome:KEGG-hsa04146
ENSG00000164398	ACSL6	Peroxisome:KEGG-hsa04146
ENSG00000126432	PRDX5	Peroxisome:KEGG-hsa04146
ENSG00000142168	SOD1	Peroxisome:KEGG-hsa04146
ENSG00000100554	ATP6V1D	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000136888	ATP6V1G1	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000114573	ATP6V1A	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000033627	ATP6V0A1	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000131100	ATP6V1E1	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000047249	ATP6V1H	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000159720	ATP6V0D1	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000155097	ATP6V1C1	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000213760	ATP6V1G2	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000128524	ATP6V1F	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000147416	ATP6V1B2	Rheumatoid arthritis:KEGG-hsa05323
ENSG00000090013	BLVRB	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000103415	HMOX2	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000148218	ALAD	Porphyrin and chlorophyll metabolism:KEGG-hsa00860
ENSG00000106028	SSBP1	Homologous recombination:KEGG-hsa03440
ENSG00000135744	AGT	Renin-angiotensin system:KEGG-hsa04614
ENSG00000138814	PPP3CA	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000142168	SOD1	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000110436	SLC1A2	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000107758	PPP3CB	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000221823	PPP3R1	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000187446	CHP1	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000171557	FGG	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000125730	C3	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000126583	PRKCG	Calcium signaling pathway:KEGG-hsa04020
ENSG00000183023	SLC8A1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000143933	CALM2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000138814	PPP3CA	Calcium signaling pathway:KEGG-hsa04020
ENSG00000115252	PDE1A	Calcium signaling pathway:KEGG-hsa04020
ENSG00000067842	ATP2B3	Calcium signaling pathway:KEGG-hsa04020
ENSG00000070808	CAMK2A	Calcium signaling pathway:KEGG-hsa04020
ENSG00000164742	ADCY1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000107758	PPP3CB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000187091	PLCD1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000152495	CAMK4	Calcium signaling pathway:KEGG-hsa04020
ENSG00000118160	SLC8A2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000142875	PRKACB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000221823	PPP3R1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000187446	CHP1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000157087	ATP2B2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000058668	ATP2B4	Calcium signaling pathway:KEGG-hsa04020
ENSG00000070961	ATP2B1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000078295	ADCY2	Calcium signaling pathway:KEGG-hsa04020
ENSG00000182621	PLCB1	Calcium signaling pathway:KEGG-hsa04020
ENSG00000166501	PRKCB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000143933	CALM2	Phototransduction:KEGG-hsa04744
ENSG00000158290	CUL4B	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000055130	CUL1	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000086758	HUWE1	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000159202	UBE2Z	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000033178	UBA6	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000103266	STUB1	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000108094	CUL2	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000177889	UBE2N	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000175931	UBE2O	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000130985	UBA1	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000144744	UBA3	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000036257	CUL3	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000166266	CUL5	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000143933	CALM2	Olfactory transduction:KEGG-hsa04740
ENSG00000070808	CAMK2A	Olfactory transduction:KEGG-hsa04740
ENSG00000142875	PRKACB	Olfactory transduction:KEGG-hsa04740
ENSG00000169032	MAP2K1	GnRH signaling pathway:KEGG-hsa04912
ENSG00000065559	MAP2K4	GnRH signaling pathway:KEGG-hsa04912
ENSG00000143933	CALM2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000126934	MAP2K2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000070808	CAMK2A	GnRH signaling pathway:KEGG-hsa04912
ENSG00000164742	ADCY1	GnRH signaling pathway:KEGG-hsa04912
ENSG00000177885	GRB2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000142875	PRKACB	GnRH signaling pathway:KEGG-hsa04912
ENSG00000102882	MAPK3	GnRH signaling pathway:KEGG-hsa04912
ENSG00000100030	MAPK1	GnRH signaling pathway:KEGG-hsa04912
ENSG00000078295	ADCY2	GnRH signaling pathway:KEGG-hsa04912
ENSG00000182621	PLCB1	GnRH signaling pathway:KEGG-hsa04912
ENSG00000109339	MAPK10	GnRH signaling pathway:KEGG-hsa04912
ENSG00000166501	PRKCB	GnRH signaling pathway:KEGG-hsa04912
ENSG00000134308	YWHAQ	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000169032	MAP2K1	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000143933	CALM2	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000099942	CRKL	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000164924	YWHAZ	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000126934	MAP2K2	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000128245	YWHAH	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000070808	CAMK2A	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000170027	YWHAG	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000152495	CAMK4	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000177885	GRB2	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000102882	MAPK3	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000179295	PTPN11	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000166913	YWHAB	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000100030	MAPK1	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000167193	CRK	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000109339	MAPK10	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000108953	YWHAE	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000134308	YWHAQ	Cell cycle:KEGG-hsa04110
ENSG00000055130	CUL1	Cell cycle:KEGG-hsa04110
ENSG00000164924	YWHAZ	Cell cycle:KEGG-hsa04110
ENSG00000128245	YWHAH	Cell cycle:KEGG-hsa04110
ENSG00000170027	YWHAG	Cell cycle:KEGG-hsa04110
ENSG00000166913	YWHAB	Cell cycle:KEGG-hsa04110
ENSG00000108953	YWHAE	Cell cycle:KEGG-hsa04110
ENSG00000119640	ACYP1	Pyruvate metabolism:KEGG-hsa00620
ENSG00000131828	PDHA1	Pyruvate metabolism:KEGG-hsa00620
ENSG00000143149	ALDH9A1	Pyruvate metabolism:KEGG-hsa00620
ENSG00000164904	ALDH7A1	Pyruvate metabolism:KEGG-hsa00620
ENSG00000063854	HAGH	Pyruvate metabolism:KEGG-hsa00620
ENSG00000131238	PPT1	Fatty acid elongation in mitochondria:KEGG-hsa00062
ENSG00000084754	HADHA	Fatty acid elongation in mitochondria:KEGG-hsa00062
ENSG00000169032	MAP2K1	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000138814	PPP3CA	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000126934	MAP2K2	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000107758	PPP3CB	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000177885	GRB2	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000102882	MAPK3	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000221823	PPP3R1	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000187446	CHP1	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000077264	PAK3	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000010810	FYN	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000149269	PAK1	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000075711	DLG1	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000100030	MAPK1	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000071051	NCK2	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000131067	GGT7	Cyanoamino acid metabolism:KEGG-hsa00460
ENSG00000067057	PFKP	Galactose metabolism:KEGG-hsa00052
ENSG00000171298	GAA	Galactose metabolism:KEGG-hsa00052
ENSG00000156515	HK1	Galactose metabolism:KEGG-hsa00052
ENSG00000169299	PGM2	Galactose metabolism:KEGG-hsa00052
ENSG00000141959	PFKL	Galactose metabolism:KEGG-hsa00052
ENSG00000087470	DNM1L	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000175416	CLTB	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000136950	ARPC5L	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000163466	ARPC2	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000106976	DNM1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000035403	VCL	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000099942	CRKL	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000197959	DNM3	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000112290	WASF1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000106299	WASL	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000184009	ACTG1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000122705	CLTA	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000085733	CTTN	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000141367	CLTC	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000167193	CRK	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000162704	ARPC5	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000111229	ARPC3	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000084754	HADHA	beta-Alanine metabolism:KEGG-hsa00410
ENSG00000117054	ACADM	beta-Alanine metabolism:KEGG-hsa00410
