GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
768 Ensembl source identifiers supplied in the input file:brown_Module.txt
768 source identifiers meeting the filter linked to a Ensembl ID.
395 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 395 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Oocyte meiosis:KEGG-hsa04114	24	31	115	77.4193548387	26.9565217391	4.2625824208	0.0	0.0214
Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961	20	26	52	76.9230769231	50.0	3.84120663524	0.0015	0.0535
Vibrio cholerae infection:KEGG-hsa05110	17	21	67	80.9523809524	31.3432835821	3.82328167602	0.0005	0.0214
Fc gamma R-mediated phagocytosis:KEGG-hsa04666	23	34	108	67.6470588235	31.4814814815	3.28992526924	0.005	0.1284
Chronic myeloid leukemia:KEGG-hsa05220	9	10	92	90.0	10.8695652174	3.20897327858	0.004	0.122285714286
Pathogenic Escherichia coli infection:KEGG-hsa05130	20	29	67	68.9655172414	43.2835820896	3.17717930698	0.006	0.1284
Collecting duct acid secretion:KEGG-hsa04966	10	12	36	83.3333333333	33.3333333333	3.04564004483	0.0075	0.145909090909
Endocytosis:KEGG-hsa04144	34	57	270	59.649122807	21.1111111111	3.04536289967	0.0105	0.1498
T cell receptor signaling pathway:KEGG-hsa04660	14	19	138	73.6842105263	13.768115942	2.98127192736	0.01	0.1498
Fc epsilon RI signaling pathway:KEGG-hsa04664	11	14	97	78.5714285714	14.4329896907	2.927578466	0.0095	0.1498
B cell receptor signaling pathway:KEGG-hsa04662	11	14	100	78.5714285714	14.0	2.927578466	0.006	0.1284
ErbB signaling pathway:KEGG-hsa04012	16	23	102	69.5652173913	22.5490196078	2.87984493776	0.01	0.1498
Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120	17	25	83	68.0	30.1204819277	2.84413038572	0.016	0.173238095238
Insulin signaling pathway:KEGG-hsa04910	18	27	165	66.6666666667	16.3636363636	2.81572367986	0.017	0.173238095238
Wnt signaling pathway:KEGG-hsa04310	20	31	167	64.5161290323	18.5628742515	2.77564391321	0.017	0.173238095238
Axon guidance:KEGG-hsa04360	23	37	136	62.1621621622	27.2058823529	2.74474216879	0.02	0.194545454545
Progesterone-mediated oocyte maturation:KEGG-hsa04914	10	13	94	76.9230769231	13.829787234	2.6977668518	0.0145	0.172388888889
Shigellosis:KEGG-hsa05131	16	24	68	66.6666666667	35.2941176471	2.65050803004	0.023	0.214
Rheumatoid arthritis:KEGG-hsa05323	11	15	191	73.3333333333	7.85340314136	2.61552520287	0.028	0.232448275862
Ubiquitin mediated proteolysis:KEGG-hsa04120	13	19	151	68.4210526316	12.582781457	2.50942636231	0.0285	0.232448275862
Natural killer cell mediated cytotoxicity:KEGG-hsa04650	14	21	409	66.6666666667	5.13447432763	2.47543002911	0.0315	0.232448275862
Type II diabetes mellitus:KEGG-hsa04930	6	7	63	85.7142857143	11.1111111111	2.44890076514	0.0315	0.232448275862
NOD-like receptor signaling pathway:KEGG-hsa04621	6	7	78	85.7142857143	8.97435897436	2.44890076514	0.03	0.232448275862
Glutamatergic synapse:KEGG-hsa04724	23	39	129	58.9743589744	30.2325581395	2.40715900792	0.0405	0.279580645161
Chemokine signaling pathway:KEGG-hsa04062	21	36	222	58.3333333333	16.2162162162	2.2292177883	0.06	0.3531
Gap junction:KEGG-hsa04540	19	32	104	59.375	30.7692307692	2.21929844022	0.0575	0.351571428571
Vascular smooth muscle contraction:KEGG-hsa04270	17	28	125	60.7142857143	22.4	2.21803028455	0.062	0.3531
Salivary secretion:KEGG-hsa04970	18	30	96	60.0	31.25	2.21737115933	0.056	0.351571428571
Dorso-ventral axis formation:KEGG-hsa04320	5	6	34	83.3333333333	17.6470588235	2.14692868164	0.0785	0.369847826087
VEGF signaling pathway:KEGG-hsa04370	10	15	88	66.6666666667	17.0454545455	2.0855857331	0.0735	0.362340909091
Long-term potentiation:KEGG-hsa04720	17	29	76	58.6206896552	38.1578947368	2.02537812593	0.0895	0.399020833333
Bacterial invasion of epithelial cells:KEGG-hsa05100	17	29	82	58.6206896552	35.3658536585	2.02537812593	0.088	0.399020833333
TGF-beta signaling pathway:KEGG-hsa04350	6	8	94	75.0	8.51063829787	1.99960093595	0.0745	0.362340909091
Toll-like receptor signaling pathway:KEGG-hsa04620	7	10	131	70.0	7.63358778626	1.91425228202	0.114	0.439464285714
Non-small cell lung cancer:KEGG-hsa05223	7	10	75	70.0	13.3333333333	1.91425228202	0.126	0.442032786885
Cell cycle:KEGG-hsa04110	7	10	140	70.0	7.14285714286	1.91425228202	0.1225	0.442032786885
Neurotrophin signaling pathway:KEGG-hsa04722	18	32	144	56.25	22.2222222222	1.85322473161	0.1095	0.439464285714
Prostate cancer:KEGG-hsa05215	9	14	105	64.2857142857	13.3333333333	1.83106929932	0.1465	0.454362318841
Mineral absorption:KEGG-hsa04978	9	14	56	64.2857142857	25.0	1.83106929932	0.1255	0.442032786885
Ribosome biogenesis in eukaryotes:KEGG-hsa03008	4	5	90	80.0	5.55555555556	1.80666898077	0.124	0.442032786885
Renal cell carcinoma:KEGG-hsa05211	11	18	85	61.1111111111	21.1764705882	1.80369297423	0.1125	0.439464285714
Chagas disease (American trypanosomiasis):KEGG-hsa05142	11	18	142	61.1111111111	12.676056338	1.80369297423	0.118	0.442032786885
mRNA surveillance pathway:KEGG-hsa03015	6	9	92	66.6666666667	9.78260869565	1.61047330291	0.185	0.548013513514
SNARE interactions in vesicular transport:KEGG-hsa04130	6	9	38	66.6666666667	23.6842105263	1.61047330291	0.1875	0.548013513514
Acute myeloid leukemia:KEGG-hsa05221	6	9	72	66.6666666667	12.5	1.61047330291	0.1895	0.548013513514
Osteoclast differentiation:KEGG-hsa04380	9	15	198	60.0	7.57575757576	1.55564626334	0.215	0.589871794872
Proteasome:KEGG-hsa03050	16	30	62	53.3333333333	48.3870967742	1.46201145826	0.2405	0.620084337349
Adherens junction:KEGG-hsa04520	15	28	88	53.5714285714	31.8181818182	1.43698303711	0.2305	0.608975308642
Vitamin B6 metabolism:KEGG-hsa00750	3	4	6	75.0	66.6666666667	1.41102205456	0.219	0.5925125
Phosphatidylinositol signaling system:KEGG-hsa04070	11	20	86	55.0	23.2558139535	1.3408536209	0.2825	0.636368421053
Glioma:KEGG-hsa05214	10	18	83	55.5555555556	21.686746988	1.3191705558	0.2805	0.636368421053
Bladder cancer:KEGG-hsa05219	4	6	52	66.6666666667	11.5384615385	1.31291304666	0.2675	0.63502173913
Purine metabolism:KEGG-hsa00230	16	31	178	51.6129032258	17.4157303371	1.28870540563	0.318	0.68052
Adipocytokine signaling pathway:KEGG-hsa04920	5	8	92	62.5	8.69565217391	1.27657720744	0.299	0.655102040816
Aldosterone-regulated sodium reabsorption:KEGG-hsa04960	7	12	47	58.3333333333	25.5319148936	1.2709340863	0.269	0.63502173913
Complement and coagulation cascades:KEGG-hsa04610	6	10	119	60.0	8.40336134454	1.26689178374	0.336	0.688876190476
Lysosome:KEGG-hsa04142	15	29	146	51.724137931	19.8630136986	1.2575106719	0.3	0.655102040816
Regulation of actin cytoskeleton:KEGG-hsa04810	38	81	234	46.9135802469	34.6153846154	1.24099596401	0.377	0.71585840708
GnRH signaling pathway:KEGG-hsa04912	14	27	107	51.8518518519	25.2336448598	1.22580197189	0.313	0.676585858586
Mismatch repair:KEGG-hsa03430	1	1	30	100.0	3.33333333333	1.21384419162	0.419	0.72411627907
Lysine biosynthesis:KEGG-hsa00300	1	1	3	100.0	33.3333333333	1.21384419162	0.452	0.744061538462
Homologous recombination:KEGG-hsa03440	1	1	35	100.0	2.85714285714	1.21384419162	0.419	0.72411627907
DNA replication:KEGG-hsa03030	1	1	42	100.0	2.38095238095	1.21384419162	0.419	0.72411627907
Butirosin and neomycin biosynthesis:KEGG-hsa00524	1	1	6	100.0	16.6666666667	1.21384419162	0.432	0.72411627907
Aminoacyl-tRNA biosynthesis:KEGG-hsa00970	1	1	53	100.0	1.88679245283	1.21384419162	0.4605	0.752267175573
Melanogenesis:KEGG-hsa04916	13	25	110	52.0	22.7272727273	1.19357179537	0.333	0.688876190476
Phagosome:KEGG-hsa04145	28	59	314	47.4576271186	18.7898089172	1.13417420431	0.396	0.72411627907
Pancreatic secretion:KEGG-hsa04972	16	32	107	50.0	29.9065420561	1.12107731439	0.338	0.688876190476
MAPK signaling pathway:KEGG-hsa04010	24	50	323	48.0	15.479876161	1.11919795071	0.4025	0.72411627907
Hepatitis C:KEGG-hsa05160	7	13	165	53.8461538462	7.87878787879	0.991800370111	0.4265	0.72411627907
Apoptosis:KEGG-hsa04210	7	13	114	53.8461538462	11.4035087719	0.991800370111	0.432	0.72411627907
Long-term depression:KEGG-hsa04730	12	24	79	50.0	30.3797468354	0.966797792493	0.4365	0.72411627907
Thyroid cancer:KEGG-hsa05216	5	9	42	55.5555555556	21.4285714286	0.928447981306	0.5345	0.770543624161
Carbohydrate digestion and absorption:KEGG-hsa04973	5	9	53	55.5555555556	16.9811320755	0.928447981306	0.5305	0.770543624161
RIG-I-like receptor signaling pathway:KEGG-hsa04622	2	3	87	66.6666666667	3.44827586207	0.926938888294	0.4365	0.72411627907
One carbon pool by folate:KEGG-hsa00670	2	3	23	66.6666666667	13.0434782609	0.926938888294	0.414	0.72411627907
Nucleotide excision repair:KEGG-hsa03420	2	3	67	66.6666666667	4.4776119403	0.926938888294	0.425	0.72411627907
Hedgehog signaling pathway:KEGG-hsa04340	2	3	61	66.6666666667	4.91803278689	0.926938888294	0.4045	0.72411627907
Drug metabolism - other enzymes:KEGG-hsa00983	2	3	60	66.6666666667	5.0	0.926938888294	0.402	0.72411627907
Glycerolipid metabolism:KEGG-hsa00561	4	7	60	57.1428571429	11.6666666667	0.903808064113	0.472	0.759458646617
Pentose phosphate pathway:KEGG-hsa00030	8	16	30	50.0	53.3333333333	0.786094535053	0.5245	0.770543624161
Calcium signaling pathway:KEGG-hsa04020	21	46	191	45.652173913	24.0837696335	0.738965566279	0.5845	0.825026315789
Prion diseases:KEGG-hsa05020	7	14	55	50.0	25.4545454545	0.734560132643	0.6225	0.853942307692
Gastric acid secretion:KEGG-hsa04971	14	30	82	46.6666666667	36.5853658537	0.706651757192	0.5955	0.832921568627
Tight junction:KEGG-hsa04530	19	42	152	45.2380952381	27.6315789474	0.648726297462	0.586	0.825026315789
Vasopressin-regulated water reabsorption:KEGG-hsa04962	9	19	48	47.3684210526	39.5833333333	0.622044102128	0.659	0.878596273292
Galactose metabolism:KEGG-hsa00052	5	10	32	50.0	31.25	0.619531285458	0.758	0.943093023256
Inositol phosphate metabolism:KEGG-hsa00562	8	17	63	47.0588235294	26.9841269841	0.561554756869	0.6535	0.878596273292
Melanoma:KEGG-hsa05218	4	8	89	50.0	8.98876404494	0.553553478938	0.7275	0.910438596491
Jak-STAT signaling pathway:KEGG-hsa04630	3	6	184	50.0	3.26086956522	0.47889741169	0.6865	0.89036969697
Fructose and mannose metabolism:KEGG-hsa00051	6	13	39	46.1538461538	33.3333333333	0.423144876215	0.801	0.961804469274
Taurine and hypotaurine metabolism:KEGG-hsa00430	2	4	11	50.0	36.3636363636	0.390616023987	0.9005	1.0
Taste transduction:KEGG-hsa04742	2	4	73	50.0	5.47945205479	0.390616023987	0.91	1.0
Folate biosynthesis:KEGG-hsa00790	2	4	13	50.0	30.7692307692	0.390616023987	0.898	1.0
Starch and sucrose metabolism:KEGG-hsa00500	5	11	64	45.4545454545	17.1875	0.341329419967	0.8045	0.961804469274
Endometrial cancer:KEGG-hsa05213	5	11	68	45.4545454545	16.1764705882	0.341329419967	0.793	0.961804469274
Vitamin digestion and absorption:KEGG-hsa04977	1	2	28	50.0	7.14285714286	0.275923804499	0.7045	0.89398816568
Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290	1	2	18	50.0	11.1111111111	0.275923804499	0.6735	0.889685185185
Regulation of autophagy:KEGG-hsa04140	1	2	34	50.0	5.88235294118	0.275923804499	0.6955	0.893161676647
Pantothenate and CoA biosynthesis:KEGG-hsa00770	1	2	19	50.0	10.5263157895	0.275923804499	0.697	0.893161676647
Notch signaling pathway:KEGG-hsa04330	1	2	55	50.0	3.63636363636	0.275923804499	0.678	0.890134969325
Circadian rhythm - mammal:KEGG-hsa04710	1	2	22	50.0	9.09090909091	0.275923804499	0.684	0.89036969697
Biosynthesis of unsaturated fatty acids:KEGG-hsa01040	1	2	6	50.0	33.3333333333	0.275923804499	0.706	0.89398816568
Protein digestion and absorption:KEGG-hsa04974	7	16	98	43.75	16.3265306122	0.272715951666	0.8265	0.971818681319
Neuroactive ligand-receptor interaction:KEGG-hsa04080	4	9	291	44.4444444444	3.09278350515	0.2464226597	0.995	1.0
Colorectal cancer:KEGG-hsa05210	4	9	77	44.4444444444	11.6883116883	0.2464226597	0.9975	1.0
beta-Alanine metabolism:KEGG-hsa00410	6	14	28	42.8571428571	50.0	0.186305549303	1.0	1.0
Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014	6	14	68	42.8571428571	20.5882352941	0.186305549303	0.9995	1.0
Porphyrin and chlorophyll metabolism:KEGG-hsa00860	3	7	50	42.8571428571	14.0	0.131261713598	0.9825	1.0
