Ensembl	symbol	WikiPathways
ENSG00000205542	TMSB4X	TarBasePathway:WP1992
ENSG00000136750	GAD2	Biogenic Amine Synthesis:WP550
ENSG00000133216	EPHB2	NLR Proteins:WP288
ENSG00000132341	RAN	miRNA Biogenesis:WP2338
ENSG00000169032	MAP2K1	IL-5 Signaling Pathway:WP127
ENSG00000105723	GSK3A	IL-5 Signaling Pathway:WP127
ENSG00000126934	MAP2K2	IL-5 Signaling Pathway:WP127
ENSG00000177885	GRB2	IL-5 Signaling Pathway:WP127
ENSG00000186868	MAPT	IL-5 Signaling Pathway:WP127
ENSG00000102882	MAPK3	IL-5 Signaling Pathway:WP127
ENSG00000179295	PTPN11	IL-5 Signaling Pathway:WP127
ENSG00000100030	MAPK1	IL-5 Signaling Pathway:WP127
ENSG00000116106	EPHA4	Spinal Cord Injury:WP2431
ENSG00000138814	PPP3CA	Spinal Cord Injury:WP2431
ENSG00000115310	RTN4	Spinal Cord Injury:WP2431
ENSG00000196776	CD47	Spinal Cord Injury:WP2431
ENSG00000132692	BCAN	Spinal Cord Injury:WP2431
ENSG00000102882	MAPK3	Spinal Cord Injury:WP2431
ENSG00000143878	RHOB	Spinal Cord Injury:WP2431
ENSG00000187498	COL4A1	Spinal Cord Injury:WP2431
ENSG00000088832	FKBP1A	Spinal Cord Injury:WP2431
ENSG00000100030	MAPK1	Spinal Cord Injury:WP2431
ENSG00000130287	NCAN	Spinal Cord Injury:WP2431
ENSG00000076356	PLXNA2	Spinal Cord Injury:WP2431
ENSG00000134318	ROCK2	Spinal Cord Injury:WP2431
ENSG00000157766	ACAN	Spinal Cord Injury:WP2431
ENSG00000142168	SOD1	Vitamin B12 Metabolism:WP1533
ENSG00000118137	APOA1	Vitamin B12 Metabolism:WP1533
ENSG00000169032	MAP2K1	Insulin Signaling:WP481
ENSG00000065559	MAP2K4	Insulin Signaling:WP481
ENSG00000105723	GSK3A	Insulin Signaling:WP481
ENSG00000198793	MTOR	Insulin Signaling:WP481
ENSG00000142949	PTPRF	Insulin Signaling:WP481
ENSG00000126934	MAP2K2	Insulin Signaling:WP481
ENSG00000132639	SNAP25	Insulin Signaling:WP481
ENSG00000177885	GRB2	Insulin Signaling:WP481
ENSG00000102882	MAPK3	Insulin Signaling:WP481
ENSG00000220205	VAMP2	Insulin Signaling:WP481
ENSG00000179295	PTPN11	Insulin Signaling:WP481
ENSG00000100030	MAPK1	Insulin Signaling:WP481
ENSG00000143761	ARF1	Insulin Signaling:WP481
ENSG00000132589	FLOT2	Insulin Signaling:WP481
ENSG00000167193	CRK	Insulin Signaling:WP481
ENSG00000109339	MAPK10	Insulin Signaling:WP481
ENSG00000141503	MINK1	Insulin Signaling:WP481
ENSG00000170759	KIF5B	Insulin Signaling:WP481
ENSG00000136854	STXBP1	Insulin Signaling:WP481
ENSG00000166501	PRKCB	Insulin Signaling:WP481
ENSG00000141959	PFKL	Insulin Signaling:WP481
ENSG00000182054	IDH2	TCA Cycle:WP78
ENSG00000119689	DLST	TCA Cycle:WP78
ENSG00000166411	IDH3A	TCA Cycle:WP78
ENSG00000062485	CS	TCA Cycle:WP78
ENSG00000101365	IDH3B	TCA Cycle:WP78
