GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
768 Ensembl source identifiers supplied in the input file:brown_Module.txt
768 source identifiers meeting the filter linked to a Ensembl ID.
311 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 311 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Synaptic Vesicle Pathway:WP2267	26	29	51	89.6551724138	56.862745098	5.45274331171	0.0	0.0395
IL-1 signaling pathway:WP195	8	8	55	100.0	14.5454545455	3.42184020988	0.0015	0.0711
EGF/EGFR Signaling Pathway:WP437	28	43	168	65.1162790698	25.5952380952	3.33581460409	0.0025	0.09875
Cell Cycle:WP179	7	7	104	100.0	6.73076923077	3.19871796149	0.0045	0.152357142857
Parkin-Ubiquitin Proteasomal System pathway:WP2359	21	31	71	67.7419354839	43.661971831	3.11250260162	0.0125	0.29625
TCR Signaling Pathway:WP69	11	14	91	78.5714285714	15.3846153846	2.8993357329	0.0095	0.2814375
Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272	17	25	55	68.0	45.4545454545	2.81038633872	0.0155	0.306125
Wnt Signaling Pathway and Pluripotency:WP399	12	16	101	75.0	15.8415841584	2.81010254427	0.014	0.301636363636
IL-3 Signaling Pathway:WP286	9	11	49	81.8181818182	22.4489795918	2.78539687484	0.012	0.29625
Kit receptor signaling pathway:WP304	11	15	61	73.3333333333	24.5901639344	2.58648815336	0.0215	0.3397
MAPK Signaling Pathway:WP382	20	32	170	62.5	18.8235294118	2.54846627172	0.031	0.349857142857
TSLP Signaling Pathway:WP2203	8	10	46	80.0	21.7391304348	2.53632408636	0.0275	0.349857142857
Regulation of toll-like receptor signaling pathway:WP1449	8	10	141	80.0	7.09219858156	2.53632408636	0.0235	0.34809375
IL-6 signaling pathway:WP364	8	10	43	80.0	23.2558139535	2.53632408636	0.019	0.3397
IL-5 Signaling Pathway:WP127	8	10	41	80.0	24.3902439024	2.53632408636	0.026	0.349857142857
B Cell Receptor Signaling Pathway:WP23	12	17	99	70.5882352941	17.1717171717	2.52447401486	0.0215	0.3397
IL-2 Signaling Pathway:WP49	9	12	43	75.0	27.9069767442	2.42712186071	0.031	0.349857142857
Signaling of Hepatocyte Growth Factor Receptor:WP313	10	14	36	71.4285714286	38.8888888889	2.35085166426	0.031	0.349857142857
Calcium Regulation in the Cardiac Cell:WP536	31	56	153	55.3571428571	36.6013071895	2.29900158218	0.0575	0.45425
MicroRNAs in cardiomyocyte hypertrophy:WP1544	11	16	103	68.75	15.5339805825	2.29635539006	0.0505	0.424965517241
Toll-like receptor signaling pathway:WP75	7	9	99	77.7777777778	9.09090909091	2.26820907542	0.048	0.424965517241
Cardiac Hypertrophic Response:WP2795	7	9	53	77.7777777778	16.9811320755	2.26820907542	0.044	0.424965517241
Aryl Hydrocarbon Receptor:WP2586	7	9	47	77.7777777778	19.1489361702	2.26820907542	0.0435	0.424965517241
Leptin signaling pathway:WP2034	12	18	78	66.6666666667	23.0769230769	2.25704321186	0.0455	0.424965517241
Insulin Signaling:WP481	21	36	165	58.3333333333	21.8181818182	2.18971739636	0.0715	0.493216216216
Monoamine Transport:WP727	5	6	32	83.3333333333	18.75	2.12609957458	0.069	0.493216216216
Oncostatin M Signaling Pathway:WP2374	9	13	64	69.2307692308	20.3125	2.1013078218	0.0755	0.493216216216
Retinoblastoma (RB) in Cancer:WP2446	3	3	93	100.0	3.22580645161	2.08852724105	0.0915	0.509011363636
Initiation of transcription and translation elongation at the HIV-1 LTR:WP3414	3	3	31	100.0	9.67741935484	2.08852724105	0.088	0.508682926829
Deregulation of Rab and Rab Effector Genes in Bladder Cancer:WP2291	3	3	16	100.0	18.75	2.08852724105	0.084	0.4977
Blood Clotting Cascade:WP272	3	3	22	100.0	13.6363636364	2.08852724105	0.0945	0.509011363636
Regulation of Actin Cytoskeleton:WP51	26	47	157	55.3191489362	29.9363057325	2.08740858344	0.084	0.4977
Myometrial Relaxation and Contraction Pathways:WP289	25	45	160	55.5555555556	28.125	2.07290399311	0.093	0.509011363636
miRs in Muscle Cell Differentiation:WP2012	6	8	41	75.0	19.512195122	1.97647311457	0.0805	0.4977
MAPK Cascade:WP422	7	10	30	70.0	33.3333333333	1.88907728335	0.1115	0.562244680851
BDNF signaling pathway:WP2380	20	36	145	55.5555555556	24.8275862069	1.84253373926	0.1235	0.58539
Signaling Pathways in Glioblastoma:WP2261	8	12	83	66.6666666667	14.4578313253	1.83548179102	0.1145	0.56534375
Hypothetical Network for Drug Addiction:WP666	8	12	31	66.6666666667	38.7096774194	1.83548179102	0.1025	0.539833333333
Nicotine Activity on Dopaminergic Neurons:WP1602	4	5	21	80.0	23.8095238095	1.78751925525	0.1265	0.587852941176
BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231	10	16	92	62.5	17.3913043478	1.78260823585	0.134	0.588111111111
eIF5A regulation in response to inhibition of the nuclear export system:WP3302	2	2	4	100.0	50.0	1.70415309053	0.1995	0.674281690141
Type II diabetes mellitus:WP1584	2	2	22	100.0	9.09090909091	1.70415309053	0.201	0.674281690141
Preimplantation Embryo:WP3527	2	2	59	100.0	3.38983050847	1.70415309053	0.2005	0.674281690141
Pilocytic astrocytoma:WP2253	2	2	4	100.0	50.0	1.70415309053	0.1785	0.674281690141
Osteoclast Signaling:WP12	2	2	16	100.0	12.5	1.70415309053	0.1865	0.674281690141
Mitochondrial Gene Expression:WP391	2	2	19	100.0	10.5263157895	1.70415309053	0.2005	0.674281690141
EBV LMP1 signaling:WP262	2	2	23	100.0	8.69565217391	1.70415309053	0.197	0.674281690141
IL-9 Signaling Pathway:WP22	5	7	18	71.4285714286	38.8888888889	1.65457916728	0.1525	0.634078947368
IL-7 Signaling Pathway:WP205	5	7	25	71.4285714286	28.0	1.65457916728	0.1495	0.632705357143
G Protein Signaling Pathways:WP35	17	31	94	54.8387096774	32.9787234043	1.62108491104	0.1885	0.674281690141
Wnt Signaling Pathway:WP428	6	9	67	66.6666666667	13.4328358209	1.58640421725	0.202	0.674281690141
Physiological and Pathological Hypertrophy  of the Heart:WP1528	6	9	23	66.6666666667	39.1304347826	1.58640421725	0.1935	0.674281690141
Trans-sulfuration and one carbon metabolism:WP2525	7	11	31	63.6363636364	35.4838709677	1.55032418434	0.1795	0.674281690141
Interleukin-11 Signaling Pathway:WP2332	8	13	44	61.5384615385	29.5454545455	1.53249909704	0.195	0.674281690141
Structural Pathway of Interleukin 1 (IL-1):WP2637	3	4	9	75.0	44.4444444444	1.39388512475	0.2315	0.71956626506
Serotonin Receptor 4/6/7 and NR3C Signaling:WP734	3	4	20	75.0	20.0	1.39388512475	0.232	0.71956626506
Osteopontin Signaling:WP1434	3	4	13	75.0	30.7692307692	1.39388512475	0.234	0.71956626506
NOD pathway:WP1433	3	4	42	75.0	9.52380952381	1.39388512475	0.237	0.71956626506
GPCRs, Class C Metabotropic glutamate, pheromone:WP501	3	4	14	75.0	28.5714285714	1.39388512475	0.22	0.71956626506
Arylhydrocarbon receptor (AhR) signaling pathway:WP2100	3	4	28	75.0	14.2857142857	1.39388512475	0.2495	0.71956626506
Proteasome Degradation:WP183	19	37	59	51.3513513514	62.7118644068	1.33615441003	0.2895	0.770915730337
One Carbon Metabolism:WP241	4	6	28	66.6666666667	21.4285714286	1.29272103763	0.252	0.71956626506
Wnt Signaling Pathway Netpath:WP363	6	10	53	60.0	18.8679245283	1.24183048033	0.3405	0.848716216216
ErbB Signaling Pathway:WP673	6	10	58	60.0	17.2413793103	1.24183048033	0.388	0.848716216216
miRNA Biogenesis:WP2338	1	1	5	100.0	20.0	1.20422621285	0.44	0.848716216216
Peptide GPCRs:WP24	1	1	75	100.0	1.33333333333	1.20422621285	0.466	0.848716216216
NLR Proteins:WP288	1	1	9	100.0	11.1111111111	1.20422621285	0.42	0.848716216216
NAD Biosynthesis II (from tryptophan):WP2485	1	1	8	100.0	12.5	1.20422621285	0.4465	0.848716216216
Histone Modifications:WP2369	1	1	66	100.0	1.51515151515	1.20422621285	0.4455	0.848716216216
Heme Biosynthesis:WP561	1	1	9	100.0	11.1111111111	1.20422621285	0.45	0.848716216216
Gene regulatory network modelling somitogenesis :WP2854	1	1	12	100.0	8.33333333333	1.20422621285	0.441	0.848716216216
GPCRs, Class B Secretin-like:WP334	1	1	24	100.0	4.16666666667	1.20422621285	0.432	0.848716216216
Dual hijack model of Vif in HIV infection:WP3300	1	1	7	100.0	14.2857142857	1.20422621285	0.4435	0.848716216216
DDX1 as a regulatory component of the Drosha microprocessor:WP2942	1	1	7	100.0	14.2857142857	1.20422621285	0.44	0.848716216216
Complement Activation:WP545	1	1	19	100.0	5.26315789474	1.20422621285	0.4415	0.848716216216
Angiogenesis:WP1539	1	1	20	100.0	5.0	1.20422621285	0.4445	0.848716216216
Acetylcholine Synthesis:WP528	1	1	7	100.0	14.2857142857	1.20422621285	0.4195	0.848716216216
ACE Inhibitor Pathway:WP554	1	1	18	100.0	5.55555555556	1.20422621285	0.437	0.848716216216
Integrated Pancreatic Cancer Pathway:WP2377	13	25	171	52.0	14.6198830409	1.1563879683	0.3695	0.848716216216
Regulation of Microtubule Cytoskeleton:WP2038	9	17	46	52.9411764706	36.9565217391	1.02824699957	0.398	0.848716216216
Rac1/Pak1/p38/MMP-2 pathway:WP3303	7	13	67	53.8461538462	19.4029850746	0.963690372273	0.431	0.848716216216
G13 Signaling Pathway:WP524	7	13	40	53.8461538462	32.5	0.963690372273	0.4395	0.848716216216
Diurnally Regulated Genes with Circadian Orthologs:WP410	6	11	46	54.5454545455	23.9130434783	0.932787839088	0.413	0.848716216216
TWEAK Signaling Pathway:WP2036	2	3	40	66.6666666667	7.5	0.912283517711	0.4155	0.848716216216
Serotonin Transporter Activity:WP1455	2	3	11	66.6666666667	27.2727272727	0.912283517711	0.416	0.848716216216
Mesodermal Commitment Pathway:WP2857	2	3	76	66.6666666667	3.94736842105	0.912283517711	0.404	0.848716216216
IL17 signaling pathway:WP2112	2	3	31	66.6666666667	9.67741935484	0.912283517711	0.417	0.848716216216
Heart Development:WP1591	2	3	48	66.6666666667	6.25	0.912283517711	0.389	0.848716216216
Interferon type I signaling pathways:WP585	5	9	53	55.5555555556	16.9811320755	0.904599359074	0.5035	0.848716216216
EPO Receptor Signaling:WP581	5	9	27	55.5555555556	33.3333333333	0.904599359074	0.529	0.848716216216
Signal Transduction of S1P Receptor:WP26	4	7	25	57.1428571429	28.0	0.882509770181	0.4605	0.848716216216
RANKL/RANK Signaling Pathway:WP2018	4	7	55	57.1428571429	12.7272727273	0.882509770181	0.46	0.848716216216
IL-4 Signaling Pathway:WP395	4	7	55	57.1428571429	12.7272727273	0.882509770181	0.4625	0.848716216216
Dopamine metabolism:WP2436	4	7	14	57.1428571429	50.0	0.882509770181	0.4895	0.848716216216
Aryl Hydrocarbon Receptor Pathway:WP2873	4	7	46	57.1428571429	15.2173913043	0.882509770181	0.4725	0.848716216216
Amyotrophic lateral sclerosis (ALS):WP2447	4	7	32	57.1428571429	21.875	0.882509770181	0.496	0.848716216216
Transcriptional activation by NRF2:WP3	3	5	15	60.0	33.3333333333	0.875201993024	0.587	0.9094875
T-Cell Receptor and Co-stimulatory Signaling:WP2583	3	5	30	60.0	16.6666666667	0.875201993024	0.6115	0.9094875
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling:WP732	3	5	19	60.0	26.3157894737	0.875201993024	0.612	0.9094875
Pentose Phosphate Pathway:WP134	3	5	8	60.0	62.5	0.875201993024	0.613	0.9094875
PDGF Pathway:WP2526	3	5	9	60.0	55.5555555556	0.875201993024	0.6015	0.9094875
Glucuronidation:WP698	3	5	16	60.0	31.25	0.875201993024	0.602	0.9094875
FSH signaling pathway:WP2035	3	5	27	60.0	18.5185185185	0.875201993024	0.6055	0.9094875
Bladder Cancer:WP2828	3	5	33	60.0	15.1515151515	0.875201993024	0.614	0.9094875
Ectoderm Differentiation:WP2858	9	18	144	50.0	12.5	0.8019950499	0.515	0.848716216216
Glycogen Metabolism:WP500	7	14	36	50.0	38.8888888889	0.705399458352	0.6065	0.9094875
TGF beta Signaling Pathway:WP366	11	23	136	47.8260869565	16.9117647059	0.694367856866	0.582	0.9094875
SIDS Susceptibility Pathways:WP706	17	37	157	45.9459459459	23.5668789809	0.650762514745	0.6565	0.950054913295
Endothelin Pathways:WP2197	5	10	33	50.0	30.303030303	0.594583677312	0.7695	0.9888825
Alzheimers Disease:WP2059	12	26	81	46.1538461538	32.0987654321	0.563357330079	0.725	0.961240223464
Complement and Coagulation Cascades:WP558	4	8	60	50.0	13.3333333333	0.531106019271	0.723	0.961240223464
Parkinsons Disease Pathway:WP2371	3	6	39	50.0	15.3846153846	0.45934250068	0.686	0.950054913295
Notch Signaling Pathway:WP61	3	6	58	50.0	10.3448275862	0.45934250068	0.6785	0.950054913295
TSH signaling pathway:WP2032	10	22	69	45.4545454545	31.884057971	0.449134337872	0.711	0.959446022727
Vitamin A and Carotenoid Metabolism:WP716	2	4	44	50.0	9.09090909091	0.374556463465	0.9105	1.0
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer:WP2868	2	4	5	50.0	80.0	0.374556463465	0.9085	1.0
Nucleotide Metabolism:WP404	2	4	19	50.0	21.0526315789	0.374556463465	0.901	1.0
