Ensembl	symbol	GeneOntology
ENSG00000111669	TPI1	GO:0046434
ENSG00000133731	IMPA1	GO:0046434
ENSG00000160211	G6PD	GO:0046434
ENSG00000109971	HSPA8	GO:0046434
ENSG00000159251	ACTC1	GO:0046434
ENSG00000104388	RAB2A	GO:0046434
ENSG00000136193	SCRN1	GO:0016805
ENSG00000124299	PEPD	GO:0016805
ENSG00000113552	GNPDA1	GO:0046348
ENSG00000079950	STX7	GO:0051656
ENSG00000108518	PFN1	GO:0043902
ENSG00000079950	STX7	GO:0051650
ENSG00000108518	PFN1	GO:0051497
ENSG00000108518	PFN1	GO:0051496
ENSG00000108518	PFN1	GO:0051495
ENSG00000197045	GMFB	GO:0051494
ENSG00000108518	PFN1	GO:0051494
ENSG00000197045	GMFB	GO:0051493
ENSG00000108518	PFN1	GO:0051493
ENSG00000108518	PFN1	GO:0051492
ENSG00000011052	NME2	GO:0030856
ENSG00000102144	PGK1	GO:0030855
ENSG00000011052	NME2	GO:0030858
ENSG00000175792	RUVBL1	GO:0006281
ENSG00000197045	GMFB	GO:0045859
ENSG00000135932	CAB39	GO:0045859
ENSG00000011052	NME2	GO:0001067
ENSG00000149925	ALDOA	GO:0034774
ENSG00000109971	HSPA8	GO:0097485
ENSG00000135932	CAB39	GO:0030295
ENSG00000079950	STX7	GO:0097480
ENSG00000160211	G6PD	GO:0006575
ENSG00000124767	GLO1	GO:0006575
ENSG00000099810	MTAP	GO:0006576
ENSG00000120053	GOT1	GO:0006576
ENSG00000145293	ENOPH1	GO:0006576
ENSG00000011052	NME2	GO:0034284
ENSG00000170606	HSPA4	GO:0030554
ENSG00000185651	UBE2L3	GO:0030554
ENSG00000100380	ST13	GO:0030554
ENSG00000120694	HSPH1	GO:0030554
ENSG00000102144	PGK1	GO:0030554
ENSG00000011052	NME2	GO:0030554
ENSG00000109971	HSPA8	GO:0030554
ENSG00000089220	PEBP1	GO:0030554
ENSG00000108518	PFN1	GO:0030554
ENSG00000159251	ACTC1	GO:0030554
ENSG00000175792	RUVBL1	GO:0030554
ENSG00000203879	GDI1	GO:0051223
ENSG00000108518	PFN1	GO:0043900
ENSG00000100380	ST13	GO:0031072
ENSG00000109971	HSPA8	GO:0031072
ENSG00000099810	MTAP	GO:0006595
ENSG00000120053	GOT1	GO:0006595
ENSG00000145293	ENOPH1	GO:0006595
ENSG00000189171	S100A13	GO:0050786
ENSG00000170606	HSPA4	GO:0005488
ENSG00000113558	SKP1	GO:0005488
ENSG00000197045	GMFB	GO:0005488
ENSG00000185651	UBE2L3	GO:0005488
ENSG00000100380	ST13	GO:0005488
ENSG00000160752	FDPS	GO:0005488
ENSG00000014641	MDH1	GO:0005488
ENSG00000120694	HSPH1	GO:0005488
ENSG00000141279	NPEPPS	GO:0005488
ENSG00000196290	NIF3L1	GO:0005488
ENSG00000168439	STIP1	GO:0005488
ENSG00000100442	FKBP3	GO:0005488
ENSG00000138385	SSB	GO:0005488
ENSG00000111669	TPI1	GO:0005488
ENSG00000133731	IMPA1	GO:0005488
ENSG00000141522	ARHGDIA	GO:0005488
ENSG00000143727	ACP1	GO:0005488
ENSG00000164022	AIMP1	GO:0005488
ENSG00000184207	PGP	GO:0005488
ENSG00000130988	RGN	GO:0005488
ENSG00000160211	G6PD	GO:0005488
ENSG00000148834	GSTO1	GO:0005488
ENSG00000189171	S100A13	GO:0005488
ENSG00000106605	BLVRA	GO:0005488
ENSG00000124767	GLO1	GO:0005488
ENSG00000079950	STX7	GO:0005488
ENSG00000084623	EIF3I	GO:0005488
ENSG00000198242	RPL23A	GO:0005488
ENSG00000057608	GDI2	GO:0005488
