GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
66 Ensembl source identifiers supplied in the input file:greenyellow_Module.txt
66 source identifiers meeting the filter linked to a Ensembl ID.
65 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
1732 Genes linked to a term.
The z score is based on an N of 1732 and a R of 65 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0071267	L-methionine salvage	biological_process	3	3	8	100.0	37.5	8.77652887994	0.0	0.146742424242
GO:0071265	L-methionine biosynthetic process	biological_process	3	3	8	100.0	37.5	8.77652887994	0.0	0.146742424242
GO:0043102	amino acid salvage	biological_process	3	3	8	100.0	37.5	8.77652887994	0.0	0.146742424242
GO:0019509	L-methionine biosynthetic process from methylthioadenosine	biological_process	3	3	6	100.0	50.0	8.77652887994	0.0	0.146742424242
GO:0046173	polyol biosynthetic process	biological_process	3	4	23	75.0	17.3913043478	7.50407804129	0.0	0.146742424242
GO:0009086	methionine biosynthetic process	biological_process	3	4	13	75.0	30.7692307692	7.50407804129	0.0	0.146742424242
GO:0006021	inositol biosynthetic process	biological_process	2	2	4	100.0	50.0	7.16393442356	0.0015	0.345892857143
GO:0006020	inositol metabolic process	biological_process	2	2	11	100.0	18.1818181818	7.16393442356	0.0015	0.345892857143
GO:0005093	Rab GDP-dissociation inhibitor activity	molecular_function	2	2	2	100.0	100.0	7.16393442356	0.001	0.269027777778
GO:0016051	carbohydrate biosynthetic process	biological_process	10	42	170	23.8095238095	24.7058823529	6.92167733481	0.0	0.146742424242
GO:0046364	monosaccharide biosynthetic process	biological_process	8	29	57	27.5862068966	50.8771929825	6.80844860698	0.0	0.146742424242
GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	molecular_function	3	5	9	60.0	55.5555555556	6.62538338599	0.0	0.146742424242
GO:0006555	methionine metabolic process	biological_process	3	5	16	60.0	31.25	6.62538338599	0.0	0.146742424242
GO:0005092	GDP-dissociation inhibitor activity	molecular_function	3	5	18	60.0	27.7777777778	6.62538338599	0.001	0.269027777778
GO:0006595	polyamine metabolic process	biological_process	3	6	22	50.0	27.2727272727	5.96914049961	0.001	0.269027777778
GO:0000097	sulfur amino acid biosynthetic process	biological_process	3	6	18	50.0	33.3333333333	5.96914049961	0.0005	0.146742424242
GO:0006094	gluconeogenesis	biological_process	6	22	47	27.2727272727	46.8085106383	5.84009080303	0.0	0.146742424242
GO:0051085	chaperone mediated protein folding requiring cofactor	biological_process	2	3	11	66.6666666667	27.2727272727	5.73694719227	0.005	0.896759259259
GO:0000049	tRNA binding	molecular_function	2	3	38	66.6666666667	7.89473684211	5.73694719227	0.005	0.896759259259
GO:0019319	hexose biosynthetic process	biological_process	6	23	51	26.0869565217	45.0980392157	5.67195395919	0.0	0.146742424242
GO:0046165	alcohol biosynthetic process	biological_process	5	17	107	29.4117647059	15.8878504673	5.59244860383	0.0	0.146742424242
GO:0009067	aspartate family amino acid biosynthetic process	biological_process	3	7	20	42.8571428571	35.0	5.4531876353	0.0005	0.146742424242
GO:0005975	carbohydrate metabolic process	biological_process	16	130	835	12.3076923077	15.5688622754	5.33485355407	0.0	0.146742424242
GO:1903333	negative regulation of protein folding	biological_process	1	1	3	100.0	33.3333333333	5.06420317979	0.048	1.0
GO:1902904	negative regulation of fibril organization	biological_process	1	1	1	100.0	100.0	5.06420317979	0.041	1.0
GO:1902903	regulation of fibril organization	biological_process	1	1	1	100.0	100.0	5.06420317979	0.041	1.0
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	biological_process	1	1	16	100.0	6.25	5.06420317979	0.0335	1.0
GO:1901072	glucosamine-containing compound catabolic process	biological_process	1	1	8	100.0	12.5	5.06420317979	0.035	1.0
