GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
66 Ensembl source identifiers supplied in the input file:greenyellow_Module.txt
66 source identifiers meeting the filter linked to a Ensembl ID.
40 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 40 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Fructose and mannose metabolism:KEGG-hsa00051	3	13	39	23.0769230769	33.3333333333	3.47545872388	0.0095	1.0
Phenylalanine, tyrosine and tryptophan biosynthesis:KEGG-hsa00400	1	2	5	50.0	40.0	3.27793437834	0.079	1.0
Notch signaling pathway:KEGG-hsa04330	1	2	55	50.0	3.63636363636	3.27793437834	0.073	1.0
Circadian rhythm - mammal:KEGG-hsa04710	1	2	22	50.0	9.09090909091	3.27793437834	0.078	1.0
Pentose phosphate pathway:KEGG-hsa00030	3	16	30	18.75	53.3333333333	2.98145680523	0.0215	1.0
Cysteine and methionine metabolism:KEGG-hsa00270	3	16	39	18.75	41.0256410256	2.98145680523	0.0215	1.0
Inositol phosphate metabolism:KEGG-hsa00562	3	17	63	17.6470588235	26.9841269841	2.8434168684	0.0185	1.0
Glycolysis / Gluconeogenesis:KEGG-hsa00010	4	30	69	13.3333333333	43.4782608696	2.59261578498	0.03	1.0
Riboflavin metabolism:KEGG-hsa00740	1	3	12	33.3333333333	25.0	2.55838460967	0.1135	1.0
Renin-angiotensin system:KEGG-hsa04614	1	3	17	33.3333333333	17.6470588235	2.55838460967	0.109	1.0
Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630	2	10	18	20.0	55.5555555556	2.55013337503	0.062	1.0
Vitamin B6 metabolism:KEGG-hsa00750	1	4	6	25.0	66.6666666667	2.11329807997	0.158	1.0
Terpenoid backbone biosynthesis:KEGG-hsa00900	1	5	18	20.0	27.7777777778	1.79857271986	0.177	1.0
RNA degradation:KEGG-hsa03018	1	5	92	20.0	5.4347826087	1.79857271986	0.187	1.0
Ether lipid metabolism:KEGG-hsa00565	1	5	38	20.0	13.1578947368	1.79857271986	0.18	1.0
Ascorbate and aldarate metabolism:KEGG-hsa00053	1	5	32	20.0	15.625	1.79857271986	0.1885	1.0
Antigen processing and presentation:KEGG-hsa04612	2	17	441	11.7647058824	3.85487528345	1.60929057767	0.141	1.0
Phenylalanine metabolism:KEGG-hsa00360	1	6	19	16.6666666667	31.5789473684	1.55814318836	0.222	1.0
Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520	2	18	51	11.1111111111	35.2941176471	1.51563533351	0.1505	1.0
Ubiquitin mediated proteolysis:KEGG-hsa04120	2	19	151	10.5263157895	12.582781457	1.42813706101	0.1565	1.0
Porphyrin and chlorophyll metabolism:KEGG-hsa00860	1	7	50	14.2857142857	14.0	1.36496969307	0.241	1.0
mTOR signaling pathway:KEGG-hsa04150	1	8	62	12.5	12.9032258065	1.2041583603	0.2715	1.0
TGF-beta signaling pathway:KEGG-hsa04350	1	8	94	12.5	8.51063829787	1.2041583603	0.276	1.0
Systemic lupus erythematosus:KEGG-hsa05322	1	8	247	12.5	3.23886639676	1.2041583603	0.2595	1.0
Tyrosine metabolism:KEGG-hsa00350	1	9	42	11.1111111111	21.4285714286	1.06672223664	0.314	1.0
Spliceosome:KEGG-hsa03040	1	9	176	11.1111111111	5.11363636364	1.06672223664	0.298	1.0
SNARE interactions in vesicular transport:KEGG-hsa04130	1	9	38	11.1111111111	23.6842105263	1.06672223664	0.298	1.0
Pyrimidine metabolism:KEGG-hsa00240	1	9	111	11.1111111111	8.10810810811	1.06672223664	0.2815	1.0
Glutathione metabolism:KEGG-hsa00480	2	24	57	8.33333333333	42.1052631579	1.06061906866	0.2375	1.0
Pyruvate metabolism:KEGG-hsa00620	2	25	42	8.0	59.5238095238	0.997895384464	0.2625	1.0
Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980	1	10	79	10.0	12.6582278481	0.946864193945	0.331	1.0
Measles:KEGG-hsa05162	1	10	183	10.0	5.46448087432	0.946864193945	0.316	1.0
Drug metabolism - cytochrome P450:KEGG-hsa00982	1	10	84	10.0	11.9047619048	0.946864193945	0.3365	1.0
Cell cycle:KEGG-hsa04110	1	10	140	10.0	7.14285714286	0.946864193945	0.329	1.0
Proximal tubule bicarbonate reclamation:KEGG-hsa04964	1	11	25	9.09090909091	44.0	0.840648606952	0.3505	1.0
Alanine, aspartate and glutamate metabolism:KEGG-hsa00250	1	11	34	9.09090909091	32.3529411765	0.840648606952	0.35	1.0
