Ensembl	symbol	KEGG
ENSG00000197894	ADH5	Retinol metabolism:KEGG-hsa00830
ENSG00000198959	TGM2	Huntington's disease:KEGG-hsa05016
ENSG00000145494	NDUFS6	Huntington's disease:KEGG-hsa05016
ENSG00000186010	NDUFA13	Huntington's disease:KEGG-hsa05016
ENSG00000140990	NDUFB10	Huntington's disease:KEGG-hsa05016
ENSG00000130414	NDUFA10	Huntington's disease:KEGG-hsa05016
ENSG00000145349	CAMK2D	Long-term potentiation:KEGG-hsa04720
ENSG00000123104	ITPR2	Long-term potentiation:KEGG-hsa04720
ENSG00000071242	RPS6KA2	Long-term potentiation:KEGG-hsa04720
ENSG00000120251	GRIA2	Long-term potentiation:KEGG-hsa04720
ENSG00000162688	AGL	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000068976	PYGM	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000100504	PYGL	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000145349	CAMK2D	Oocyte meiosis:KEGG-hsa04114
ENSG00000123104	ITPR2	Oocyte meiosis:KEGG-hsa04114
ENSG00000071242	RPS6KA2	Oocyte meiosis:KEGG-hsa04114
ENSG00000100031	GGT1	Glutathione metabolism:KEGG-hsa00480
ENSG00000134184	GSTM1	Glutathione metabolism:KEGG-hsa00480
ENSG00000116171	SCP2	Peroxisome:KEGG-hsa04146
ENSG00000173540	GMPPB	Fructose and mannose metabolism:KEGG-hsa00051
ENSG00000120251	GRIA2	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000113578	FGF1	MAPK signaling pathway:KEGG-hsa04010
ENSG00000071242	RPS6KA2	MAPK signaling pathway:KEGG-hsa04010
ENSG00000148053	NTRK2	MAPK signaling pathway:KEGG-hsa04010
ENSG00000133818	RRAS2	MAPK signaling pathway:KEGG-hsa04010
ENSG00000089041	P2RX7	Calcium signaling pathway:KEGG-hsa04020
ENSG00000143772	ITPKB	Calcium signaling pathway:KEGG-hsa04020
ENSG00000065534	MYLK	Calcium signaling pathway:KEGG-hsa04020
ENSG00000145349	CAMK2D	Calcium signaling pathway:KEGG-hsa04020
