GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
167 Ensembl source identifiers supplied in the input file:grey_Module.txt
167 source identifiers meeting the filter linked to a Ensembl ID.
85 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 85 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Glycosphingolipid biosynthesis - lacto and neolacto series:KEGG-hsa00601	1	1	26	100.0	3.84615384615	3.23946255528	0.088	1.0
Arachidonic acid metabolism:KEGG-hsa00590	4	12	62	33.3333333333	19.3548387097	3.04492028891	0.0225	1.0
Malaria:KEGG-hsa05144	3	8	66	37.5	12.1212121212	2.90069209739	0.041	1.0
Carbohydrate digestion and absorption:KEGG-hsa04973	3	9	53	33.3333333333	16.9811320755	2.63288892506	0.0455	1.0
Gastric acid secretion:KEGG-hsa04971	6	30	82	20.0	36.5853658537	2.22939863066	0.0605	1.0
Starch and sucrose metabolism:KEGG-hsa00500	3	11	64	27.2727272727	17.1875	2.19689170954	0.075	1.0
Proximal tubule bicarbonate reclamation:KEGG-hsa04964	3	11	25	27.2727272727	44.0	2.19689170954	0.0745	1.0
Sulfur relay system:KEGG-hsa04122	1	2	11	50.0	18.1818181818	2.07342937874	0.1825	1.0
Retinol metabolism:KEGG-hsa00830	1	2	69	50.0	2.89855072464	2.07342937874	0.1895	1.0
Protein export:KEGG-hsa03060	1	2	23	50.0	8.69565217391	2.07342937874	0.187	1.0
Primary bile acid biosynthesis:KEGG-hsa00120	1	2	17	50.0	11.7647058824	2.07342937874	0.182	1.0
Biosynthesis of unsaturated fatty acids:KEGG-hsa01040	1	2	6	50.0	33.3333333333	2.07342937874	0.189	1.0
Aldosterone-regulated sodium reabsorption:KEGG-hsa04960	3	12	47	25.0	25.5319148936	2.01483472026	0.1015	1.0
Bile secretion:KEGG-hsa04976	4	19	75	21.0526315789	25.3333333333	1.92831295285	0.107	1.0
African trypanosomiasis:KEGG-hsa05143	3	13	50	23.0769230769	26.0	1.85064704832	0.141	1.0
Mineral absorption:KEGG-hsa04978	3	14	56	21.4285714286	25.0	1.70119707961	0.1465	1.0
Nicotinate and nicotinamide metabolism:KEGG-hsa00760	2	8	27	25.0	29.6296296296	1.64170667796	0.1785	1.0
Salivary secretion:KEGG-hsa04970	5	30	96	16.6666666667	31.25	1.57175295972	0.1515	1.0
PPAR signaling pathway:KEGG-hsa03320	3	15	78	20.0	19.2307692308	1.56408440449	0.168	1.0
Cyanoamino acid metabolism:KEGG-hsa00460	1	3	7	33.3333333333	42.8571428571	1.51540986664	0.2555	1.0
Spliceosome:KEGG-hsa03040	2	9	176	22.2222222222	5.11363636364	1.44529313568	0.2185	1.0
Pyrimidine metabolism:KEGG-hsa00240	2	9	111	22.2222222222	8.10810810811	1.44529313568	0.209	1.0
Neuroactive ligand-receptor interaction:KEGG-hsa04080	2	9	291	22.2222222222	3.09278350515	1.44529313568	0.2075	1.0
Protein digestion and absorption:KEGG-hsa04974	3	16	98	18.75	16.3265306122	1.43743269442	0.196	1.0
Inositol phosphate metabolism:KEGG-hsa00562	3	17	63	17.6470588235	26.9841269841	1.31975024411	0.2105	1.0
Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980	2	10	79	20.0	12.6582278481	1.27376366197	0.253	1.0
Histidine metabolism:KEGG-hsa00340	2	10	30	20.0	33.3333333333	1.27376366197	0.2515	1.0
Drug metabolism - cytochrome P450:KEGG-hsa00982	2	10	84	20.0	11.9047619048	1.27376366197	0.2595	1.0
Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520	3	18	51	16.6666666667	35.2941176471	1.20983347796	0.2605	1.0
Taurine and hypotaurine metabolism:KEGG-hsa00430	1	4	11	25.0	36.3636363636	1.15847331739	0.321	1.0
Synthesis and degradation of ketone bodies:KEGG-hsa00072	1	4	11	25.0	36.3636363636	1.15847331739	0.316	1.0
Glycine, serine and threonine metabolism:KEGG-hsa00260	2	11	35	18.1818181818	31.4285714286	1.1215594449	0.2825	1.0
Phosphatidylinositol signaling system:KEGG-hsa04070	3	20	86	15.0	23.2558139535	1.00953203556	0.2865	1.0
Long-term potentiation:KEGG-hsa04720	4	29	76	13.7931034483	38.1578947368	0.987406955746	0.467	1.0
Nitrogen metabolism:KEGG-hsa00910	1	5	25	20.0	20.0	0.898367354587	0.403	1.0
Glycerophospholipid metabolism:KEGG-hsa00564	1	5	100	20.0	5.0	0.898367354587	0.3845	1.0
Purine metabolism:KEGG-hsa00230	4	31	178	12.9032258065	17.4157303371	0.843402739477	0.487	1.0
Valine, leucine and isoleucine degradation:KEGG-hsa00280	3	22	50	13.6363636364	44.0	0.83049185308	0.3625	1.0
Pancreatic secretion:KEGG-hsa04972	4	32	107	12.5	29.9065420561	0.775101479777	0.5305	1.0
Neurotrophin signaling pathway:KEGG-hsa04722	4	32	144	12.5	22.2222222222	0.775101479777	0.512	1.0
Jak-STAT signaling pathway:KEGG-hsa04630	1	6	184	16.6666666667	3.26086956522	0.694168111361	0.427	1.0
Osteoclast differentiation:KEGG-hsa04380	2	15	198	13.3333333333	7.57575757576	0.641312385658	0.432	1.0
Cardiac muscle contraction:KEGG-hsa04260	3	25	90	12.0	27.7777777778	0.592760945458	0.6555	1.0
Ribosome:KEGG-hsa03010	4	35	109	11.4285714286	32.1100917431	0.582982057937	0.726	1.0
Cysteine and methionine metabolism:KEGG-hsa00270	2	16	39	12.5	41.0256410256	0.54349778516	0.45	1.0
Calcium signaling pathway:KEGG-hsa04020	5	46	191	10.8695652174	24.0837696335	0.53454451571	0.7925	1.0
Type I diabetes mellitus:KEGG-hsa04940	1	7	167	14.2857142857	4.19161676647	0.525970630687	0.4945	1.0
Olfactory transduction:KEGG-hsa04740	1	7	522	14.2857142857	1.34099616858	0.525970630687	0.5115	1.0
Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961	3	26	52	11.5384615385	50.0	0.520225158334	0.6655	1.0
Parkinson's disease:KEGG-hsa05012	4	38	150	10.5263157895	25.3333333333	0.407228456493	0.751	1.0
mTOR signaling pathway:KEGG-hsa04150	1	8	62	12.5	12.9032258065	0.382721258519	0.556	1.0
Melanoma:KEGG-hsa05218	1	8	89	12.5	8.98876404494	0.382721258519	0.5695	1.0
Adipocytokine signaling pathway:KEGG-hsa04920	1	8	92	12.5	8.69565217391	0.382721258519	0.535	1.0
Huntington's disease:KEGG-hsa05016	5	50	205	10.0	24.3902439024	0.334643100091	0.805	1.0
Oxidative phosphorylation:KEGG-hsa00190	4	40	159	10.0	25.1572327044	0.297712411084	0.767	1.0
mRNA surveillance pathway:KEGG-hsa03015	1	9	92	11.1111111111	9.78260869565	0.257697346312	0.5895	1.0
Tyrosine metabolism:KEGG-hsa00350	1	9	42	11.1111111111	21.4285714286	0.257697346312	0.6055	1.0
Alzheimer's disease:KEGG-hsa05010	5	52	200	9.61538461538	26.0	0.240554471156	0.994	1.0
Citrate cycle (TCA cycle):KEGG-hsa00020	2	20	34	10.0	58.8235294118	0.208303117004	0.8655	1.0
Oocyte meiosis:KEGG-hsa04114	3	31	115	9.67741935484	26.9565217391	0.196109356548	0.9535	1.0
Toll-like receptor signaling pathway:KEGG-hsa04620	1	10	131	10.0	7.63358778626	0.146528971984	0.6335	1.0
Measles:KEGG-hsa05162	1	10	183	10.0	5.46448087432	0.146528971984	0.6355	1.0
Glyoxylate and dicarboxylate metabolism:KEGG-hsa00630	1	10	18	10.0	55.5555555556	0.146528971984	0.6245	1.0
Galactose metabolism:KEGG-hsa00052	1	10	32	10.0	31.25	0.146528971984	0.637	1.0
