Ensembl	symbol	WikiPathways
ENSG00000115415	STAT1	Endoderm Differentiation:WP2853
ENSG00000115415	STAT1	IL-5 Signaling Pathway:WP127
ENSG00000206172	HBA1	Vitamin B12 Metabolism:WP1533
ENSG00000160200	CBS	Vitamin B12 Metabolism:WP1533
ENSG00000196136	SERPINA3	Vitamin B12 Metabolism:WP1533
ENSG00000117394	SLC2A1	Insulin Signaling:WP481
ENSG00000168118	RAB4A	Insulin Signaling:WP481
ENSG00000071242	RPS6KA2	Insulin Signaling:WP481
ENSG00000165119	HNRNPK	mRNA Processing:WP411
ENSG00000117394	SLC2A1	Glycolysis and Gluconeogenesis:WP534
ENSG00000173599	PC	Glycolysis and Gluconeogenesis:WP534
ENSG00000148053	NTRK2	BDNF signaling pathway:WP2380
ENSG00000120251	GRIA2	BDNF signaling pathway:WP2380
ENSG00000115415	STAT1	BDNF signaling pathway:WP2380
ENSG00000115415	STAT1	IL-9 Signaling Pathway:WP22
ENSG00000259207	ITGB3	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000169756	LIMS1	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000173599	PC	Alanine and aspartate metabolism:WP106
ENSG00000157103	SLC6A1	NRF2 pathway:WP2884
ENSG00000117394	SLC2A1	NRF2 pathway:WP2884
ENSG00000148482	SLC39A12	NRF2 pathway:WP2884
ENSG00000100031	GGT1	NRF2 pathway:WP2884
ENSG00000106853	PTGR1	NRF2 pathway:WP2884
ENSG00000134184	GSTM1	NRF2 pathway:WP2884
ENSG00000197894	ADH5	Folate-Alcohol and Cancer Pathway:WP1589
ENSG00000160200	CBS	Folate-Alcohol and Cancer Pathway:WP1589
ENSG00000162688	AGL	Glycogen Metabolism:WP500
ENSG00000068976	PYGM	Glycogen Metabolism:WP500
ENSG00000100504	PYGL	Glycogen Metabolism:WP500
ENSG00000156709	AIFM1	Apoptosis Modulation by HSP70:WP384
ENSG00000115415	STAT1	RANKL/RANK Signaling Pathway:WP2018
ENSG00000145349	CAMK2D	SRF and miRs in Smooth Muscle Differentiation and Proliferation:WP1991
ENSG00000100031	GGT1	Glutathione metabolism:WP100
ENSG00000163931	TKT	Pentose Phosphate Pathway:WP134
ENSG00000065534	MYLK	Focal Adhesion:WP306
ENSG00000115415	STAT1	Toll-like receptor signaling pathway:WP75
ENSG00000160200	CBS	Trans-sulfuration and one carbon metabolism:WP2525
ENSG00000113578	FGF1	Integrated Pancreatic Cancer Pathway:WP2377
ENSG00000115415	STAT1	Integrated Pancreatic Cancer Pathway:WP2377
ENSG00000115415	STAT1	IL-2 Signaling Pathway:WP49
ENSG00000134184	GSTM1	Aflatoxin B1 metabolism:WP699
ENSG00000150540	HNMT	Metapathway biotransformation:WP702
ENSG00000134184	GSTM1	Metapathway biotransformation:WP702
ENSG00000171903	CYP4F11	Metapathway biotransformation:WP702
ENSG00000084073	ZMPSTE24	Adipogenesis:WP236
ENSG00000115415	STAT1	Adipogenesis:WP236
ENSG00000143126	CELSR2	GPCRs, Other:WP117
ENSG00000115415	STAT1	Allograft Rejection:KEGG-hsa05330:WP2328
ENSG00000065534	MYLK	MicroRNAs in cardiomyocyte hypertrophy:WP1544
ENSG00000145349	CAMK2D	MicroRNAs in cardiomyocyte hypertrophy:WP1544
