Ensembl	symbol	GeneOntology
ENSG00000070756	PABPC1	GO:0035770
ENSG00000133026	MYH10	GO:0046434
ENSG00000144381	HSPD1	GO:0046434
ENSG00000173786	CNP	GO:0046434
ENSG00000144566	RAB5A	GO:0046434
ENSG00000144381	HSPD1	GO:0002706
ENSG00000144381	HSPD1	GO:0002705
ENSG00000144381	HSPD1	GO:0002703
ENSG00000133026	MYH10	GO:0051656
ENSG00000168036	CTNNB1	GO:0051656
ENSG00000167996	FTH1	GO:0051651
ENSG00000168036	CTNNB1	GO:0051651
ENSG00000130203	APOE	GO:0051651
ENSG00000168036	CTNNB1	GO:0051650
ENSG00000144381	HSPD1	GO:0002709
ENSG00000144381	HSPD1	GO:0002708
ENSG00000068903	SIRT2	GO:0051495
ENSG00000168036	CTNNB1	GO:0051493
ENSG00000166086	JAM3	GO:0051493
ENSG00000068903	SIRT2	GO:0051493
ENSG00000068903	SIRT2	GO:0033239
ENSG00000110651	CD81	GO:0044650
ENSG00000168036	CTNNB1	GO:0030856
ENSG00000168036	CTNNB1	GO:0030855
ENSG00000151012	SLC7A11	GO:0030855
ENSG00000168036	CTNNB1	GO:0033233
ENSG00000168036	CTNNB1	GO:0030858
ENSG00000068903	SIRT2	GO:0007088
ENSG00000168036	CTNNB1	GO:0033234
ENSG00000166086	JAM3	GO:0031103
ENSG00000134121	CHL1	GO:0031103
ENSG00000130203	APOE	GO:0031103
ENSG00000166086	JAM3	GO:0031102
ENSG00000134121	CHL1	GO:0031102
ENSG00000130203	APOE	GO:0031102
ENSG00000143947	RPS27A	GO:0006281
ENSG00000021645	NRXN3	GO:0035176
ENSG00000130203	APOE	GO:0015849
ENSG00000151012	SLC7A11	GO:0015849
ENSG00000168003	SLC3A2	GO:0015849
ENSG00000130203	APOE	GO:0045859
ENSG00000086061	DNAJA1	GO:0045859
ENSG00000110651	CD81	GO:0045859
ENSG00000120885	CLU	GO:0045859
ENSG00000143947	RPS27A	GO:0045859
ENSG00000168036	CTNNB1	GO:0001067
ENSG00000109846	CRYAB	GO:0031109
ENSG00000135821	GLUL	GO:0016211
ENSG00000135821	GLUL	GO:0051222
ENSG00000120885	CLU	GO:0034774
ENSG00000000971	CFH	GO:0002673
ENSG00000068903	SIRT2	GO:0061428
ENSG00000091129	NRCAM	GO:0097485
ENSG00000198910	L1CAM	GO:0097485
ENSG00000133026	MYH10	GO:0097485
ENSG00000163531	NFASC	GO:0097485
ENSG00000134121	CHL1	GO:0097485
ENSG00000170017	ALCAM	GO:0097485
ENSG00000018236	CNTN1	GO:0097485
ENSG00000149294	NCAM1	GO:0097485
ENSG00000021645	NRXN3	GO:0097485
ENSG00000196569	LAMA2	GO:0097485
ENSG00000171867	PRNP	GO:0097485
ENSG00000116147	TNR	GO:0097485
ENSG00000168036	CTNNB1	GO:0097480
ENSG00000070214	SLC44A1	GO:0006576
ENSG00000119655	NPC2	GO:0032365
ENSG00000130203	APOE	GO:0050772
ENSG00000058404	CAMK2B	GO:0051783
ENSG00000068903	SIRT2	GO:0051783
ENSG00000058404	CAMK2B	GO:0051781
ENSG00000068903	SIRT2	GO:0051781
ENSG00000135821	GLUL	GO:0043649
ENSG00000120885	CLU	GO:0051787
ENSG00000058404	CAMK2B	GO:0051785
ENSG00000068903	SIRT2	GO:0051785
ENSG00000070756	PABPC1	GO:0006378
ENSG00000120885	CLU	GO:0051788
ENSG00000135821	GLUL	GO:0016874
ENSG00000168036	CTNNB1	GO:0048562
ENSG00000168036	CTNNB1	GO:0048565
ENSG00000211895	IGHA1	GO:0060267
ENSG00000068903	SIRT2	GO:0043900
ENSG00000168036	CTNNB1	GO:0050670
ENSG00000171867	PRNP	GO:0050670
ENSG00000168036	CTNNB1	GO:0060066
ENSG00000109846	CRYAB	GO:0005488
ENSG00000123560	PLP1	GO:0005488
ENSG00000107317	PTGDS	GO:0005488
ENSG00000197971	MBP	GO:0005488
ENSG00000091129	NRCAM	GO:0005488
ENSG00000104722	NEFM	GO:0005488
ENSG00000108679	LGALS3BP	GO:0005488
ENSG00000198910	L1CAM	GO:0005488
ENSG00000176393	RNPEP	GO:0005488
ENSG00000172260	NEGR1	GO:0005488
ENSG00000167996	FTH1	GO:0005488
ENSG00000124570	SERPINB6	GO:0005488
ENSG00000133026	MYH10	GO:0005488
ENSG00000163531	NFASC	GO:0005488
ENSG00000150867	PIP4K2A	GO:0005488
ENSG00000144381	HSPD1	GO:0005488
ENSG00000058404	CAMK2B	GO:0005488
ENSG00000168036	CTNNB1	GO:0005488
ENSG00000141540	TTYH2	GO:0005488
ENSG00000166086	JAM3	GO:0005488
ENSG00000134121	CHL1	GO:0005488
ENSG00000170017	ALCAM	GO:0005488
ENSG00000182667	NTM	GO:0005488
ENSG00000173786	CNP	GO:0005488
ENSG00000122756	CNTFR	GO:0005488
ENSG00000184117	NIPSNAP1	GO:0005488
ENSG00000163754	GYG1	GO:0005488
ENSG00000018236	CNTN1	GO:0005488
ENSG00000085117	CD82	GO:0005488
ENSG00000149294	NCAM1	GO:0005488
ENSG00000132702	HAPLN2	GO:0005488
ENSG00000105767	CADM4	GO:0005488
ENSG00000038427	VCAN	GO:0005488
ENSG00000130203	APOE	GO:0005488
ENSG00000144566	RAB5A	GO:0005488
ENSG00000021645	NRXN3	GO:0005488
ENSG00000086061	DNAJA1	GO:0005488
ENSG00000106278	PTPRZ1	GO:0005488
ENSG00000275395	FCGBP	GO:0005488
ENSG00000104267	CA2	GO:0005488
ENSG00000110651	CD81	GO:0005488
ENSG00000120885	CLU	GO:0005488
ENSG00000095713	CRTAC1	GO:0005488
ENSG00000068903	SIRT2	GO:0005488
ENSG00000008277	ADAM22	GO:0005488
ENSG00000119655	NPC2	GO:0005488
ENSG00000211895	IGHA1	GO:0005488
ENSG00000143947	RPS27A	GO:0005488
ENSG00000010278	CD9	GO:0005488
ENSG00000162813	BPNT1	GO:0005488
ENSG00000115541	HSPE1	GO:0005488
ENSG00000204655	MOG	GO:0005488
ENSG00000254986	DPP3	GO:0005488
ENSG00000198053	SIRPA	GO:0005488
ENSG00000196569	LAMA2	GO:0005488
ENSG00000151012	SLC7A11	GO:0005488
ENSG00000185565	LSAMP	GO:0005488
ENSG00000135821	GLUL	GO:0005488
ENSG00000105695	MAG	GO:0005488
ENSG00000154654	NCAM2	GO:0005488
ENSG00000171867	PRNP	GO:0005488
ENSG00000168003	SLC3A2	GO:0005488
ENSG00000139433	GLTP	GO:0005488
ENSG00000157445	CACNA2D3	GO:0005488
ENSG00000000971	CFH	GO:0005488
ENSG00000066032	CTNNA2	GO:0005488
ENSG00000070756	PABPC1	GO:0005488
ENSG00000114354	TFG	GO:0005488
ENSG00000116147	TNR	GO:0005488
ENSG00000117154	IGSF21	GO:0005488
ENSG00000144381	HSPD1	GO:0046651
ENSG00000109846	CRYAB	GO:0035556
ENSG00000130203	APOE	GO:0035556
ENSG00000144566	RAB5A	GO:0035556
ENSG00000120885	CLU	GO:0035556
ENSG00000068903	SIRT2	GO:0035556
ENSG00000143947	RPS27A	GO:0035556
ENSG00000143947	RPS27A	GO:0072331
ENSG00000109846	CRYAB	GO:0050789
ENSG00000123560	PLP1	GO:0050789
ENSG00000107317	PTGDS	GO:0050789
ENSG00000197971	MBP	GO:0050789
ENSG00000091129	NRCAM	GO:0050789
ENSG00000104722	NEFM	GO:0050789
ENSG00000108679	LGALS3BP	GO:0050789
ENSG00000198910	L1CAM	GO:0050789
ENSG00000172260	NEGR1	GO:0050789
ENSG00000167996	FTH1	GO:0050789
ENSG00000124570	SERPINB6	GO:0050789
ENSG00000133026	MYH10	GO:0050789
ENSG00000144381	HSPD1	GO:0050789
ENSG00000058404	CAMK2B	GO:0050789
ENSG00000168036	CTNNB1	GO:0050789
ENSG00000166086	JAM3	GO:0050789
ENSG00000134121	CHL1	GO:0050789
ENSG00000170017	ALCAM	GO:0050789
ENSG00000091164	TXNL1	GO:0050789
ENSG00000122756	CNTFR	GO:0050789
ENSG00000018236	CNTN1	GO:0050789
ENSG00000050165	DKK3	GO:0050789
ENSG00000149294	NCAM1	GO:0050789
ENSG00000164530	PI16	GO:0050789
ENSG00000130203	APOE	GO:0050789
ENSG00000144566	RAB5A	GO:0050789
ENSG00000021645	NRXN3	GO:0050789
ENSG00000086061	DNAJA1	GO:0050789
ENSG00000106278	PTPRZ1	GO:0050789
ENSG00000104267	CA2	GO:0050789
ENSG00000110651	CD81	GO:0050789
