GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
80 Ensembl source identifiers supplied in the input file:magenta_Module.txt
80 source identifiers meeting the filter linked to a Ensembl ID.
47 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 47 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Cell adhesion molecules (CAMs):KEGG-hsa04514	12	35	254	34.2857142857	13.7795275591	8.29454327293	0.0	1.0
Sulfur metabolism:KEGG-hsa00920	1	1	14	100.0	7.14285714286	4.44828439317	0.045	1.0
Basal cell carcinoma:KEGG-hsa05217	1	1	63	100.0	1.5873015873	4.44828439317	0.0575	1.0
RNA degradation:KEGG-hsa03018	2	5	92	40.0	5.4347826087	3.6846161188	0.017	1.0
Nitrogen metabolism:KEGG-hsa00910	2	5	25	40.0	20.0	3.6846161188	0.018	1.0
Prion diseases:KEGG-hsa05020	3	14	55	21.4285714286	25.4545454545	2.92520818475	0.0205	1.0
Thyroid cancer:KEGG-hsa05216	2	9	42	22.2222222222	21.4285714286	2.45104205482	0.0655	1.0
p53 signaling pathway:KEGG-hsa04115	1	3	79	33.3333333333	3.79746835443	2.31100389384	0.133	1.0
Cytokine-cytokine receptor interaction:KEGG-hsa04060	1	3	334	33.3333333333	0.898203592814	2.31100389384	0.1305	1.0
Amoebiasis:KEGG-hsa05146	4	31	138	12.9032258065	22.4637681159	2.13870754583	0.0465	1.0
Endometrial cancer:KEGG-hsa05213	2	11	68	18.1818181818	16.1764705882	2.08308200843	0.0935	1.0
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412	4	32	88	12.5	36.3636363636	2.06575149392	0.059	1.0
Synthesis and degradation of ketone bodies:KEGG-hsa00072	1	4	11	25.0	36.3636363636	1.88984024392	0.174	1.0
