GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
80 Ensembl source identifiers supplied in the input file:magenta_Module.txt
80 source identifiers meeting the filter linked to a Ensembl ID.
36 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 36 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Glial Cell Differentiation:WP2276	4	7	8	57.1428571429	87.5	6.56277384948	0.0	0.8295
Hair Follicle Development: Induction (Part 1 of 3):WP2804	2	3	44	66.6666666667	6.81818181818	5.06354303853	0.0085	0.8295
Cardiac Progenitor Differentiation:WP2406	2	4	53	50.0	7.54716981132	4.27648797887	0.0105	0.8295
Neural Crest Differentiation:WP2064	2	6	102	33.3333333333	5.88235294118	3.31393502171	0.0345	1.0
Endoderm Differentiation:WP2853	2	6	72	33.3333333333	8.33333333333	3.31393502171	0.0205	1.0
Amyotrophic lateral sclerosis (ALS):WP2447	2	7	32	28.5714285714	21.875	2.98563960534	0.033	1.0
Complement and Coagulation Cascades:WP558	2	8	60	25.0	13.3333333333	2.71556730985	0.052	1.0
Adipogenesis:WP236	2	9	128	22.2222222222	7.03125	2.4873406694	0.0655	1.0
Ectoderm Differentiation:WP2858	3	18	144	16.6666666667	12.5	2.41526031054	0.043	1.0
TWEAK Signaling Pathway:WP2036	1	3	40	33.3333333333	7.5	2.33867030169	0.1475	1.0
Iron metabolism in placenta:WP2007	1	3	12	33.3333333333	25.0	2.33867030169	0.138	1.0
Heart Development:WP1591	1	3	48	33.3333333333	6.25	2.33867030169	0.1495	1.0
Gastric cancer network 2:WP2363	1	3	35	33.3333333333	8.57142857143	2.33867030169	0.1405	1.0
Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118	4	31	77	12.9032258065	40.2597402597	2.18998103713	0.054	1.0
Spinal Cord Injury:WP2431	4	34	116	11.7647058824	29.3103448276	1.97830137782	0.0815	1.0
Structural Pathway of Interleukin 1 (IL-1):WP2637	1	4	9	25.0	44.4444444444	1.91512287749	0.182	1.0
Eicosanoid Synthesis:WP167	1	4	22	25.0	18.1818181818	1.91512287749	0.178	1.0
Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864	2	14	54	14.2857142857	25.9259259259	1.70081909357	0.13	1.0
Transcriptional activation by NRF2:WP3	1	5	15	20.0	33.3333333333	1.61422032158	0.211	1.0
Statin Pathway:WP430	1	5	36	20.0	13.8888888889	1.61422032158	0.207	1.0
Inflammatory Response Pathway:WP453	1	5	32	20.0	15.625	1.61422032158	0.2005	1.0
Extracellular vesicle-mediated signaling in recipient cells:WP2870	1	5	28	20.0	17.8571428571	1.61422032158	0.2185	1.0
TGF Beta Signaling Pathway:WP560	1	7	55	14.2857142857	12.7272727273	1.19707248327	0.2935	1.0
Prostaglandin Synthesis and Regulation:WP98	1	7	30	14.2857142857	23.3333333333	1.19707248327	0.2715	1.0
Copper homeostasis:WP3286	1	7	55	14.2857142857	12.7272727273	1.19707248327	0.272	1.0
BDNF signaling pathway:WP2380	3	36	145	8.33333333333	24.8275862069	1.04493289577	0.238	1.0
Vitamin B12 Metabolism:WP1533	1	8	55	12.5	14.5454545455	1.04140688096	0.3015	1.0
SIDS Susceptibility Pathways:WP706	3	37	157	8.10810810811	23.5668789809	0.993919650589	0.226	1.0
Wnt Signaling Pathway:WP428	1	9	67	11.1111111111	13.4328358209	0.907879344333	0.346	1.0
Wnt Signaling Pathway Netpath:WP363	1	10	53	10.0	18.8679245283	0.791024437256	0.3905	1.0
MAPK Cascade:WP422	1	10	30	10.0	33.3333333333	0.791024437256	0.3795	1.0
Primary Focal Segmental Glomerulosclerosis FSGS:WP2572	2	25	73	8.0	34.2465753425	0.784428942377	0.3325	1.0
Integrated Pancreatic Cancer Pathway:WP2377	2	25	171	8.0	14.6198830409	0.784428942377	0.313	1.0
Diurnally Regulated Genes with Circadian Orthologs:WP410	1	11	46	9.09090909091	23.9130434783	0.687127835229	0.4035	1.0
DNA Damage Response (only ATM dependent):WP710	1	11	101	9.09090909091	10.8910891089	0.687127835229	0.3995	1.0
Hypothetical Network for Drug Addiction:WP666	1	12	31	8.33333333333	38.7096774194	0.593561129805	0.4405	1.0
Rac1/Pak1/p38/MMP-2 pathway:WP3303	1	13	67	7.69230769231	19.4029850746	0.508402307534	0.4745	1.0
G13 Signaling Pathway:WP524	1	13	40	7.69230769231	32.5	0.508402307534	0.4615	1.0
Glycogen Metabolism:WP500	1	14	36	7.14285714286	38.8888888889	0.430207182492	0.469	1.0
Alpha 6 Beta 4 signaling pathway:WP244	1	14	33	7.14285714286	42.4242424242	0.430207182492	0.48	1.0
Focal Adhesion:WP306	3	54	190	5.55555555556	28.4210526316	0.298459471041	0.934	1.0
Wnt Signaling Pathway and Pluripotency:WP399	1	16	101	6.25	15.8415841584	0.290506802855	0.515	1.0
Translation Factors:WP107	1	16	53	6.25	30.1886792453	0.290506802855	0.5305	1.0
MicroRNAs in cardiomyocyte hypertrophy:WP1544	1	16	103	6.25	15.5339805825	0.290506802855	0.5355	1.0
BCL-XL prevents the binding of truncated BID to BAX. This is prevented by BAD. BAD can displace tBID from BCL-XL.   :WP231	1	16	92	6.25	17.3913043478	0.290506802855	0.529	1.0
Androgen receptor signaling pathway:WP138	1	16	91	6.25	17.5824175824	0.290506802855	0.543	1.0
B Cell Receptor Signaling Pathway:WP23	1	17	99	5.88235294118	17.1717171717	0.227437163115	0.538	1.0
NRF2 pathway:WP2884	2	37	143	5.40540540541	25.8741258741	0.200034143515	0.825	1.0
Corticotropin-releasing hormone:WP2355	1	23	93	4.34782608696	24.7311827957	-0.0863834541744	0.6725	1.0
Regulation of Actin Cytoskeleton:WP51	2	47	157	4.25531914894	29.9363057325	-0.156379600571	0.8975	1.0
Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272	1	25	55	4.0	45.4545454545	-0.173479477641	0.6905	1.0
Cytoplasmic Ribosomal Proteins:WP477	1	26	97	3.84615384615	26.8041237113	-0.214632969795	0.714	1.0
Alzheimers Disease:WP2059	1	26	81	3.84615384615	32.0987654321	-0.214632969795	0.711	1.0
miRNA Biogenesis:WP2338	0	1	5	0.0	20.0	-0.222680885708	1.0	1.0
Type III interferon signaling:WP2113	0	1	11	0.0	9.09090909091	-0.222680885708	1.0	1.0
Triacylglyceride Synthesis:WP325	0	1	22	0.0	4.54545454545	-0.222680885708	1.0	1.0
TFs Regulate miRNAs related to cardiac hypertrophy:WP1559	0	1	15	0.0	6.66666666667	-0.222680885708	1.0	1.0
Steroid Biosynthesis:WP496	0	1	11	0.0	9.09090909091	-0.222680885708	1.0	1.0
