Ensembl	symbol	GeneOntology
ENSG00000075142	SRI	GO:0035774
ENSG00000137642	SORL1	GO:0034358
ENSG00000116005	PCYOX1	GO:0034358
ENSG00000138119	MYOF	GO:0034605
ENSG00000105953	OGDH	GO:0034602
ENSG00000234745	HLA-B	GO:0002707
ENSG00000234745	HLA-B	GO:0002706
ENSG00000234745	HLA-B	GO:0002705
ENSG00000234745	HLA-B	GO:0002704
ENSG00000234745	HLA-B	GO:0002703
ENSG00000085491	SLC25A24	GO:0000295
ENSG00000127022	CANX	GO:0051656
ENSG00000137642	SORL1	GO:0051651
ENSG00000105974	CAV1	GO:0051651
ENSG00000044574	HSPA5	GO:0051651
ENSG00000075142	SRI	GO:0051651
ENSG00000167004	PDIA3	GO:0051651
ENSG00000127022	CANX	GO:0051650
ENSG00000234745	HLA-B	GO:0002709
ENSG00000234745	HLA-B	GO:0002708
ENSG00000146648	EGFR	GO:0002009
ENSG00000215021	PHB2	GO:0002009
ENSG00000250151	ARPC4-TTLL3	GO:0051495
ENSG00000241685	ARPC1A	GO:0051495
ENSG00000120708	TGFBI	GO:0050840
ENSG00000187244	BCAM	GO:0050840
ENSG00000113721	PDGFRB	GO:0051493
ENSG00000123384	LRP1	GO:0051493
ENSG00000250151	ARPC4-TTLL3	GO:0051493
ENSG00000241685	ARPC1A	GO:0051493
ENSG00000124126	PREX1	GO:0051493
ENSG00000128872	TMOD2	GO:0051493
ENSG00000100243	CYB5R3	GO:0005833
ENSG00000124126	PREX1	GO:0005100
ENSG00000154096	THY1	GO:0005100
ENSG00000105974	CAV1	GO:0033239
ENSG00000093010	COMT	GO:0033239
ENSG00000105974	CAV1	GO:0033238
ENSG00000113721	PDGFRB	GO:0033238
ENSG00000146648	EGFR	GO:0033238
ENSG00000093010	COMT	GO:0033238
ENSG00000181467	RAP2B	GO:0033238
ENSG00000105974	CAV1	GO:0030856
ENSG00000105974	CAV1	GO:0030857
ENSG00000213585	VDAC1	GO:0030855
ENSG00000138279	ANXA7	GO:0030855
ENSG00000198848	CES1	GO:0030855
ENSG00000110090	CPT1A	GO:0030855
ENSG00000113721	PDGFRB	GO:0007088
ENSG00000168906	MAT2A	GO:0046500
ENSG00000100997	ABHD12	GO:0046503
ENSG00000089597	GANAB	GO:0017177
ENSG00000146648	EGFR	GO:0006282
ENSG00000196419	XRCC6	GO:0006281
ENSG00000079246	XRCC5	GO:0006281
ENSG00000138279	ANXA7	GO:0035176
ENSG00000079215	SLC1A3	GO:0015849
ENSG00000108528	SLC25A11	GO:0015849
ENSG00000115840	SLC25A12	GO:0015849
ENSG00000165457	FOLR2	GO:0015849
ENSG00000132164	SLC6A11	GO:0015849
ENSG00000100075	SLC25A1	GO:0015849
ENSG00000110090	CPT1A	GO:0015849
ENSG00000137642	SORL1	GO:0045859
ENSG00000149428	HYOU1	GO:0045859
ENSG00000105974	CAV1	GO:0045859
ENSG00000166598	HSP90B1	GO:0045859
ENSG00000113721	PDGFRB	GO:0045859
ENSG00000146648	EGFR	GO:0045859
ENSG00000168959	GRM5	GO:0045859
ENSG00000179218	CALR	GO:0045859
ENSG00000044574	HSPA5	GO:0045859
ENSG00000143870	PDIA6	GO:0045859
ENSG00000154096	THY1	GO:0045859
ENSG00000181467	RAP2B	GO:0045859
ENSG00000196419	XRCC6	GO:0001067
ENSG00000185129	PURA	GO:0001067
ENSG00000079246	XRCC5	GO:0001067
ENSG00000145864	GABRB2	GO:0034776
ENSG00000124491	F13A1	GO:0034774
ENSG00000166147	FBN1	GO:0071559
ENSG00000157851	DPYSL5	GO:0097485
ENSG00000142173	COL6A2	GO:0097485
ENSG00000146648	EGFR	GO:0097485
ENSG00000142156	COL6A1	GO:0097485
ENSG00000163359	COL6A3	GO:0097485
ENSG00000127022	CANX	GO:0097480
ENSG00000148660	CAMK2G	GO:0005954
ENSG00000100997	ABHD12	GO:0006575
ENSG00000185624	P4HB	GO:0006575
ENSG00000123131	PRDX4	GO:0006575
ENSG00000168906	MAT2A	GO:0006575
ENSG00000116005	PCYOX1	GO:0006575
ENSG00000132164	SLC6A11	GO:0006576
ENSG00000189221	MAOA	GO:0006576
ENSG00000142173	COL6A2	GO:0034284
ENSG00000163359	COL6A3	GO:0034284
ENSG00000146648	EGFR	GO:0070435
ENSG00000113721	PDGFRB	GO:0051783
ENSG00000179218	CALR	GO:0051783
ENSG00000149218	ENDOD1	GO:0004518
ENSG00000113721	PDGFRB	GO:0051781
