Ensembl	symbol	KEGG
ENSG00000146648	EGFR	Endometrial cancer:KEGG-hsa05213
ENSG00000117118	SDHB	Huntington's disease:KEGG-hsa05016
ENSG00000213619	NDUFS3	Huntington's disease:KEGG-hsa05016
ENSG00000178127	NDUFV2	Huntington's disease:KEGG-hsa05016
ENSG00000135940	COX5B	Huntington's disease:KEGG-hsa05016
ENSG00000213585	VDAC1	Huntington's disease:KEGG-hsa05016
ENSG00000169021	UQCRFS1	Huntington's disease:KEGG-hsa05016
ENSG00000165637	VDAC2	Huntington's disease:KEGG-hsa05016
ENSG00000168959	GRM5	Huntington's disease:KEGG-hsa05016
ENSG00000151729	SLC25A4	Huntington's disease:KEGG-hsa05016
ENSG00000023228	NDUFS1	Huntington's disease:KEGG-hsa05016
ENSG00000147684	NDUFB9	Huntington's disease:KEGG-hsa05016
ENSG00000158864	NDUFS2	Huntington's disease:KEGG-hsa05016
ENSG00000010256	UQCRC1	Huntington's disease:KEGG-hsa05016
ENSG00000167792	NDUFV1	Huntington's disease:KEGG-hsa05016
ENSG00000131495	NDUFA2	Huntington's disease:KEGG-hsa05016
ENSG00000073578	SDHA	Huntington's disease:KEGG-hsa05016
ENSG00000128609	NDUFA5	Huntington's disease:KEGG-hsa05016
ENSG00000168653	NDUFS5	Huntington's disease:KEGG-hsa05016
ENSG00000139180	NDUFA9	Huntington's disease:KEGG-hsa05016
ENSG00000126267	COX6B1	Huntington's disease:KEGG-hsa05016
ENSG00000156467	UQCRB	Huntington's disease:KEGG-hsa05016
ENSG00000131143	COX4I1	Huntington's disease:KEGG-hsa05016
ENSG00000078668	VDAC3	Huntington's disease:KEGG-hsa05016
ENSG00000179091	CYC1	Huntington's disease:KEGG-hsa05016
ENSG00000178741	COX5A	Huntington's disease:KEGG-hsa05016
ENSG00000140740	UQCRC2	Huntington's disease:KEGG-hsa05016
ENSG00000168959	GRM5	Long-term potentiation:KEGG-hsa04720
ENSG00000148660	CAMK2G	Long-term potentiation:KEGG-hsa04720
ENSG00000148660	CAMK2G	Oocyte meiosis:KEGG-hsa04114
ENSG00000117862	TXNDC12	Glutathione metabolism:KEGG-hsa00480
ENSG00000120915	EPHX2	Peroxisome:KEGG-hsa04146
ENSG00000105974	CAV1	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000241685	ARPC1A	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000113721	PDGFRB	MAPK signaling pathway:KEGG-hsa04010
ENSG00000146648	EGFR	MAPK signaling pathway:KEGG-hsa04010
ENSG00000146648	EGFR	Bladder cancer:KEGG-hsa05219
ENSG00000130725	UBE2M	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000078140	UBE2K	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000148660	CAMK2G	Olfactory transduction:KEGG-hsa04740
ENSG00000146648	EGFR	GnRH signaling pathway:KEGG-hsa04912
ENSG00000148660	CAMK2G	GnRH signaling pathway:KEGG-hsa04912
ENSG00000134243	SORT1	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000148660	CAMK2G	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000149218	ENDOD1	Apoptosis:KEGG-hsa04210
ENSG00000138029	HADHB	Fatty acid elongation in mitochondria:KEGG-hsa00062
ENSG00000113721	PDGFRB	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000146648	EGFR	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000241685	ARPC1A	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000169896	ITGAM	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000141338	ABCA8	ABC transporters:KEGG-hsa02010
ENSG00000072210	ALDH3A2	Arginine and proline metabolism:KEGG-hsa00330
ENSG00000189221	MAOA	Arginine and proline metabolism:KEGG-hsa00330
ENSG00000146648	EGFR	Hepatitis C:KEGG-hsa05160
ENSG00000079215	SLC1A3	Glutamatergic synapse:KEGG-hsa04724
ENSG00000168959	GRM5	Glutamatergic synapse:KEGG-hsa04724
ENSG00000146648	EGFR	Non-small cell lung cancer:KEGG-hsa05223
ENSG00000072210	ALDH3A2	Lysine degradation:KEGG-hsa00310
ENSG00000105953	OGDH	Lysine degradation:KEGG-hsa00310
ENSG00000166598	HSP90B1	Prostate cancer:KEGG-hsa05215
ENSG00000113721	PDGFRB	Prostate cancer:KEGG-hsa05215
ENSG00000146648	EGFR	Prostate cancer:KEGG-hsa05215
ENSG00000169896	ITGAM	Leishmaniasis:KEGG-hsa05140
ENSG00000168959	GRM5	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000145864	GABRB2	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000072210	ALDH3A2	Propanoate metabolism:KEGG-hsa00640
ENSG00000154930	ACSS1	Propanoate metabolism:KEGG-hsa00640
ENSG00000134333	LDHA	Propanoate metabolism:KEGG-hsa00640
ENSG00000123384	LRP1	Malaria:KEGG-hsa05144
ENSG00000159348	CYB5R1	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000100243	CYB5R3	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000072210	ALDH3A2	Fatty acid metabolism:KEGG-hsa00071
ENSG00000138029	HADHB	Fatty acid metabolism:KEGG-hsa00071
ENSG00000110090	CPT1A	Fatty acid metabolism:KEGG-hsa00071
ENSG00000241685	ARPC1A	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000072210	ALDH3A2	Glycerolipid metabolism:KEGG-hsa00561
ENSG00000174437	ATP2A2	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000109743	BST1	Salivary secretion:KEGG-hsa04970
ENSG00000146648	EGFR	Adherens junction:KEGG-hsa04520
ENSG00000174437	ATP2A2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000189221	MAOA	Glycine, serine and threonine metabolism:KEGG-hsa00260
ENSG00000113721	PDGFRB	Melanoma:KEGG-hsa05218
ENSG00000146648	EGFR	Melanoma:KEGG-hsa05218
ENSG00000072210	ALDH3A2	Pyruvate metabolism:KEGG-hsa00620
ENSG00000154930	ACSS1	Pyruvate metabolism:KEGG-hsa00620
ENSG00000168291	PDHB	Pyruvate metabolism:KEGG-hsa00620
ENSG00000134333	LDHA	Pyruvate metabolism:KEGG-hsa00620
ENSG00000150768	DLAT	Pyruvate metabolism:KEGG-hsa00620
ENSG00000189221	MAOA	Drug metabolism - cytochrome P450:KEGG-hsa00982
ENSG00000234745	HLA-B	Autoimmune thyroid disease:KEGG-hsa05320
ENSG00000155660	PDIA4	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000189221	MAOA	Tyrosine metabolism:KEGG-hsa00350
ENSG00000093010	COMT	Tyrosine metabolism:KEGG-hsa00350
ENSG00000144959	NCEH1	Bile secretion:KEGG-hsa04976
ENSG00000143819	EPHX1	Bile secretion:KEGG-hsa04976
ENSG00000196419	XRCC6	Non-homologous end-joining:KEGG-hsa03450
ENSG00000079246	XRCC5	Non-homologous end-joining:KEGG-hsa03450
ENSG00000135940	COX5B	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000169021	UQCRFS1	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000010256	UQCRC1	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000174437	ATP2A2	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000126267	COX6B1	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000156467	UQCRB	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000131143	COX4I1	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000179091	CYC1	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000178741	COX5A	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000140740	UQCRC2	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000063046	EIF4B	RNA transport:KEGG-hsa03013
ENSG00000168291	PDHB	Butanoate metabolism:KEGG-hsa00650
ENSG00000044574	HSPA5	Protein export:KEGG-hsa03060
ENSG00000198848	CES1	Drug metabolism - other enzymes:KEGG-hsa00983
ENSG00000234745	HLA-B	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000169896	ITGAM	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000090863	GLG1	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000072210	ALDH3A2	Pentose and glucuronate interconversions:KEGG-hsa00040
ENSG00000072210	ALDH3A2	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000154930	ACSS1	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000168291	PDHB	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000134333	LDHA	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000150768	DLAT	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000241685	ARPC1A	Shigellosis:KEGG-hsa05131
ENSG00000003056	M6PR	Phagosome:KEGG-hsa04145
ENSG00000234745	HLA-B	Phagosome:KEGG-hsa04145
ENSG00000179218	CALR	Phagosome:KEGG-hsa04145
ENSG00000169896	ITGAM	Phagosome:KEGG-hsa04145
ENSG00000127022	CANX	Phagosome:KEGG-hsa04145
ENSG00000260314	MRC1	Phagosome:KEGG-hsa04145
ENSG00000004939	SLC4A1	Collecting duct acid secretion:KEGG-hsa04966
ENSG00000101444	AHCY	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000134333	LDHA	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000168906	MAT2A	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000169896	ITGAM	Staphylococcus aureus infection:KEGG-hsa05150
ENSG00000117118	SDHB	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000168291	PDHB	Citrate cycle (TCA cycle):KEGG-hsa00020
