GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
181 Ensembl source identifiers supplied in the input file:purple_Module.txt
181 source identifiers meeting the filter linked to a Ensembl ID.
105 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
977 Genes linked to a term.
The z score is based on an N of 977 and a R of 105 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Parkinson's disease:KEGG-hsa05012	25	38	150	65.7894736842	25.3333333333	11.1691999173	0.0	0.0611428571429
Huntington's disease:KEGG-hsa05016	26	50	205	52.0	24.3902439024	9.664186493	0.0	0.0611428571429
Oxidative phosphorylation:KEGG-hsa00190	21	40	159	52.5	25.1572327044	8.70186896444	0.0	0.0611428571429
Alzheimer's disease:KEGG-hsa05010	23	52	200	44.2307692308	26.0	8.00809696724	0.0	0.0611428571429
Protein processing in endoplasmic reticulum:KEGG-hsa04141	18	51	192	35.2941176471	26.5625	5.81089999868	0.0	0.0611428571429
Cardiac muscle contraction:KEGG-hsa04260	10	25	90	40.0	27.7777777778	4.78173794245	0.0	0.0611428571429
N-Glycan biosynthesis:KEGG-hsa00510	3	4	50	75.0	8.0	4.15558637574	0.002	0.0611428571429
Steroid hormone biosynthesis:KEGG-hsa00140	2	3	71	66.6666666667	4.22535211268	3.1304795033	0.0305	0.502076923077
Non-homologous end-joining:KEGG-hsa03450	2	3	18	66.6666666667	16.6666666667	3.1304795033	0.0275	0.490416666667
Cytokine-cytokine receptor interaction:KEGG-hsa04060	2	3	334	66.6666666667	0.898203592814	3.1304795033	0.027	0.490416666667
Antigen processing and presentation:KEGG-hsa04612	5	17	441	29.4117647059	3.85487528345	2.50538015721	0.02	0.428
Calcium signaling pathway:KEGG-hsa04020	10	46	191	21.7391304348	24.0837696335	2.46459299303	0.016	0.404222222222
Glycerophospholipid metabolism:KEGG-hsa00564	2	5	100	40.0	5.0	2.11634326771	0.09	0.891157142857
Citrate cycle (TCA cycle):KEGG-hsa00020	5	20	34	25.0	58.8235294118	2.07838619759	0.04	0.611428571429
Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290	1	2	18	50.0	11.1111111111	1.79328813519	0.194	0.891157142857
Regulation of autophagy:KEGG-hsa04140	1	2	34	50.0	5.88235294118	1.79328813519	0.1965	0.891157142857
Protein export:KEGG-hsa03060	1	2	23	50.0	8.69565217391	1.79328813519	0.182	0.891157142857
Pyruvate metabolism:KEGG-hsa00620	5	25	42	20.0	59.5238095238	1.51248813855	0.103	0.891157142857
Tryptophan metabolism:KEGG-hsa00380	3	13	43	23.0769230769	30.2325581395	1.44428726359	0.1345	0.891157142857
Melanoma:KEGG-hsa05218	2	8	89	25.0	8.98876404494	1.30632225479	0.1865	0.891157142857
Prostate cancer:KEGG-hsa05215	3	14	105	21.4285714286	13.3333333333	1.29910744412	0.165	0.891157142857
