GO-Elite ORA Results
File:
Table:
colors:
11/7/2023
Homo sapiens
Pvalues = true
Calculation Summary:
181 Ensembl source identifiers supplied in the input file:purple_Module.txt
181 source identifiers meeting the filter linked to a Ensembl ID.
81 genes meeting the criterion linked to a term.
1741 source identifiers in this dataset.
1741 source identifiers linked to a Ensembl ID.
762 Genes linked to a term.
The z score is based on an N of 762 and a R of 81 distinct genes in all terms.

Gene-Set Name	Number Changed	Number Measured	Number in Gene-Set	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
Electron Transport Chain:WP111	21	27	109	77.7777777778	24.7706422018	11.518650488	0.0	0.5135
Oxidative phosphorylation:WP623	10	14	66	71.4285714286	21.2121212121	7.44454896174	0.0	0.5135
Irinotecan Pathway:WP229	2	2	13	100.0	15.3846153846	4.10328399835	0.0065	0.5135
Phase I biotransformations, non P450:WP136	2	3	8	66.6666666667	37.5	3.15314452681	0.0285	0.964928571429
Non-homologous end joining:WP438	2	3	7	66.6666666667	42.8571428571	3.15314452681	0.0275	0.964928571429
Biogenic Amine Synthesis:WP550	2	3	15	66.6666666667	20.0	3.15314452681	0.0265	0.964928571429
Arachidonate Epoxygenase / Epoxide Hydrolase:WP678	2	3	7	66.6666666667	42.8571428571	3.15314452681	0.0275	0.964928571429
Oxidation by Cytochrome P450:WP43	2	4	63	50.0	6.34920634921	2.55972264523	0.0635	1.0
Methylation Pathways:WP704	2	4	9	50.0	44.4444444444	2.55972264523	0.0535	1.0
Statin Pathway:WP430	2	5	36	40.0	13.8888888889	2.13635493186	0.08	1.0
miRNA targets in ECM and membrane receptors:WP2911	3	10	45	30.0	22.2222222222	1.99918829406	0.076	1.0
TCA Cycle:WP78	3	12	20	25.0	60.0	1.62686072039	0.12	1.0
Dopamine metabolism:WP2436	2	7	14	28.5714285714	50.0	1.54620012821	0.1505	1.0
Aryl Hydrocarbon Receptor Pathway:WP2873	2	7	46	28.5714285714	15.2173913043	1.54620012821	0.1645	1.0
Mitochondrial LC-Fatty Acid Beta-Oxidation:WP368	2	8	18	25.0	44.4444444444	1.32479811874	0.19	1.0
TCA Cycle and PDHc:WP2453	3	14	16	21.4285714286	87.5	1.32225106443	0.1565	1.0
Serotonin Transporter Activity:WP1455	1	3	11	33.3333333333	27.2727272727	1.27750352023	0.2705	1.0
Osteoblast Signaling:WP322	1	3	14	33.3333333333	21.4285714286	1.27750352023	0.2815	1.0
NOTCH1 regulation of human endothelial cell calcification:WP3413	1	3	17	33.3333333333	17.6470588235	1.27750352023	0.277	1.0
Hair Follicle Development: Induction (Part 1 of 3):WP2804	1	3	44	33.3333333333	6.81818181818	1.27750352023	0.28	1.0
Gastric cancer network 2:WP2363	1	3	35	33.3333333333	8.57142857143	1.27750352023	0.301	1.0
Fluoropyrimidine Activity:WP1601	1	3	34	33.3333333333	8.82352941176	1.27750352023	0.295	1.0
Estrogen metabolism:WP697	1	3	15	33.3333333333	20.0	1.27750352023	0.279	1.0
Benzo(a)pyrene metabolism:WP696	1	3	9	33.3333333333	33.3333333333	1.27750352023	0.276	1.0
Aflatoxin B1 metabolism:WP699	1	3	8	33.3333333333	37.5	1.27750352023	0.2775	1.0
Fatty Acid Beta Oxidation:WP143	3	15	33	20.0	45.4545454545	1.18839222937	0.1995	1.0
SIDS Susceptibility Pathways:WP706	6	37	157	16.2162162162	23.5668789809	1.12950187396	0.238	1.0
Androgen receptor signaling pathway:WP138	3	16	91	18.75	17.5824175824	1.06434408886	0.221	1.0
Vitamin A and Carotenoid Metabolism:WP716	1	4	44	25.0	9.09090909091	0.934298765509	0.364	1.0
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer:WP2868	1	4	5	25.0	80.0	0.934298765509	0.339	1.0
Imatinib Resistance in Chronic Myeloid Leukemia:WP2946	1	4	49	25.0	8.16326530612	0.934298765509	0.3575	1.0
GPCRs, Class C Metabotropic glutamate, pheromone:WP501	1	4	14	25.0	28.5714285714	0.934298765509	0.3665	1.0
Cardiac Progenitor Differentiation:WP2406	1	4	53	25.0	7.54716981132	0.934298765509	0.352	1.0
Arylhydrocarbon receptor (AhR) signaling pathway:WP2100	1	4	28	25.0	14.2857142857	0.934298765509	0.3655	1.0
Apoptosis:WP254	1	4	89	25.0	4.49438202247	0.934298765509	0.347	1.0
Tryptophan metabolism:WP465	2	11	45	18.1818181818	24.4444444444	0.818019510156	0.321	1.0
Trans-sulfuration and one carbon metabolism:WP2525	2	11	31	18.1818181818	35.4838709677	0.818019510156	0.3265	1.0
Signaling Pathways in Glioblastoma:WP2261	2	12	83	16.6666666667	14.4578313253	0.68343007432	0.354	1.0
Trans-sulfuration pathway:WP2333	1	5	11	20.0	45.4545454545	0.681571680675	0.416	1.0
PDGF Pathway:WP2526	1	5	9	20.0	55.5555555556	0.681571680675	0.413	1.0
Extracellular vesicle-mediated signaling in recipient cells:WP2870	1	5	28	20.0	17.8571428571	0.681571680675	0.427	1.0
Bladder Cancer:WP2828	1	5	33	20.0	15.1515151515	0.681571680675	0.4155	1.0
Glycolysis and Gluconeogenesis:WP534	4	29	52	13.7931034483	55.7692307692	0.563121945301	0.7345	1.0
Metapathway biotransformation:WP702	3	21	177	14.2857142857	11.8644067797	0.550824663377	0.612	1.0
PPAR Alpha Pathway:WP2878	1	6	26	16.6666666667	23.0769230769	0.481336529268	0.469	1.0
One Carbon Metabolism:WP241	1	6	28	16.6666666667	21.4285714286	0.481336529268	0.4695	1.0
Endochondral Ossification:WP474	1	6	64	16.6666666667	9.375	0.481336529268	0.4795	1.0
mRNA Processing:WP411	1	7	126	14.2857142857	5.55555555556	0.315056452456	0.534	1.0
Prostaglandin Synthesis and Regulation:WP98	1	7	30	14.2857142857	23.3333333333	0.315056452456	0.5275	1.0
Folate Metabolism:WP176	1	7	35	14.2857142857	20.0	0.315056452456	0.51	1.0
AMPK Signaling:WP1403	1	7	69	14.2857142857	10.1449275362	0.315056452456	0.544	1.0
