Ensembl	symbol	GeneOntology
ENSG00000084674	APOB	GO:0034359
ENSG00000204388	HSPA1B	GO:0046434
ENSG00000233276	GPX1	GO:0046434
ENSG00000092841	MYL6	GO:0046434
ENSG00000204388	HSPA1B	GO:0034605
ENSG00000084674	APOB	GO:0034358
ENSG00000166333	ILK	GO:0051493
ENSG00000188157	AGRN	GO:0051491
ENSG00000130702	LAMA5	GO:0030855
ENSG00000149591	TAGLN	GO:0030855
ENSG00000084674	APOB	GO:0046503
ENSG00000172037	LAMB2	GO:1990138
ENSG00000167986	DDB1	GO:0006281
ENSG00000166333	ILK	GO:0045859
ENSG00000167986	DDB1	GO:0006289
ENSG00000168522	FNTA	GO:0005953
ENSG00000130702	LAMA5	GO:0050839
ENSG00000172037	LAMB2	GO:0050839
ENSG00000166333	ILK	GO:0050839
ENSG00000140545	MFGE8	GO:0050839
ENSG00000103876	FAH	GO:0006570
ENSG00000103876	FAH	GO:0006572
ENSG00000159423	ALDH4A1	GO:0006575
ENSG00000134202	GSTM3	GO:0006575
ENSG00000233276	GPX1	GO:0006575
ENSG00000171766	GATM	GO:0006575
ENSG00000138413	IDH1	GO:0006575
ENSG00000233276	GPX1	GO:0034284
ENSG00000111058	ACSS3	GO:0030554
ENSG00000204388	HSPA1B	GO:0030554
ENSG00000133392	MYH11	GO:0030554
ENSG00000166333	ILK	GO:0030554
ENSG00000175198	PCCA	GO:0030554
ENSG00000142798	HSPG2	GO:0048562
ENSG00000204388	HSPA1B	GO:0031072
ENSG00000159423	ALDH4A1	GO:0005488
ENSG00000131471	AOC3	GO:0005488
ENSG00000082212	ME2	GO:0005488
ENSG00000136044	APPL2	GO:0005488
ENSG00000130702	LAMA5	GO:0005488
ENSG00000117298	ECE1	GO:0005488
ENSG00000168522	FNTA	GO:0005488
ENSG00000136783	NIPSNAP3A	GO:0005488
ENSG00000134202	GSTM3	GO:0005488
ENSG00000087303	NID2	GO:0005488
ENSG00000172037	LAMB2	GO:0005488
ENSG00000111058	ACSS3	GO:0005488
ENSG00000204388	HSPA1B	GO:0005488
ENSG00000116791	CRYZ	GO:0005488
ENSG00000133392	MYH11	GO:0005488
ENSG00000233276	GPX1	GO:0005488
ENSG00000142798	HSPG2	GO:0005488
ENSG00000135862	LAMC1	GO:0005488
ENSG00000243989	ACY1	GO:0005488
ENSG00000102189	EEA1	GO:0005488
ENSG00000188157	AGRN	GO:0005488
ENSG00000166333	ILK	GO:0005488
ENSG00000175198	PCCA	GO:0005488
ENSG00000115042	FAHD2A	GO:0005488
ENSG00000099889	ARVCF	GO:0005488
ENSG00000162551	ALPL	GO:0005488
ENSG00000142910	TINAGL1	GO:0005488
ENSG00000084674	APOB	GO:0005488
ENSG00000126861	OMG	GO:0005488
ENSG00000112769	LAMA4	GO:0005488
ENSG00000116962	NID1	GO:0005488
ENSG00000167986	DDB1	GO:0005488
ENSG00000092841	MYL6	GO:0005488
ENSG00000149591	TAGLN	GO:0005488
ENSG00000138413	IDH1	GO:0005488
ENSG00000103876	FAH	GO:0005488
ENSG00000185567	AHNAK2	GO:0005488
ENSG00000152291	TGOLN2	GO:0005488
ENSG00000140545	MFGE8	GO:0005488
ENSG00000079739	PGM1	GO:0005488
ENSG00000163110	PDLIM5	GO:0005488
ENSG00000099994	SUSD2	GO:0005488
ENSG00000079931	MOXD1	GO:0005488
ENSG00000233276	GPX1	GO:0035556
ENSG00000166333	ILK	GO:0035556
ENSG00000136044	APPL2	GO:0050789
ENSG00000130702	LAMA5	GO:0050789
ENSG00000117298	ECE1	GO:0050789
ENSG00000168522	FNTA	GO:0050789
ENSG00000204388	HSPA1B	GO:0050789
ENSG00000233276	GPX1	GO:0050789
ENSG00000142798	HSPG2	GO:0050789
ENSG00000135862	LAMC1	GO:0050789
ENSG00000188157	AGRN	GO:0050789
ENSG00000166333	ILK	GO:0050789
ENSG00000084674	APOB	GO:0050789
ENSG00000126861	OMG	GO:0050789
ENSG00000112769	LAMA4	GO:0050789
ENSG00000116962	NID1	GO:0050789
ENSG00000167986	DDB1	GO:0050789
ENSG00000140545	MFGE8	GO:0050789
ENSG00000163110	PDLIM5	GO:0050789
ENSG00000166333	ILK	GO:0042552
ENSG00000079739	PGM1	GO:0006112
ENSG00000142798	HSPG2	GO:0048705
ENSG00000142798	HSPG2	GO:0048704
ENSG00000130702	LAMA5	GO:0098602
ENSG00000135862	LAMC1	GO:0098602
ENSG00000166333	ILK	GO:0098602
ENSG00000099889	ARVCF	GO:0098602
ENSG00000233276	GPX1	GO:0006629
ENSG00000142798	HSPG2	GO:0006629
ENSG00000188157	AGRN	GO:0006629
ENSG00000175198	PCCA	GO:0006629
ENSG00000084674	APOB	GO:0006629
ENSG00000138413	IDH1	GO:0006629
ENSG00000175198	PCCA	GO:0051715
ENSG00000099889	ARVCF	GO:0098609
ENSG00000204388	HSPA1B	GO:0009261
ENSG00000092841	MYL6	GO:0009261
ENSG00000117298	ECE1	GO:1903522
ENSG00000204388	HSPA1B	GO:0009266
ENSG00000166333	ILK	GO:0048812
ENSG00000166333	ILK	GO:0048814
ENSG00000163110	PDLIM5	GO:0048814
ENSG00000142798	HSPG2	GO:0006022
ENSG00000188157	AGRN	GO:0006022
ENSG00000142798	HSPG2	GO:0006023
ENSG00000188157	AGRN	GO:0006023
ENSG00000204388	HSPA1B	GO:0006753
ENSG00000233276	GPX1	GO:0006753
ENSG00000092841	MYL6	GO:0006753
ENSG00000138413	IDH1	GO:0006753
ENSG00000142798	HSPG2	GO:0006026
ENSG00000188157	AGRN	GO:0006026
ENSG00000142798	HSPG2	GO:0006027
ENSG00000188157	AGRN	GO:0006027
ENSG00000142798	HSPG2	GO:0006024
ENSG00000188157	AGRN	GO:0006024
ENSG00000188157	AGRN	GO:0048639
ENSG00000166333	ILK	GO:0048639
ENSG00000188157	AGRN	GO:0048638
ENSG00000166333	ILK	GO:0048638
ENSG00000126861	OMG	GO:0048638
ENSG00000142798	HSPG2	GO:0008022
ENSG00000204388	HSPA1B	GO:0051129
ENSG00000233276	GPX1	GO:0051129
ENSG00000126861	OMG	GO:0051129
ENSG00000204388	HSPA1B	GO:0051128
ENSG00000233276	GPX1	GO:0051128
ENSG00000188157	AGRN	GO:0051128
ENSG00000166333	ILK	GO:0051128
ENSG00000126861	OMG	GO:0051128
ENSG00000140545	MFGE8	GO:0051128
ENSG00000163110	PDLIM5	GO:0051128
ENSG00000136044	APPL2	GO:0090568
ENSG00000084674	APOB	GO:0055088
ENSG00000134202	GSTM3	GO:0014070
